model,total_queries,geo_north_america_mentions_count,queries_with_geo_north_america_mentions,example
gemma-2-2b/gemmascope-att-16k,3190,149,"burka, hijab, mosque, muslim, quran, allah, imam, eid, hajj, halal, islam, mecca, ramadan","Alexander M . Nicholson . However , it is generally accepted that Dr . Walter Guy ton C ady was the first to use a quartz to control the frequency of an oscillator circuit . Nevertheless , Nicholson is still regarded as the inventor of the crystal oscillator . 1 9 1 8 Grocery bag Shopping bags are medium - sized bags , typically around 1 0 2 0 litres ( 2 . 5 to 5 gallons ) in volume , that are often used by grocery shoppers to carry home their purchases . They can be single - use ( disposable ), used for other purposes or designed as reusable shopping bags . The grocery bag with handles was invented in 1"
gemma-2-2b/gemmascope-att-16k,3190,149,"burka, hijab, mosque, muslim, quran, allah, imam, eid, hajj, halal, islam, mecca, ramadan","Roger Moore for effortless charm . The actor was a true American h unk and as the show went on to become more and more popular , all those dynamic running poses with bell bottoms flapping , and the gigantic b ionic leaps that so entr anced impression able viewing youngsters in 1 9 7 0 s playgrounds , were joined by an increasing awareness of Majors sex symbol status for young women -- with the actor often seen sporting un button ed shirts that exposed his copious chest hair at every opportunity from season four onwards ; although the moustache he grew that year was always to be viewed as a big mistake by anyone with even a mod icum of taste !"
gemma-2-2b/gemmascope-att-16k,3190,149,"burka, hijab, mosque, muslim, quran, allah, imam, eid, hajj, halal, islam, mecca, ramadan","F oles ' QB rating is 1 5 2 . 8 . He has thrown 1 9 9 consecutive passes without an interception and his 9 . 6 yards per attempt is first in the league . F oles has the Eagles flying high and helped them halt a 1 0 - game home losing streak with last week ' s 2 4 - 1 6 win over the Washington Red skins . He threw for 2 9 8 yards and did not have a touchdown pass . He didn ' t need to because Le Sean McCoy ran for 7 7 yards and a pair of touchdowns . "" I feel like we '"
gemma-2-2b/gemmascope-att-16k,3190,149,"burka, hijab, mosque, muslim, quran, allah, imam, eid, hajj, halal, islam, mecca, ramadan","F MF and other inflammatory diseases should be aware of these associations . <bos> Meet Dr . Carol Ford Dr . Carol Ford has been working in dentistry for the past 3 0 years . Her unique ability to connect with her patients on a personal level allows her to develop strong relationships and create long - range strategic plans for optimal oral health . Dr . Ford began her career as a dental assistant , during which time she developed a passion for helping people improve their health and quality of life . In 1 9 8 3 , she graduated from the University of Washington Dental School with honors , including Excellence in Pediatric , Rest orative and Cosmetic Dentistry ."
gemma-2-2b/gemmascope-att-16k,3190,149,"burka, hijab, mosque, muslim, quran, allah, imam, eid, hajj, halal, islam, mecca, ramadan","contributed equally to this work . <bos> Rod Andrews The Rt . Rev Rodney Osborne Andrews is a retired Ang lican bishop . Born on 1 1 November 1 9 4 0 , educated at the University of Saskatchewan and ordained in 1 9 6 5 he was involved in parish work and native ministry within the Diocese of Calgary until 1 9 8 4 . He was a military chaplain in the Diocese of Montreal after which he was Arch deacon of Algo ma until 2 0 0 0 . He was Rector of St Alban s , Richmond and University Chaplain at UBC until 2 0 0 4 when he became"
gemma-2-2b/gemmascope-res-65k,8515,329,"burka, hijab, mosque, muslim, quran, allah, imam, eid, hajj, halal, islam, mecca, ramadan","Jon Brooks , wrote two songs on L oney ' s CD Ours And The Shepherds in response to the controversy . Jim L oney ' s Prayer Part I and Jim L oney ' s Prayer Part II were chosen as book ends to the track - list on a CD about Canadian war stories . On December 8 , 2 0 0 6 , L oney , Kem ber and S ood en publicly for gave their capt ors at a press conference held at St . Ethel bur ga ' s Peace Center , London , England . On this same day a year before their kidna ppers had threatened to execute them . In their joint statement of forgiveness they"
gemma-2-2b/gemmascope-res-65k,8515,329,"burka, hijab, mosque, muslim, quran, allah, imam, eid, hajj, halal, islam, mecca, ramadan","candidate Aldo Rebel o from the Brazilian Communist Party wins the election for the Presidency of the House . The election is perceived as a victory for Lula and other politicians under pressure by the scandal . October 5 October - The main suspects in connection to the corruption allegations regarding contracts between the Brazilian public bank Caixa Econ mica Federal and the enterprise G tech confront each other in front of the Bingo CPI . , Enrico Gian elli , Rog rio Bur atti , Marcelo Jos Ro vai , and Carlos Augusto de Almeida Ramos ( Car lin hos Cach oe ira ) exchange insults and accusations . 6 October - Bruno Jos Daniel Filho , younger brother of Cel so"
gemma-2-2b/gemmascope-res-65k,8515,329,"burka, hijab, mosque, muslim, quran, allah, imam, eid, hajj, halal, islam, mecca, ramadan","This is my first re - election campaign for Congress . I ve worked hard really hard to do the people s work , but I need your help . We can t take this election for granted and I m working hard to earn every vote . I need you . Together , we can be victorious in 2 0 1 6 . Support is Building I m honored to have recently earned the endorsements of the Michigan State AFL - CIO , United Auto Workers Region 1 , Michigan Regional Council of Car penters and Mill wrights , American Federation of Teachers - Michigan , Sheet Metal Workers Local 8 0 ,"
gemma-2-2b/gemmascope-res-65k,8515,329,"burka, hijab, mosque, muslim, quran, allah, imam, eid, hajj, halal, islam, mecca, ramadan",t want this info about black slave - owners come to light . They want us to be blind and deceived into believing what they want us to see as factual and to never question them . pcm ust go This is why I want CONTROL OF THE HISTORY BOOKS ARE CHILDREN ARE TA UGHT WITH as number one priority for Tea Party people and people concerned about the plight of Euro - Americans . This is the number one issue to seize on . We have millions of people being brain washed to hate whites . Automatic Slim I do not mind so much that they hate me . My problem is that way too many of my kind do
gemma-2-2b/gemmascope-res-65k,8515,329,"burka, hijab, mosque, muslim, quran, allah, imam, eid, hajj, halal, islam, mecca, ramadan","as well take advantage of the 2 day shipping and whatnot . It ' s an odd model , but one that Amazon can pull off to some degree . But it ' s going to have limited success because it only works in the US and to a limited degree in Canada and the UK . In every other market Amazon has nothing . Even if Amazon can beat Apple and Google in the US , development of the competing products will advance un hinder ed because overseas sales dominate . Eventually Amazon is going to fall behind . And eventually Amazon has to make money here - they can ' t keep dividing up their profit margins as they are . And they"
