query_term,latent_feature_number,activation_tokens
gospel,63821," and  which  he  âĢ ľ correct ed âĢ Ŀ  in  his  âĢ ľ inspired âĢ Ŀ  translation  of  the  Bible ? 
 
 In  any  event ,  this  scenario  is  contradicted  by  eyewitness  accounts  of  the  translation  process ,  as  well  as  the  process  described  by  the  Church âĢ Ļ s  December  2013  Gospel  Topics  article . 
 
 âĢ ľ  Modern  readers  are  accustomed  to  thinking  of  a  ' translation '  as  only  the  conversion  of  text  in  one  language  to  another .  âĢ Ŀ 
 
 This  make  sense ,  given  the  multitude  of  sources  ( including  the  Church - san ction ed  Gospel  Topics  article )  supporting  a  âĢ ľ tight âĢ Ŀ  translation  method ,  including  the  following  account  from  David  Whit mer"
gospel,63821," and  which  he  âĢ ľ correct ed âĢ Ŀ  in  his  âĢ ľ inspired âĢ Ŀ  translation  of  the  Bible ? 
 
 In  any  event ,  this  scenario  is  contradicted  by  eyewitness  accounts  of  the  translation  process ,  as  well  as  the  process  described  by  the  Church âĢ Ļ s  December  2013  Gospel  Topics  article . 
 
 âĢ ľ  Modern  readers  are  accustomed  to  thinking  of  a  ' translation '  as  only  the  conversion  of  text  in  one  language  to  another .  âĢ Ŀ 
 
 This  make  sense ,  given  the  multitude  of  sources  ( including  the  Church - san ction ed  Gospel  Topics  article )  supporting  a  âĢ ľ tight âĢ Ŀ  translation  method ,  including  the  following  account  from  David  Whit mer"
gospel,63821," not  be  converted  by  the  Gospel  of  truth  to  the  judgment  of  God .  But  if  they  repent ,  surrender ing ,  however  imperfect ly ,  to  the  standard  of  God 's  truth  and  justice ,  forgive  them  un ce asing ly ,  as  we  must  un ce asing ly  pray  that  God  will  forgive  us .  Such  forgiveness  is  the  only  way  to  endure  in  the  fight  against  evil ,  without  becoming  evil  –  the  only  way  to  learn  and  remember  what  we  need  to  know  of  evil  in  order  to  defeat  it  –  and  to  do  it  all  without  forgetting  what  is  good  and  right  and  true  and  just .  Which  is  to  say ,  without  forgetting  that ,  and  we  are Â©  Alan  Key"
gospel,63821," appear . âĢ Ŀ 
 
 –  Qu oted  in  Elder  Russell  M .  Nelson âĢ Ļ s  âĢ ľ A  Tre asured  Testament âĢ Ŀ 
 
 Fair M ormon âĢ Ļ s  claim  likewise  contradicts  several  other  witness  accounts ,  including  those  of  Martin  Harris ,  and  the  Church âĢ Ļ s  recent  Gospel  Topics  article  on  the  translation  process ,  which  states  that  âĢ ľ Joseph  placed  either  the  interpre ters  or  the  se er  stone  in  a  hat ,  pressed  his  face  into  the  hat  to  block  out  extr aneous  light ,  and  read  aloud  the  English  words  that  appeared  on  the  instrument . âĢ Ŀ 
 
 Joseph  did  not  have ,  according  to  these  accounts ,  ""  general  freedom  ""  for"
gospel,63821," appear . âĢ Ŀ 
 
 –  Qu oted  in  Elder  Russell  M .  Nelson âĢ Ļ s  âĢ ľ A  Tre asured  Testament âĢ Ŀ 
 
 Fair M ormon âĢ Ļ s  claim  likewise  contradicts  several  other  witness  accounts ,  including  those  of  Martin  Harris ,  and  the  Church âĢ Ļ s  recent  Gospel  Topics  article  on  the  translation  process ,  which  states  that  âĢ ľ Joseph  placed  either  the  interpre ters  or  the  se er  stone  in  a  hat ,  pressed  his  face  into  the  hat  to  block  out  extr aneous  light ,  and  read  aloud  the  English  words  that  appeared  on  the  instrument . âĢ Ŀ 
 
 Joseph  did  not  have ,  according  to  these  accounts ,  ""  general  freedom  ""  for"
gospel,63821," Gn ostic  documents  are  the  Gospel  of  Truth ,  the  Letter  to  R he gin us ,  Treat ise  on  the  Three  N atures ,  Apocalypse  of  Adam ,  the  Gospel  of  Matth ias ,  Gospel  of  Philip ,  Acts  of  Peter ,  and  Acts  of  Thomas .  Although  the  Gn ostics  were  prolific  writers ,  most  of  their  works  have  been  burnt  or  lost  in  favor  of  proto - orthodox  writings  ( and  known  only  through  pat rist ic  references ). 
 
 Some  scholars  have  theor ized  that  Gn ost icism  has  its  roots  in  pre - Christian  religions ,  instead  of  being  merely  an  off shoot  of  Christianity . 
 
 The  following  are  writings  by  Gn ostics  of  the  second  century  according  to"
gospel,63821," Gn ostic  documents  are  the  Gospel  of  Truth ,  the  Letter  to  R he gin us ,  Treat ise  on  the  Three  N atures ,  Apocalypse  of  Adam ,  the  Gospel  of  Matth ias ,  Gospel  of  Philip ,  Acts  of  Peter ,  and  Acts  of  Thomas .  Although  the  Gn ostics  were  prolific  writers ,  most  of  their  works  have  been  burnt  or  lost  in  favor  of  proto - orthodox  writings  ( and  known  only  through  pat rist ic  references ). 
 
 Some  scholars  have  theor ized  that  Gn ost icism  has  its  roots  in  pre - Christian  religions ,  instead  of  being  merely  an  off shoot  of  Christianity . 
 
 The  following  are  writings  by  Gn ostics  of  the  second  century  according  to"
gospel,63821," Gn ostic  documents  are  the  Gospel  of  Truth ,  the  Letter  to  R he gin us ,  Treat ise  on  the  Three  N atures ,  Apocalypse  of  Adam ,  the  Gospel  of  Matth ias ,  Gospel  of  Philip ,  Acts  of  Peter ,  and  Acts  of  Thomas .  Although  the  Gn ostics  were  prolific  writers ,  most  of  their  works  have  been  burnt  or  lost  in  favor  of  proto - orthodox  writings  ( and  known  only  through  pat rist ic  references ). 
 
 Some  scholars  have  theor ized  that  Gn ost icism  has  its  roots  in  pre - Christian  religions ,  instead  of  being  merely  an  off shoot  of  Christianity . 
 
 The  following  are  writings  by  Gn ostics  of  the  second  century  according  to"
gospel,63821," Gn ostic  documents  are  the  Gospel  of  Truth ,  the  Letter  to  R he gin us ,  Treat ise  on  the  Three  N atures ,  Apocalypse  of  Adam ,  the  Gospel  of  Matth ias ,  Gospel  of  Philip ,  Acts  of  Peter ,  and  Acts  of  Thomas .  Although  the  Gn ostics  were  prolific  writers ,  most  of  their  works  have  been  burnt  or  lost  in  favor  of  proto - orthodox  writings  ( and  known  only  through  pat rist ic  references ). 
 
 Some  scholars  have  theor ized  that  Gn ost icism  has  its  roots  in  pre - Christian  religions ,  instead  of  being  merely  an  off shoot  of  Christianity . 
 
 The  following  are  writings  by  Gn ostics  of  the  second  century  according  to"
gospel,63821," Gn ostic  documents  are  the  Gospel  of  Truth ,  the  Letter  to  R he gin us ,  Treat ise  on  the  Three  N atures ,  Apocalypse  of  Adam ,  the  Gospel  of  Matth ias ,  Gospel  of  Philip ,  Acts  of  Peter ,  and  Acts  of  Thomas .  Although  the  Gn ostics  were  prolific  writers ,  most  of  their  works  have  been  burnt  or  lost  in  favor  of  proto - orthodox  writings  ( and  known  only  through  pat rist ic  references ). 
 
 Some  scholars  have  theor ized  that  Gn ost icism  has  its  roots  in  pre - Christian  religions ,  instead  of  being  merely  an  off shoot  of  Christianity . 
 
 The  following  are  writings  by  Gn ostics  of  the  second  century  according  to"
