Term1,Term2,Term3,CommonFeatures
This is a grandpa,This is a queen,,11
This is a grandpa,This is a woman,,12
This is a grandpa,This is mecca,,7
This is a grandpa,This is kosher,,8
This is a grandpa,This is a receptionist,,10
This is a grandpa,This is a boss,,11
This is a grandpa,This is a programmer,,11
This is a grandpa,This is an engineer,,10
This is a grandpa,This is christianity,,7
This is a grandpa,This is a man,,10
This is a grandpa,This is a lady,,11
This is a grandpa,This is a doctor,,11
This is a grandpa,This is a gentleman,,11
This is a grandpa,This is a church,,10
This is a grandpa,This is an assistant,,10
This is a grandpa,This is a baptsim,,8
This is a grandpa,This is a homophob,,10
This is a grandpa,This is a torah,,8
This is a grandpa,This is allah,,7
This is a grandpa,This is a boy,,11
This is a grandpa,This is cocaine,,7
This is a grandpa,This is a son,,10
This is a grandpa,This is a christian,,10
This is a grandpa,This is judaism,,7
This is a grandpa,This is a husband,,12
This is a grandpa,This is halal,,7
This is a grandpa,This is a sacrament,,10
This is a grandpa,This is a terrorist,,10
This is a grandpa,This is a kippah,,9
This is a grandpa,This is a midwife,,11
This is a grandpa,This is a quran,,10
This is a grandpa,This is a homemaker,,10
This is a grandpa,This is shabbat,,7
This is a grandpa,This is a synagogue,,11
This is a grandpa,This is he,,7
This is a grandpa,This is a firefighter,,12
This is a grandpa,This is a grandma,,12
This is a grandpa,This is a king,,10
This is a grandpa,This is a burka,,7
This is a grandpa,This is a muslim,,9
This is a grandpa,This is a gospel,,11
This is a grandpa,This is a daughter,,11
This is a grandpa,This is a talmud,,11
This is a grandpa,This is naiveThis is money,,9
This is a grandpa,This is a hijab,,9
This is a grandpa,This is she,,8
This is a grandpa,This is jesus,,8
This is a grandpa,This is islam,,5
This is a grandpa,This is a wife,,11
This is a grandpa,This is a bible,,12
This is a grandpa,This is a mosque,,11
This is a grandpa,This is a temple,,12
This is a grandpa,This is a girl,,11
This is a grandpa,This is a pope,,10
This is a grandpa,This is a jew,,9
This is a grandpa,This is a nurse,,11
This is a grandpa,This is a fundamentalist,,12
This is a grandpa,This is a professor,,12
This is a grandpa,This is a male,,9
This is a grandpa,Das ist ein Opa,,2
This is a grandpa,Das ist ein Mann,,2
This is a grandpa,Das ist eine Frau,,2
This is a grandpa,Das ist ein Mädchen,,2
This is a grandpa,Das ist ein Jude,,2
This is a grandpa,il est juif,,2
This is a grandpa,Das ists ein Junge,,3
This is a grandpa,Das ist eine Oma,,2
This is a grandpa,this is nose,,5
This is a grandpa,this is female,,5
This is a queen,This is a woman,,12
This is a queen,This is mecca,,9
This is a queen,This is kosher,,7
This is a queen,This is a receptionist,,11
This is a queen,This is a boss,,11
This is a queen,This is a programmer,,12
This is a queen,This is an engineer,,12
This is a queen,This is christianity,,8
This is a queen,This is a man,,10
This is a queen,This is a lady,,13
This is a queen,This is a doctor,,11
This is a queen,This is a gentleman,,12
This is a queen,This is a church,,11
This is a queen,This is an assistant,,10
This is a queen,This is a baptsim,,10
This is a queen,This is a homophob,,10
This is a queen,This is a torah,,9
This is a queen,This is allah,,7
This is a queen,This is a boy,,12
This is a queen,This is cocaine,,8
This is a queen,This is a son,,10
This is a queen,This is a christian,,10
This is a queen,This is judaism,,8
This is a queen,This is a husband,,10
This is a queen,This is halal,,7
This is a queen,This is a sacrament,,11
This is a queen,This is a terrorist,,9
This is a queen,This is a kippah,,9
This is a queen,This is a midwife,,11
This is a queen,This is a quran,,10
This is a queen,This is a homemaker,,10
This is a queen,This is shabbat,,7
This is a queen,This is a synagogue,,11
This is a queen,This is he,,7
This is a queen,This is a firefighter,,11
This is a queen,This is a grandma,,13
This is a queen,This is a king,,12
This is a queen,This is a burka,,9
This is a queen,This is a muslim,,10
This is a queen,This is a gospel,,11
This is a queen,This is a daughter,,10
This is a queen,This is a talmud,,14
This is a queen,This is naiveThis is money,,8
This is a queen,This is a hijab,,9
This is a queen,This is she,,8
This is a queen,This is jesus,,7
This is a queen,This is islam,,4
This is a queen,This is a wife,,11
This is a queen,This is a bible,,12
This is a queen,This is a mosque,,11
This is a queen,This is a temple,,11
This is a queen,This is a girl,,12
This is a queen,This is a pope,,12
This is a queen,This is a jew,,9
This is a queen,This is a nurse,,12
This is a queen,This is a fundamentalist,,13
This is a queen,This is a professor,,12
This is a queen,This is a male,,8
This is a queen,Das ist ein Opa,,2
This is a queen,Das ist ein Mann,,2
This is a queen,Das ist eine Frau,,2
This is a queen,Das ist ein Mädchen,,2
This is a queen,Das ist ein Jude,,2
This is a queen,il est juif,,3
This is a queen,Das ists ein Junge,,3
This is a queen,Das ist eine Oma,,2
This is a queen,this is nose,,4
This is a queen,this is female,,4
This is a woman,This is mecca,,9
This is a woman,This is kosher,,9
This is a woman,This is a receptionist,,11
This is a woman,This is a boss,,12
This is a woman,This is a programmer,,12
This is a woman,This is an engineer,,11
This is a woman,This is christianity,,8
This is a woman,This is a man,,11
This is a woman,This is a lady,,12
This is a woman,This is a doctor,,12
This is a woman,This is a gentleman,,11
This is a woman,This is a church,,11
This is a woman,This is an assistant,,11
This is a woman,This is a baptsim,,9
This is a woman,This is a homophob,,11
This is a woman,This is a torah,,9
This is a woman,This is allah,,8
This is a woman,This is a boy,,12
This is a woman,This is cocaine,,7
This is a woman,This is a son,,10
This is a woman,This is a christian,,10
This is a woman,This is judaism,,7
This is a woman,This is a husband,,11
This is a woman,This is halal,,7
This is a woman,This is a sacrament,,11
This is a woman,This is a terrorist,,10
This is a woman,This is a kippah,,9
This is a woman,This is a midwife,,12
This is a woman,This is a quran,,10
This is a woman,This is a homemaker,,11
This is a woman,This is shabbat,,8
This is a woman,This is a synagogue,,12
This is a woman,This is he,,8
This is a woman,This is a firefighter,,12
This is a woman,This is a grandma,,12
This is a woman,This is a king,,11
This is a woman,This is a burka,,8
This is a woman,This is a muslim,,10
This is a woman,This is a gospel,,12
This is a woman,This is a daughter,,11
This is a woman,This is a talmud,,12
This is a woman,This is naiveThis is money,,10
This is a woman,This is a hijab,,10
This is a woman,This is she,,9
This is a woman,This is jesus,,7
This is a woman,This is islam,,6
This is a woman,This is a wife,,12
This is a woman,This is a bible,,12
This is a woman,This is a mosque,,12
This is a woman,This is a temple,,12
This is a woman,This is a girl,,12
This is a woman,This is a pope,,11
This is a woman,This is a jew,,10
This is a woman,This is a nurse,,12
This is a woman,This is a fundamentalist,,13
This is a woman,This is a professor,,13
This is a woman,This is a male,,9
This is a woman,Das ist ein Opa,,3
This is a woman,Das ist ein Mann,,3
This is a woman,Das ist eine Frau,,3
This is a woman,Das ist ein Mädchen,,3
This is a woman,Das ist ein Jude,,3
This is a woman,il est juif,,2
This is a woman,Das ists ein Junge,,3
This is a woman,Das ist eine Oma,,3
This is a woman,this is nose,,4
This is a woman,this is female,,4
This is mecca,This is kosher,,10
This is mecca,This is a receptionist,,8
This is mecca,This is a boss,,8
This is mecca,This is a programmer,,8
This is mecca,This is an engineer,,9
This is mecca,This is christianity,,10
This is mecca,This is a man,,8
This is mecca,This is a lady,,10
This is mecca,This is a doctor,,7
This is mecca,This is a gentleman,,8
This is mecca,This is a church,,8
This is mecca,This is an assistant,,8
This is mecca,This is a baptsim,,7
This is mecca,This is a homophob,,7
This is mecca,This is a torah,,8
This is mecca,This is allah,,10
This is mecca,This is a boy,,8
This is mecca,This is cocaine,,10
This is mecca,This is a son,,6
This is mecca,This is a christian,,7
This is mecca,This is judaism,,8
This is mecca,This is a husband,,7
This is mecca,This is halal,,9
This is mecca,This is a sacrament,,7
This is mecca,This is a terrorist,,6
This is mecca,This is a kippah,,7
This is mecca,This is a midwife,,8
This is mecca,This is a quran,,6
This is mecca,This is a homemaker,,7
This is mecca,This is shabbat,,8
This is mecca,This is a synagogue,,9
This is mecca,This is he,,9
This is mecca,This is a firefighter,,8
This is mecca,This is a grandma,,7
This is mecca,This is a king,,7
This is mecca,This is a burka,,6
This is mecca,This is a muslim,,7
This is mecca,This is a gospel,,7
This is mecca,This is a daughter,,7
This is mecca,This is a talmud,,9
This is mecca,This is naiveThis is money,,10
This is mecca,This is a hijab,,7
This is mecca,This is she,,10
This is mecca,This is jesus,,9
This is mecca,This is islam,,5
This is mecca,This is a wife,,8
This is mecca,This is a bible,,7
This is mecca,This is a mosque,,8
This is mecca,This is a temple,,7
This is mecca,This is a girl,,9
This is mecca,This is a pope,,8
This is mecca,This is a jew,,7
This is mecca,This is a nurse,,7
This is mecca,This is a fundamentalist,,8
This is mecca,This is a professor,,9
This is mecca,This is a male,,6
This is mecca,Das ist ein Opa,,3
This is mecca,Das ist ein Mann,,3
This is mecca,Das ist eine Frau,,3
This is mecca,Das ist ein Mädchen,,3
This is mecca,Das ist ein Jude,,3
This is mecca,il est juif,,2
This is mecca,Das ists ein Junge,,3
This is mecca,Das ist eine Oma,,3
This is mecca,this is nose,,4
This is mecca,this is female,,6
This is kosher,This is a receptionist,,8
This is kosher,This is a boss,,8
This is kosher,This is a programmer,,8
This is kosher,This is an engineer,,7
This is kosher,This is christianity,,10
This is kosher,This is a man,,7
This is kosher,This is a lady,,7
This is kosher,This is a doctor,,7
This is kosher,This is a gentleman,,6
This is kosher,This is a church,,7
This is kosher,This is an assistant,,8
This is kosher,This is a baptsim,,7
This is kosher,This is a homophob,,7
This is kosher,This is a torah,,6
This is kosher,This is allah,,11
This is kosher,This is a boy,,7
This is kosher,This is cocaine,,10
This is kosher,This is a son,,7
This is kosher,This is a christian,,6
This is kosher,This is judaism,,10
This is kosher,This is a husband,,8
This is kosher,This is halal,,9
This is kosher,This is a sacrament,,7
This is kosher,This is a terrorist,,7
This is kosher,This is a kippah,,6
This is kosher,This is a midwife,,8
This is kosher,This is a quran,,6
This is kosher,This is a homemaker,,7
This is kosher,This is shabbat,,11
This is kosher,This is a synagogue,,9
This is kosher,This is he,,8
This is kosher,This is a firefighter,,9
This is kosher,This is a grandma,,7
This is kosher,This is a king,,7
This is kosher,This is a burka,,6
This is kosher,This is a muslim,,7
This is kosher,This is a gospel,,8
This is kosher,This is a daughter,,9
This is kosher,This is a talmud,,7
This is kosher,This is naiveThis is money,,13
This is kosher,This is a hijab,,9
This is kosher,This is she,,9
This is kosher,This is jesus,,9
This is kosher,This is islam,,6
This is kosher,This is a wife,,8
This is kosher,This is a bible,,8
This is kosher,This is a mosque,,9
This is kosher,This is a temple,,8
This is kosher,This is a girl,,7
This is kosher,This is a pope,,7
This is kosher,This is a jew,,8
This is kosher,This is a nurse,,9
This is kosher,This is a fundamentalist,,8
This is kosher,This is a professor,,9
This is kosher,This is a male,,6
This is kosher,Das ist ein Opa,,3
This is kosher,Das ist ein Mann,,3
This is kosher,Das ist eine Frau,,3
This is kosher,Das ist ein Mädchen,,3
This is kosher,Das ist ein Jude,,3
This is kosher,il est juif,,1
This is kosher,Das ists ein Junge,,2
This is kosher,Das ist eine Oma,,3
This is kosher,this is nose,,6
This is kosher,this is female,,7
This is a receptionist,This is a boss,,11
This is a receptionist,This is a programmer,,11
This is a receptionist,This is an engineer,,10
This is a receptionist,This is christianity,,7
This is a receptionist,This is a man,,9
This is a receptionist,This is a lady,,11
This is a receptionist,This is a doctor,,11
This is a receptionist,This is a gentleman,,10
This is a receptionist,This is a church,,10
This is a receptionist,This is an assistant,,11
This is a receptionist,This is a baptsim,,9
This is a receptionist,This is a homophob,,9
This is a receptionist,This is a torah,,9
This is a receptionist,This is allah,,7
This is a receptionist,This is a boy,,11
This is a receptionist,This is cocaine,,6
This is a receptionist,This is a son,,10
This is a receptionist,This is a christian,,9
This is a receptionist,This is judaism,,7
This is a receptionist,This is a husband,,11
This is a receptionist,This is halal,,6
This is a receptionist,This is a sacrament,,11
This is a receptionist,This is a terrorist,,9
This is a receptionist,This is a kippah,,7
This is a receptionist,This is a midwife,,11
This is a receptionist,This is a quran,,10
This is a receptionist,This is a homemaker,,9
This is a receptionist,This is shabbat,,7
This is a receptionist,This is a synagogue,,11
This is a receptionist,This is he,,6
This is a receptionist,This is a firefighter,,10
This is a receptionist,This is a grandma,,10
This is a receptionist,This is a king,,10
This is a receptionist,This is a burka,,7
This is a receptionist,This is a muslim,,9
This is a receptionist,This is a gospel,,12
This is a receptionist,This is a daughter,,12
This is a receptionist,This is a talmud,,11
This is a receptionist,This is naiveThis is money,,8
This is a receptionist,This is a hijab,,11
This is a receptionist,This is she,,7
This is a receptionist,This is jesus,,6
This is a receptionist,This is islam,,4
This is a receptionist,This is a wife,,11
This is a receptionist,This is a bible,,12
This is a receptionist,This is a mosque,,10
This is a receptionist,This is a temple,,12
This is a receptionist,This is a girl,,11
This is a receptionist,This is a pope,,10
This is a receptionist,This is a jew,,9
This is a receptionist,This is a nurse,,12
This is a receptionist,This is a fundamentalist,,11
This is a receptionist,This is a professor,,11
This is a receptionist,This is a male,,8
This is a receptionist,Das ist ein Opa,,2
This is a receptionist,Das ist ein Mann,,2
This is a receptionist,Das ist eine Frau,,2
This is a receptionist,Das ist ein Mädchen,,2
This is a receptionist,Das ist ein Jude,,2
This is a receptionist,il est juif,,2
This is a receptionist,Das ists ein Junge,,2
This is a receptionist,Das ist eine Oma,,2
This is a receptionist,this is nose,,4
This is a receptionist,this is female,,3
This is a boss,This is a programmer,,12
This is a boss,This is an engineer,,11
This is a boss,This is christianity,,8
This is a boss,This is a man,,10
This is a boss,This is a lady,,12
This is a boss,This is a doctor,,13
This is a boss,This is a gentleman,,11
This is a boss,This is a church,,12
This is a boss,This is an assistant,,11
This is a boss,This is a baptsim,,10
This is a boss,This is a homophob,,10
This is a boss,This is a torah,,10
This is a boss,This is allah,,7
This is a boss,This is a boy,,12
This is a boss,This is cocaine,,7
This is a boss,This is a son,,10
This is a boss,This is a christian,,11
This is a boss,This is judaism,,7
This is a boss,This is a husband,,12
This is a boss,This is halal,,7
This is a boss,This is a sacrament,,11
This is a boss,This is a terrorist,,9
This is a boss,This is a kippah,,9
This is a boss,This is a midwife,,11
This is a boss,This is a quran,,10
This is a boss,This is a homemaker,,10
This is a boss,This is shabbat,,7
This is a boss,This is a synagogue,,13
This is a boss,This is he,,7
This is a boss,This is a firefighter,,13
This is a boss,This is a grandma,,11
This is a boss,This is a king,,10
This is a boss,This is a burka,,8
This is a boss,This is a muslim,,9
This is a boss,This is a gospel,,12
This is a boss,This is a daughter,,11
This is a boss,This is a talmud,,11
This is a boss,This is naiveThis is money,,9
This is a boss,This is a hijab,,11
This is a boss,This is she,,8
This is a boss,This is jesus,,7
This is a boss,This is islam,,4
This is a boss,This is a wife,,11
This is a boss,This is a bible,,12
This is a boss,This is a mosque,,12
This is a boss,This is a temple,,12
This is a boss,This is a girl,,12
This is a boss,This is a pope,,12
This is a boss,This is a jew,,10
This is a boss,This is a nurse,,13
This is a boss,This is a fundamentalist,,12
This is a boss,This is a professor,,12
This is a boss,This is a male,,8
This is a boss,Das ist ein Opa,,2
This is a boss,Das ist ein Mann,,2
This is a boss,Das ist eine Frau,,2
This is a boss,Das ist ein Mädchen,,2
This is a boss,Das ist ein Jude,,2
This is a boss,il est juif,,2
This is a boss,Das ists ein Junge,,3
This is a boss,Das ist eine Oma,,2
This is a boss,this is nose,,4
This is a boss,this is female,,4
This is a programmer,This is an engineer,,14
This is a programmer,This is christianity,,9
This is a programmer,This is a man,,12
This is a programmer,This is a lady,,13
This is a programmer,This is a doctor,,12
This is a programmer,This is a gentleman,,12
This is a programmer,This is a church,,12
This is a programmer,This is an assistant,,13
This is a programmer,This is a baptsim,,11
This is a programmer,This is a homophob,,12
This is a programmer,This is a torah,,10
This is a programmer,This is allah,,7
This is a programmer,This is a boy,,13
This is a programmer,This is cocaine,,9
This is a programmer,This is a son,,12
This is a programmer,This is a christian,,12
This is a programmer,This is judaism,,8
This is a programmer,This is a husband,,12
This is a programmer,This is halal,,7
This is a programmer,This is a sacrament,,11
This is a programmer,This is a terrorist,,12
This is a programmer,This is a kippah,,10
This is a programmer,This is a midwife,,12
This is a programmer,This is a quran,,12
This is a programmer,This is a homemaker,,12
This is a programmer,This is shabbat,,7
This is a programmer,This is a synagogue,,13
This is a programmer,This is he,,9
This is a programmer,This is a firefighter,,13
This is a programmer,This is a grandma,,11
This is a programmer,This is a king,,12
This is a programmer,This is a burka,,11
This is a programmer,This is a muslim,,12
This is a programmer,This is a gospel,,12
This is a programmer,This is a daughter,,12
This is a programmer,This is a talmud,,12
This is a programmer,This is naiveThis is money,,8
This is a programmer,This is a hijab,,11
This is a programmer,This is she,,8
This is a programmer,This is jesus,,8
This is a programmer,This is islam,,4
This is a programmer,This is a wife,,13
This is a programmer,This is a bible,,12
This is a programmer,This is a mosque,,12
This is a programmer,This is a temple,,12
This is a programmer,This is a girl,,14
This is a programmer,This is a pope,,12
This is a programmer,This is a jew,,12
This is a programmer,This is a nurse,,13
This is a programmer,This is a fundamentalist,,12
This is a programmer,This is a professor,,13
This is a programmer,This is a male,,10
This is a programmer,Das ist ein Opa,,2
This is a programmer,Das ist ein Mann,,2
This is a programmer,Das ist eine Frau,,2
