query_term,latent_feature_number,activation_tokens
receptionist,9631,"6 ▁families ▁moved ▁out ▁of ▁the ▁slums ▁and ▁into ▁the ▁newly ▁created ▁Kap uti ei ▁town ▁with ▁nearly ▁ 1 , 8 0 0 ▁families ▁to ▁follow . ▁For ▁the ▁same ▁monthly ▁mortgage ▁they ▁had ▁paid ▁for ▁their ▁one - room ▁sha cks , ▁each ▁family ▁now ▁lives ▁in ▁a ▁home ▁with ▁two ▁bedrooms , ▁a ▁bath , ▁a ▁kitchen ▁and ▁a ▁living ▁room . ▁But ▁this ▁is ▁ultra ▁sub - prime ▁lending ▁that ▁works ▁because ▁in ▁order ▁to ▁qualify ▁for ▁a ▁mortgage ▁the ▁residents ▁have ▁to ▁have ▁successfully ▁repaid ▁three ▁micro - business ▁loans . 

 Where ▁does ▁Munro ’ s ▁capacity ▁to ▁innovate ▁and ▁defy ▁conventional ▁wisdom ▁in ▁the ▁micro finance ▁field ▁come ▁from ? ▁It ▁started ▁ 2 0 ▁years ▁ago ▁when ▁she ▁and"
receptionist,9631,"6 ▁families ▁moved ▁out ▁of ▁the ▁slums ▁and ▁into ▁the ▁newly ▁created ▁Kap uti ei ▁town ▁with ▁nearly ▁ 1 , 8 0 0 ▁families ▁to ▁follow . ▁For ▁the ▁same ▁monthly ▁mortgage ▁they ▁had ▁paid ▁for ▁their ▁one - room ▁sha cks , ▁each ▁family ▁now ▁lives ▁in ▁a ▁home ▁with ▁two ▁bedrooms , ▁a ▁bath , ▁a ▁kitchen ▁and ▁a ▁living ▁room . ▁But ▁this ▁is ▁ultra ▁sub - prime ▁lending ▁that ▁works ▁because ▁in ▁order ▁to ▁qualify ▁for ▁a ▁mortgage ▁the ▁residents ▁have ▁to ▁have ▁successfully ▁repaid ▁three ▁micro - business ▁loans . 

 Where ▁does ▁Munro ’ s ▁capacity ▁to ▁innovate ▁and ▁defy ▁conventional ▁wisdom ▁in ▁the ▁micro finance ▁field ▁come ▁from ? ▁It ▁started ▁ 2 0 ▁years ▁ago ▁when ▁she ▁and"
receptionist,9631,"6 ▁families ▁moved ▁out ▁of ▁the ▁slums ▁and ▁into ▁the ▁newly ▁created ▁Kap uti ei ▁town ▁with ▁nearly ▁ 1 , 8 0 0 ▁families ▁to ▁follow . ▁For ▁the ▁same ▁monthly ▁mortgage ▁they ▁had ▁paid ▁for ▁their ▁one - room ▁sha cks , ▁each ▁family ▁now ▁lives ▁in ▁a ▁home ▁with ▁two ▁bedrooms , ▁a ▁bath , ▁a ▁kitchen ▁and ▁a ▁living ▁room . ▁But ▁this ▁is ▁ultra ▁sub - prime ▁lending ▁that ▁works ▁because ▁in ▁order ▁to ▁qualify ▁for ▁a ▁mortgage ▁the ▁residents ▁have ▁to ▁have ▁successfully ▁repaid ▁three ▁micro - business ▁loans . 

 Where ▁does ▁Munro ’ s ▁capacity ▁to ▁innovate ▁and ▁defy ▁conventional ▁wisdom ▁in ▁the ▁micro finance ▁field ▁come ▁from ? ▁It ▁started ▁ 2 0 ▁years ▁ago ▁when ▁she ▁and"
receptionist,9631,"public - web auth n /""> public - web auth n @ w 3 . org ▁archives </ a >. 
 ▁▁ </ p > 
 ▁▁ < p > 
 ▁▁▁▁ Publication ▁as ▁an ▁Editors ' ▁Draft ▁does ▁not ▁imply ▁endorsement ▁by ▁the 
 ▁▁▁▁ < abbr ▁title ="" World ▁Wide ▁Web ▁Consortium ""> W 3 C </ abbr > ▁Membership . ▁This ▁is ▁a ▁draft ▁document ▁and ▁may 
 ▁▁▁▁ be ▁updated , ▁replaced ▁or ▁ob so leted ▁by ▁other ▁documents ▁at ▁any ▁time . ▁It ▁is ▁inappropriate ▁to ▁cite 
 ▁▁▁▁ this ▁document ▁as ▁other ▁than ▁work ▁in ▁progress . 
 ▁▁ </ p > 
 ▁▁ < p > 
 ▁▁▁▁ This ▁document ▁was ▁produced ▁by ▁a ▁group ▁operating ▁under ▁the 
 ▁▁▁▁"
receptionist,9631,"public - web auth n /""> public - web auth n @ w 3 . org ▁archives </ a >. 
 ▁▁ </ p > 
 ▁▁ < p > 
 ▁▁▁▁ Publication ▁as ▁an ▁Editors ' ▁Draft ▁does ▁not ▁imply ▁endorsement ▁by ▁the 
 ▁▁▁▁ < abbr ▁title ="" World ▁Wide ▁Web ▁Consortium ""> W 3 C </ abbr > ▁Membership . ▁This ▁is ▁a ▁draft ▁document ▁and ▁may 
 ▁▁▁▁ be ▁updated , ▁replaced ▁or ▁ob so leted ▁by ▁other ▁documents ▁at ▁any ▁time . ▁It ▁is ▁inappropriate ▁to ▁cite 
 ▁▁▁▁ this ▁document ▁as ▁other ▁than ▁work ▁in ▁progress . 
 ▁▁ </ p > 
 ▁▁ < p > 
 ▁▁▁▁ This ▁document ▁was ▁produced ▁by ▁a ▁group ▁operating ▁under ▁the 
 ▁▁▁▁"
receptionist,9631,"in ▁this ▁day ▁and ▁age ▁how ▁come ▁we ▁don ' t ▁see ▁laptops ▁carry ▁a ▁physical ▁on / off 
 switch ▁for ▁the ▁microphone ▁and ▁camera ? 

 ~~~ 
 Shan ea 9 3 
 This ▁is ▁the ▁day ▁and ▁age ▁of ▁removing ▁headphone ▁jacks ▁to ▁make ▁a ▁phone ▁slim mer , 
 taking ▁away ▁your ▁disk ▁drive , ▁etc . ▁Most ▁companies ▁care ▁more ▁about ▁aesthetics 
 than ▁functionality ▁at ▁this ▁point . 

 ~~~ 
 oj ii 
 can ▁I ▁have ▁a ▁laptop ▁without ▁a ▁webcam / integrated ▁mic ▁then ? 

 ~~~ 
 so yl ent cola 
 How ▁courageous ▁of ▁you ! 

 ------ 
 aw es omer obot 
 Also ▁remove ▁your ▁microphone ▁and ▁don ' t ▁use ▁a ▁keyboard ? ▁If"
receptionist,9631,"in ▁this ▁day ▁and ▁age ▁how ▁come ▁we ▁don ' t ▁see ▁laptops ▁carry ▁a ▁physical ▁on / off 
 switch ▁for ▁the ▁microphone ▁and ▁camera ? 

 ~~~ 
 Shan ea 9 3 
 This ▁is ▁the ▁day ▁and ▁age ▁of ▁removing ▁headphone ▁jacks ▁to ▁make ▁a ▁phone ▁slim mer , 
 taking ▁away ▁your ▁disk ▁drive , ▁etc . ▁Most ▁companies ▁care ▁more ▁about ▁aesthetics 
 than ▁functionality ▁at ▁this ▁point . 

 ~~~ 
 oj ii 
 can ▁I ▁have ▁a ▁laptop ▁without ▁a ▁webcam / integrated ▁mic ▁then ? 

 ~~~ 
 so yl ent cola 
 How ▁courageous ▁of ▁you ! 

 ------ 
 aw es omer obot 
 Also ▁remove ▁your ▁microphone ▁and ▁don ' t ▁use ▁a ▁keyboard ? ▁If"
receptionist,9631,"▁heading ▁toward ▁full ▁implementation , ▁and ▁employers ▁everywhere ▁are ▁screaming ▁for ▁an ▁end ▁to ▁runaway ▁healthcare ▁spending . ▁Pay ers ▁are ▁looking ▁harder ▁than ▁ever ▁to ▁find ▁ways ▁to ▁cut ▁out ▁waste ▁in ▁the ▁system . ▁Life ▁science ▁investors ▁now ▁increasingly ▁want ▁to ▁know ▁how ▁the ▁new ▁products ▁in ▁the ▁pipeline ▁of ▁today ▁will ▁thrive ▁in ▁the ▁cost - constrained ▁environment ▁of ▁tomorrow . 

 How ▁is ▁your ▁biotech ▁company ▁adapting ▁to ▁the ▁new ▁reality ? ▁This ▁is ▁one ▁of ▁the ▁big ▁questions ▁every ▁life ▁sciences ▁company ▁needs ▁to ▁be ▁thinking ▁about . ▁So ▁I ’ m ▁excited ▁to ▁pull ▁together ▁a ▁stellar ▁lineup ▁of ▁speakers ▁to ▁discuss ▁this ▁trend ▁at ▁the ▁next ▁big ▁X conom y ▁event —“ Bio tech ▁in ▁the ▁Belt - Tight ening"
receptionist,9631,"▁Diamond , ▁Rey 

 2 0 2 0 

 Diamond , ▁Rey 

 This ▁is ▁an ▁open ▁access ▁article ▁distributed ▁under ▁the ▁terms ▁of ▁the 

 Creative ▁Commons ▁Attribution ▁License 

 , ▁which ▁permits ▁unrestricted ▁use , ▁distribution , ▁and ▁reproduction ▁in ▁any ▁medium , ▁provided ▁the ▁original ▁author ▁and ▁source ▁are ▁credited . 

 2 5 ▁Feb ▁ 2 0 2 0 

 Dear ▁Dr . ▁Gong , 

 Thank ▁you ▁very ▁much ▁for ▁submitting ▁your ▁manuscript ▁\"" A ▁conformation - based ▁intra - molecular ▁initiation ▁factor ▁identified ▁in ▁the ▁fla vi virus ▁RNA - dependent ▁RNA ▁polymerase \"" ▁for ▁consideration ▁at ▁PLOS ▁Patho gens . ▁As ▁with ▁all ▁papers ▁reviewed ▁by ▁the ▁journal , ▁your ▁manuscript ▁was ▁reviewed ▁by ▁members ▁of ▁the ▁editorial ▁board ▁and"
receptionist,9631,"▁Diamond , ▁Rey 

 2 0 2 0 

 Diamond , ▁Rey 

 This ▁is ▁an ▁open ▁access ▁article ▁distributed ▁under ▁the ▁terms ▁of ▁the 

 Creative ▁Commons ▁Attribution ▁License 

 , ▁which ▁permits ▁unrestricted ▁use , ▁distribution , ▁and ▁reproduction ▁in ▁any ▁medium , ▁provided ▁the ▁original ▁author ▁and ▁source ▁are ▁credited . 

 2 5 ▁Feb ▁ 2 0 2 0 

 Dear ▁Dr . ▁Gong , 

 Thank ▁you ▁very ▁much ▁for ▁submitting ▁your ▁manuscript ▁\"" A ▁conformation - based ▁intra - molecular ▁initiation ▁factor ▁identified ▁in ▁the ▁fla vi virus ▁RNA - dependent ▁RNA ▁polymerase \"" ▁for ▁consideration ▁at ▁PLOS ▁Patho gens . ▁As ▁with ▁all ▁papers ▁reviewed ▁by ▁the ▁journal , ▁your ▁manuscript ▁was ▁reviewed ▁by ▁members ▁of ▁the ▁editorial ▁board ▁and"
