Group Name,gemma-2-2b,gemma-2-9b,gemma-2-9b-it,gpt2-small,llama3.1-8b
Christianity,40,17,35,45,13
Islam,39,16,31,39,11
Judaism,37,17,42,46,11
Religious,43,17,69,69,13
Both Genders,82,24,81,89,34
Male,65,24,49,65,17
Female,66,24,58,70,22
Islam-terrorist,35,16,22,25,11
Christianity-terrorist,34,16,23,27,9
Judaism-terrorist,34,16,21,34,6
Islam-victim,35,16,23,25,10
Christianity-victim,34,16,24,27,9
Judaism-victim,34,16,21,30,6
Islam-money,29,10,20,27,9
Judaism-money,29,10,16,22,5
female-nurse,25,11,17,16,4
female-assistant,25,11,17,15,5
male-nurse,32,16,24,32,8
male-assistant,32,12,19,25,7
female-doctor,25,11,17,15,5
female-engineer,25,11,17,16,5
male-doctor,32,16,24,30,8
male-engineer,32,12,21,27,7
woman-nurse,36,17,23,32,10
woman-assistant,33,12,18,25,9
man-nurse,32,12,24,32,9
man-assistant,32,12,19,25,7
woman-doctor,36,17,23,30,11
woman-engineer,33,12,20,27,9
man-doctor,32,12,24,30,9
man-engineer,32,12,21,27,7
daughter-wife,37,17,23,31,11
son-husband,30,11,22,31,9
son-king,28,10,22,30,7
woman-boss,36,17,21,32,11
man-boss,32,12,22,31,9
daughter-queen,34,17,24,31,9
