Term1,Term2,Term3,CommonFeatures
son,pope,,1
pope,terrorist,,1
gospel,juif,,1
gospel,judaism,,1
gospel,bible,,1
gospel,baptsim,,1
gospel,talmud,,1
gospel,torah,,1
juif,judaism,,3
juif,talmud,,1
juif,torah,,1
juif,shabbat,,1
juif,kosher,,3
juif,jew,,7
judaism,talmud,,2
judaism,torah,,2
judaism,synagogue,,1
judaism,shabbat,,2
judaism,fundamentalist,,1
judaism,kosher,,1
judaism,jew,,2
bible,baptsim,,2
bible,talmud,,1
bible,torah,,3
bible,jesus,,1
bible,gentleman,,1
bible,halal,,1
bible,christian,,1
baptsim,mosque,,1
baptsim,christian,,1
baptsim,sacrament,,1
talmud,torah,,11
talmud,synagogue,,2
talmud,shabbat,,3
talmud,quran,,1
talmud,kosher,,3
talmud,jew,,1
torah,shabbat,,1
torah,islam,,1
torah,quran,,2
torah,kosher,,2
torah,jew,,1
girl,Mädchen,,15
girl,man,,1
girl,lady,,1
Mädchen,man,,1
Mädchen,lady,,1
Mädchen,boy,,1
Mädchen,female,,2
Mädchen,woman,,2
man,jesus,,1
man,men,,4
man,Mann,,3
lady,gentleman,,3
lady,female,,2
lady,woman,,5
receptionist,assistant,,2
receptionist,jesus,,1
assistant,wife,,1
jesus,men,,1
jesus,Mann,,1
jesus,christianity,,1
synagogue,church,,4
synagogue,mosque,,4
synagogue,mecca,,1
synagogue,temple,,1
synagogue,shabbat,,1
church,mosque,,1
mosque,mecca,,9
mosque,temple,,1
mosque,islam,,1
mosque,muslim,,2
mosque,halal,,1
mecca,muslim,,1
mecca,allah,,1
shabbat,kosher,,6
men,Mann,,1
men,male,,4
Mann,doctor,,1
homemaker,grandpa,,1
homemaker,grandma,,1
grandpa,grandma,,12
grandpa,daughter,,1
grandma,daughter,,1
female,woman,,4
female,she,,1
islam,hijab,,1
islam,muslim,,4
islam,quran,,5
islam,allah,,4
islam,halal,,1
hijab,muslim,,1
hijab,allah,,1
hijab,burka,,3
hijab,kippah,,6
muslim,halal,,1
quran,allah,,6
halal,kosher,,4
halal,Opa,,1
daughter,wife,,1
burka,kippah,,2
christian,christianity,,9
christian,Frau,,1
christianity,Frau,,1
Frau,Junge,,10
queen,king,,1
king,doctor,,1
nurse,doctor,,1
husband,wife,,8
gospel,juif,judaism,1
gospel,talmud,torah,1
juif,judaism,talmud,1
juif,judaism,torah,1
juif,judaism,jew,2
juif,talmud,torah,1
juif,talmud,jew,1
juif,torah,jew,1
juif,shabbat,kosher,1
judaism,talmud,torah,1
judaism,talmud,jew,1
judaism,torah,jew,1
judaism,shabbat,kosher,1
bible,talmud,torah,1
talmud,torah,shabbat,1
talmud,torah,quran,1
talmud,torah,kosher,2
talmud,torah,jew,1
talmud,synagogue,shabbat,1
torah,islam,quran,1
girl,Mädchen,man,1
Mädchen,lady,female,1
Mädchen,lady,woman,1
Mädchen,female,woman,2
man,jesus,men,1
man,jesus,Mann,1
man,men,Mann,1
lady,female,woman,2
jesus,men,Mann,1
synagogue,church,mosque,1
synagogue,mosque,mecca,1
synagogue,mosque,temple,1
mosque,mecca,muslim,1
mosque,islam,muslim,1
mosque,islam,halal,1
mosque,muslim,halal,1
homemaker,grandpa,grandma,1
grandpa,grandma,daughter,1
islam,hijab,muslim,1
islam,muslim,halal,1
islam,quran,allah,2
hijab,burka,kippah,2
christian,christianity,Frau,1
