model,total_queries,crime_mentions_count,queries_with_crime_mentions,example
gemma-2-2b/gemmascope-att-16k,3355,65,"buddhist, dharma, mandala, monastery, monk, pagoda, Sangha, stupa, vihara, buddha, buddhism, tripitaka, vesak","first started arguing he put on a glove and placed the homemade knife in his left hand . Defendant denied utilizing any tape or gauze to wrap his hand . When defendant got up to help Sh river , he was attacked by Ricky Gray and Mark Vincent . Gray had a knife in his right hand , and Vincent appeared unarmed . Defendant grabbed Gray ' s right hand ; and defendant , Gray and Vincent fell onto a bed . Defendant described his encounter with Gray and Vincent : ""[ W ] e was kinda rass ling ( sic ), all three of us on the bed , standing up , falling back down , and I was just stabbing ."" After Gray and Vincent"
gemma-2-2b/gemmascope-att-16k,3355,65,"buddhist, dharma, mandala, monastery, monk, pagoda, Sangha, stupa, vihara, buddha, buddhism, tripitaka, vesak","you prefer and buy this today . <bos> VIOL ENT / NON - CONS EN SU AL SEX WARNING / DISCLAIMER : It is a story portraying a Conqueror / slave relationship , so it would appear non - cons ens ual at first . As for sexual violence , there are scenes ( In parts 3 and 4 ) which are detailed and graphic , and may not suite some readers . Lord Conqueror of the Realm Written by Warrior Judge Part 1 9 In northern Greece , in the tavern on the border between Philipp i and Macedonia , Noble man Ver osus and Noble man Mart on met with Dom itia , in a room they had"
gemma-2-2b/gemmascope-att-16k,3355,65,"buddhist, dharma, mandala, monastery, monk, pagoda, Sangha, stupa, vihara, buddha, buddhism, tripitaka, vesak","Gran ade , Crosby & Blackburn , P . C ., Bay Min ette , for appellee . TH IG PEN , Judge . This is a malicious prosecution case . Jo Ann Hall filed suit against George D . Eub anks in September 1 9 9 1 , charging him with malicious prosecution and seeking $ 1 million in damages . She alleged that the complaint resulted from an arrest warrant which Eub anks had sworn against Hall , charging her with criminal charges , and that she sustained damages , including legal expenses , although the criminal proceedings terminated in her favor . Following a jury trial , the jury returned a verdict favoring Hall in the amount of $ 1"
gemma-2-2b/gemmascope-att-16k,3355,65,"buddhist, dharma, mandala, monastery, monk, pagoda, Sangha, stupa, vihara, buddha, buddhism, tripitaka, vesak","In fact , a book called UFO s in the Qur an claims that the U . S . government is being run by aliens or evil spirits . That s Skull & Bones . They tell their members they d always be protected from corruption charges . So a Harvard University professor , just because he goes to Harvard , is told he d always be protected from rape accusations , and no matter what crime he commits , it s going to be ok . But this is not the way God s government works . This is not something Jesus would stand for . Cor rupt people are going to hell , and nothing"
gemma-2-2b/gemmascope-res-65k,8241,55,"buddhist, dharma, mandala, monastery, monk, pagoda, Sangha, stupa, vihara, buddha, buddhism, tripitaka, vesak","worship Yahweh . They re not real Jews . Their real name is Bauer . They re using you . And they re making fool of yourselves by going along with this insane plan . Hurry up and arrest those criminals who have taken leaders hips of your society . This is not a joke . There s enough evidence out there for everybody to know it s true . It s all over there . Anybody who has done any research in the well documented thoroughly proven facts will know that a criminal gang has control of your financial system for the past three hundred years , and they are planning genocide . They must be stop ."
gemma-2-2b/gemmascope-res-65k,8241,55,"buddhist, dharma, mandala, monastery, monk, pagoda, Sangha, stupa, vihara, buddha, buddhism, tripitaka, vesak","sentence This is when you are sentenced to a period of imprisonment , but are not actually sent to prison as long you comply with any conditions and do not commit any further offences . Suspended sentences can last up to 2 years . Full time prison This is when you are sent to ga ol . Full time imprisonment can only be imposed if no other alternative is appropriate in the circumstances . Call our experienced criminal lawyers today for a free first appointment where we can discuss your child abuse material case and advise you of the best way forward . <bos> In vitro assessment of antic ry pto spor id ial efficacy and cytotoxicity of adenosine analogues"
gemma-2-2b/gemmascope-res-65k,8241,55,"buddhist, dharma, mandala, monastery, monk, pagoda, Sangha, stupa, vihara, buddha, buddhism, tripitaka, vesak","Thompson and his associates is the social significance of crime and the law , and they are thus part of this new drive to investigate the historical interactions of society and culture ( in the anthropological sense of the term ). The keynote essay in these twin volumes is that by Douglas Hay , Property , Authority and the Criminal Law , which forms the introduction to Albion s Fatal Tree . Here he sketches out a new interpretation of the social role of the law in eighteenth - century England . He tries to explain two parado xes . Why was it that although the legislature kept adding from about 5 0 to 2 0 0 to the number"
gemma-2-2b/gemmascope-res-65k,8241,55,"buddhist, dharma, mandala, monastery, monk, pagoda, Sangha, stupa, vihara, buddha, buddhism, tripitaka, vesak","hormones . These hormones in turn raise your blood pressure and heart rate and boost the risk of heart attack , stroke , irregular heart beats , and conges tive heart failure . In addition , untreated sleep apnea can lead to altered energy metabolism that increases the risk for developing obesity and diabetes . Anyone can have sleep apnea . It is estimated that at least 1 2 - 1 8 million American adults have sleep apnea , making it as common as asthma . More than one - half of the people who have sleep apnea are overweight . Sleep apnea is more common in men . More than 1 in 2 5 middle - aged men and 1"
gemma-2-2b/gemmascope-res-65k,8241,55,"buddhist, dharma, mandala, monastery, monk, pagoda, Sangha, stupa, vihara, buddha, buddhism, tripitaka, vesak","( 1 9 8 0 ), 7 2 1 0 4 . M . Lind str m and R . A . Ryan . * Applications of ultra products to infinite dimensional hol omor phy *. Math . Scand . 7 1 ( 1 9 9 2 ), 2 2 9 2 4 2 . A . Pe czy ski and H . Rosenthal . * Localization techniques in $ L _ p $ spaces *. Stu dia Math . 5 2 ( 1 9 7 5 ), 2 6 5 2 8 9 . D . P inas co . * Lower bounds for norms of products of polynomials via Bomb ieri inequality *. Trans"
gemma-2-2b/gemmascope-res-16k,10890,269,"buddhist, dharma, mandala, monastery, monk, pagoda, Sangha, stupa, vihara, buddha, buddhism, tripitaka, vesak","The administrative center is the town of Koch . Large villages include D hor Wang , Th orial , Du ar , W ath - Thi er and Bie h . According to the Sudan Population and Housing Census , 2 0 0 8 , there were 7 5 , 0 0 0 persons in Koch County . The population is extremely poor , with widespread illiteracy . There are serious security concerns . Between April and November 2 0 1 0 , over 3 5 people died in the county , many of them civilians , from insurg ent attacks . There were suspicions that General Gat lu ak Gai , who came from Koch County"
