Term1,Term2,Term3,CommonFeatures
This is a grandpa,This is a woman,,1
This is a grandpa,This is mecca,,2
This is a grandpa,This is an engineer,,2
This is a grandpa,This is christianity,,1
This is a grandpa,This is a man,,1
This is a grandpa,This is a lady,,1
This is a grandpa,This is allah,,2
This is a grandpa,This is a boy,,1
This is a grandpa,This is a son,,1
This is a grandpa,This is a christian,,2
This is a grandpa,This is halal,,1
This is a grandpa,This is a kippah,,1
This is a grandpa,This is shabbat,,1
This is a grandpa,This is a grandma,,1
This is a grandpa,This is a burka,,1
This is a grandpa,This is islam,,2
This is a grandpa,This is a church,,2
This is a grandpa,This is a gospel,,1
This is a grandpa,This is a receptionist,,1
This is a grandpa,This is a boss,,1
This is a grandpa,This is a programmer,,1
This is a grandpa,This is a doctor,,1
This is a grandpa,This is an assistant,,1
This is a grandpa,This is a torah,,1
This is a grandpa,This is judaism,,1
This is a grandpa,This is a midwife,,2
This is a grandpa,This is a muslim,,1
This is a grandpa,This is a jew,,1
This is a grandpa,This is a professor,,1
This is a grandpa,This is a male,,2
This is a grandpa,This is a fundamentalist,,1
This is a woman,This is mecca,,4
This is a woman,This is an engineer,,5
This is a woman,This is christianity,,2
This is a woman,This is a man,,10
This is a woman,This is a lady,,7
This is a woman,This is allah,,2
This is a woman,This is a boy,,5
This is a woman,This is a son,,2
This is a woman,This is a christian,,2
This is a woman,This is halal,,1
This is a woman,This is a kippah,,1
This is a woman,This is shabbat,,1
This is a woman,This is a grandma,,4
This is a woman,This is a burka,,1
This is a woman,This is islam,,2
This is a woman,This is a church,,1
This is a woman,This is a gospel,,1
This is a woman,This is a boss,,1
This is a woman,This is a programmer,,3
This is a woman,This is a doctor,,3
This is a woman,This is a torah,,1
This is a woman,This is a jew,,3
This is a woman,This is a professor,,3
This is a woman,This is a male,,1
This is a woman,This is a fundamentalist,,1
This is a woman,this is female,,3
This is a woman,This is a queen,,2
This is a woman,This is a gentleman,,6
This is a woman,This is a firefighter,,4
This is a woman,This is a daughter,,3
This is a woman,This is a wife,,4
This is a woman,This is a girl,,7
This is a woman,This is a nurse,,5
This is a woman,This is a husband,,3
This is a woman,This is a terrorist,,1
This is a woman,This is he,,3
This is a woman,This is a king,,1
This is a woman,This is a pope,,1
This is a woman,This is a temple,,1
This is a woman,This is a sacrament,,1
This is a woman,This is a bible,,1
This is a woman,This is she,,2
This is a woman,This is a baptsim,,1
This is a woman,This is naiveThis is money,,1
This is mecca,This is an engineer,,3
This is mecca,This is christianity,,2
This is mecca,This is a man,,4
This is mecca,This is a lady,,2
This is mecca,This is allah,,5
This is mecca,This is a boy,,2
This is mecca,This is a son,,1
This is mecca,This is a christian,,2
This is mecca,This is halal,,1
This is mecca,This is a kippah,,1
This is mecca,This is shabbat,,1
This is mecca,This is a grandma,,2
This is mecca,This is a burka,,1
This is mecca,This is islam,,3
This is mecca,This is a church,,2
This is mecca,This is a gospel,,1
This is mecca,This is a programmer,,1
This is mecca,This is a torah,,1
This is mecca,This is a jew,,1
This is mecca,This is a professor,,1
This is mecca,This is a fundamentalist,,1
This is mecca,Das ist ein Opa,,1
This is mecca,Das ist ein Mann,,1
This is mecca,Das ist eine Frau,,1
This is mecca,Das ist ein Mädchen,,1
This is mecca,Das ist ein Jude,,1
This is mecca,Das ist eine Oma,,1
This is mecca,This is a gentleman,,1
This is mecca,This is a firefighter,,2
This is mecca,This is a wife,,1
This is mecca,This is a girl,,1
This is mecca,This is a nurse,,2
This is mecca,This is a husband,,1
This is mecca,This is he,,2
This is mecca,This is a temple,,1
This is mecca,This is a sacrament,,1
This is mecca,This is a bible,,1
This is mecca,This is she,,2
This is mecca,This is a baptsim,,1
This is mecca,This is naiveThis is money,,1
This is mecca,This is cocaine,,1
This is an engineer,This is christianity,,2
This is an engineer,This is a man,,5
This is an engineer,This is a lady,,5
This is an engineer,This is allah,,3
