Term1,Term2,Term3,llama3.1-8b-eleuther_gp,llama-scope,gemma-scope,gpt2sm-apollojt,gpt2sm-rfs-jb,gpt2sm-kk,llama3-8b-it-res-jh
son,daughter,,2,0,0,0,0,2,0
daughter,female,,1,0,0,0,0,0,0
gospel,torah,,1,0,0,1,3,3,2
gospel,quran,,1,0,0,0,1,0,0
gospel,jesus,,2,0,0,0,2,2,5
gospel,baptsim,,2,0,0,1,1,6,8
torah,quran,,3,0,0,2,3,0,0
torah,synagogue,,2,0,0,0,0,1,4
torah,kosher,,5,0,0,2,2,2,3
torah,judaism,,4,0,0,0,0,1,5
torah,talmud,,10,0,0,0,9,0,0
torah,shabbat,,3,0,0,1,3,2,4
torah,bible,,1,0,0,0,4,8,0
quran,islam,,3,0,0,0,0,0,0
quran,halal,,2,0,0,0,2,0,0
quran,allah,,1,0,0,6,8,0,0
quran,burka,,1,0,0,0,0,0,0
quran,bible,,1,0,0,0,2,0,0
jesus,baptsim,,1,0,0,0,0,1,0
jesus,christianity,,2,0,0,1,0,3,0
jesus,bible,,2,0,0,0,0,1,0
baptsim,christian,,2,0,0,1,1,0,0
baptsim,sacrament,,1,0,0,1,2,1,0
girl,Mädchen,,7,4,1,15,8,4,6
girl,boy,,3,0,0,0,0,2,1
girl,female,,1,0,0,0,2,3,0
girl,woman,,1,0,1,0,0,2,5
girl,lady,,1,0,0,1,0,3,7
Mädchen,boy,,1,0,0,1,0,0,0
Mädchen,female,,4,0,0,2,8,15,0
Mädchen,lady,,1,0,0,1,0,9,0
Mädchen,she,,1,0,0,0,1,1,2
boy,male,,2,0,0,0,0,4,8
boy,man,,2,0,0,0,0,5,5
boy,boss,,1,0,0,0,0,2,0
female,woman,,3,0,0,4,0,11,0
female,lady,,3,0,0,0,0,0,0
female,she,,2,0,0,1,0,2,0
woman,lady,,2,0,0,0,9,0,9
lady,gentleman,,2,0,0,3,2,0,1
lady,she,,1,0,0,0,1,0,3
lady,queen,,1,0,0,0,0,0,0
synagogue,mosque,,8,0,2,4,2,2,5
synagogue,mecca,,2,0,0,1,1,0,1
synagogue,temple,,4,0,0,1,1,2,4
synagogue,church,,4,0,0,4,2,1,0
synagogue,kosher,,5,0,0,0,4,3,5
synagogue,kippah,,3,0,0,0,2,4,8
synagogue,judaism,,4,0,0,0,5,4,10
synagogue,talmud,,2,0,0,0,0,0,0
synagogue,shabbat,,3,0,0,1,5,6,0
synagogue,juif,,3,0,0,0,3,5,7
mosque,mecca,,2,0,0,9,0,2,3
mosque,temple,,7,0,0,1,2,0,8
mosque,church,,4,0,0,0,0,0,0
mecca,temple,,2,0,0,0,2,0,0
mecca,muslim,,1,0,0,1,0,1,0
temple,church,,1,0,0,0,0,4,0
church,christian,,1,0,0,0,0,0,0
church,christianity,,1,0,0,0,0,0,0
kosher,kippah,,7,0,0,0,7,8,9
kosher,judaism,,8,0,0,0,0,5,9
kosher,talmud,,4,0,0,0,0,0,0
kosher,shabbat,,9,0,0,0,7,6,0
kosher,juif,,7,1,0,0,7,8,10
kosher,halal,,2,2,3,0,4,7,0
kippah,judaism,,6,0,0,0,0,5,13
kippah,shabbat,,6,0,0,0,2,5,0
kippah,juif,,7,0,0,0,5,11,14
kippah,halal,,2,0,0,0,0,3,0
kippah,burka,,1,0,0,0,3,2,3
kippah,hijab,,2,0,0,0,6,2,0
kippah,jew,,1,0,0,0,4,3,9
judaism,talmud,,3,0,0,2,0,0,0
judaism,shabbat,,7,0,0,2,2,0,0
judaism,juif,,5,0,0,0,11,0,0
talmud,shabbat,,3,0,0,3,4,4,0
shabbat,juif,,6,0,0,0,0,0,9
shabbat,halal,,1,0,0,0,1,1,0
shabbat,jew,,1,0,0,0,0,0,5
juif,halal,,1,0,0,0,2,3,0
juif,jew,,8,0,2,7,10,11,9
juif,Jude,,2,0,0,0,0,0,0
firefighter,professor,,1,0,0,0,0,0,0
men,male,,3,0,0,4,8,14,0
men,man,,3,0,0,0,6,10,0
male,man,,2,0,0,0,0,0,9
man,boss,,1,0,0,0,0,0,0
man,Mann,,1,0,0,3,9,0,0
homemaker,Oma,,1,0,0,0,0,0,0
islam,halal,,3,0,0,1,6,4,0
islam,allah,,3,0,0,4,4,0,0
islam,muslim,,2,0,0,4,2,7,9
muslim,fundamentalist,,1,0,0,0,0,0,0
muslim,burka,,1,0,0,0,0,0,2
muslim,hijab,,1,0,0,0,0,0,0
grandpa,grandma,,12,7,0,12,0,11,0
grandpa,boss,,1,0,0,0,0,0,0
burka,hijab,,4,9,7,0,7,0,0
christian,christianity,,10,0,4,9,0,13,0
queen,king,,4,0,0,1,5,5,5
nurse,doctor,,2,0,0,1,2,0,11
Mann,Frau,,6,0,0,0,1,7,4
Mann,Junge,,5,0,0,0,1,0,4
Frau,Junge,,7,3,0,10,8,0,9
husband,wife,,12,0,0,8,8,10,0
gospel,torah,quran,1,0,0,0,1,0,0
gospel,jesus,baptsim,1,0,0,0,0,1,0
torah,quran,bible,1,0,0,0,1,0,0
torah,synagogue,kosher,1,0,0,0,0,1,3
torah,synagogue,judaism,2,0,0,0,0,0,4
torah,synagogue,talmud,2,0,0,0,0,0,0
torah,synagogue,shabbat,1,0,0,0,0,1,0
torah,kosher,judaism,2,0,0,0,0,1,3
torah,kosher,talmud,4,0,0,0,0,0,0
torah,kosher,shabbat,2,0,0,0,2,2,0
torah,judaism,talmud,3,0,0,0,0,0,0
torah,judaism,shabbat,2,0,0,0,0,0,0
torah,talmud,shabbat,3,0,0,0,2,0,0
quran,islam,halal,1,0,0,0,0,0,0
quran,islam,allah,1,0,0,0,0,0,0
girl,female,woman,1,0,0,0,0,1,0
girl,female,lady,1,0,0,0,0,0,0
girl,woman,lady,1,0,0,0,0,0,4
Mädchen,female,lady,1,0,0,0,0,0,0
Mädchen,female,she,1,0,0,0,0,1,0
Mädchen,lady,she,1,0,0,0,0,0,0
boy,male,man,1,0,0,0,0,0,5
boy,man,boss,1,0,0,0,0,0,0
female,woman,lady,2,0,0,0,0,0,0
female,lady,she,1,0,0,0,0,0,0
synagogue,mosque,mecca,2,0,0,1,0,0,1
synagogue,mosque,temple,4,0,0,1,0,0,4
synagogue,mosque,church,1,0,0,0,0,0,0
synagogue,mecca,temple,1,0,0,0,0,0,0
synagogue,temple,church,1,0,0,0,0,1,0
synagogue,kosher,kippah,3,0,0,0,2,3,5
synagogue,kosher,judaism,3,0,0,0,0,1,5
synagogue,kosher,talmud,1,0,0,0,0,0,0
synagogue,kosher,shabbat,3,0,0,0,3,3,0
synagogue,kosher,juif,3,0,0,0,1,3,5
synagogue,kippah,judaism,2,0,0,0,0,2,8
synagogue,kippah,shabbat,2,0,0,0,1,3,0
synagogue,kippah,juif,2,0,0,0,1,4,7
synagogue,judaism,talmud,2,0,0,0,0,0,0
synagogue,judaism,shabbat,2,0,0,0,2,0,0
synagogue,judaism,juif,1,0,0,0,2,0,0
synagogue,talmud,shabbat,1,0,0,0,0,0,0
synagogue,shabbat,juif,2,0,0,0,0,0,0
mosque,mecca,temple,1,0,0,0,0,0,0
mosque,temple,church,1,0,0,0,0,0,0
church,christian,christianity,1,0,0,0,0,0,0
kosher,kippah,judaism,4,0,0,0,0,3,8
kosher,kippah,shabbat,5,0,0,0,2,5,0
kosher,kippah,juif,5,0,0,0,5,8,9
kosher,kippah,halal,2,0,0,0,0,3,0
kosher,judaism,talmud,1,0,0,0,0,0,0
kosher,judaism,shabbat,5,0,0,0,0,0,0
kosher,judaism,juif,3,0,0,0,0,0,0
kosher,talmud,shabbat,2,0,0,0,0,0,0
kosher,shabbat,juif,5,0,0,0,0,0,0
kosher,shabbat,halal,1,0,0,0,1,1,0
kosher,juif,halal,1,0,0,0,2,3,0
kippah,judaism,shabbat,3,0,0,0,0,0,0
kippah,judaism,juif,5,0,0,0,0,0,0
kippah,shabbat,juif,5,0,0,0,0,0,0
kippah,shabbat,halal,1,0,0,0,0,1,0
kippah,shabbat,jew,1,0,0,0,0,0,0
kippah,juif,halal,1,0,0,0,0,3,0
kippah,burka,hijab,1,0,0,0,3,0,0
judaism,talmud,shabbat,2,0,0,0,0,0,0
judaism,shabbat,juif,3,0,0,0,0,0,0
shabbat,juif,halal,1,0,0,0,0,0,0
men,male,man,1,0,0,0,0,0,0
muslim,burka,hijab,1,0,0,0,0,0,0
Mann,Frau,Junge,4,0,0,0,1,0,4
receptionist,Frau,,0,1,0,0,0,0,0
talmud,torah,,0,8,16,11,0,10,0
juif,judaism,,0,1,0,3,0,10,12
naive,christianity,,0,1,0,0,0,0,0
christianity,christian,,0,2,0,0,13,0,0
burka,sacrament,,0,1,0,0,0,0,0
burka,Opa,,0,1,0,0,0,0,0
burka,kippah,,0,3,1,2,0,0,0
hijab,sacrament,,0,1,0,0,0,0,0
hijab,Opa,,0,1,0,0,0,0,0
hijab,kippah,,0,1,0,6,0,0,0
Opa,boss,,0,1,0,0,0,0,0
kippah,programmer,,0,1,0,0,0,0,0
mosque,quran,,0,1,0,0,0,0,0
woman,Jude,,0,1,0,0,0,0,0
burka,hijab,sacrament,0,1,0,0,0,0,0
burka,hijab,Opa,0,1,0,0,0,0,0
burka,hijab,kippah,0,1,0,0,0,0,0
mosque,jesus,,0,0,1,0,0,0,0
homemaker,islam,,0,0,1,0,0,0,0
halal,engineer,,0,0,1,0,0,0,0
grandpa,allah,,0,0,1,0,0,0,0
church,Mann,,0,0,1,0,0,0,0
doctor,shabbat,,0,0,1,0,0,0,0
pope,quran,,0,0,1,0,0,0,0
lady,Frau,,0,0,1,0,0,0,1
she,assistant,,0,0,1,0,0,0,0
son,pope,,0,0,0,1,0,0,0
pope,terrorist,,0,0,0,1,0,0,0
gospel,juif,,0,0,0,1,0,0,0
gospel,judaism,,0,0,0,1,0,0,0
gospel,bible,,0,0,0,1,1,2,4
gospel,talmud,,0,0,0,1,1,2,0
juif,talmud,,0,0,0,1,0,0,0
juif,torah,,0,0,0,1,0,0,0
juif,shabbat,,0,0,0,1,2,5,0
juif,kosher,,0,0,0,3,0,0,0
judaism,torah,,0,0,0,2,0,0,0
judaism,synagogue,,0,0,0,1,0,0,0
judaism,fundamentalist,,0,0,0,1,0,0,0
judaism,kosher,,0,0,0,1,6,0,0
judaism,jew,,0,0,0,2,9,0,10
bible,baptsim,,0,0,0,2,0,0,0
bible,talmud,,0,0,0,1,0,0,0
bible,torah,,0,0,0,3,0,0,9
bible,jesus,,0,0,0,1,0,0,5
bible,gentleman,,0,0,0,1,0,0,0
bible,halal,,0,0,0,1,0,0,0
bible,christian,,0,0,0,1,0,0,0
baptsim,mosque,,0,0,0,1,0,0,0
talmud,synagogue,,0,0,0,2,4,5,0
talmud,quran,,0,0,0,1,0,0,0
talmud,kosher,,0,0,0,3,2,2,0
talmud,jew,,0,0,0,1,0,3,0
torah,islam,,0,0,0,1,0,1,2
torah,jew,,0,0,0,1,0,0,3
girl,man,,0,0,0,1,0,0,0
Mädchen,man,,0,0,0,1,0,0,0
Mädchen,woman,,0,0,0,2,0,8,0
man,jesus,,0,0,0,1,0,0,0
man,men,,0,0,0,4,0,0,0
lady,female,,0,0,0,2,4,11,0
lady,woman,,0,0,0,5,0,15,0
receptionist,assistant,,0,0,0,2,1,1,0
receptionist,jesus,,0,0,0,1,0,0,0
assistant,wife,,0,0,0,1,0,0,0
jesus,men,,0,0,0,1,0,0,0
jesus,Mann,,0,0,0,1,0,0,0
