model,total_queries,geo_americas_mentions_count,queries_with_geo_americas_mentions,example
gemma-2-2b/gemmascope-att-16k,3190,142,"burka, hijab, mosque, muslim, quran, allah, imam, eid, hajj, halal, islam, mecca, ramadan","Alexander M . Nicholson . However , it is generally accepted that Dr . Walter Guy ton C ady was the first to use a quartz to control the frequency of an oscillator circuit . Nevertheless , Nicholson is still regarded as the inventor of the crystal oscillator . 1 9 1 8 Grocery bag Shopping bags are medium - sized bags , typically around 1 0 2 0 litres ( 2 . 5 to 5 gallons ) in volume , that are often used by grocery shoppers to carry home their purchases . They can be single - use ( disposable ), used for other purposes or designed as reusable shopping bags . The grocery bag with handles was invented in 1"
gemma-2-2b/gemmascope-att-16k,3190,142,"burka, hijab, mosque, muslim, quran, allah, imam, eid, hajj, halal, islam, mecca, ramadan","Roger Moore for effortless charm . The actor was a true American h unk and as the show went on to become more and more popular , all those dynamic running poses with bell bottoms flapping , and the gigantic b ionic leaps that so entr anced impression able viewing youngsters in 1 9 7 0 s playgrounds , were joined by an increasing awareness of Majors sex symbol status for young women -- with the actor often seen sporting un button ed shirts that exposed his copious chest hair at every opportunity from season four onwards ; although the moustache he grew that year was always to be viewed as a big mistake by anyone with even a mod icum of taste !"
gemma-2-2b/gemmascope-att-16k,3190,142,"burka, hijab, mosque, muslim, quran, allah, imam, eid, hajj, halal, islam, mecca, ramadan","F oles ' QB rating is 1 5 2 . 8 . He has thrown 1 9 9 consecutive passes without an interception and his 9 . 6 yards per attempt is first in the league . F oles has the Eagles flying high and helped them halt a 1 0 - game home losing streak with last week ' s 2 4 - 1 6 win over the Washington Red skins . He threw for 2 9 8 yards and did not have a touchdown pass . He didn ' t need to because Le Sean McCoy ran for 7 7 yards and a pair of touchdowns . "" I feel like we '"
gemma-2-2b/gemmascope-att-16k,3190,142,"burka, hijab, mosque, muslim, quran, allah, imam, eid, hajj, halal, islam, mecca, ramadan","F MF and other inflammatory diseases should be aware of these associations . <bos> Meet Dr . Carol Ford Dr . Carol Ford has been working in dentistry for the past 3 0 years . Her unique ability to connect with her patients on a personal level allows her to develop strong relationships and create long - range strategic plans for optimal oral health . Dr . Ford began her career as a dental assistant , during which time she developed a passion for helping people improve their health and quality of life . In 1 9 8 3 , she graduated from the University of Washington Dental School with honors , including Excellence in Pediatric , Rest orative and Cosmetic Dentistry ."
gemma-2-2b/gemmascope-att-16k,3190,142,"burka, hijab, mosque, muslim, quran, allah, imam, eid, hajj, halal, islam, mecca, ramadan","}; <bos> 3 3 7 F . Supp . 1 5 0 ( 1 9 7 2 ) CITY OF NEW YORK , Plaintiff , and Bush Terminal Railroad Users Association , Inc ., et al ., Inter vening Plaintiffs , v . The UNITED STATES of America et al ., Defendants . Civ . No . 7 1 - C - 1 6 3 9 . United States District Court , E . D . New York . January 2 0 , 1 9 7 2 . * 1 5 1 * 1 5 2 Louis Walters , Asst . Corp . Counsel ( J . Lee Rankin , Corp . Counsel for"
gemma-2-2b/gemmascope-res-16k,11475,900,"burka, hijab, mosque, muslim, quran, allah, imam, eid, hajj, halal, islam, mecca, ramadan","to request financial help for the Workers Party and P TB . He says that he doesn ' t consider himself a friend of Val rio . 1 7 August - The Workers Party ( PT ) National Executive Committee issues a request asking the nation ' s forgiveness . It states : "" For the first time the party is asking for the country ' s pardon , for acts practiced by leaders of the party without the knowledge of other party members , acts that in the eyes of the Brazilian nation , were morally and politically condem nable ."" 1 9 August - Bur atti makes an agreement with the authorities and reveals the alleged plan and receipt"
gemma-2-2b/gemmascope-res-16k,11475,900,"burka, hijab, mosque, muslim, quran, allah, imam, eid, hajj, halal, islam, mecca, ramadan","elli , Rog rio Bur atti , Marcelo Jos Ro vai , and Carlos Augusto de Almeida Ramos ( Car lin hos Cach oe ira ) exchange insults and accusations . 6 October - Bruno Jos Daniel Filho , younger brother of Cel so Daniel , tells the Bingo CPI that the President ' s cabinet chief Gilberto Carvalho was aware of the alleged corruption scheme in the municipality of Santo Andr . 1 1 October - Lula ' s former minister Ricardo Ber zo ini is elected president of the Workers Party . 1 2 October - The medical examiner responsible for examining the body of Cel so Daniel , Carlos Del monte Print es ( 5 5 ), is found dead in"
gemma-2-2b/gemmascope-res-16k,11475,900,"burka, hijab, mosque, muslim, quran, allah, imam, eid, hajj, halal, islam, mecca, ramadan","initiates legal action against Jos Dir ceu for alleged impropri ety . Documents brought forward by the Attorney General ' s office indicate that between 2 0 0 3 and 2 0 0 4 Dir ceu organized a special privileged structure for granting federal money for his son , the mayor of Cru zeiro do Oeste ( Paran ), Jos Carlos Becker de Oliveira ( aka Z eca Dir ceu ). 2 9 October Vladimir Pole to and Roger io Bur atti , two former advisers to Finance Minister Antonio Pal oc ci , are quoted in the Brazilian magazine Veja claiming that Cuban funds were used to support the political campaign of Luiz In cio Lula da Silva in 2"
gemma-2-2b/gemmascope-res-16k,11475,900,"burka, hijab, mosque, muslim, quran, allah, imam, eid, hajj, halal, islam, mecca, ramadan","This is notably different behaviour to what happens outside the flex box model , where the child of a fixed height / width container may have it content clipped , but it will retain the necessary size to hold its content . Part of the content will merely be hidden . Here , the flex item really is being ( potentially ) resized to be smaller than its content , which has quite important implications ( particularly if you want a child element to have a scroll bar for its content ). <bos> National Route 1 0 1 ( Argentina ) National Route 1 0 1 is a national road in the NW of M isiones Province , Argentina ending"
gemma-2-2b/gemmascope-res-16k,11475,900,"burka, hijab, mosque, muslim, quran, allah, imam, eid, hajj, halal, islam, mecca, ramadan","of the Walt Whitman 1 8 5 6 poem "" Poem of the Body "" in his art , and Mann "" borrow ed the idea , using the poem as a template for [ her ] own exploration "". Several pictures from this body of work were highlighted in Aperture Foundation magazine in the summer of 2 0 1 6 . and they also appeared in A Thousand Cross ings . This book and exhibit also introduced a series of photographs of African American historic churches photographed on expired film , and a series of tint ype photographs of a swamp that served as refuge for escaped slaves . Some critics see in Mann ' s work a deep working through of the legacy"
