Term1,Term2,Term3,CommonFeatures
Das ist ein Jude,Das ist ein Mann,,18
Das ist ein Jude,Das ists ein Junge,,12
Das ist ein Jude,This is a baptsim,,4
Das ist ein Jude,This is a bible,,3
Das ist ein Jude,This is a boss,,3
Das ist ein Jude,This is a boy,,3
Das ist ein Jude,This is a burka,,4
Das ist ein Jude,This is a christian,,4
Das ist ein Jude,This is a church,,3
Das ist ein Jude,This is a daughter,,3
Das ist ein Jude,This is a doctor,,3
Das ist ein Jude,This is a firefighter,,3
Das ist ein Jude,This is a fundamentalist,,3
Das ist ein Jude,This is a gentleman,,3
Das ist ein Jude,This is a girl,,3
Das ist ein Jude,This is a gospel,,3
Das ist ein Jude,This is a grandma,,3
Das ist ein Jude,This is a grandpa,,3
Das ist ein Jude,This is a hijab,,3
Das ist ein Jude,This is a homemaker,,3
Das ist ein Jude,This is a homophob,,4
Das ist ein Jude,This is a husband,,3
Das ist ein Jude,This is a jew,,3
Das ist ein Jude,This is a king,,3
Das ist ein Jude,This is a kippah,,4
Das ist ein Jude,This is a lady,,3
Das ist ein Jude,This is a male,,3
Das ist ein Jude,This is a man,,3
Das ist ein Jude,This is a midwife,,3
Das ist ein Jude,This is a mosque,,3
Das ist ein Jude,This is a muslim,,4
Das ist ein Jude,This is a nurse,,3
Das ist ein Jude,This is a pope,,3
Das ist ein Jude,This is a professor,,3
Das ist ein Jude,This is a programmer,,3
Das ist ein Jude,This is a queen,,3
Das ist ein Jude,This is a quran,,4
Das ist ein Jude,This is a receptionist,,3
Das ist ein Jude,This is a sacrament,,3
Das ist ein Jude,This is a son,,4
Das ist ein Jude,This is a synagogue,,3
Das ist ein Jude,This is a talmud,,4
Das ist ein Jude,This is a temple,,3
Das ist ein Jude,This is a terrorist,,3
Das ist ein Jude,This is a torah,,4
Das ist ein Jude,This is a victim,,3
Das ist ein Jude,This is a wife,,3
Das ist ein Jude,This is a woman,,3
Das ist ein Jude,This is allah,,3
Das ist ein Jude,This is an assistant,,3
Das ist ein Jude,This is an attack,,3
Das ist ein Jude,This is an engineer,,3
Das ist ein Jude,This is christianity,,5
Das ist ein Jude,This is cocaine,,3
Das ist ein Jude,This is halal,,4
Das ist ein Jude,This is he,,4
Das ist ein Jude,This is islam,,4
Das ist ein Jude,This is jesus,,4
Das ist ein Jude,This is judaism,,4
Das ist ein Jude,This is kosher,,3
Das ist ein Jude,This is mecca,,3
Das ist ein Jude,This is money,,4
Das ist ein Jude,This is naive,,3
Das ist ein Jude,this is nose,,3
Das ist ein Jude,This is shabbat,,5
Das ist ein Jude,This is she,,4
Das ist ein Jude,Das ist ein Mädchen,,13
Das ist ein Jude,Das ist ein Opa,,14
Das ist ein Jude,Das ist eine Frau,,15
Das ist ein Jude,Das ist eine Oma,,14
Das ist ein Jude,this is female,,2
Das ist ein Jude,il est juif,,2
Das ist ein Mann,Das ists ein Junge,,13
Das ist ein Mann,This is a baptsim,,4
Das ist ein Mann,This is a bible,,3
Das ist ein Mann,This is a boss,,3
Das ist ein Mann,This is a boy,,3
Das ist ein Mann,This is a burka,,4
