model,total_queries,crime_mentions_count,queries_with_crime_mentions,example
gemma-2-2b/gemmascope-att-16k,385,8,"kosher, torah, synagogue, talmud, temple","as a Super max , which contains a Death Row . Lif ers there include Philadelphia serial killer Juan Covington , and three convicts await execution . This is one tough place . We make individual decisions based on facts , Corrections Secretary John Wet zel said in a written statement . Given the high - profile nature of this individual , coupled with the nature of his crimes , this makes him very vulnerable in a prison setting . N oooo kidding , John ! ( We all know from watching TV crime dramas what happens to guys like Jer in da Big House .) Just how effective will the security measures be ? Better be Bio hazard Level"
gemma-2-2b/gemmascope-att-16k,385,8,"kosher, torah, synagogue, talmud, temple","Birmingham did end official segregation ( if not racial violence , as the bombing of the church that forms the center of the W ats ons novel shows . Change happened , even if the results of those actions are still something we continue to reckon with as a country . ( This is for the Slice of Life challenge , hosted by Two Writing Teachers . We write on Tuesdays about the small moments in the larger perspective or is that the larger perspective in the smaller moments ? You write , too .) I was wandering our small city s downtown , a little bit bored and sort of wasting the hour . This is often when our attention to the"
gemma-2-2b/gemmascope-att-16k,385,8,"kosher, torah, synagogue, talmud, temple","as terror ist organisations under the Suppression of Terrorism Act . In a statement to media , Police Information and Communications Officer Assistant Superintendent Kh ul ani M amba said only recognised unions would be allowed to celebrate the Workers Day . He added , Having said this , as a police service , we wish to point out as previously stated , that we will be present at the celebrations for the purpose of making sure that law and order is maintained . However , this is on the premise and understanding that the Labour Day is to be commemor ated by recognised workers unions in the country , M amba"
gemma-2-2b/gemmascope-att-16k,385,8,"kosher, torah, synagogue, talmud, temple","You always open https :// example bank . com , requesting SSL explicitly instead of relying for the website to redirect you . You actually read the SSL error messages instead of blindly clicking Ignore when you open the website . If all of the above are true , HTTPS will warn you that you tried to connect to a fake website . However , HTTPS cannot bypass lower - level re directions ( such as spo ofing example bank . com by DNS or / etc / hosts ), so if you ignore the warnings , your data will be going to the attacker , not to the real bank . To conclude , yes , it ' s dangerous . In"
gemma-2-2b/gemmascope-att-16k,385,8,"kosher, torah, synagogue, talmud, temple","Is there any way to Install . NET and Visual Studio in Ubuntu 2 0 . 0 4 ? A : Unfortunately Visual Studio does not available for Linux . But you really want ' exactly VS - you should try Wine or any Windows VM . But I recommend for you one of the following options : Rider ( Cross platform IDE from Jet Brains ) Visual Studio Code ( Very popular solution for developer on any technology ) Mono Develop Eclipse <bos> IN THE COURT OF CRIMINAL APPEALS OF TEXAS NO . PD - 1 2 4 0 - 1 0 DAVID CEP EDA JONES , Appellant v . THE"
gemma-2-2b/gemmascope-res-65k,4720,121,"kosher, torah, judaism, kippah, shabbat, synagogue, talmud, temple, jew",", and Miami . You must prevent such tragedy . You must arrest these criminals . We know who they are . And I have another thing ; I want to tell the Jewish people : you are a god fearing good people ruled by Satan worship ing gangsters . Okay ? The Israeli flag should have been the menor ah . Instead , you have a sat anic symbol . Okay ? That is a sat anic symbol on your flag that is not a Jewish symbol . Why isn t the menor ah on the Israeli flag ? I tell why , because the Rothschild family , who created Israel , worship Lucifer . They worship Satan . They don t"
gemma-2-2b/gemmascope-res-65k,4720,121,"kosher, torah, judaism, kippah, shabbat, synagogue, talmud, temple, jew","s rulers . The plan sounds identical to Russia s approach to control the 2 0 1 8 presidential election . Israel s military escalation came after DDT decided to please some of his constituents including Vladimir Putin and Israel by withdrawing from the Iranian deal . Russia s economy desperately needs the rubles from the increase in oil prices if Iranian resources aren t available . At the same time , Russia is concerned about Israel s attacks on Iran , but DDT may side with Israel , again separating him from Putin . Perhaps DDT figures that a world war would allow him to declare military law , like in Turkey , so that he can"
gemma-2-2b/gemmascope-res-65k,4720,121,"kosher, torah, judaism, kippah, shabbat, synagogue, talmud, temple, jew","worship Yahweh . They re not real Jews . Their real name is Bauer . They re using you . And they re making fool of yourselves by going along with this insane plan . Hurry up and arrest those criminals who have taken leaders hips of your society . This is not a joke . There s enough evidence out there for everybody to know it s true . It s all over there . Anybody who has done any research in the well documented thoroughly proven facts will know that a criminal gang has control of your financial system for the past three hundred years , and they are planning genocide . They must be stop ."
gemma-2-2b/gemmascope-res-65k,4720,121,"kosher, torah, judaism, kippah, shabbat, synagogue, talmud, temple, jew",", out posts of enlightenment , and the supernatural . Andre listens graciously to the attack . Both leave the dinner uncon vinced of the others views , but rewarded by the debate . Like philosophy itself , this movie is for selective audiences , which the filmmakers themselves clearly understood . The format of My Dinner with Andre has influenced two other philosophical movies . In The Quar rel ( 1 9 9 1 ), a conservative and a liberal Jew discuss the moral implications of the Nazi Holocaust . In Mind Walk ( 1 9 9 1 ), a poet , politician and physicist discuss the relation between quantum physics and environmental ism . The specific stories"
gemma-2-2b/gemmascope-res-65k,4720,121,"kosher, torah, judaism, kippah, shabbat, synagogue, talmud, temple, jew","Authorities searched a premises in Portsmouth and found crack cocaine , money , digital scales , and a pistol . They arrested the two occupants of the residence , Mc Doug ald and Kendra White , at the scene . Subsequently , the S cio to County Grand Jury returned an indictment charging Mc Doug ald with drug possession , drug trafficking , possession of criminal tools , and the possession of a firearm while under disability . Mc Doug ald pleaded not guilty to all charges . { 5 } At the jury trial Kendra White testified that Mc Doug ald used her home to sell crack cocaine and that she sold drugs on his"
