Term1,Term2,Term3,llama3.1-8b-eleuther_gp,llama-scope,gemma-scope,gpt2sm-apollojt,gpt2sm-rfs-jb,gpt2sm-kk,llama3-8b-it-res-jh
son,daughter,,3,0,0,3,0,2,0
son,king,,1,0,0,0,0,0,0
daughter,woman,,1,0,0,0,0,0,0
daughter,husband,,4,0,3,0,0,0,0
daughter,wife,,5,0,4,1,0,0,0
king,bible,,2,0,0,0,0,0,0
king,queen,,6,0,0,0,0,0,0
teacher,nurse,,1,0,0,0,0,0,0
girl,boy,,8,4,5,3,3,5,0
girl,female,,1,1,0,0,0,0,0
girl,lady,,1,0,3,0,0,0,0
girl,woman,,3,0,4,0,0,0,0
girl,men,,1,0,0,0,0,0,0
boy,lady,,2,0,2,0,0,0,0
boy,woman,,1,0,1,0,0,1,0
female,male,,1,0,0,1,0,0,0
lady,woman,,2,0,0,0,0,0,0
woman,husband,,1,0,0,0,0,0,0
woman,wife,,2,0,0,0,0,0,0
men,christian,,1,0,0,0,0,0,0
men,christianity,,1,0,0,0,0,0,0
men,male,,1,0,1,0,1,0,0
synagogue,mosque,,3,0,4,0,0,0,0
mosque,temple,,1,0,0,1,0,0,0
christian,christianity,,16,11,15,12,16,13,2
christian,church,,1,0,0,0,0,0,0
christian,jesus,,1,1,1,0,0,1,0
christian,bible,,1,0,0,1,0,0,0
christianity,church,,2,0,0,0,0,0,0
christianity,jesus,,1,1,0,0,0,1,0
christianity,bible,,2,0,0,1,0,1,0
islam,muslim,,4,1,1,2,4,0,1
islam,allah,,1,0,1,1,1,0,0
muslim,fundamentalist,,1,0,0,0,0,0,0
muslim,jew,,1,0,0,0,0,0,0
allah,jesus,,1,0,0,0,0,0,0
allah,quran,,1,0,0,1,0,0,0
fundamentalist,jew,,1,0,0,0,0,0,0
jew,Jude,,1,0,0,0,0,0,0
jew,judaism,,2,0,2,0,1,0,0
church,pope,,2,0,0,0,0,1,0
church,jesus,,1,0,0,0,1,6,0
bible,torah,,1,0,0,0,0,0,0
bible,quran,,1,0,2,0,0,0,0
husband,wife,,14,6,14,1,0,1,0
torah,quran,,1,0,1,0,2,0,0
torah,shabbat,,1,0,0,0,0,0,0
Jude,judaism,,3,0,1,0,0,0,0
daughter,husband,wife,4,0,3,0,0,0,0
girl,boy,lady,1,0,2,0,0,0,0
girl,boy,woman,1,0,1,0,0,0,0
woman,husband,wife,1,0,0,0,0,0,0
men,christian,christianity,1,0,0,0,0,0,0
christian,christianity,church,1,0,0,0,0,0,0
christian,christianity,jesus,1,1,0,0,0,1,0
christian,christianity,bible,1,0,0,1,0,0,0
christian,church,jesus,1,0,0,0,0,0,0
christianity,church,jesus,1,0,0,0,0,0,0
muslim,fundamentalist,jew,1,0,0,0,0,0,0
bible,torah,quran,1,0,0,0,0,0,0
boy,men,,0,2,0,0,0,0,0
islam,mosque,,0,1,0,0,0,0,0
male,doctor,,0,1,0,0,0,0,0
christian,judaism,,0,2,0,0,0,0,0
christian,husband,,0,1,0,0,0,0,0
boy,male,,0,0,1,1,1,1,0
lady,gentleman,,0,0,2,0,0,0,0
lady,king,,0,0,1,0,0,0,0
woman,daughter,,0,0,1,0,0,0,0
synagogue,shabbat,,0,0,1,0,0,0,0
mosque,allah,,0,0,1,0,0,0,0
mosque,muslim,,0,0,1,2,0,0,0
shabbat,kosher,,0,0,2,0,0,0,0
shabbat,torah,,0,0,2,0,0,0,0
homophob,kosher,,0,0,1,0,0,0,0
kosher,torah,,0,0,2,0,0,0,0
kosher,halal,,0,0,2,0,0,0,0
kosher,jew,,0,0,1,0,0,0,0
islam,christian,,0,0,1,0,0,1,0
islam,torah,,0,0,1,0,0,0,0
christian,torah,,0,0,1,0,0,0,0
christian,muslim,,0,0,1,0,0,0,0
torah,muslim,,0,0,1,0,0,0,0
torah,jew,,0,0,1,0,0,0,0
torah,bible,,0,0,3,0,0,0,0
grandpa,grandma,,0,0,6,0,0,0,0
grandpa,pope,,0,0,1,0,0,0,0
grandma,daughter,,0,0,1,0,0,0,0
pope,church,,0,0,1,2,0,0,0
Opa,Oma,,0,0,1,0,0,0,0
queen,king,,0,0,5,0,0,0,0
queen,doctor,,0,0,1,0,0,0,0
queen,boss,,0,0,1,0,0,0,0
doctor,boss,,0,0,1,0,0,0,0
doctor,nurse,,0,0,1,0,0,0,0
