query_term,latent_feature_number,activation_tokens
synagogue,56153,"▁Founded ▁by ▁Rabbi ▁Harold ▁M . ▁Schul weis , ▁the ▁legendary ▁Conservative ▁leader ▁of ▁Valley ▁Beth ▁Shalom ▁in ▁En cino , ▁Jewish ▁World ▁Watch ▁has ▁developed ▁various ▁programs , ▁like ▁its ▁solar"
synagogue,56153,"
 Beth ▁Av raham ▁Yose ph ▁of ▁Toronto ▁Congregation ▁shows ▁Follow ▁Me : ▁The ▁Y oni ▁Netanyahu ▁Story . ▁As af ▁Z ohar , ▁who ▁served ▁in ▁Netanyahu ’ s ▁IDF ▁unit"
synagogue,56153,"▁El , ▁ 8 0 9 ▁S . ▁ 1 1 th ▁Ave ., ▁at ▁ 6 ▁p . m . ▁Friday . ▁People ▁should ▁bring ▁drinks ▁and ▁desserts . ▁The ▁event"
synagogue,56153,"<bos> ▁synag ogues ▁and ▁their ▁respective ▁communities . 
 Please ▁let ▁me ▁know ▁if ▁you ▁have ▁any ▁questions ▁or ▁comments . 
 David ▁M . ▁Dickerson 
 P oy ln : ▁Land"
synagogue,56153,"▁and ▁Nancy . ▁In ▁lieu ▁of ▁flowers , ▁please ▁send ▁donations ▁to ▁Hospice ▁o Margaret ▁Mary ▁"" Peg "" ▁( Brown ) ▁Harvey 
 Margaret ▁Mary ▁"" Peg "" ▁( Brown )"
synagogue,56153,"▁now ▁Orthodox ▁Jews . ▁Here , ▁a ▁boy ▁reaches ▁out ▁to ▁the ▁ 1 2 0 - year - old ▁Torah ▁that ▁was ▁written ▁in ▁Amsterdam ▁and ▁acquired ▁by ▁the ▁community ▁five"
synagogue,56153,"▁sure ▁you ▁are ▁aware , ▁that ▁you ▁and ▁your ▁entire ▁class ▁at ▁Stern ▁would ▁be ▁considered ▁par ia hs ▁and ▁aberrations ▁in ▁idyllic ▁Cha redi ▁so ce ity . Just ▁last ▁Sha"
synagogue,56153,". ▁Individuals ▁may ▁not ▁fund raise ▁for ▁candidates ▁at ▁the ▁congregation ▁( except ▁in 
 compliance ▁with ▁the ▁guidelines ▁in ▁the ▁next ▁section ), ▁or ▁use ▁congreg ational ▁letter head ▁or ▁other"
synagogue,56153,"▁carriers , ▁about ▁ 1 5 0 , 0 0 0 ▁are ▁Jewish , ▁mostly ▁Ash ken azi . ▁Other ▁ethnic ▁groups , ▁such ▁as ▁French ▁Canadians ▁and ▁Filipinas , ▁also ▁have"
synagogue,56153,"▁Jews ▁live ▁here , ▁spread ▁across ▁six ▁cities . ▁Michael ▁Freund ▁directs ▁Sha vei ▁Israel , ▁a ▁group ▁in ▁Jerusalem ▁that ▁helps ▁hidden ▁Jewish ▁communities , ▁like ▁the ▁one ▁here ▁in ▁Bello"
synagogue,56153,"▁five ▁men , ▁including ▁Mendel ▁Epstein ▁of ▁Brooklyn , ▁the ▁accused ▁r ingle ader ; ▁accused ▁are ▁charged ▁with ▁tort uring ▁husbands ▁so ▁that ▁they ▁would ▁agree ▁to ▁grant ▁divor ces ,"
synagogue,56153,"▁or ▁anything .” 
 Project ▁Downtown ▁is ▁one ▁of ▁several ▁outreach ▁efforts ▁sponsored ▁by ▁the ▁Muslim ▁community ▁of ▁Florida . ▁Its ▁funding ▁comes ▁from ▁other ▁Muslim ▁groups ▁in ▁the ▁state , ▁including"
synagogue,56153,"▁there ▁was ▁certainly ▁communal ▁mourning ▁round ▁a ▁synagogue ▁( Mark ▁ 5 : ▁ 3 8 ), ▁and ▁Matt . ▁( 9 : ▁ 2 3 ) ▁adds ▁the ▁detail ▁that ▁there"
synagogue,56153,"<bos> ' s ▁events ▁have ▁focus ▁and ▁meaning . ▁It ' s ▁Veterans ▁Day . 
 Stephen ▁Lang ▁brings ▁his ▁one - man ▁"" Beyond ▁Glory "" ▁to ▁the ▁Marcus ▁Center ▁for"
synagogue,56153,", ▁as ▁are ▁many ▁evangelical ▁churches , ▁yet ▁the ▁churches ▁are ▁empty . 
 And ▁in ▁those ▁evangelical ▁churches , ▁a ▁significant ▁percentage ▁of ▁the ▁congregation ▁is ▁former ▁Catholics ▁who ▁left ▁the"
synagogue,56153,"▁Pal ter ▁on ▁Edmonton ▁is ▁an ▁apple ▁and ▁Calgary ▁is ▁an ▁orange 
 E FM F 
 EPC OR 
 Reform ▁Jud asim 
 stay - at - home - dad 
"
synagogue,56153,"▁late ▁for ▁Orthodox ▁Torah ▁scholars ▁to ▁provide ▁it . ▁My ▁fervent ▁hope ▁is ▁that ▁a ▁resolution ▁of ▁the ▁crisis ▁will ▁come ▁speedily , ▁with ▁those ▁in ▁authority ▁affirming ▁Torah  s ▁message"
