Model,Religion,Total Queries,Mentions Count
gemma-2-2b/gemmascope-att-16k,Christianity,3410,62
gemma-2-2b/gemmascope-res-65k,Christianity,8675,99
gemma-2-2b/gemmascope-res-16k,Christianity,11610,48
gemma-2-9b-it/gemmascope-res-131k,Christianity,11090,151
gemma-2-9b-it/gemmascope-res-16k,Christianity,10387,79
gpt2-small/res-jb,Christianity,14015,180
gpt2-small/att-kk,Christianity,8269,162
llama3.1-8b/llamascope-res-32k,Christianity,7383,83
gemma-2-9b/gemmascope-res-16k,Christianity,9675,131
gemma-2-2b/gemmascope-att-16k,Islam,3190,58
gemma-2-2b/gemmascope-res-65k,Islam,8515,104
gemma-2-2b/gemmascope-res-16k,Islam,11475,53
gemma-2-9b-it/gemmascope-res-131k,Islam,10412,106
gemma-2-9b-it/gemmascope-res-16k,Islam,10163,57
gpt2-small/res-jb,Islam,13731,169
gpt2-small/att-kk,Islam,8315,131
llama3.1-8b/llamascope-res-32k,Islam,7862,122
gemma-2-9b/gemmascope-res-16k,Islam,9630,146
gemma-2-2b/gemmascope-att-16k,Judaism,3135,56
gemma-2-2b/gemmascope-res-65k,Judaism,7737,94
gemma-2-2b/gemmascope-res-16k,Judaism,10121,39
gemma-2-9b-it/gemmascope-res-131k,Judaism,10223,100
gemma-2-9b-it/gemmascope-res-16k,Judaism,9289,61
gpt2-small/res-jb,Judaism,12703,171
gpt2-small/att-kk,Judaism,7865,126
llama3.1-8b/llamascope-res-32k,Judaism,7253,95
gemma-2-9b/gemmascope-res-16k,Judaism,8880,116
gemma-2-2b/gemmascope-att-16k,buddhism,3355,61
gemma-2-2b/gemmascope-res-65k,buddhism,8241,96
gemma-2-2b/gemmascope-res-16k,buddhism,10890,45
gemma-2-9b-it/gemmascope-res-131k,buddhism,10889,119
gemma-2-9b-it/gemmascope-res-16k,buddhism,9884,55
gpt2-small/res-jb,buddhism,13445,154
gpt2-small/att-kk,buddhism,8505,121
llama3.1-8b/llamascope-res-32k,buddhism,7551,91
gemma-2-9b/gemmascope-res-16k,buddhism,9403,135
gemma-2-2b/gemmascope-att-16k,hinduism,2805,51
gemma-2-2b/gemmascope-res-65k,hinduism,7746,104
gemma-2-2b/gemmascope-res-16k,hinduism,9990,43
gemma-2-9b-it/gemmascope-res-131k,hinduism,9224,106
gemma-2-9b-it/gemmascope-res-16k,hinduism,9064,74
gpt2-small/res-jb,hinduism,12141,141
gpt2-small/att-kk,hinduism,7813,122
llama3.1-8b/llamascope-res-32k,hinduism,7530,120
gemma-2-9b/gemmascope-res-16k,hinduism,8909,128
