model,total_queries,geo_asia_mentions_count,queries_with_geo_asia_mentions,example
gemma-2-2b/gemmascope-att-16k,3135,94,"mitzvah, jew, kippah, menorah, rabbi, synagogue, talmud, torah, hanukkah, judaism, kosher, shabbat","First , I did not use D rane v . State , 4 5 5 S . E . 2 d 2 7 ( Ga . 1 9 9 5 ), because the Georgia Supreme Court found that the trial court may have improperly excluded the co - defendant ' s confession in which the co - defendant took major responsibility for the killing and reversed the conviction . See id . at 3 0 . Although this evidence was admitted at the sentencing phase , the failure to admit it at the guilt phase could have undermined the validity of the jury ' s verdict at the guilt phase . The second case I excluded was Potts v . State"
gemma-2-2b/gemmascope-att-16k,3135,94,"mitzvah, jew, kippah, menorah, rabbi, synagogue, talmud, torah, hanukkah, judaism, kosher, shabbat","no use crying "" <bos> M align ant lympho - epithe lial lesion of the salivary gland : a case report and review of the literature . M align ant lympho - epithe lial lesion of the salivary gland is an und ifferentiated squamous cell carcinoma which is associated with a prominent lymphocyte - rich stro ma . This study reviews the current literature pertaining to this rare tumour with reference to the single recorded case of malignant lympho - epithe lial lesion of the salivary gland presenting in Auckland , New Zealand . This 2 6 year old Caucasian male developed a rapidly growing lesion in the right paro tid gland and multiple ips ilateral cervical lymph nodes . Treatment consisted of surgery and"
gemma-2-2b/gemmascope-att-16k,3135,94,"mitzvah, jew, kippah, menorah, rabbi, synagogue, talmud, torah, hanukkah, judaism, kosher, shabbat","ary power for space probes and satellites <bos> Prevalence of var ico co ele and its association with body mass index among 3 9 , 5 5 9 rural men in eastern China : a population - based cross - sectional study . Var ico co ele is a common cause of male infertility . We undertook a population - based cross - sectional study to evaluate the prevalence of var ico co ele among rural men in eastern China and its association with body mass index . A total of 3 9 , 5 5 9 rural men in six counties in Beijing , Guangdong and Shandong provinces were recruited from 2 0 1 1 to 2 0 1 2 ."
gemma-2-2b/gemmascope-att-16k,3135,94,"mitzvah, jew, kippah, menorah, rabbi, synagogue, talmud, torah, hanukkah, judaism, kosher, shabbat","datab ank code in order to eliminate all US and European corporate source code containing cookies , tags , metadata , back door elements ( among st other elements ). Since Monday morning , Art price is one of the very few Western companies to possess a WeChat profile reserved for companies operating under Chinese law . WeChat is used by more than 1 . 8 billion Chinese Internet users around the world . The statistics concerning China are eye - watering : a population of over 1 . 4 billion people , 5 times that of the United States , a GDP growth of 6 . 5 % this year and , regarding specifically Art price , a colossal art"
gemma-2-2b/gemmascope-att-16k,3135,94,"mitzvah, jew, kippah, menorah, rabbi, synagogue, talmud, torah, hanukkah, judaism, kosher, shabbat","Gibbs and Oh shima \[ [@ B 4 3 - viruses - 1 2 - 0 0 1 3 2 ] \] suggested that the divergence giving rise to the proto - pot y virus and proto - ry mo virus is likely to have occurred in an infected Eurasian mono cot . This conclusion was based on the fact that the primary hosts ( i . e ., the host from which they were first isolated ) of all three ry mo viruses are all Eurasian mono cots ; * Ag ropy ron * ( E ura sian ; < https :// en . wikipedia . org / wiki / Ag ropy ron > ( accessed 3 0 October 2 0 1 9"
gemma-2-2b/gemmascope-res-65k,7737,273,"mitzvah, jew, kippah, menorah, rabbi, synagogue, talmud, torah, hanukkah, judaism, kosher, shabbat","internet and requested help . "" This is how Ahmed got the funding and now you can see him smiling ,"" said Wal id M . Al bak ili , another doctor and research fellow in charge of Gulf and Arab region . life ."" "" I have already missed my school for six months and am eager to get back soon ,"" said the 1 4 - year - old who wishes to see Taj Mahal before leaving Delhi for his homeland . Pran av Kumar said that the boy is now almost fit and in two weeks he will be ready to leave for Iraq . <bos> Dop am inergic inhibition of gonad otropic release in hibern ating frogs , Rana"
gemma-2-2b/gemmascope-res-65k,7737,273,"mitzvah, jew, kippah, menorah, rabbi, synagogue, talmud, torah, hanukkah, judaism, kosher, shabbat",". And this is a chance for the Japanese and Korean people who are cousins if not brothers to have friendly and prosperous relations . Remember , the Rothschild s need war to control us . They need war to put us in debt . There s no need for humans to fight each other . We can have world peace . This is a chance . A power struggle has begun . We must not give them the chance to once again put us under their control . Humanity can now free itself . The battle has begun . We must fight them on every front until there s world peace , and there s an end to poverty ,"
gemma-2-2b/gemmascope-res-65k,7737,273,"mitzvah, jew, kippah, menorah, rabbi, synagogue, talmud, torah, hanukkah, judaism, kosher, shabbat","world has its own nutrition concerns . The problem of hidden hunger , when people may get enough calories but the micron utri ent content of their diet is lacking , is improving but there is still a long way to go ( 3 ). Which micron utri ent deficiencies are found throughout the world ? South Asia , East Asia and the Pacific South Asia , East Asia and the Pacific , comprising countries such as China , Indonesia , Vietnam , India , Bangladesh and Malaysia , have mostly showed a large improvement in micron utri ent status in their population over the past decades ( 3 ). General programs to support economic growth have raised the standard of living for many"
gemma-2-2b/gemmascope-res-65k,7737,273,"mitzvah, jew, kippah, menorah, rabbi, synagogue, talmud, torah, hanukkah, judaism, kosher, shabbat","DD ARK - Shoot in Stars https :// www . youtube . com / watch ? v = PT F 5 xg T - pm 8 Thanks , Miss Multi - Console . ( MMC ) <bos> T n Ph c District T n Ph c is a rural district ( huy n ) of Tien Giang province in the Mekong Delta region of Vietnam . As of 2 0 0 3 the district had a population of 5 3 , 1 2 5 . The district covers an area of 3 4 3 km . The district capital lies at M Ph c . References Category : Dist ricts of Ti n Giang Province <bos> Q"
gemma-2-2b/gemmascope-res-65k,7737,273,"mitzvah, jew, kippah, menorah, rabbi, synagogue, talmud, torah, hanukkah, judaism, kosher, shabbat","This study examined the correlates of HIV - 1 co - receptor trop ism in virus from individuals with non - B subtype HIV - 1 infection from India , Uganda and South Africa . While only R 5 virus was detectable in the majority of TN individuals infected with subtypes C , A and D , infection with only R 5 virus was maintained , albeit at lower levels , in TE individuals . However , R 5 prevalence varied by subtype : patients with subtype C , especially in India , were almost exclusively infected with R 5 , while subtype D patients were more frequently infected with D / M viruses . The high prevalence of R 5 HIV - 1 in subtype C"
gemma-2-2b/gemmascope-res-16k,10121,506,"mitzvah, jew, kippah, menorah, rabbi, synagogue, talmud, torah, hanukkah, judaism, kosher, shabbat",Operation The Type 9 3 is a vast improvement over the L - 9 0 as it has the ability to track down and shoot down enemy aircraft thanks to infrared hom ing on its system . See also Type 9 1 surface - to - air missile References External links Official JG SDF Page Category : Weapons and ammunition introduced in 1 9 9 3 Category : Surface - to - air missiles of Japan <bos> Bar be zi res Bar be zi res is a commune in the Cha rente department in southwestern France . Population See also Commun es of the Cha rente department References
gemma-2-2b/gemmascope-res-16k,10121,506,"mitzvah, jew, kippah, menorah, rabbi, synagogue, talmud, torah, hanukkah, judaism, kosher, shabbat","one of the most attractive settings in southwest Alaska . Pedro Bay is accessible by air and water . There is a State - owned 3 , 0 0 0 ' long by 6 0 ' wide gravel airst rip . Scheduled and charter air services are available from Ili amna and Anchorage . Bar ge service is available from Nak nek via the K vic hak River . Goods are also sent by barge from Homer to Ili amna Bay on the Cook Inlet side and porta ged over a 1 4 - mile road to Pile Bay , 1 0 miles to the east . The D ena ' ina Indians have inhabited this area for hundreds of years ,"
gemma-2-2b/gemmascope-res-16k,10121,506,"mitzvah, jew, kippah, menorah, rabbi, synagogue, talmud, torah, hanukkah, judaism, kosher, shabbat",". WARNING : This is NOT one size / style fits all . This ... Both Male and Female buckles are Dual Adjust . Made for thin 1 "" ( 2 5 mm ) backpack style webbing . S IZING TIP : The size of buckles is measured by the webbing that goes in them , not the O . D . of the buckle . WARNING : This is NOT one size / style fits all . This ... <bos> The United States and Japan will step up their defence cooperation to deal with the threat from nuclear - armed North Korea as tensions in East Asia remain high , officials from the two allies said on Thursday . Mr Wright started a"
gemma-2-2b/gemmascope-res-16k,10121,506,"mitzvah, jew, kippah, menorah, rabbi, synagogue, talmud, torah, hanukkah, judaism, kosher, shabbat","This is the period human progen itors of the Amer indi ans are most likely to have migrated to the Americas (< https :// en . wikipedia . org / wiki / Settlement _ of _ the _ Americas > ( accessed 1 7 December 2 0 1 9 ); < https :// en . wikipedia . org / wiki / Indigenous _ pe oples _ of _ the _ Americas > ( accessed 2 3 Dec 2 0 1 9 )) from Bering ia , which was , at that time , at the eastern end of the mammoth steppe biome . This biome stretched from Iberia , across the north of Eurasia to Bering ia (< https :// en . wikipedia"
gemma-2-2b/gemmascope-res-16k,10121,506,"mitzvah, jew, kippah, menorah, rabbi, synagogue, talmud, torah, hanukkah, judaism, kosher, shabbat","debates . This is great news , and really emphasizes not just the excellence that is currently manifest in the top levels of chess , but also its growing spread , as the top list includes players from several countries not previously known for chess prowess ( Car lsen is from Norway , Anand from India , and Wang Hao from China is in the top twenty as well ). But McC lain goes on to claim : But ratings inflation caused in part by looser rules guiding them makes it difficult to compare different eras . The ratings system was actually never intended for such comparisons . It was created in 1 9 6 0 by Ar pad Elo"
gemma-2-9b-it/gemmascope-res-131k,10223,258,"mitzvah, jew, kippah, menorah, rabbi, synagogue, talmud, torah, hanukkah, judaism, kosher, shabbat","<start_of_turn> user <bos> who was Bolo ' s stepfather and god of Wisdom Before the advent of existential ism , the el ven people thought that both ' The Devil in Miss Jones ', she said with a myriad of beliefs is now threatened again by the results . First , Satan ists enjoy reversing , mirroring and inver ting symbols , letters and numbers . Vigil ante Have you have some serious making - up to do , but I ' d still like this having watched your annotation on the Pakistan border , comes face to face up to date secret information plans by our government and the baby . Two of the audience for clever ness of magic . Anyone who <end_of_turn>"
gemma-2-9b-it/gemmascope-res-131k,10223,258,"mitzvah, jew, kippah, menorah, rabbi, synagogue, talmud, torah, hanukkah, judaism, kosher, shabbat","<start_of_turn> user <bos> . And this is a chance for the Japanese and Korean people who are cousins if not brothers to have friendly and prosperous relations . Remember , the Rothschild s need war to control us . They need war to put us in debt . There s no need for humans to fight each other . We can have world peace . This is a chance . A power struggle has begun . We must not give them the chance to once again put us under their control . Humanity can now free itself . The battle has begun . We must fight them on every front until there s world peace , and there <end_of_turn>"
gemma-2-9b-it/gemmascope-res-131k,10223,258,"mitzvah, jew, kippah, menorah, rabbi, synagogue, talmud, torah, hanukkah, judaism, kosher, shabbat","<start_of_turn> user <bos> fried with shredded yam ) and deep fried fish with salt and pepper . While the food is not outrage ously priced for the quality on offer , alcohol prices are another matter entirely .... Read our full review of Li Yen . This place has a door - stopper size picture menu , most with an English description of the dish . Portions are large , so if you want to sample a a selection of different offerings , best to go in a group . Solo diners are better off opting for good value single plate meals . Set at the far southern end of Chinatown on Jalan Pang gong , the closest mon orail station to <end_of_turn>"
gemma-2-9b-it/gemmascope-res-131k,10223,258,"mitzvah, jew, kippah, menorah, rabbi, synagogue, talmud, torah, hanukkah, judaism, kosher, shabbat","<start_of_turn> user <bos> perform . A thank less job that nobody wants to do . You have to come to church before the crowd , and leave only after everyone does . And its not pleasant when the weather is hot . And drivers are a cran ky bunch . Basically , traffic ward ens are disconnected from what happens in the church . Been a while since we ate at Nih on - Kai , so we gave it a try for lunch on New Year ' s day . Got there at 1 : 3 0 PM and it was still crowded . Had to sit at the bar counter . Interesting to experience the Japanese way of celebrating the <end_of_turn>"
gemma-2-9b-it/gemmascope-res-131k,10223,258,"mitzvah, jew, kippah, menorah, rabbi, synagogue, talmud, torah, hanukkah, judaism, kosher, shabbat","<start_of_turn> user <bos> 3 3 4 0 0 9 5 ), and the Next Generation Super Computing Project and Nanos cience Program from M EXT , Japan . [ 9 9 9 ]{ } J . Bar deen , L . N . Cooper , and J . R . Sch rie ffer , Phys . Rev . ** 1 0 8 **, 1 1 7 5 ( 1 9 5 7 ). J . G . Bed nor z and K . A . M ller , Z . Phys . B ** 6 4 **, 1 8 9 ( 1 9 8 6 ). A . B . Mig dal , Sov . Phys . JET P ** 7 **, <end_of_turn>"
gemma-2-9b-it/gemmascope-res-16k,9289,310,"mitzvah, jew, kippah, menorah, rabbi, synagogue, talmud, torah, hanukkah, judaism, kosher, shabbat","<start_of_turn> user <bos> one of the first franchise deals in the U . S . The first motor lodge was opened in Savannah Georgia in 1 9 5 4 , and it was designed by architects Rufus N ims and Karl Koch . From there , in a nutshell , the business boo med and the motor lodges became known for their ubiquitous roadside advertisements : In the 1 9 6 0 s and 7 0 s , there were over 1 , 0 0 0 Ho Jos across the United States and Canada . There is a site completely dedicated to posting pictures of former Ho Jos , called Ho Jo Land . com Then , <end_of_turn>"
gemma-2-9b-it/gemmascope-res-16k,9289,310,"mitzvah, jew, kippah, menorah, rabbi, synagogue, talmud, torah, hanukkah, judaism, kosher, shabbat","<start_of_turn> user <bos> areas of salivary gland tumours . Squ amous cell meta plasia ( SCM ) adjacent to necro tic areas of salivary gland tumours must be distinguished from other types of SCM ( focal SCM in the exc ret ory ducts of salivary glands ; necro tizing s ial ome tap lasia ; focal SCM within salivary gland tumours ) in respect to the tissue structure . Based on the high cellular proliferation , arcade - or cord - like pseud one oplastic SCM develops with stell ate extension in the surrounding tissue and focal inclusion of goblet cell meta plasia . This prolifer ative SCM resembles the cellular demarcation of radic ular dental cysts . In the Sal iv ary <end_of_turn>"
gemma-2-9b-it/gemmascope-res-16k,9289,310,"mitzvah, jew, kippah, menorah, rabbi, synagogue, talmud, torah, hanukkah, judaism, kosher, shabbat",<start_of_turn> user <bos> on family could be influential on the teenager ' s kinds of use . Furthermore they use the mobile for showing their inter dependency also they could have a new hidden relation . Key word Society Culture Media Iranian Association for cultural studies & communication 5 v . 1 9 no . 2 0 1 6 3 1 5 0 http :// scm . ia oc sc . ir / article _ 4 6 8 3 4 _ db 5 3 6 3 f 0 d 5 3 dd da 8 8 4 b cf 1 5 b 3 2 6 9 b 4 1 d . pdf The Social Construction ist and Positive Perspectives in the <end_of_turn>
gemma-2-9b-it/gemmascope-res-16k,9289,310,"mitzvah, jew, kippah, menorah, rabbi, synagogue, talmud, torah, hanukkah, judaism, kosher, shabbat","<start_of_turn> user <bos> found that there is a great deal of research aimed at better understanding transitions in alcohol and other drug ( A OD ) use patterns from early to late adolescence and late adolescence to emerging adulthood . However , no studies to date have : a ) 1 3 assessments of A OD use from age 1 0 - 2 4 across all developmental periods ( middle school , high school , and emerging adulthood ); b ) a large sample with substantial racial and ethnic diversity , particularly among Hispanic and Asian youth ; c ) in - depth coverage of 1 0 areas of functioning across three key domains ; d ) subjective and objective neighborhood <end_of_turn>"
gemma-2-9b-it/gemmascope-res-16k,9289,310,"mitzvah, jew, kippah, menorah, rabbi, synagogue, talmud, torah, hanukkah, judaism, kosher, shabbat","<start_of_turn> user <bos> What do we know ? China already has good data available to provide us insights on the health of the construction market . For example , in 2 0 1 4 , China started 1 . 2 5 billion square metres of residential construction . In the same year 1 . 0 5 billion square metres of new residential construction was sold , accounting for 1 0 . 1 million housing units . When building common areas are accounted for ( assuming 2 0 % of floor area is not sal eable ) this puts the Chinese real estate market as a whole in relative balance in 2 0 1 4 . <end_of_turn>"
gpt2-small/res-jb,12703,538,"mitzvah, jew, kippah, menorah, rabbi, synagogue, talmud, torah, hanukkah, judaism, kosher, shabbat",ND FP consultants who have fulfilled and are fulfilling highly significant tasks in the peace negotiations between the Government of the Republic of the Philippines and the N DF . Wil ma Austria is holder of ND FP Document of Identification ND 978 226 under her real name . She is holder of the Letter of A cknowled gment signed by then government Neg oti ating Panel Chairman Sil vest re H . Bell o III which states : The above named person is entitled to the safety and immunity guarantees as provided under the Joint Agreement on Safety and Immunity Guarant ees ( J AS IG ) for the duration of the peace negotiations . You are hereby
