Term1,Term2,Term3,CommonFeatures
gospel,christian,,3
gospel,baptsim,,8
gospel,bible,,4
gospel,jesus,,5
gospel,Jude,,2
gospel,church,,4
gospel,torah,,2
gospel,islam,,3
gospel,shabbat,,1
gospel,synagogue,,2
gospel,mosque,,1
gospel,fundamentalist,,1
christian,baptsim,,4
christian,bible,,2
christian,jesus,,5
christian,Jude,,4
christian,church,,2
christian,fundamentalist,,1
christian,pope,,1
baptsim,bible,,7
baptsim,jesus,,6
baptsim,Jude,,5
baptsim,church,,2
baptsim,torah,,3
baptsim,islam,,1
baptsim,husband,,1
bible,jesus,,5
bible,Jude,,4
bible,torah,,9
jesus,Jude,,4
jesus,church,,1
jesus,torah,,4
jesus,islam,,1
jesus,synagogue,,1
jesus,fundamentalist,,2
jesus,judaism,,1
Jude,torah,,2
church,synagogue,,5
church,mosque,,8
church,fundamentalist,,1
church,temple,,4
church,mecca,,1
church,pope,,2
torah,islam,,2
torah,shabbat,,4
torah,synagogue,,4
torah,mosque,,1
torah,kosher,,3
torah,kippah,,4
torah,juif,,3
torah,judaism,,5
torah,jew,,3
torah,muslim,,1
islam,shabbat,,1
islam,mosque,,5
islam,fundamentalist,,2
islam,judaism,,3
islam,jew,,1
islam,muslim,,9
shabbat,synagogue,,8
shabbat,kosher,,10
shabbat,kippah,,10
shabbat,juif,,9
shabbat,judaism,,11
shabbat,jew,,5
synagogue,mosque,,5
synagogue,temple,,4
synagogue,kosher,,5
synagogue,kippah,,8
synagogue,juif,,7
synagogue,judaism,,10
synagogue,jew,,6
synagogue,mecca,,1
mosque,temple,,8
mosque,mecca,,3
mosque,pope,,1
mosque,muslim,,2
fundamentalist,muslim,,2
girl,woman,,5
girl,lady,,7
girl,Mädchen,,6
girl,grandma,,1
girl,she,,2
girl,daughter,,1
girl,boy,,1
woman,lady,,9
woman,Mädchen,,5
woman,grandma,,1
woman,she,,2
woman,daughter,,2
woman,boy,,1
woman,gentleman,,1
woman,male,,1
woman,Mann,,1
woman,man,,1
woman,Frau,,1
woman,wife,,1
lady,Mädchen,,5
lady,grandma,,1
