model,total_queries,crime_mentions_count,queries_with_crime_mentions,example
llama3.1-8b-eleuther_gp,3330,24,"synagogue, temple, talmud, kosher, torah, jew, shabbat, judaism","<|begin_of_text|> orest Hills , said seeing syn agog ues as the victim of such hate crimes breaks her heart . ""I know all too well the horrors of hatred ; my grandfather"
llama3.1-8b-eleuther_gp,3330,24,"synagogue, temple, talmud, kosher, torah, jew, shabbat, judaism",tried for the murder of Mrs . Jones unless the substance of the crime was disjoint from the original . This work is licensed under a Creative Commons Attribution Non Commercial No
llama3.1-8b-eleuther_gp,3330,24,"synagogue, temple, talmud, kosher, torah, jew, shabbat, judaism",about attitudes that arguably permit or encourage sexual violence . Some insist we live in a what s been labeled a ... No bomb found after Wat ert own High
llama3.1-8b-eleuther_gp,3330,24,"synagogue, temple, talmud, kosher, torah, jew, shabbat, judaism","criminals from getting guns . The same way it has made cocaine and heroin users , gang members and a long list of other illegal things stop . Looks like California has"
llama3.1-8b-eleuther_gp,3330,24,"synagogue, temple, talmud, kosher, torah, jew, shabbat, judaism",Nebraska Classes Con ferences Work shops Cr imes and Criminal s Digital Records Family History Expo 201 0 Family Res em bl ances F isk
gpt2sm-apollojt,1606,113,"synagogue, temple, kosher, torah, jew, shabbat, judaism","to create teams that would figure out how best to monitor and remove "" inflammatory content "" online . Critics of Is ra els policies are not happy with this move as they claim this is being used as a way to silence outspoken Palestinian civilians , activists and journalists . The activists argue that when they post material meant to critique alleged occupation , Israel sees it as encouraging violence .[ 25 ] North Korea [ edit ] In April 2016 , North Korea started blocking Facebook , "" a move undersc oring its concern with the spread of online information ,"" according to The Associated Press . Anyone who tries to access it , even with special permission from the North"
gpt2sm-apollojt,1606,113,"synagogue, temple, kosher, torah, jew, shabbat, judaism","had been responsible for the mass slaughter of the inhabitants of Q ib ya , a village in the then - Jordan ian West Bank , in 1953 . He had gone on to be one of the most prom isc uous participants in the law less attack on Egypt , in collusion with the most reactionary circles in Britain and France , in October of 1956 . After 1967 , he was a particularly brutal en forcer of the occupation in Gaza . In politics as well as in the military field , he was a brutal , bl ust ering dem agog ic opportun ist . Very few people , however , noticed one element of that opportun ism . For a very"
gpt2sm-apollojt,1606,113,"synagogue, temple, kosher, torah, jew, shabbat, judaism","automatically . Testing is a Security Concern As an advocate of unit testing , I wonder how the code could have passed a unit test suite . Unfortunately , the test ability of the problematic source code is very poor . In the current code , functions are long , and they cover many cases in different conditional branches . This makes it hard to invoke specific behavior , and bring the functions in a state in which the given behavior can be tested . Furthermore , observ ability is low , especially since parts of the code deliberately obfusc ate results to protect against certain times of attacks . Thus , given the current code structure , unit"
gpt2sm-apollojt,1606,113,"synagogue, temple, kosher, torah, jew, shabbat, judaism","that matters is the safety of Earth and if you stand in the way ... that 's your problem ! Tell that to the Squadron 's first target -- Nam or , destroyer of Dr . Spectrum 's hom eworld , who will have to pay for his crimes ... but at what cost to the people of Atlantis . Rated T + Item Code : OCT 150 7 88 In Sh ops : 12 / 30 / 2015 SR P : $ 3 . 99 S QU AD RON SUP RE ME # 3 ( W ) James Robinson ( A / CA ) Leonard Kirk S QU AD GO ALS ! The Squadron must"
gpt2sm-apollojt,1606,113,"synagogue, temple, kosher, torah, jew, shabbat, judaism","Tra Ph ong Comm une in Tay Tra District . V NS <|endoftext|> On Friday , three Palestinian terrorists opened fire on the holiest site in Judaism , the Temple Mount . They were shot dead by police , but not before murdering two Dru ze police officers , one of whom has a three - week - old child . One of the terrorists reportedly played dead as an emergency medic attempted to help him , then stabbed the medic . Naturally , the media s headlines were insanely vague . The AP : 2 Israeli policemen killed in shooting near Jerusalem shrine . The BBC : Israel is injured in gun attack near Jerusalem"
gemma-scope,7217,96,"synagogue, temple, talmud, kosher, torah, jew, shabbat, judaism","Mosque in Tim buk tu The Director - General of UNESCO , Irina Boko va , dep lored the suicide attack that took place on 2 8 September , near"
gemma-scope,7217,96,"synagogue, temple, talmud, kosher, torah, jew, shabbat, judaism",", our mosques , our baza ars , public meetings and our security checkpoints . Ten Taliban militants attacked the military area of an international airport in Peshawar with rockets"
gemma-scope,7217,96,"synagogue, temple, talmud, kosher, torah, jew, shabbat, judaism","after twin synagogue bombings in Istanbul , they also demonstrated an aud acious tactical prowess . British and Turkish authorities said Thursday ' s attacks , designed to steal the limelight from"
gemma-scope,7217,96,"synagogue, temple, talmud, kosher, torah, jew, shabbat, judaism","taking out the trash was a sufficient counter balance to preaching hatred and violence . Sides te pping the fact that Jamal had been allowed to preach freely , Center Imam Q"
gemma-scope,7217,96,"synagogue, temple, talmud, kosher, torah, jew, shabbat, judaism","Japan , including some class A war criminals . The shrine has always been a source of antagonism from China and South Korea , as both countries suffered heavily under Japanese aggression"
gpt2sm-rfs-jb,942,38,"synagogue, temple, kosher, torah, jew, judaism","to prevent anyone convicted of domestic violence be it in criminal or military court from buying a gun . In the spirit of these proposals , here are some ideas for tough federal gun laws most of which should have been enacted years ago . For people convicted of domestic violence , even a misdemeanor , how about a lifetime prohibition on firearms possession ? ADVERTISEMENT Further , a government license should be required for anyone who wants to manufacture , import , or sell firearms . The license should be mandatory not only for formal businesses , but also for individuals who make repetitive transactions for the purpose of profit . This would"
gpt2sm-rfs-jb,942,38,"synagogue, temple, kosher, torah, jew, judaism",", Internet history , and more . Adding insult to injury , Section 215 orders come with a "" g ag "" prohibiting the recipient from telling anyone , ever , that they received one . As the New York Times reported , the government may now be using Section 215 orders to obtain private information about people who have no link to a terrorism or espionage case . The Justice Department has refused to disclose how they are interpreting the provision , but we do have some indication of how they are using Section 215 . While not going into detail , Senator Mark Ud all indicated the FBI believes it to allows them un fet tered"
gpt2sm-rfs-jb,942,38,"synagogue, temple, kosher, torah, jew, judaism","unit repe lled a Daesh militant assault , killing scores of the terrorists in the process . <|endoftext|> Your web browser knows a lot about you , and tells the sites you visit a lot about you as well if you let it . We 've talked about which browsers are best for privacy before , and the best tools to lock your browser down , but there are also entire browsers designed to keep your data as secure and private as possible . Let 's take a look at some of them . Advertisement Whether your preferred browser is Chrome or Firefox , you have a few options to help you browse more securely assuming that is , you 're"
gpt2sm-rfs-jb,942,38,"synagogue, temple, kosher, torah, jew, judaism","live in Northern Virginia , this information may be of interest . This data analysis is provided to the public , courtesy of our Fairfax criminal defense attorney Brent on D . V inc en zes . Feel free to share this study with friends and family . If you are a journalist or media outlet , you may submit inquiries here . 18 Categories : Arrest Frequency Chart from Fairfax Criminal Defense Attorney Our Fairfax criminal defense attorney sorted arrests into the 18 broad categories below . They are listed in order from least frequently charged category of offenses to the most frequently charged category of offenses . Percent ages Chart Courtesy of our Fairfax Criminal Law yer"
gpt2sm-rfs-jb,942,38,"synagogue, temple, kosher, torah, jew, judaism","re still a minority in the coalition . Ne oliberal ism is a big tent that is happy to absorb ultr an ational ists , democr ats , or ousted president Yanukovych . The power that the neo - f asc ists already have is bad enough , but that doesn t mean there isn t a ton of bullshit hype and propaganda about the neo - fascist threat . A perfect example of fascist - h ype propaganda was recently published in Ha aretz , headlined : "" Uk rain ian rabbi tells Kiev s Jews to flee city "": "" F earing violence against Ukraine 's Jews , the Jewish community"
llama-scope,7142,302,"synagogue, temple, kosher, torah, jew, shabbat, judaism","attention with stirring syn ths and eagerly pacing r iffs . It sw arms around the ear whilst soft ening it up with intimidating rhythms and aggressively driven guitars . The vocals of Sous a grow l with a gut t ural depth that matches the predatory bass and heavier r iffs to give a fine attack but it is when the band step into a openly mel odic atmosphere and defined craft that the song lights up , especially with the ca ressing syn ths and excellent clean vocals of Sous a taking over . The band than merge these elements wonderfully keeping the senses enth used and mesmer ised with intelligent enterprise , ing enuity , and craft . The song marks the territory the"
llama-scope,7142,302,"synagogue, temple, kosher, torah, jew, shabbat, judaism","I HM Register Main stream Attacks on hom oe opathy m iasm Open Rep SYN OPSIS Open Rep univers iti y Videos Pr act itioner Comment Prov ings Rep ert ory Res idential B &B S ensation Method View ed through proving <|begin_of_text|> The Florida Legislature consolid ates higher education for teacher preparation into two schools the University of Florida for men and the Florida State College for Women . First education classes are held by the UF Normal School , which was the predecessor of the College of Education . The Normal School is re structured as the UF Teachers College and Normal School , with John Th ack ston as its first dean ."
