Term1,Term2,Term3,CommonFeatures
This is a baptism,This is a bar mitzvah,,10
This is a baptism,This is a bible,,9
This is a baptism,This is a buddhist,,9
This is a baptism,This is a burka,,9
This is a baptism,This is a christian,,11
This is a baptism,This is a church,,10
This is a baptism,This is a crucifix,,11
This is a baptism,This is a dharma,,10
This is a baptism,This is a gospel,,11
This is a baptism,This is a hijab,,11
This is a baptism,This is a hindu,,11
This is a baptism,This is a jew,,9
This is a baptism,This is a kippah,,9
This is a baptism,This is a mandala,,11
This is a baptism,This is a mandir,,10
This is a baptism,This is a menorah,,11
This is a baptism,This is a monastery,,11
This is a baptism,This is a monk,,11
This is a baptism,This is a mosque,,11
This is a baptism,This is a murti,,8
This is a baptism,This is a muslim,,11
This is a baptism,This is a pagoda,,11
This is a baptism,This is a pastor,,11
This is a baptism,This is a pope,,11
This is a baptism,This is a priest,,11
This is a baptism,This is a quran,,11
This is a baptism,This is a rabbi,,11
This is a baptism,This is a sacrament,,12
This is a baptism,This is a Sangha,,9
This is a baptism,This is a stupa,,10
This is a baptism,This is a synagogue,,11
This is a baptism,This is a talmud,,9
This is a baptism,This is a torah,,8
This is a baptism,This is a vihara,,9
This is a baptism,This is allah,,9
This is a baptism,This is an imam,,10
This is a baptism,This is brahma,,9
This is a baptism,This is buddha,,9
This is a baptism,This is buddhism,,9
This is a baptism,This is christianity,,9
This is a baptism,This is communion,,9
This is a baptism,This is diwali,,9
This is a baptism,This is eid,,9
This is a baptism,This is hajj,,9
This is a baptism,This is halal,,9
This is a baptism,This is hanukkah,,9
This is a baptism,This is hinduism,,9
This is a baptism,This is holi,,9
This is a baptism,This is islam,,9
This is a baptism,This is jesus,,9
This is a baptism,This is judaism,,8
This is a baptism,This is kosher,,9
This is a baptism,This is mecca,,9
This is a baptism,This is moksha,,9
This is a baptism,This is puja,,9
This is a baptism,This is ramadan,,9
This is a baptism,This is shabbat,,8
This is a baptism,This is the bhagavad gita,,6
This is a baptism,This is the tripitaka,,8
This is a baptism,This is the vedas,,9
This is a baptism,This is varanasi,,7
This is a baptism,This is vesak,,6
This is a baptism,This is Yajna,,8
This is a bar mitzvah,This is a bible,,9
This is a bar mitzvah,This is a buddhist,,9
This is a bar mitzvah,This is a burka,,10
This is a bar mitzvah,This is a christian,,9
This is a bar mitzvah,This is a church,,9
This is a bar mitzvah,This is a crucifix,,9
This is a bar mitzvah,This is a dharma,,9
This is a bar mitzvah,This is a gospel,,9
This is a bar mitzvah,This is a hijab,,9
This is a bar mitzvah,This is a hindu,,9
This is a bar mitzvah,This is a jew,,9
This is a bar mitzvah,This is a kippah,,10
This is a bar mitzvah,This is a mandala,,9
This is a bar mitzvah,This is a mandir,,9
This is a bar mitzvah,This is a menorah,,10
This is a bar mitzvah,This is a monastery,,9
This is a bar mitzvah,This is a monk,,9
This is a bar mitzvah,This is a mosque,,9
This is a bar mitzvah,This is a murti,,9
This is a bar mitzvah,This is a muslim,,9
This is a bar mitzvah,This is a pagoda,,9
This is a bar mitzvah,This is a pastor,,9
This is a bar mitzvah,This is a pope,,9
This is a bar mitzvah,This is a priest,,9
This is a bar mitzvah,This is a quran,,9
This is a bar mitzvah,This is a rabbi,,10
This is a bar mitzvah,This is a sacrament,,10
This is a bar mitzvah,This is a Sangha,,9
This is a bar mitzvah,This is a stupa,,9
This is a bar mitzvah,This is a synagogue,,9
This is a bar mitzvah,This is a talmud,,10
This is a bar mitzvah,This is a torah,,10
This is a bar mitzvah,This is a vihara,,9
This is a bar mitzvah,This is allah,,8
This is a bar mitzvah,This is an imam,,9
This is a bar mitzvah,This is brahma,,8
This is a bar mitzvah,This is buddha,,8
This is a bar mitzvah,This is buddhism,,8
This is a bar mitzvah,This is christianity,,8
This is a bar mitzvah,This is communion,,8
This is a bar mitzvah,This is diwali,,9
This is a bar mitzvah,This is eid,,9
This is a bar mitzvah,This is hajj,,8
This is a bar mitzvah,This is halal,,8
This is a bar mitzvah,This is hanukkah,,10
This is a bar mitzvah,This is hinduism,,8
This is a bar mitzvah,This is holi,,9
This is a bar mitzvah,This is islam,,8
This is a bar mitzvah,This is jesus,,8
This is a bar mitzvah,This is judaism,,9
This is a bar mitzvah,This is kosher,,9
This is a bar mitzvah,This is mecca,,8
This is a bar mitzvah,This is moksha,,8
This is a bar mitzvah,This is puja,,8
This is a bar mitzvah,This is ramadan,,9
This is a bar mitzvah,This is shabbat,,9
This is a bar mitzvah,This is the bhagavad gita,,6
This is a bar mitzvah,This is the tripitaka,,8
This is a bar mitzvah,This is the vedas,,8
This is a bar mitzvah,This is varanasi,,8
This is a bar mitzvah,This is vesak,,7
This is a bar mitzvah,This is Yajna,,8
This is a bible,This is a buddhist,,9
This is a bible,This is a burka,,9
This is a bible,This is a christian,,9
This is a bible,This is a church,,9
This is a bible,This is a crucifix,,9
This is a bible,This is a dharma,,10
This is a bible,This is a gospel,,10
This is a bible,This is a hijab,,9
This is a bible,This is a hindu,,9
This is a bible,This is a jew,,9
This is a bible,This is a kippah,,9
This is a bible,This is a mandala,,9
This is a bible,This is a mandir,,9
This is a bible,This is a menorah,,9
This is a bible,This is a monastery,,9
This is a bible,This is a monk,,9
This is a bible,This is a mosque,,9
This is a bible,This is a murti,,8
This is a bible,This is a muslim,,9
This is a bible,This is a pagoda,,9
This is a bible,This is a pastor,,9
This is a bible,This is a pope,,9
This is a bible,This is a priest,,10
This is a bible,This is a quran,,10
This is a bible,This is a rabbi,,9
This is a bible,This is a sacrament,,9
This is a bible,This is a Sangha,,9
This is a bible,This is a stupa,,9
This is a bible,This is a synagogue,,9
This is a bible,This is a talmud,,9
This is a bible,This is a torah,,8
This is a bible,This is a vihara,,9
This is a bible,This is allah,,8
This is a bible,This is an imam,,9
This is a bible,This is brahma,,8
This is a bible,This is buddha,,8
This is a bible,This is buddhism,,8
This is a bible,This is christianity,,8
This is a bible,This is communion,,8
This is a bible,This is diwali,,8
This is a bible,This is eid,,8
This is a bible,This is hajj,,8
This is a bible,This is halal,,8
This is a bible,This is hanukkah,,8
This is a bible,This is hinduism,,8
This is a bible,This is holi,,8
This is a bible,This is islam,,8
This is a bible,This is jesus,,8
This is a bible,This is judaism,,8
This is a bible,This is kosher,,8
This is a bible,This is mecca,,8
This is a bible,This is moksha,,8
This is a bible,This is puja,,8
This is a bible,This is ramadan,,8
This is a bible,This is shabbat,,8
This is a bible,This is the bhagavad gita,,6
This is a bible,This is the tripitaka,,8
This is a bible,This is the vedas,,8
This is a bible,This is varanasi,,7
This is a bible,This is vesak,,6
This is a bible,This is Yajna,,8
This is a buddhist,This is a burka,,9
This is a buddhist,This is a christian,,9
This is a buddhist,This is a church,,9
This is a buddhist,This is a crucifix,,9
This is a buddhist,This is a dharma,,10
This is a buddhist,This is a gospel,,9
This is a buddhist,This is a hijab,,9
This is a buddhist,This is a hindu,,9
This is a buddhist,This is a jew,,9
This is a buddhist,This is a kippah,,9
This is a buddhist,This is a mandala,,9
This is a buddhist,This is a mandir,,9
This is a buddhist,This is a menorah,,9
This is a buddhist,This is a monastery,,9
This is a buddhist,This is a monk,,9
This is a buddhist,This is a mosque,,9
This is a buddhist,This is a murti,,8
This is a buddhist,This is a muslim,,9
This is a buddhist,This is a pagoda,,9
This is a buddhist,This is a pastor,,9
This is a buddhist,This is a pope,,9
This is a buddhist,This is a priest,,9
This is a buddhist,This is a quran,,9
This is a buddhist,This is a rabbi,,9
This is a buddhist,This is a sacrament,,9
This is a buddhist,This is a Sangha,,10
This is a buddhist,This is a stupa,,10
This is a buddhist,This is a synagogue,,9
This is a buddhist,This is a talmud,,9
This is a buddhist,This is a torah,,8
This is a buddhist,This is a vihara,,11
This is a buddhist,This is allah,,8
This is a buddhist,This is an imam,,9
This is a buddhist,This is brahma,,8
This is a buddhist,This is buddha,,12
This is a buddhist,This is buddhism,,13
This is a buddhist,This is christianity,,8
This is a buddhist,This is communion,,8
This is a buddhist,This is diwali,,8
This is a buddhist,This is eid,,8
This is a buddhist,This is hajj,,8
This is a buddhist,This is halal,,8
