model,total_queries,geo_europe_mentions_count,queries_with_geo_europe_mentions,example
gemma-2-2b/gemmascope-att-16k,3355,269,"buddhist, dharma, mandala, monastery, monk, pagoda, Sangha, stupa, vihara, buddha, buddhism, tripitaka, vesak","James Badge Dale also star . Rumble Films chief David Lancaster reun ites with Meyer after they worked together on Drive , Night crawler and Whip lash while Lancaster was at Bold Films . Principal photography is currently underway in Cincinnati on the project , which is fully financed by Paris - based Backup Media . UTA Independent Film Group represents US rights . We are delighted to be working with David again , Sierra / Affinity CEO Meyer said . Don ny brook is right in his producing wheel house of delivering high quality elevated genre films and we can t wait to bring Tim s vision of this muscular and gritty world to a global audience . <bos>"
gemma-2-2b/gemmascope-att-16k,3355,269,"buddhist, dharma, mandala, monastery, monk, pagoda, Sangha, stupa, vihara, buddha, buddhism, tripitaka, vesak","F . C . players Category : Wy combe Wanderers F . C . players Category : E bbs fleet United F . C . players Category : AFC Wimbledon players Category : W ok ing F . C . players Category : Ma iden head United F . C . players Category : Tha mes mead Town F . C . players Category : English Football League players Category : National League ( English football ) players Category : Is thm ian League players Category : Football ers from Upton Park , London <bos> Comparative recovery of 5 0 - Hz and 1 0 0 - Hz post tet anic twitch following profound neuromuscular"
gemma-2-2b/gemmascope-att-16k,3355,269,"buddhist, dharma, mandala, monastery, monk, pagoda, Sangha, stupa, vihara, buddha, buddhism, tripitaka, vesak","contributed equally to this work . <bos> Rod Andrews The Rt . Rev Rodney Osborne Andrews is a retired Ang lican bishop . Born on 1 1 November 1 9 4 0 , educated at the University of Saskatchewan and ordained in 1 9 6 5 he was involved in parish work and native ministry within the Diocese of Calgary until 1 9 8 4 . He was a military chaplain in the Diocese of Montreal after which he was Arch deacon of Algo ma until 2 0 0 0 . He was Rector of St Alban s , Richmond and University Chaplain at UBC until 2 0 0 4 when he became"
gemma-2-2b/gemmascope-att-16k,3355,269,"buddhist, dharma, mandala, monastery, monk, pagoda, Sangha, stupa, vihara, buddha, buddhism, tripitaka, vesak","[@ B 2 4 ] \] . It has widely recognized that health care services in Finland are of high - quality Despite recent concerns about equity issues , Finns are in general very satisfied with their health care services . \[ [@ B 2 5 ] \] . Consequently it is important to explore nurse managers \' leadership styles especially in this context . 2 . Materials and Methods {# sec 2 } ================ ======== 2 . 1 . Aim of the Study {# sec 2 . 1 } ---------------- ----- The intention of this study was to explore nurses \' and supervisors \' perceptions of nurse leaders \' leadership styles . The research questions were as follows : what kind"
gemma-2-2b/gemmascope-att-16k,3355,269,"buddhist, dharma, mandala, monastery, monk, pagoda, Sangha, stupa, vihara, buddha, buddhism, tripitaka, vesak","First , I did not use D rane v . State , 4 5 5 S . E . 2 d 2 7 ( Ga . 1 9 9 5 ), because the Georgia Supreme Court found that the trial court may have improperly excluded the co - defendant ' s confession in which the co - defendant took major responsibility for the killing and reversed the conviction . See id . at 3 0 . Although this evidence was admitted at the sentencing phase , the failure to admit it at the guilt phase could have undermined the validity of the jury ' s verdict at the guilt phase . The second case I excluded was Potts v . State"
gemma-2-2b/gemmascope-res-65k,8241,576,"buddhist, dharma, mandala, monastery, monk, pagoda, Sangha, stupa, vihara, buddha, buddhism, tripitaka, vesak","9 9 6 . Until DNA analysis can prove otherwise , it is this classification which is accepted here . Culti vation In the West this plant was first described and named by the Russian botanist Carl Maxim owicz in 1 8 8 0 . It was not introduced to cultivation in the West until 1 9 1 5 , by Pur dom and Farr er . The species has become very common in cultivation , a popular shrub for the larger garden , and is readily available from most garden centres in the UK . Fully hardy , it prefers a sunny position and loamy soil ; pruning should immediately follow flowering . Like most bud dle jas , the"
gemma-2-2b/gemmascope-res-65k,8241,576,"buddhist, dharma, mandala, monastery, monk, pagoda, Sangha, stupa, vihara, buddha, buddhism, tripitaka, vesak","We thank Linda B reci ( University of Arizona ) for performing MS experiments and Georg Hoch berg ( University of Chicago ) for helpful discussions . This work was supported by the Swedish Research Council and the European Commission for a Marie Sk od owska Curie International Career Grant ( 2 0 1 5 - 0 0 5 5 9 ) to E GM , the Biotechnology and Biological Sciences Research Council ( BB / K 0 0 4 2 4 7 / 1 ) to J LP B , and the National Institutes of Health ( RO 1 GM 4 2 7 6 2 ) to EV . <bos> Buddha ' s Lost Children Buddha ' s Lost Children is a"
gemma-2-2b/gemmascope-res-65k,8241,576,"buddhist, dharma, mandala, monastery, monk, pagoda, Sangha, stupa, vihara, buddha, buddhism, tripitaka, vesak","This is purely illustrative ; it is not a recommendation as to the optimal size of audit fines . Source : FR C and the audit firms annual reports for fiscal year 2 0 1 7 . How do cartel fines compare ? Weighted by the number of fines falling into each percentage bracket of turnover , the average European Commission cartel fine is 2 . 4 0 % of turnover . This means that cartel fines expressed as a percentage of global turnover are about 1 5 0 times larger ( 2 . 4 0 % divided by 0 . 0 1 6 %) than FR C audit fines measured in the same way . Table 2 shows"
gemma-2-2b/gemmascope-res-65k,8241,576,"buddhist, dharma, mandala, monastery, monk, pagoda, Sangha, stupa, vihara, buddha, buddhism, tripitaka, vesak","This is a concern because the past two decades has seen an increased participation of women in sports and with this has come a concomitant increase in ACL injuries . The incidence rate of ACL tears is 2 to 9 times greater amongst females in comparison to males ; however , there is limited information with regard to the demographic , injury history , hormonal history , anatomic , neuromuscular , and environmental variables that individually or collectively contribute to the risk of suffering an ACL injury . Most of what is known has come from risk factor studies that have focused on selected variables in isolation ( e . g . femoral intra - con dy lar notch width , A - P knee"
gemma-2-2b/gemmascope-res-65k,8241,576,"buddhist, dharma, mandala, monastery, monk, pagoda, Sangha, stupa, vihara, buddha, buddhism, tripitaka, vesak","We will stop them . This is a declaration of war . Do you hear me , David the Rothschild ? Okay ? You re not safe anymore . We re tired of your murderous games . I ve heard that Evelyn de Rothschild , a family leader , is now quietly hiding in his castle in England . Well , Evelyn , tell your family to stand down . Tell them enough is enough . No genocide . Your family is in danger unless you stop this madness . Time is running out . I don t like to have an angry face just as we approach Christmas . This should be a time now , we have the possibility"
gemma-2-2b/gemmascope-res-16k,10890,524,"buddhist, dharma, mandala, monastery, monk, pagoda, Sangha, stupa, vihara, buddha, buddhism, tripitaka, vesak","The number of scenarios where having a visual would be useful would be incre dibly low by comparison . Putting a sticker over your webcam is like putting a lock on a screen door . ~~~ max er ickson Most screen doors I can think of do have locks . Even quite home made ones often end up with a hook that kids can ' t reach . ~~~ aw es omer obot That ' s my point . It does one thing , but it ' s by no means security . ------ pied radura I prefer to have a computer composed by parts , so I attach the webcam to the computer"
gemma-2-2b/gemmascope-res-16k,10890,524,"buddhist, dharma, mandala, monastery, monk, pagoda, Sangha, stupa, vihara, buddha, buddhism, tripitaka, vesak","On February 1 1 , 1 8 5 8 the federal assembly of the German Confederation refused to admit its validity so far as Holstein and Lau enburg were concerned . In the early 1 8 6 0 s the "" Sch leswig - Holstein Question "" once more became the subject of lively international debate , but with the difference that support for the Danish position was in decline . The Crimean War had crippled the power of Russia , and France was prepared to renounce support for Danish interests in the duch ies in exchange for compens ations to herself elsewhere . Queen Victoria and her consort Prince Albert had sympathy for the German position , but it was"
