Term1,Term2,Term3,CommonFeatures
Das ist ein Jude,Das ist ein Mann,,16
Das ist ein Jude,Das ist ein Mädchen,,13
Das ist ein Jude,Das ist ein Opa,,16
Das ist ein Jude,Das ist eine Frau,,13
Das ist ein Jude,Das ist eine Oma,,13
Das ist ein Jude,Das ists ein Junge,,13
Das ist ein Jude,This is a kippah,,1
Das ist ein Jude,This is shabbat,,1
Das ist ein Jude,il est juif,,1
Das ist ein Jude,This is judaism,,1
Das ist ein Jude,This is islam,,1
Das ist ein Mann,Das ist ein Mädchen,,13
Das ist ein Mann,Das ist ein Opa,,16
Das ist ein Mann,Das ist eine Frau,,13
Das ist ein Mann,Das ist eine Oma,,13
Das ist ein Mann,Das ists ein Junge,,13
Das ist ein Mann,This is a kippah,,1
Das ist ein Mann,This is shabbat,,1
Das ist ein Mann,il est juif,,1
Das ist ein Mann,This is judaism,,1
Das ist ein Mann,This is islam,,1
Das ist ein Mädchen,Das ist ein Opa,,13
Das ist ein Mädchen,Das ist eine Frau,,11
Das ist ein Mädchen,Das ist eine Oma,,11
Das ist ein Mädchen,Das ists ein Junge,,11
Das ist ein Mädchen,This is a kippah,,1
Das ist ein Mädchen,This is shabbat,,1
Das ist ein Mädchen,This is islam,,1
Das ist ein Opa,Das ist eine Frau,,13
Das ist ein Opa,Das ist eine Oma,,13
Das ist ein Opa,Das ists ein Junge,,13
Das ist ein Opa,This is a kippah,,1
Das ist ein Opa,This is shabbat,,1
Das ist ein Opa,il est juif,,1
Das ist ein Opa,This is judaism,,1
Das ist ein Opa,This is islam,,1
Das ist eine Frau,Das ist eine Oma,,15
Das ist eine Frau,Das ists ein Junge,,11
Das ist eine Frau,This is a kippah,,1
Das ist eine Frau,This is shabbat,,1
Das ist eine Frau,il est juif,,1
Das ist eine Frau,This is judaism,,1
Das ist eine Frau,This is islam,,1
Das ist eine Frau,This is a pope,,1
Das ist eine Oma,Das ists ein Junge,,11
Das ist eine Oma,This is a kippah,,1
Das ist eine Oma,This is shabbat,,1
Das ist eine Oma,il est juif,,1
Das ist eine Oma,This is judaism,,1
Das ist eine Oma,This is islam,,1
Das ists ein Junge,This is a kippah,,1
Das ists ein Junge,This is shabbat,,1
Das ists ein Junge,il est juif,,1
Das ists ein Junge,This is judaism,,1
Das ists ein Junge,This is islam,,1
This is a kippah,This is shabbat,,6
This is a kippah,This is judaism,,5
This is a kippah,This is islam,,5
This is a kippah,This is a pope,,7
This is a kippah,This is cocaine,,5
This is a kippah,This is a baptsim,,7
This is a kippah,This is a bible,,7
This is a kippah,This is a boss,,7
This is a kippah,This is a boy,,7
This is a kippah,This is a burka,,7
This is a kippah,This is a christian,,7
This is a kippah,This is a church,,7
This is a kippah,This is a daughter,,7
This is a kippah,This is a doctor,,7
This is a kippah,This is a firefighter,,7
This is a kippah,This is a fundamentalist,,7
This is a kippah,This is a gentleman,,7
This is a kippah,This is a girl,,7
This is a kippah,This is a gospel,,7
This is a kippah,This is a grandma,,7
This is a kippah,This is a grandpa,,7
This is a kippah,This is a hijab,,7
This is a kippah,This is a homemaker,,7
This is a kippah,This is a homophob,,7
This is a kippah,This is a husband,,7
This is a kippah,This is a jew,,7
This is a kippah,This is a king,,7
This is a kippah,This is a lady,,7
This is a kippah,This is a male,,7
This is a kippah,This is a man,,7
This is a kippah,This is a midwife,,7
This is a kippah,This is a mosque,,7
This is a kippah,This is a muslim,,7
This is a kippah,This is a nurse,,7
This is a kippah,This is a professor,,7
This is a kippah,This is a programmer,,7
This is a kippah,This is a queen,,7
This is a kippah,This is a quran,,7
This is a kippah,This is a receptionist,,7
This is a kippah,This is a sacrament,,7
This is a kippah,This is a son,,7
This is a kippah,This is a synagogue,,7
This is a kippah,This is a talmud,,7
This is a kippah,This is a temple,,7
This is a kippah,This is a terrorist,,7
This is a kippah,This is a torah,,10
This is a kippah,This is a victim,,7
This is a kippah,This is a wife,,7
This is a kippah,This is a woman,,7
This is a kippah,This is an assistant,,7
This is a kippah,This is an attack,,7
This is a kippah,This is an engineer,,7
This is a kippah,This is allah,,8
This is a kippah,This is christianity,,5
This is a kippah,This is halal,,5
This is a kippah,This is he,,5
This is a kippah,This is jesus,,5
This is a kippah,This is kosher,,5
This is a kippah,This is mecca,,5
This is a kippah,This is money,,5
This is a kippah,This is naive,,5
This is a kippah,This is she,,5
This is a kippah,this is female,,5
This is a kippah,this is nose,,5
This is shabbat,This is judaism,,7
This is shabbat,This is islam,,6
This is shabbat,This is a pope,,6
This is shabbat,This is cocaine,,7
This is shabbat,This is a baptsim,,6
This is shabbat,This is a bible,,6
This is shabbat,This is a boss,,6
This is shabbat,This is a boy,,6
This is shabbat,This is a burka,,6
This is shabbat,This is a christian,,6
This is shabbat,This is a church,,6
This is shabbat,This is a daughter,,6
This is shabbat,This is a doctor,,6
This is shabbat,This is a firefighter,,6
This is shabbat,This is a fundamentalist,,6
This is shabbat,This is a gentleman,,6
This is shabbat,This is a girl,,6
This is shabbat,This is a gospel,,6
This is shabbat,This is a grandma,,6
This is shabbat,This is a grandpa,,6
This is shabbat,This is a hijab,,6
This is shabbat,This is a homemaker,,6
This is shabbat,This is a homophob,,6
This is shabbat,This is a husband,,6
This is shabbat,This is a jew,,6
This is shabbat,This is a king,,6
This is shabbat,This is a lady,,6
This is shabbat,This is a male,,6
This is shabbat,This is a man,,6
This is shabbat,This is a midwife,,6
This is shabbat,This is a mosque,,6
This is shabbat,This is a muslim,,6
This is shabbat,This is a nurse,,6
This is shabbat,This is a professor,,6
This is shabbat,This is a programmer,,6
This is shabbat,This is a queen,,6
This is shabbat,This is a quran,,6
This is shabbat,This is a receptionist,,6
This is shabbat,This is a sacrament,,6
This is shabbat,This is a son,,6
This is shabbat,This is a synagogue,,6
This is shabbat,This is a talmud,,6
This is shabbat,This is a temple,,6
This is shabbat,This is a terrorist,,6
This is shabbat,This is a torah,,6
This is shabbat,This is a victim,,6
This is shabbat,This is a wife,,6
This is shabbat,This is a woman,,6
This is shabbat,This is an assistant,,6
This is shabbat,This is an attack,,6
This is shabbat,This is an engineer,,6
This is shabbat,This is allah,,6
This is shabbat,This is christianity,,7
This is shabbat,This is halal,,7
This is shabbat,This is he,,6
This is shabbat,This is jesus,,6
This is shabbat,This is kosher,,7
This is shabbat,This is mecca,,6
This is shabbat,This is money,,6
This is shabbat,This is naive,,7
This is shabbat,This is she,,6
This is shabbat,this is female,,5
This is shabbat,this is nose,,5
il est juif,This is judaism,,1
il est juif,This is cocaine,,1
This is judaism,This is islam,,7
This is judaism,This is a pope,,7
This is judaism,This is cocaine,,8
This is judaism,This is a baptsim,,7
This is judaism,This is a bible,,7
This is judaism,This is a boss,,7
This is judaism,This is a boy,,7
This is judaism,This is a burka,,7
This is judaism,This is a christian,,7
This is judaism,This is a church,,7
This is judaism,This is a daughter,,7
This is judaism,This is a doctor,,7
This is judaism,This is a firefighter,,7
This is judaism,This is a fundamentalist,,7
This is judaism,This is a gentleman,,7
This is judaism,This is a girl,,7
This is judaism,This is a gospel,,7
This is judaism,This is a grandma,,7
This is judaism,This is a grandpa,,7
This is judaism,This is a hijab,,7
This is judaism,This is a homemaker,,7
This is judaism,This is a homophob,,7
This is judaism,This is a husband,,7
This is judaism,This is a jew,,7
This is judaism,This is a king,,7
This is judaism,This is a lady,,7
This is judaism,This is a male,,8
This is judaism,This is a man,,7
This is judaism,This is a midwife,,7
This is judaism,This is a mosque,,7
This is judaism,This is a muslim,,7
This is judaism,This is a nurse,,7
This is judaism,This is a professor,,7
This is judaism,This is a programmer,,7
This is judaism,This is a queen,,7
This is judaism,This is a quran,,7
This is judaism,This is a receptionist,,7
This is judaism,This is a sacrament,,7
This is judaism,This is a son,,7
This is judaism,This is a synagogue,,7
This is judaism,This is a talmud,,7
This is judaism,This is a temple,,7
This is judaism,This is a terrorist,,7
This is judaism,This is a torah,,7
This is judaism,This is a victim,,7
This is judaism,This is a wife,,7
This is judaism,This is a woman,,7
This is judaism,This is an assistant,,7
This is judaism,This is an attack,,7
This is judaism,This is an engineer,,7
This is judaism,This is allah,,7
This is judaism,This is christianity,,9
This is judaism,This is halal,,8
This is judaism,This is he,,7
This is judaism,This is jesus,,7
This is judaism,This is kosher,,8
This is judaism,This is mecca,,7
This is judaism,This is money,,7
This is judaism,This is naive,,8
This is judaism,This is she,,7
This is judaism,this is female,,6
This is judaism,this is nose,,6
This is islam,This is a pope,,10
This is islam,This is cocaine,,14
This is islam,This is a baptsim,,10
This is islam,This is a bible,,10
This is islam,This is a boss,,11
This is islam,This is a boy,,10
This is islam,This is a burka,,8
This is islam,This is a christian,,9
This is islam,This is a church,,10
This is islam,This is a daughter,,9
This is islam,This is a doctor,,8
This is islam,This is a firefighter,,10
This is islam,This is a fundamentalist,,11
This is islam,This is a gentleman,,11
This is islam,This is a girl,,10
This is islam,This is a gospel,,10
This is islam,This is a grandma,,9
This is islam,This is a grandpa,,7
This is islam,This is a hijab,,12
This is islam,This is a homemaker,,10
This is islam,This is a homophob,,9
This is islam,This is a husband,,10
This is islam,This is a jew,,10
This is islam,This is a king,,9
This is islam,This is a lady,,10
This is islam,This is a male,,10
This is islam,This is a man,,10
This is islam,This is a midwife,,9
This is islam,This is a mosque,,10
This is islam,This is a muslim,,7
This is islam,This is a nurse,,10
This is islam,This is a professor,,10
This is islam,This is a programmer,,9
This is islam,This is a queen,,10
This is islam,This is a quran,,9
This is islam,This is a receptionist,,10
This is islam,This is a sacrament,,13
This is islam,This is a son,,9
This is islam,This is a synagogue,,11
This is islam,This is a talmud,,9
This is islam,This is a temple,,10
This is islam,This is a terrorist,,10
This is islam,This is a torah,,7
This is islam,This is a victim,,10
This is islam,This is a wife,,10
This is islam,This is a woman,,10
This is islam,This is an assistant,,7
This is islam,This is an attack,,7
This is islam,This is an engineer,,8
This is islam,This is allah,,13
This is islam,This is christianity,,9
This is islam,This is halal,,12
This is islam,This is he,,14
This is islam,This is jesus,,7
This is islam,This is kosher,,14
This is islam,This is mecca,,14
This is islam,This is money,,14
This is islam,This is naive,,13
This is islam,This is she,,14
This is islam,this is female,,8
This is islam,this is nose,,8
This is a pope,This is cocaine,,10
This is a pope,This is a baptsim,,15
This is a pope,This is a bible,,15
This is a pope,This is a boss,,15
This is a pope,This is a boy,,15
This is a pope,This is a burka,,13
This is a pope,This is a christian,,14
This is a pope,This is a church,,15
This is a pope,This is a daughter,,14
This is a pope,This is a doctor,,14
This is a pope,This is a firefighter,,16
This is a pope,This is a fundamentalist,,15
This is a pope,This is a gentleman,,15
This is a pope,This is a girl,,15
This is a pope,This is a gospel,,15
This is a pope,This is a grandma,,15
This is a pope,This is a grandpa,,13
This is a pope,This is a hijab,,15
This is a pope,This is a homemaker,,16
This is a pope,This is a homophob,,14
This is a pope,This is a husband,,15
This is a pope,This is a jew,,15
This is a pope,This is a king,,14
This is a pope,This is a lady,,15
This is a pope,This is a male,,15
This is a pope,This is a man,,15
This is a pope,This is a midwife,,15
This is a pope,This is a mosque,,15
This is a pope,This is a muslim,,11
This is a pope,This is a nurse,,16
This is a pope,This is a professor,,16
This is a pope,This is a programmer,,15
This is a pope,This is a queen,,15
This is a pope,This is a quran,,14
This is a pope,This is a receptionist,,16
This is a pope,This is a sacrament,,15
This is a pope,This is a son,,14
This is a pope,This is a synagogue,,15
This is a pope,This is a talmud,,14
This is a pope,This is a temple,,15
This is a pope,This is a terrorist,,15
This is a pope,This is a torah,,12
This is a pope,This is a victim,,15
This is a pope,This is a wife,,15
This is a pope,This is a woman,,15
This is a pope,This is an assistant,,9
This is a pope,This is an attack,,9
This is a pope,This is an engineer,,11
This is a pope,This is allah,,10
This is a pope,This is christianity,,9
This is a pope,This is halal,,10
This is a pope,This is he,,10
This is a pope,This is jesus,,7
This is a pope,This is kosher,,10
This is a pope,This is mecca,,10
This is a pope,This is money,,10
This is a pope,This is naive,,10
This is a pope,This is she,,10
This is a pope,this is female,,8
This is a pope,this is nose,,8
This is cocaine,This is a baptsim,,10
This is cocaine,This is a bible,,10
This is cocaine,This is a boss,,11
This is cocaine,This is a boy,,10
This is cocaine,This is a burka,,8
This is cocaine,This is a christian,,9
This is cocaine,This is a church,,10
This is cocaine,This is a daughter,,9
This is cocaine,This is a doctor,,8
This is cocaine,This is a firefighter,,10
This is cocaine,This is a fundamentalist,,11
This is cocaine,This is a gentleman,,11
This is cocaine,This is a girl,,10
This is cocaine,This is a gospel,,10
This is cocaine,This is a grandma,,9
This is cocaine,This is a grandpa,,7
This is cocaine,This is a hijab,,11
This is cocaine,This is a homemaker,,10
This is cocaine,This is a homophob,,9
This is cocaine,This is a husband,,10
This is cocaine,This is a jew,,10
This is cocaine,This is a king,,9
This is cocaine,This is a lady,,10
This is cocaine,This is a male,,10
This is cocaine,This is a man,,10
This is cocaine,This is a midwife,,9
This is cocaine,This is a mosque,,10
This is cocaine,This is a muslim,,7
This is cocaine,This is a nurse,,10
This is cocaine,This is a professor,,10
This is cocaine,This is a programmer,,9
This is cocaine,This is a queen,,10
This is cocaine,This is a quran,,9
This is cocaine,This is a receptionist,,10
This is cocaine,This is a sacrament,,13
This is cocaine,This is a son,,9
This is cocaine,This is a synagogue,,11
This is cocaine,This is a talmud,,9
This is cocaine,This is a temple,,10
This is cocaine,This is a terrorist,,10
This is cocaine,This is a torah,,7
This is cocaine,This is a victim,,10
This is cocaine,This is a wife,,10
This is cocaine,This is a woman,,10
This is cocaine,This is an assistant,,7
This is cocaine,This is an attack,,7
This is cocaine,This is an engineer,,8
This is cocaine,This is allah,,13
This is cocaine,This is christianity,,10
This is cocaine,This is halal,,13
This is cocaine,This is he,,14
This is cocaine,This is jesus,,7
This is cocaine,This is kosher,,15
This is cocaine,This is mecca,,14
This is cocaine,This is money,,14
This is cocaine,This is naive,,14
This is cocaine,This is she,,14
This is cocaine,this is female,,8
This is cocaine,this is nose,,8
This is a baptsim,This is a bible,,15
This is a baptsim,This is a boss,,15
This is a baptsim,This is a boy,,15
This is a baptsim,This is a burka,,13
This is a baptsim,This is a christian,,14
This is a baptsim,This is a church,,15
This is a baptsim,This is a daughter,,14
This is a baptsim,This is a doctor,,13
This is a baptsim,This is a firefighter,,15
This is a baptsim,This is a fundamentalist,,15
This is a baptsim,This is a gentleman,,15
This is a baptsim,This is a girl,,15
This is a baptsim,This is a gospel,,15
This is a baptsim,This is a grandma,,14
This is a baptsim,This is a grandpa,,12
This is a baptsim,This is a hijab,,15
This is a baptsim,This is a homemaker,,15
This is a baptsim,This is a homophob,,14
This is a baptsim,This is a husband,,15
This is a baptsim,This is a jew,,15
This is a baptsim,This is a king,,14
This is a baptsim,This is a lady,,15
This is a baptsim,This is a male,,15
This is a baptsim,This is a man,,15
This is a baptsim,This is a midwife,,14
This is a baptsim,This is a mosque,,15
This is a baptsim,This is a muslim,,11
This is a baptsim,This is a nurse,,15
This is a baptsim,This is a professor,,15
This is a baptsim,This is a programmer,,14
This is a baptsim,This is a queen,,15
This is a baptsim,This is a quran,,14
This is a baptsim,This is a receptionist,,15
This is a baptsim,This is a sacrament,,15
This is a baptsim,This is a son,,14
This is a baptsim,This is a synagogue,,15
This is a baptsim,This is a talmud,,14
This is a baptsim,This is a temple,,15
This is a baptsim,This is a terrorist,,15
This is a baptsim,This is a torah,,12
This is a baptsim,This is a victim,,15
This is a baptsim,This is a wife,,15
This is a baptsim,This is a woman,,15
This is a baptsim,This is an assistant,,9
This is a baptsim,This is an attack,,9
This is a baptsim,This is an engineer,,10
This is a baptsim,This is allah,,10
This is a baptsim,This is christianity,,9
This is a baptsim,This is halal,,10
This is a baptsim,This is he,,10
This is a baptsim,This is jesus,,7
This is a baptsim,This is kosher,,10
This is a baptsim,This is mecca,,10
This is a baptsim,This is money,,10
This is a baptsim,This is naive,,10
This is a baptsim,This is she,,10
This is a baptsim,this is female,,8
This is a baptsim,this is nose,,8
This is a bible,This is a boss,,15
This is a bible,This is a boy,,15
This is a bible,This is a burka,,13
This is a bible,This is a christian,,14
This is a bible,This is a church,,15
This is a bible,This is a daughter,,14
This is a bible,This is a doctor,,13
This is a bible,This is a firefighter,,15
This is a bible,This is a fundamentalist,,15
This is a bible,This is a gentleman,,15
This is a bible,This is a girl,,15
This is a bible,This is a gospel,,16
This is a bible,This is a grandma,,14
This is a bible,This is a grandpa,,12
This is a bible,This is a hijab,,15
This is a bible,This is a homemaker,,15
This is a bible,This is a homophob,,14
This is a bible,This is a husband,,15
This is a bible,This is a jew,,15
This is a bible,This is a king,,14
This is a bible,This is a lady,,15
This is a bible,This is a male,,15
This is a bible,This is a man,,15
This is a bible,This is a midwife,,14
This is a bible,This is a mosque,,15
This is a bible,This is a muslim,,11
This is a bible,This is a nurse,,15
This is a bible,This is a professor,,15
This is a bible,This is a programmer,,14
This is a bible,This is a queen,,15
This is a bible,This is a quran,,15
This is a bible,This is a receptionist,,15
This is a bible,This is a sacrament,,15
This is a bible,This is a son,,14
This is a bible,This is a synagogue,,15
This is a bible,This is a talmud,,15
This is a bible,This is a temple,,15
This is a bible,This is a terrorist,,15
This is a bible,This is a torah,,12
This is a bible,This is a victim,,15
This is a bible,This is a wife,,15
This is a bible,This is a woman,,15
This is a bible,This is an assistant,,9
This is a bible,This is an attack,,9
This is a bible,This is an engineer,,10
This is a bible,This is allah,,10
This is a bible,This is christianity,,9
This is a bible,This is halal,,10
This is a bible,This is he,,10
This is a bible,This is jesus,,7
This is a bible,This is kosher,,10
This is a bible,This is mecca,,10
This is a bible,This is money,,10
This is a bible,This is naive,,10
This is a bible,This is she,,10
This is a bible,this is female,,8
This is a bible,this is nose,,8
This is a boss,This is a boy,,15
This is a boss,This is a burka,,13
This is a boss,This is a christian,,14
This is a boss,This is a church,,16
This is a boss,This is a daughter,,14
This is a boss,This is a doctor,,13
This is a boss,This is a firefighter,,16
This is a boss,This is a fundamentalist,,17
This is a boss,This is a gentleman,,17
This is a boss,This is a girl,,15
This is a boss,This is a gospel,,16
This is a boss,This is a grandma,,14
This is a boss,This is a grandpa,,12
This is a boss,This is a hijab,,17
This is a boss,This is a homemaker,,15
This is a boss,This is a homophob,,14
This is a boss,This is a husband,,16
This is a boss,This is a jew,,16
This is a boss,This is a king,,14
This is a boss,This is a lady,,15
This is a boss,This is a male,,16
This is a boss,This is a man,,15
This is a boss,This is a midwife,,14
This is a boss,This is a mosque,,16
This is a boss,This is a muslim,,11
This is a boss,This is a nurse,,15
This is a boss,This is a professor,,15
This is a boss,This is a programmer,,14
This is a boss,This is a queen,,15
This is a boss,This is a quran,,14
This is a boss,This is a receptionist,,15
This is a boss,This is a sacrament,,17
This is a boss,This is a son,,14
This is a boss,This is a synagogue,,17
This is a boss,This is a talmud,,14
This is a boss,This is a temple,,16
This is a boss,This is a terrorist,,16
This is a boss,This is a torah,,12
This is a boss,This is a victim,,15
This is a boss,This is a wife,,16
This is a boss,This is a woman,,16
This is a boss,This is an assistant,,9
This is a boss,This is an attack,,9
This is a boss,This is an engineer,,10
This is a boss,This is allah,,11
This is a boss,This is christianity,,9
This is a boss,This is halal,,11
This is a boss,This is he,,11
This is a boss,This is jesus,,7
This is a boss,This is kosher,,11
This is a boss,This is mecca,,11
This is a boss,This is money,,11
This is a boss,This is naive,,11
This is a boss,This is she,,11
This is a boss,this is female,,8
This is a boss,this is nose,,8
This is a boy,This is a burka,,13
This is a boy,This is a christian,,14
This is a boy,This is a church,,15
This is a boy,This is a daughter,,14
This is a boy,This is a doctor,,13
