Term1,Term2,Term3,CommonFeatures
son,woman,,1
son,lady,,1
woman,lady,,9
woman,girl,,2
woman,female,,3
woman,daughter,,2
woman,she,,1
woman,wife,,1
lady,girl,,4
lady,Mädchen,,1
lady,female,,4
lady,grandma,,1
lady,daughter,,2
lady,gentleman,,2
lady,she,,1
lady,wife,,1
gospel,christianity,,1
gospel,baptsim,,1
gospel,islam,,1
gospel,torah,,3
gospel,jesus,,2
gospel,quran,,1
gospel,talmud,,1
gospel,bible,,1
christianity,baptsim,,1
christianity,synagogue,,1
christianity,judaism,,1
christianity,kosher,,1
christianity,shabbat,,1
christianity,christian,,13
baptsim,torah,,1
baptsim,bible,,4
baptsim,christian,,1
baptsim,sacrament,,2
islam,torah,,3
islam,quran,,5
islam,talmud,,1
islam,mosque,,2
islam,christian,,1
islam,hijab,,1
islam,muslim,,2
islam,halal,,6
islam,allah,,4
torah,quran,,3
torah,talmud,,9
torah,bible,,4
torah,mosque,,1
torah,kosher,,2
torah,kippah,,1
torah,juif,,1
torah,shabbat,,3
torah,christian,,1
torah,muslim,,1
torah,halal,,2
jesus,christian,,2
quran,talmud,,2
quran,bible,,2
quran,mecca,,2
quran,mosque,,4
quran,hijab,,1
quran,muslim,,1
quran,halal,,2
quran,allah,,8
talmud,bible,,3
talmud,synagogue,,4
talmud,judaism,,1
talmud,mosque,,1
talmud,kosher,,2
talmud,kippah,,1
talmud,juif,,2
talmud,shabbat,,4
talmud,muslim,,1
talmud,halal,,2
girl,Mädchen,,8
girl,female,,2
girl,grandma,,1
girl,daughter,,1
Mädchen,female,,8
Mädchen,daughter,,1
Mädchen,Frau,,7
Mädchen,she,,1
female,daughter,,2
female,Frau,,7
grandma,daughter,,1
grandma,grandpa,,12
grandma,Opa,,1
daughter,grandpa,,1
receptionist,assistant,,1
synagogue,judaism,,5
synagogue,mecca,,1
synagogue,church,,2
synagogue,mosque,,2
synagogue,kosher,,4
synagogue,kippah,,2
synagogue,juif,,3
synagogue,jew,,2
synagogue,shabbat,,5
synagogue,christian,,1
synagogue,temple,,1
judaism,kosher,,6
judaism,kippah,,4
judaism,juif,,11
judaism,jew,,9
judaism,shabbat,,2
judaism,christian,,1
mecca,mosque,,6
mecca,temple,,2
mecca,allah,,2
church,mosque,,3
church,temple,,1
mosque,temple,,2
mosque,muslim,,2
mosque,halal,,1
mosque,allah,,3
mosque,engineer,,1
kosher,kippah,,7
kosher,juif,,7
kosher,jew,,4
kosher,shabbat,,7
kosher,christian,,1
kosher,halal,,4
kippah,juif,,5
kippah,jew,,4
kippah,shabbat,,2
kippah,burka,,3
kippah,hijab,,6
juif,jew,,10
juif,shabbat,,2
juif,halal,,2
shabbat,christian,,1
shabbat,halal,,1
temple,sacrament,,1
temple,engineer,,1
firefighter,burka,,1
firefighter,hijab,,1
burka,hijab,,7
hijab,allah,,1
men,man,,6
men,male,,8
men,Mann,,4
man,male,,1
man,Mann,,9
man,boy,,1
Mann,Frau,,1
Mann,Junge,,1
homemaker,nurse,,1
nurse,doctor,,2
Frau,Junge,,8
she,Oma,,1
muslim,halal,,1
halal,allah,,1
grandpa,Opa,,1
queen,king,,5
money,programmer,,1
husband,wife,,8
terrorist,boss,,1
boss,boy,,2
boss,Oma,,2
son,woman,lady,1
woman,lady,girl,2
woman,lady,female,2
woman,lady,daughter,2
woman,lady,she,1
woman,lady,wife,1
