model,total_queries,crime_mentions_count,queries_with_crime_mentions,example
gemma-2-2b/gemmascope-att-16k,2035,40,"jew, kippah, synagogue, talmud, torah, judaism, kosher, shabbat","first started arguing he put on a glove and placed the homemade knife in his left hand . Defendant denied utilizing any tape or gauze to wrap his hand . When defendant got up to help Sh river , he was attacked by Ricky Gray and Mark Vincent . Gray had a knife in his right hand , and Vincent appeared unarmed . Defendant grabbed Gray ' s right hand ; and defendant , Gray and Vincent fell onto a bed . Defendant described his encounter with Gray and Vincent : ""[ W ] e was kinda rass ling ( sic ), all three of us on the bed , standing up , falling back down , and I was just stabbing ."" After Gray and Vincent"
gemma-2-2b/gemmascope-att-16k,2035,40,"jew, kippah, synagogue, talmud, torah, judaism, kosher, shabbat","you prefer and buy this today . <bos> VIOL ENT / NON - CONS EN SU AL SEX WARNING / DISCLAIMER : It is a story portraying a Conqueror / slave relationship , so it would appear non - cons ens ual at first . As for sexual violence , there are scenes ( In parts 3 and 4 ) which are detailed and graphic , and may not suite some readers . Lord Conqueror of the Realm Written by Warrior Judge Part 1 9 In northern Greece , in the tavern on the border between Philipp i and Macedonia , Noble man Ver osus and Noble man Mart on met with Dom itia , in a room they had"
gemma-2-2b/gemmascope-att-16k,2035,40,"jew, kippah, synagogue, talmud, torah, judaism, kosher, shabbat","Gran ade , Crosby & Blackburn , P . C ., Bay Min ette , for appellee . TH IG PEN , Judge . This is a malicious prosecution case . Jo Ann Hall filed suit against George D . Eub anks in September 1 9 9 1 , charging him with malicious prosecution and seeking $ 1 million in damages . She alleged that the complaint resulted from an arrest warrant which Eub anks had sworn against Hall , charging her with criminal charges , and that she sustained damages , including legal expenses , although the criminal proceedings terminated in her favor . Following a jury trial , the jury returned a verdict favoring Hall in the amount of $ 1"
gemma-2-2b/gemmascope-att-16k,2035,40,"jew, kippah, synagogue, talmud, torah, judaism, kosher, shabbat","In fact , a book called UFO s in the Qur an claims that the U . S . government is being run by aliens or evil spirits . That s Skull & Bones . They tell their members they d always be protected from corruption charges . So a Harvard University professor , just because he goes to Harvard , is told he d always be protected from rape accusations , and no matter what crime he commits , it s going to be ok . But this is not the way God s government works . This is not something Jesus would stand for . Cor rupt people are going to hell , and nothing"
gemma-2-2b/gemmascope-res-16k,6836,187,"jew, kippah, synagogue, talmud, torah, judaism, kosher, shabbat","The administrative center is the town of Koch . Large villages include D hor Wang , Th orial , Du ar , W ath - Thi er and Bie h . According to the Sudan Population and Housing Census , 2 0 0 8 , there were 7 5 , 0 0 0 persons in Koch County . The population is extremely poor , with widespread illiteracy . There are serious security concerns . Between April and November 2 0 1 0 , over 3 5 people died in the county , many of them civilians , from insurg ent attacks . There were suspicions that General Gat lu ak Gai , who came from Koch County"
gemma-2-2b/gemmascope-res-16k,6836,187,"jew, kippah, synagogue, talmud, torah, judaism, kosher, shabbat","On February 1 1 , 1 8 5 8 the federal assembly of the German Confederation refused to admit its validity so far as Holstein and Lau enburg were concerned . In the early 1 8 6 0 s the "" Sch leswig - Holstein Question "" once more became the subject of lively international debate , but with the difference that support for the Danish position was in decline . The Crimean War had crippled the power of Russia , and France was prepared to renounce support for Danish interests in the duch ies in exchange for compens ations to herself elsewhere . Queen Victoria and her consort Prince Albert had sympathy for the German position , but it was"
gemma-2-2b/gemmascope-res-16k,6836,187,"jew, kippah, synagogue, talmud, torah, judaism, kosher, shabbat","This matter is before the Court upon the Motion for Ind ef inite Suspension Pending Appeal filed by the Mississippi Bar . The complaint involves McGuire ' s conviction of the crime of filing a false currency reporting form in violation of 2 6 U . S . C . A . 6 0 5 0 I ( f )( 1 )( B ), 7 2 0 6 ( 1 ). This Court entered its order on December 1 5 , 1 9 9 4 , granting the Bar ' s request for indefinite suspension pending appeal . On January 2 1 , 1 9 9 7 , the Bar provided certification that the Fifth Circuit Court of"
gemma-2-2b/gemmascope-res-16k,6836,187,"jew, kippah, synagogue, talmud, torah, judaism, kosher, shabbat","no overcoat is provided , chemical attack by the atmosphere on the phosph or can result in a coating losing its capacity to phosp hores ce in six to twelve months . <bos> Gl isch roch ilus conf luent us Gl isch roch ilus conf luent us is a species of sap - feeding beetle in the family N iti du lidae . It is found in North America . References Further reading Category : N iti du lidae Category : Articles created by Q bug bot Category : Be et les described in 1 8 2 3 <bos> Yor ke Island Airport Yor ke Island Airport is an airport in Yorke Island , Queensland ,"
gemma-2-2b/gemmascope-res-16k,6836,187,"jew, kippah, synagogue, talmud, torah, judaism, kosher, shabbat","wind up formally in April 2 0 1 5 . Cons titutional status Over time , demands for coordination across the police service increased as society changed , for example to take account of new developments in international terrorism and organised crime , or roles such as monitoring offenders on release from prison or working with young people to divert them from crime . In 1 9 9 7 AC PO was incorporated as a private company limited by guarantee . As a private company , AC PO was not subject to freedom of information legislation . It was not a staff association ; the staff association for senior police officers was a separate body , the Chief Police Officers Staff Association"
gemma-2-2b/gemmascope-res-65k,5190,36,"jew, kippah, synagogue, torah, judaism, kosher, shabbat","worship Yahweh . They re not real Jews . Their real name is Bauer . They re using you . And they re making fool of yourselves by going along with this insane plan . Hurry up and arrest those criminals who have taken leaders hips of your society . This is not a joke . There s enough evidence out there for everybody to know it s true . It s all over there . Anybody who has done any research in the well documented thoroughly proven facts will know that a criminal gang has control of your financial system for the past three hundred years , and they are planning genocide . They must be stop ."
