query_term,latent_feature_number,activation_tokens
islam,10150,"▁y au - ken ap 
 |- 
 | ▁woman ▁|| ▁ipa e 
 |- 
 | ▁water ▁|| ▁mis u 
 |- 
 | ▁fire ▁|| ▁só 
 |- 
 | ▁stone ▁|| ▁li ki 
 |- 
 | ▁maize ▁|| ▁hote t 
 |- 
 | ▁tap ir ▁|| ▁monot ó 
 |} 

 References 

 External ▁links 
 Tru mai ▁( Inter continental ▁Dictionary ▁Series ) 

 Category : Language ▁isolates ▁of ▁South ▁America 
 Category : End angered ▁indigenous ▁languages ▁of ▁the ▁Americas 
 Category : End angered ▁language ▁isolates 
 Category : Languages ▁of ▁Brazil <bos> 
 6 9 5 ▁S . W . 2 d ▁ 9 5 4 ▁( 1 9 8 5 ) 
 STATE ▁of ▁Tennessee , ▁Appellee"
islam,10150,"▁y au - ken ap 
 |- 
 | ▁woman ▁|| ▁ipa e 
 |- 
 | ▁water ▁|| ▁mis u 
 |- 
 | ▁fire ▁|| ▁só 
 |- 
 | ▁stone ▁|| ▁li ki 
 |- 
 | ▁maize ▁|| ▁hote t 
 |- 
 | ▁tap ir ▁|| ▁monot ó 
 |} 

 References 

 External ▁links 
 Tru mai ▁( Inter continental ▁Dictionary ▁Series ) 

 Category : Language ▁isolates ▁of ▁South ▁America 
 Category : End angered ▁indigenous ▁languages ▁of ▁the ▁Americas 
 Category : End angered ▁language ▁isolates 
 Category : Languages ▁of ▁Brazil <bos> 
 6 9 5 ▁S . W . 2 d ▁ 9 5 4 ▁( 1 9 8 5 ) 
 STATE ▁of ▁Tennessee , ▁Appellee"
islam,10150,"▁y au - ken ap 
 |- 
 | ▁woman ▁|| ▁ipa e 
 |- 
 | ▁water ▁|| ▁mis u 
 |- 
 | ▁fire ▁|| ▁só 
 |- 
 | ▁stone ▁|| ▁li ki 
 |- 
 | ▁maize ▁|| ▁hote t 
 |- 
 | ▁tap ir ▁|| ▁monot ó 
 |} 

 References 

 External ▁links 
 Tru mai ▁( Inter continental ▁Dictionary ▁Series ) 

 Category : Language ▁isolates ▁of ▁South ▁America 
 Category : End angered ▁indigenous ▁languages ▁of ▁the ▁Americas 
 Category : End angered ▁language ▁isolates 
 Category : Languages ▁of ▁Brazil <bos> 
 6 9 5 ▁S . W . 2 d ▁ 9 5 4 ▁( 1 9 8 5 ) 
 STATE ▁of ▁Tennessee , ▁Appellee"
islam,10150,"▁y au - ken ap 
 |- 
 | ▁woman ▁|| ▁ipa e 
 |- 
 | ▁water ▁|| ▁mis u 
 |- 
 | ▁fire ▁|| ▁só 
 |- 
 | ▁stone ▁|| ▁li ki 
 |- 
 | ▁maize ▁|| ▁hote t 
 |- 
 | ▁tap ir ▁|| ▁monot ó 
 |} 

 References 

 External ▁links 
 Tru mai ▁( Inter continental ▁Dictionary ▁Series ) 

 Category : Language ▁isolates ▁of ▁South ▁America 
 Category : End angered ▁indigenous ▁languages ▁of ▁the ▁Americas 
 Category : End angered ▁language ▁isolates 
 Category : Languages ▁of ▁Brazil <bos> 
 6 9 5 ▁S . W . 2 d ▁ 9 5 4 ▁( 1 9 8 5 ) 
 STATE ▁of ▁Tennessee , ▁Appellee"
islam,10150,"▁y au - ken ap 
 |- 
 | ▁woman ▁|| ▁ipa e 
 |- 
 | ▁water ▁|| ▁mis u 
 |- 
 | ▁fire ▁|| ▁só 
 |- 
 | ▁stone ▁|| ▁li ki 
 |- 
 | ▁maize ▁|| ▁hote t 
 |- 
 | ▁tap ir ▁|| ▁monot ó 
 |} 

 References 

 External ▁links 
 Tru mai ▁( Inter continental ▁Dictionary ▁Series ) 

 Category : Language ▁isolates ▁of ▁South ▁America 
 Category : End angered ▁indigenous ▁languages ▁of ▁the ▁Americas 
 Category : End angered ▁language ▁isolates 
 Category : Languages ▁of ▁Brazil <bos> 
 6 9 5 ▁S . W . 2 d ▁ 9 5 4 ▁( 1 9 8 5 ) 
 STATE ▁of ▁Tennessee , ▁Appellee"
islam,10150,"ariana , ▁succeeded ▁in ▁asserting ▁his ▁claim ▁to ▁Schleswig ▁in ▁right ▁of ▁his ▁mother , ▁Adolph us ' ▁sister . ▁On ▁ 5 ▁March ▁ 1 4 6 0 ▁Christian ▁granted ▁a ▁coronation ▁charter ▁( or ▁Frei heits brief ), ▁issued ▁first ▁at ▁Ribe ▁( Treat y ▁of ▁Ribe , ▁, ▁) ▁and ▁afterwards ▁at ▁Kiel , ▁which ▁also ▁repeated ▁that ▁Schleswig ▁and ▁Holstein - R ends burg ▁must ▁remain ▁united ▁"" dat ▁se ▁bli ven ▁e wich ▁tos am ende ▁unge delt "" ▁( Middle ▁Low ▁German ▁or ▁Low ▁Saxon , ▁i . e . ▁that ▁they ▁remain ▁for ▁ever ▁together ▁undivided ). ▁Christian ' s ▁ascension ▁in ▁the ▁County ▁of ▁Holstein - R ends burg ▁was ▁the ▁first ▁succession ▁in ▁Holstein ▁in ▁female ▁line ."
islam,10150,"ariana , ▁succeeded ▁in ▁asserting ▁his ▁claim ▁to ▁Schleswig ▁in ▁right ▁of ▁his ▁mother , ▁Adolph us ' ▁sister . ▁On ▁ 5 ▁March ▁ 1 4 6 0 ▁Christian ▁granted ▁a ▁coronation ▁charter ▁( or ▁Frei heits brief ), ▁issued ▁first ▁at ▁Ribe ▁( Treat y ▁of ▁Ribe , ▁, ▁) ▁and ▁afterwards ▁at ▁Kiel , ▁which ▁also ▁repeated ▁that ▁Schleswig ▁and ▁Holstein - R ends burg ▁must ▁remain ▁united ▁"" dat ▁se ▁bli ven ▁e wich ▁tos am ende ▁unge delt "" ▁( Middle ▁Low ▁German ▁or ▁Low ▁Saxon , ▁i . e . ▁that ▁they ▁remain ▁for ▁ever ▁together ▁undivided ). ▁Christian ' s ▁ascension ▁in ▁the ▁County ▁of ▁Holstein - R ends burg ▁was ▁the ▁first ▁succession ▁in ▁Holstein ▁in ▁female ▁line ."
islam,10150,"ariana , ▁succeeded ▁in ▁asserting ▁his ▁claim ▁to ▁Schleswig ▁in ▁right ▁of ▁his ▁mother , ▁Adolph us ' ▁sister . ▁On ▁ 5 ▁March ▁ 1 4 6 0 ▁Christian ▁granted ▁a ▁coronation ▁charter ▁( or ▁Frei heits brief ), ▁issued ▁first ▁at ▁Ribe ▁( Treat y ▁of ▁Ribe , ▁, ▁) ▁and ▁afterwards ▁at ▁Kiel , ▁which ▁also ▁repeated ▁that ▁Schleswig ▁and ▁Holstein - R ends burg ▁must ▁remain ▁united ▁"" dat ▁se ▁bli ven ▁e wich ▁tos am ende ▁unge delt "" ▁( Middle ▁Low ▁German ▁or ▁Low ▁Saxon , ▁i . e . ▁that ▁they ▁remain ▁for ▁ever ▁together ▁undivided ). ▁Christian ' s ▁ascension ▁in ▁the ▁County ▁of ▁Holstein - R ends burg ▁was ▁the ▁first ▁succession ▁in ▁Holstein ▁in ▁female ▁line ."
islam,10150,"- Erg ▁dance ▁▁ Caus - 3 Abs . 

 ‘ I ▁made ▁her ▁dance .' 

 Semantics 

 Quanti fiers ▁ 
 In ▁Tru mai , ▁quanti fiers ▁appear ▁before ▁the ▁noun ▁they ▁modify . ▁▁ For ▁numerals , ▁while ▁the ▁language ▁includes ▁the ▁names ▁for ▁ 1 - 1 0 , ▁most ▁often ▁only ▁numbers ▁ 1 - 5 ▁are ▁spoken : 

 ‘ 1 ’ ▁mi hin ▁▁▁▁▁▁▁▁▁ ‘ 2 ’ ▁h uch ▁▁▁▁▁▁▁▁▁▁▁ ‘ 3 ’ ▁h uch ▁tah me 

 ‘ 4 ’ ▁pine ▁▁▁▁▁▁▁ pine - kte ▁▁▁▁▁▁▁ len ▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁ ‘ 5 ’ ▁ine ▁▁▁▁▁▁▁▁▁ k ’ ad ▁▁ kel - an 

 ▁▁▁▁▁ Friend ▁▁▁ friend - Gen ▁▁▁ group ▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁ 3 Mas c ▁▁ hand ▁finger - Loc 

"
islam,10150,"- Erg ▁dance ▁▁ Caus - 3 Abs . 

 ‘ I ▁made ▁her ▁dance .' 

 Semantics 

 Quanti fiers ▁ 
 In ▁Tru mai , ▁quanti fiers ▁appear ▁before ▁the ▁noun ▁they ▁modify . ▁▁ For ▁numerals , ▁while ▁the ▁language ▁includes ▁the ▁names ▁for ▁ 1 - 1 0 , ▁most ▁often ▁only ▁numbers ▁ 1 - 5 ▁are ▁spoken : 

 ‘ 1 ’ ▁mi hin ▁▁▁▁▁▁▁▁▁ ‘ 2 ’ ▁h uch ▁▁▁▁▁▁▁▁▁▁▁ ‘ 3 ’ ▁h uch ▁tah me 

 ‘ 4 ’ ▁pine ▁▁▁▁▁▁▁ pine - kte ▁▁▁▁▁▁▁ len ▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁ ‘ 5 ’ ▁ine ▁▁▁▁▁▁▁▁▁ k ’ ad ▁▁ kel - an 

 ▁▁▁▁▁ Friend ▁▁▁ friend - Gen ▁▁▁ group ▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁ 3 Mas c ▁▁ hand ▁finger - Loc 

"
