query_term,latent_feature_number,activation_tokens
programmer,4269,"The ▁news ▁of ▁the ▁ 2 0 1 5 ▁remaster ing ▁of ▁Air ▁Jordan ▁ret ros ▁has ▁resulted ▁in ▁a ▁load ▁of ▁early ▁photos ▁featuring ▁next ▁year ’ s ▁Jord ans . ▁Normally ▁at ▁this ▁time ▁we ’ d ▁be ▁stuck ▁pondering ▁what ▁was ▁to ▁come ▁based ▁off ▁early ▁product ▁sheets ▁and ▁such , ▁but ▁this ▁time ▁around ▁we ’ ve ▁got ▁high ▁res ▁previews ▁of ▁everything ▁for ▁your ▁viewing ▁pleasure . ▁This ▁time ▁around : ▁the ▁Air ▁Jordan ▁ 7 ▁“ French ▁Blue ”. ▁So ▁far ▁the ▁group ▁of ▁Spring ▁ 2 0 1 5 ▁Air ▁Jord ans ▁has ▁been ▁a ▁newer ▁leaning ▁group , ▁and ▁this ▁retro + ▁color way ▁sticks ▁with ▁that ▁trend . ▁See ▁the ▁ 2 0 1 5 ▁Air ▁Jordan ▁"
programmer,4269,"It ▁is ▁in ▁four ▁stages , ▁divided ▁by ▁string ▁courses , ▁on ▁a ▁moulded ▁pl inth . ▁▁ In ▁the ▁bottom ▁stage ▁on ▁the ▁west ▁side ▁is ▁a ▁blocked ▁doorway , ▁an ▁arched ▁three - light ▁window , ▁and ▁a ▁square - headed ▁two - light ▁window . ▁▁ On ▁the ▁north ▁and ▁south ▁sides ▁are ▁lighting ▁slits . ▁▁ In ▁the ▁staircase ▁turret ▁are ▁three ▁slits , ▁and ▁a ▁sund ial . ▁▁ The ▁second ▁stage ▁contains ▁two - light ▁windows , ▁and ▁in ▁the ▁third ▁stage ▁is ▁a ▁clock ▁face ▁on ▁the ▁west ▁side . ▁▁ In ▁the ▁top ▁stage ▁are ▁two - light ▁bell ▁openings , ▁and ▁the ▁parapet ▁is ▁emb attled . ▁▁ The ▁aisles ▁have ▁pointed ▁two - light ▁windows ▁and ▁along"
programmer,4269,"The ▁news ▁of ▁the ▁ 2 0 1 5 ▁remaster ing ▁of ▁Air ▁Jordan ▁ret ros ▁has ▁resulted ▁in ▁a ▁load ▁of ▁early ▁photos ▁featuring ▁next ▁year ’ s ▁Jord ans . ▁Normally ▁at ▁this ▁time ▁we ’ d ▁be ▁stuck ▁pondering ▁what ▁was ▁to ▁come ▁based ▁off ▁early ▁product ▁sheets ▁and ▁such , ▁but ▁this ▁time ▁around ▁we ’ ve ▁got ▁high ▁res ▁previews ▁of ▁everything ▁for ▁your ▁viewing ▁pleasure . ▁This ▁time ▁around : ▁the ▁Air ▁Jordan ▁ 7 ▁“ French ▁Blue ”. ▁So ▁far ▁the ▁group ▁of ▁Spring ▁ 2 0 1 5 ▁Air ▁Jord ans ▁has ▁been ▁a ▁newer ▁leaning ▁group , ▁and ▁this ▁retro + ▁color way ▁sticks ▁with ▁that ▁trend . ▁See ▁the ▁ 2 0 1 5 ▁Air ▁Jordan ▁"
programmer,4269,"The ▁news ▁of ▁the ▁ 2 0 1 5 ▁remaster ing ▁of ▁Air ▁Jordan ▁ret ros ▁has ▁resulted ▁in ▁a ▁load ▁of ▁early ▁photos ▁featuring ▁next ▁year ’ s ▁Jord ans . ▁Normally ▁at ▁this ▁time ▁we ’ d ▁be ▁stuck ▁pondering ▁what ▁was ▁to ▁come ▁based ▁off ▁early ▁product ▁sheets ▁and ▁such , ▁but ▁this ▁time ▁around ▁we ’ ve ▁got ▁high ▁res ▁previews ▁of ▁everything ▁for ▁your ▁viewing ▁pleasure . ▁This ▁time ▁around : ▁the ▁Air ▁Jordan ▁ 7 ▁“ French ▁Blue ”. ▁So ▁far ▁the ▁group ▁of ▁Spring ▁ 2 0 1 5 ▁Air ▁Jord ans ▁has ▁been ▁a ▁newer ▁leaning ▁group , ▁and ▁this ▁retro + ▁color way ▁sticks ▁with ▁that ▁trend . ▁See ▁the ▁ 2 0 1 5 ▁Air ▁Jordan ▁"
programmer,4269,"Number : ▁ 2 ) 
 ▁▁▁▁▁▁ } 
 ▁▁▁▁▁▁ if ▁_ storage ._ optional Uint 3 2 ▁!= ▁ 0 ▁{ 
 ▁▁▁▁▁▁▁▁ try ▁visitor . visit Singular UInt 3 2 Field ( value : ▁_ storage ._ optional Uint 3 2 , ▁field Number : ▁ 3 ) 
 ▁▁▁▁▁▁ } 
 ▁▁▁▁▁▁ if ▁_ storage ._ optional Uint 6 4 ▁!= ▁ 0 ▁{ 
 ▁▁▁▁▁▁▁▁ try ▁visitor . visit Singular UInt 6 4 Field ( value : ▁_ storage ._ optional Uint 6 4 , ▁field Number : ▁ 4 ) 
 ▁▁▁▁▁▁ } 
 ▁▁▁▁▁▁ if ▁_ storage ._ optional Sint 3 2 ▁!= ▁ 0 ▁{ 
 ▁▁▁▁▁▁▁▁ try ▁visitor . visit Singular S Int 3 2 Field ( value :"
programmer,4269,"I ' m ▁just ▁trying ▁to ▁get ▁her ▁back ."" ▁See ▁the ▁video ▁below . <bos> This ▁past ▁Tuesday , ▁I ▁had ▁two ▁photo ▁sessions ▁planned . First , ▁with ▁the ▁amazing ▁vocalist ▁Jo ▁Wy mer ▁in ▁Freehold ▁( pre views ▁coming ▁soon !) .. ▁Later ▁that ▁day , ▁with ▁the ▁adorable ▁Katie ▁and ▁Nick ▁scheduled ▁to ▁get ▁married ▁this ▁coming ▁fall . ▁That ▁morning ▁I ▁looked ▁out ▁the ▁window .. ▁and ▁saw ▁huge ▁sheets ▁of ▁fog ▁everywhere . ▁I ▁knew ▁I ’ d ▁be ▁safe ▁with ▁Jo ’ s ▁session , ▁because ▁it ▁was ▁very ▁inland . ▁Katie ▁and ▁Nick ▁took ▁off ▁work ▁that ▁day ▁for ▁the ▁occasion ▁so ▁I ▁knew ▁I ’ d ▁be ▁have ▁to ▁work ▁with ▁the ▁fog .. ▁not ▁against ▁it ."
programmer,4269,"I ' m ▁just ▁trying ▁to ▁get ▁her ▁back ."" ▁See ▁the ▁video ▁below . <bos> This ▁past ▁Tuesday , ▁I ▁had ▁two ▁photo ▁sessions ▁planned . First , ▁with ▁the ▁amazing ▁vocalist ▁Jo ▁Wy mer ▁in ▁Freehold ▁( pre views ▁coming ▁soon !) .. ▁Later ▁that ▁day , ▁with ▁the ▁adorable ▁Katie ▁and ▁Nick ▁scheduled ▁to ▁get ▁married ▁this ▁coming ▁fall . ▁That ▁morning ▁I ▁looked ▁out ▁the ▁window .. ▁and ▁saw ▁huge ▁sheets ▁of ▁fog ▁everywhere . ▁I ▁knew ▁I ’ d ▁be ▁safe ▁with ▁Jo ’ s ▁session , ▁because ▁it ▁was ▁very ▁inland . ▁Katie ▁and ▁Nick ▁took ▁off ▁work ▁that ▁day ▁for ▁the ▁occasion ▁so ▁I ▁knew ▁I ’ d ▁be ▁have ▁to ▁work ▁with ▁the ▁fog .. ▁not ▁against ▁it ."
programmer,4269,"I ' m ▁just ▁trying ▁to ▁get ▁her ▁back ."" ▁See ▁the ▁video ▁below . <bos> This ▁past ▁Tuesday , ▁I ▁had ▁two ▁photo ▁sessions ▁planned . First , ▁with ▁the ▁amazing ▁vocalist ▁Jo ▁Wy mer ▁in ▁Freehold ▁( pre views ▁coming ▁soon !) .. ▁Later ▁that ▁day , ▁with ▁the ▁adorable ▁Katie ▁and ▁Nick ▁scheduled ▁to ▁get ▁married ▁this ▁coming ▁fall . ▁That ▁morning ▁I ▁looked ▁out ▁the ▁window .. ▁and ▁saw ▁huge ▁sheets ▁of ▁fog ▁everywhere . ▁I ▁knew ▁I ’ d ▁be ▁safe ▁with ▁Jo ’ s ▁session , ▁because ▁it ▁was ▁very ▁inland . ▁Katie ▁and ▁Nick ▁took ▁off ▁work ▁that ▁day ▁for ▁the ▁occasion ▁so ▁I ▁knew ▁I ’ d ▁be ▁have ▁to ▁work ▁with ▁the ▁fog .. ▁not ▁against ▁it ."
programmer,4269,"

 The ▁role ▁of ▁environmental ▁transmission ▁in ▁disease ▁dynamics ▁and ▁the ▁evolution ▁of ▁virulence ▁has ▁attracted ▁increasing ▁interest ▁[@ pone . 0 0 7 1 6 2 1 - Day 1 ], ▁[@ pone . 0 0 7 1 6 2 1 - Roche 1 ], ▁both ▁due ▁to ▁human ▁pathogen ▁outbreaks ▁such ▁as ▁cholera ▁[@ pone . 0 0 7 1 6 2 1 - Col well 1 ] ▁and ▁emergent ▁animal ▁diseases , ▁e . g . ▁column aris ▁disease ▁[@ pone . 0 0 7 1 6 2 1 - P ulk kinen 1 ]. ▁Worldwide , ▁there ▁is ▁an ▁ongoing ▁battle ▁against ▁opportunistic ▁infections , ▁which ▁are ▁often ▁persistent ▁due ▁to ▁the ▁pathogens ' ▁ability ▁to ▁grow ▁outside ▁hosts . ▁Broad - spectrum"
programmer,4269,"It ▁is ▁done , ▁and ▁submitted . ▁You ▁can ▁play ▁“ Survival ▁of ▁the ▁T asti est ” ▁on ▁Android , ▁and ▁on ▁the ▁web . ▁Playing ▁on ▁the ▁web ▁works , ▁but ▁you ▁have ▁to ▁simulate ▁multi - touch ▁for ▁table ▁moving ▁and ▁that ▁can ▁be ▁a ▁bit ▁confusing . 

 There ’ s ▁a ▁lot ▁I ’ d ▁like ▁to ▁talk ▁about . ▁I ’ ll ▁go ▁through ▁every ▁topic , ▁ins ted ▁of ▁making ▁the ▁typical ▁what ▁went ▁right / wrong ▁list . 

 Concept 

 Working ▁over ▁the ▁theme ▁was ▁probably ▁one ▁of ▁the ▁hardest ▁tasks ▁I ▁had ▁to ▁face . 

 Originally , ▁I ▁had ▁an ▁idea ▁of ▁what ▁kind ▁of ▁game ▁I ▁wanted ▁to ▁develop , ▁gameplay ▁wise ▁– ▁something ▁with"
