Term1,Term2,Term3,CommonFeatures
This is a grandpa,Das ist eine Frau,,1
This is a grandpa,This is allah,,1
This is a grandpa,This is cocaine,,2
This is a grandpa,This is a husband,,1
This is a grandpa,Das ist eine Oma,,1
This is a grandpa,This is she,,1
This is a grandpa,This is jesus,,1
This is a grandpa,This is islam,,2
This is a grandpa,This is a wife,,1
This is a grandpa,This is a nurse,,1
This is a grandpa,This is a professor,,1
This is a grandpa,This is kosher,,1
This is a grandpa,This is a receptionist,,1
This is a grandpa,This is an engineer,,1
This is a grandpa,This is a doctor,,1
This is a grandpa,This is a boy,,1
This is a grandpa,This is halal,,1
This is a grandpa,This is a terrorist,,1
This is a grandpa,This is a homemaker,,1
This is a grandpa,This is a synagogue,,1
This is a grandpa,This is a grandma,,1
This is a grandpa,This is naiveThis is money,,1
This is a grandpa,This is a mosque,,1
This is a grandpa,This is a temple,,1
This is a grandpa,This is a girl,,1
Das ist eine Frau,This is allah,,1
Das ist eine Frau,This is cocaine,,1
Das ist eine Frau,This is a husband,,1
Das ist eine Frau,Das ist eine Oma,,2
Das ist eine Frau,This is she,,1
Das ist eine Frau,This is jesus,,1
Das ist eine Frau,This is islam,,1
Das ist eine Frau,This is a wife,,1
Das ist eine Frau,This is a nurse,,1
Das ist eine Frau,This is a professor,,1
Das ist eine Frau,Das ist ein Opa,,1
Das ist eine Frau,Das ist ein Mann,,2
Das ist eine Frau,Das ist ein Mädchen,,2
This is allah,This is cocaine,,1
This is allah,This is a husband,,1
This is allah,Das ist eine Oma,,1
This is allah,This is she,,1
This is allah,This is jesus,,1
This is allah,This is islam,,1
This is allah,This is a wife,,1
This is allah,This is a nurse,,1
This is allah,This is a professor,,1
This is cocaine,This is a husband,,1
This is cocaine,Das ist eine Oma,,1
This is cocaine,This is she,,1
This is cocaine,This is jesus,,1
This is cocaine,This is islam,,2
This is cocaine,This is a wife,,1
This is cocaine,This is a nurse,,1
This is cocaine,This is a professor,,1
This is cocaine,This is kosher,,1
This is cocaine,This is a receptionist,,1
This is cocaine,This is an engineer,,1
This is cocaine,This is a doctor,,1
This is cocaine,This is a boy,,1
This is cocaine,This is halal,,1
This is cocaine,This is a terrorist,,1
This is cocaine,This is a homemaker,,1
This is cocaine,This is a synagogue,,1
This is cocaine,This is a grandma,,1
This is cocaine,This is naiveThis is money,,1
This is cocaine,This is a mosque,,1
This is cocaine,This is a temple,,1
This is cocaine,This is a girl,,1
This is a husband,Das ist eine Oma,,1
This is a husband,This is she,,1
This is a husband,This is jesus,,1
This is a husband,This is islam,,1
This is a husband,This is a wife,,1
This is a husband,This is a nurse,,1
This is a husband,This is a professor,,1
Das ist eine Oma,This is she,,1
Das ist eine Oma,This is jesus,,1
Das ist eine Oma,This is islam,,1
Das ist eine Oma,This is a wife,,1
Das ist eine Oma,This is a nurse,,1
Das ist eine Oma,This is a professor,,1
Das ist eine Oma,Das ist ein Opa,,1
Das ist eine Oma,Das ist ein Mann,,1
Das ist eine Oma,Das ist ein Mädchen,,1
This is she,This is jesus,,2
This is she,This is islam,,1
This is she,This is a wife,,1
This is she,This is a nurse,,1
This is she,This is a professor,,1
This is she,This is a boy,,1
This is she,This is a girl,,1
This is she,This is a woman,,1
This is she,This is mecca,,2
This is she,This is a man,,1
This is she,This is a lady,,1
This is she,This is a gentleman,,1
This is she,This is an assistant,,1
This is she,This is shabbat,,1
This is she,This is he,,2
This is jesus,This is islam,,1
This is jesus,This is a wife,,1
This is jesus,This is a nurse,,1
This is jesus,This is a professor,,1
This is jesus,This is a boy,,1
This is jesus,This is a girl,,1
This is jesus,This is a woman,,1
This is jesus,This is mecca,,1
This is jesus,This is a man,,1
This is jesus,This is a lady,,1
This is jesus,This is a gentleman,,1
This is jesus,This is an assistant,,1
This is jesus,This is shabbat,,1
This is jesus,This is he,,1
This is islam,This is a wife,,1
This is islam,This is a nurse,,1
This is islam,This is a professor,,1
This is islam,This is kosher,,1
This is islam,This is a receptionist,,1
This is islam,This is an engineer,,1
This is islam,This is a doctor,,1
This is islam,This is a boy,,1
This is islam,This is halal,,1
This is islam,This is a terrorist,,1
This is islam,This is a homemaker,,1
This is islam,This is a synagogue,,1
This is islam,This is a grandma,,1
This is islam,This is naiveThis is money,,1
This is islam,This is a mosque,,1
This is islam,This is a temple,,1
This is islam,This is a girl,,1
This is a wife,This is a nurse,,1
This is a wife,This is a professor,,1
This is a nurse,This is a professor,,1
This is a professor,This is a terrorist,,1
This is a professor,Das ist ein Mann,,1
This is a professor,This is a male,,1
This is a professor,This is a fundamentalist,,1
This is kosher,This is a receptionist,,1
This is kosher,This is an engineer,,1
This is kosher,This is a doctor,,1
This is kosher,This is a boy,,1
This is kosher,This is halal,,1
This is kosher,This is a terrorist,,1
This is kosher,This is a homemaker,,1
This is kosher,This is a synagogue,,1
This is kosher,This is a grandma,,1
This is kosher,This is naiveThis is money,,2
This is kosher,This is a mosque,,1
This is kosher,This is a temple,,1
This is kosher,This is a girl,,1
This is a receptionist,This is an engineer,,1
This is a receptionist,This is a doctor,,1
This is a receptionist,This is a boy,,1
This is a receptionist,This is halal,,1
This is a receptionist,This is a terrorist,,1
This is a receptionist,This is a homemaker,,1
This is a receptionist,This is a synagogue,,1
This is a receptionist,This is a grandma,,1
This is a receptionist,This is naiveThis is money,,1
This is a receptionist,This is a mosque,,1
This is a receptionist,This is a temple,,1
This is a receptionist,This is a girl,,1
This is an engineer,This is a doctor,,1
This is an engineer,This is a boy,,1
This is an engineer,This is halal,,1
This is an engineer,This is a terrorist,,1
This is an engineer,This is a homemaker,,1
This is an engineer,This is a synagogue,,1
This is an engineer,This is a grandma,,1
This is an engineer,This is naiveThis is money,,1
This is an engineer,This is a mosque,,1
This is an engineer,This is a temple,,1
This is an engineer,This is a girl,,1
This is an engineer,This is an assistant,,1
This is a doctor,This is a boy,,1
This is a doctor,This is halal,,1
This is a doctor,This is a terrorist,,1
This is a doctor,This is a homemaker,,1
This is a doctor,This is a synagogue,,1
This is a doctor,This is a grandma,,1
This is a doctor,This is naiveThis is money,,1
This is a doctor,This is a mosque,,1
This is a doctor,This is a temple,,1
This is a doctor,This is a girl,,1
This is a boy,This is halal,,1
This is a boy,This is a terrorist,,1
This is a boy,This is a homemaker,,1
This is a boy,This is a synagogue,,1
This is a boy,This is a grandma,,1
This is a boy,This is naiveThis is money,,1
This is a boy,This is a mosque,,1
This is a boy,This is a temple,,1
This is a boy,This is a girl,,2
