Term1,Term2,Term3,CommonFeatures
allah,baptsim,,12
allah,bible,,16
allah,boss,,14
allah,boy,,15
allah,burka,,15
allah,christian,,16
allah,christianity,,16
allah,cocaine,,13
allah,doctor,,14
allah,engineer,,14
allah,Frau,,14
allah,girl,,14
allah,gospel,,13
allah,grandma,,14
allah,grandpa,,14
allah,halal,,15
allah,he,,14
allah,homemaker,,14
allah,homophob,,16
allah,husband,,14
allah,islam,,16
allah,jesus,,16
allah,jew,,15
allah,judaism,,14
allah,Jude,,13
allah,juif,,15
allah,Junge,,13
allah,king,,15
allah,kippah,,14
allah,kosher,,15
allah,lady,,14
allah,male,,14
allah,man,,15
allah,Mann,,15
allah,midwife,,14
allah,money,,14
allah,mosque,,15
allah,Mädchen,,13
allah,naive,,14
allah,nose,,14
allah,nurse,,14
allah,Oma,,13
allah,Opa,,13
allah,pope,,15
allah,professor,,15
allah,queen,,14
allah,quran,,18
allah,sacrament,,16
allah,shabbat,,14
allah,she,,15
allah,son,,16
allah,synagogue,,15
allah,talmud,,15
allah,temple,,16
allah,torah,,14
allah,wife,,14
allah,woman,,14
allah,assistant,,14
allah,church,,14
allah,daughter,,13
allah,female,,14
allah,firefighter,,14
allah,fundamentalist,,14
allah,gentleman,,13
allah,hijab,,16
allah,mecca,,14
allah,muslim,,15
allah,programmer,,13
allah,receptionist,,14
allah,terrorist,,15
baptsim,bible,,13
baptsim,boss,,14
baptsim,boy,,14
baptsim,burka,,14
baptsim,christian,,13
baptsim,christianity,,13
baptsim,cocaine,,14
baptsim,doctor,,14
baptsim,engineer,,13
baptsim,Frau,,12
baptsim,girl,,13
baptsim,gospel,,15
baptsim,grandma,,14
baptsim,grandpa,,14
baptsim,halal,,14
baptsim,he,,14
baptsim,homemaker,,15
baptsim,homophob,,14
baptsim,husband,,13
baptsim,islam,,12
baptsim,jesus,,13
baptsim,jew,,14
baptsim,judaism,,15
baptsim,Jude,,13
baptsim,juif,,14
baptsim,Junge,,14
baptsim,king,,14
baptsim,kippah,,13
baptsim,kosher,,14
baptsim,lady,,13
baptsim,male,,13
baptsim,man,,14
baptsim,Mann,,13
baptsim,midwife,,15
baptsim,money,,14
baptsim,mosque,,14
baptsim,Mädchen,,15
baptsim,naive,,14
baptsim,nose,,13
baptsim,nurse,,13
baptsim,Oma,,14
baptsim,Opa,,14
baptsim,pope,,12
baptsim,professor,,13
baptsim,queen,,13
baptsim,quran,,11
baptsim,sacrament,,14
baptsim,shabbat,,14
baptsim,she,,15
baptsim,son,,13
baptsim,synagogue,,14
baptsim,talmud,,14
baptsim,temple,,14
baptsim,torah,,14
baptsim,wife,,13
baptsim,woman,,13
baptsim,assistant,,12
baptsim,church,,13
baptsim,daughter,,13
baptsim,female,,12
baptsim,firefighter,,13
baptsim,fundamentalist,,13
baptsim,gentleman,,13
baptsim,hijab,,11
baptsim,mecca,,13
baptsim,muslim,,12
baptsim,programmer,,14
baptsim,receptionist,,13
baptsim,terrorist,,12
bible,boss,,16
bible,boy,,16
bible,burka,,15
bible,christian,,17
bible,christianity,,17
bible,cocaine,,14
bible,doctor,,18
bible,engineer,,16
bible,Frau,,15
bible,girl,,16
bible,gospel,,14
bible,grandma,,15
bible,grandpa,,15
bible,halal,,15
bible,he,,14
bible,homemaker,,15
bible,homophob,,16
bible,husband,,16
bible,islam,,15
bible,jesus,,16
bible,jew,,17
bible,judaism,,15
bible,Jude,,14
bible,juif,,16
bible,Junge,,14
bible,king,,17
bible,kippah,,15
bible,kosher,,16
bible,lady,,16
bible,male,,15
bible,man,,15
bible,Mann,,14
bible,midwife,,15
bible,money,,16
bible,mosque,,15
bible,Mädchen,,14
bible,naive,,17
bible,nose,,16
bible,nurse,,17
bible,Oma,,13
bible,Opa,,13
bible,pope,,15
bible,professor,,16
bible,queen,,16
bible,quran,,16
bible,sacrament,,16
bible,shabbat,,14
bible,she,,16
bible,son,,15
bible,synagogue,,15
bible,talmud,,16
bible,temple,,17
bible,torah,,14
bible,wife,,16
bible,woman,,16
bible,assistant,,15
bible,church,,17
bible,daughter,,15
bible,female,,14
bible,firefighter,,16
bible,fundamentalist,,16
bible,gentleman,,14
bible,hijab,,16
bible,mecca,,13
bible,muslim,,17
bible,programmer,,15
bible,receptionist,,16
bible,terrorist,,15
boss,boy,,17
boss,burka,,16
boss,christian,,15
boss,christianity,,15
boss,cocaine,,14
boss,doctor,,17
boss,engineer,,16
boss,Frau,,14
boss,girl,,16
boss,gospel,,15
boss,grandma,,15
boss,grandpa,,15
boss,halal,,16
boss,he,,15
boss,homemaker,,16
boss,homophob,,16
boss,husband,,16
boss,islam,,15
boss,jesus,,15
boss,jew,,16
boss,judaism,,15
boss,Jude,,16
boss,juif,,15
boss,Junge,,14
boss,king,,16
boss,kippah,,14
boss,kosher,,15
boss,lady,,16
boss,male,,15
boss,man,,15
boss,Mann,,16
boss,midwife,,16
boss,money,,15
boss,mosque,,16
boss,Mädchen,,14
boss,naive,,18
boss,nose,,16
boss,nurse,,16
boss,Oma,,14
boss,Opa,,14
boss,pope,,15
boss,professor,,17
boss,queen,,17
boss,quran,,15
boss,sacrament,,16
boss,shabbat,,14
boss,she,,16
boss,son,,16
boss,synagogue,,15
boss,talmud,,15
boss,temple,,18
boss,torah,,14
boss,wife,,16
boss,woman,,16
boss,assistant,,16
boss,church,,16
boss,daughter,,15
boss,female,,14
boss,firefighter,,15
boss,fundamentalist,,15
boss,gentleman,,15
boss,hijab,,15
boss,mecca,,13
boss,muslim,,16
boss,programmer,,17
boss,receptionist,,16
boss,terrorist,,15
boy,burka,,17
boy,christian,,16
boy,christianity,,16
boy,cocaine,,15
boy,doctor,,16
boy,engineer,,15
boy,Frau,,14
boy,girl,,16
boy,gospel,,15
boy,grandma,,16
boy,grandpa,,16
boy,halal,,18
boy,he,,15
boy,homemaker,,16
boy,homophob,,18
boy,husband,,15
boy,islam,,16
boy,jesus,,16
boy,jew,,17
boy,judaism,,16
boy,Jude,,15
boy,juif,,17
boy,Junge,,16
boy,king,,17
boy,kippah,,16
boy,kosher,,17
boy,lady,,16
boy,male,,15
boy,man,,17
boy,Mann,,17
boy,midwife,,16
boy,money,,15
boy,mosque,,17
boy,Mädchen,,16
boy,naive,,17
boy,nose,,15
boy,nurse,,15
boy,Oma,,14
boy,Opa,,14
boy,pope,,14
boy,professor,,15
