query_term,latent_feature_number,activation_tokens
receptionist,8056,"<start_of_turn> user 
 <bos> ▁Andersen ' s ▁own ▁policy . ▁▁ Other ▁than ▁Moore ' s ▁con clus ory ▁statement ▁that ▁he ▁filed ▁a ▁sexual  
 har assment ▁complaint , ▁Moore ' s ▁own ▁affidavit ▁indicates ▁that ▁he ▁talked ▁to ▁Linda ▁Ferguson ▁in ▁Andersen ' s ▁human ▁resources  
 department ▁about ▁sexual ▁harassment , ▁then ▁proceeded ▁to ▁tell ▁her ▁that ▁Maw hin ney ▁was ▁directing ▁agitated ▁and ▁antagonistic  
 behavior ▁toward ▁him ▁and ▁was ▁creating ▁a ▁hostile ▁work ▁environment . ▁▁ Even ▁if ▁Moore ▁did ▁file ▁a ▁claim ▁of ▁sexual ▁harassment  
 against ▁Maw hin ney , ▁there ▁is ▁nothing ▁to ▁suggest ▁that ▁he ▁ever ▁indicated ▁to ▁Ferguson ▁or ▁anyone ▁else ▁any ▁facts ▁that ▁would ▁serve  
 as ▁a ▁basis <end_of_turn> 
"
receptionist,8056,"<start_of_turn> user 
 <bos> ▁Andersen ' s ▁own ▁policy . ▁▁ Other ▁than ▁Moore ' s ▁con clus ory ▁statement ▁that ▁he ▁filed ▁a ▁sexual  
 har assment ▁complaint , ▁Moore ' s ▁own ▁affidavit ▁indicates ▁that ▁he ▁talked ▁to ▁Linda ▁Ferguson ▁in ▁Andersen ' s ▁human ▁resources  
 department ▁about ▁sexual ▁harassment , ▁then ▁proceeded ▁to ▁tell ▁her ▁that ▁Maw hin ney ▁was ▁directing ▁agitated ▁and ▁antagonistic  
 behavior ▁toward ▁him ▁and ▁was ▁creating ▁a ▁hostile ▁work ▁environment . ▁▁ Even ▁if ▁Moore ▁did ▁file ▁a ▁claim ▁of ▁sexual ▁harassment  
 against ▁Maw hin ney , ▁there ▁is ▁nothing ▁to ▁suggest ▁that ▁he ▁ever ▁indicated ▁to ▁Ferguson ▁or ▁anyone ▁else ▁any ▁facts ▁that ▁would ▁serve  
 as ▁a ▁basis <end_of_turn> 
"
receptionist,8056,"<start_of_turn> user 
 <bos> ▁features . 

 Unlocked ▁features ▁include : 

 * ▁Removal ▁of ▁ads 
 * ▁The ▁ability ▁to ▁add ▁any ▁item ▁manually 
 * ▁The ▁ability ▁to ▁multi select ▁items ▁for ▁tagging , ▁rating , ▁deleting , ▁e . t . c . 
 * ▁The ▁ability ▁to ▁add ▁items ▁to ▁a ▁wishlist 

 Thank ▁you ▁to ▁everyone ▁who ▁supports ▁a ▁one - man ▁development ▁team , ▁acting ▁as ▁developer , ▁tester , ▁documentation ▁writer , ▁customer ▁relations , ▁and ▁public ▁relations . ▁I ▁wouldn ' t ▁do ▁this ▁if ▁it ▁weren ' t ▁for ▁all ▁of ▁you . 

 Last ▁comments ▁from ▁Android ▁Market 

 Alejandro ▁( ***** ) There ▁is ▁no ▁"" bait ▁& ▁switch "". ▁Just ▁a ▁single ▁man <end_of_turn> 
"
receptionist,8056,"<start_of_turn> user 
 <bos> ▁features . 

 Unlocked ▁features ▁include : 

 * ▁Removal ▁of ▁ads 
 * ▁The ▁ability ▁to ▁add ▁any ▁item ▁manually 
 * ▁The ▁ability ▁to ▁multi select ▁items ▁for ▁tagging , ▁rating , ▁deleting , ▁e . t . c . 
 * ▁The ▁ability ▁to ▁add ▁items ▁to ▁a ▁wishlist 

 Thank ▁you ▁to ▁everyone ▁who ▁supports ▁a ▁one - man ▁development ▁team , ▁acting ▁as ▁developer , ▁tester , ▁documentation ▁writer , ▁customer ▁relations , ▁and ▁public ▁relations . ▁I ▁wouldn ' t ▁do ▁this ▁if ▁it ▁weren ' t ▁for ▁all ▁of ▁you . 

 Last ▁comments ▁from ▁Android ▁Market 

 Alejandro ▁( ***** ) There ▁is ▁no ▁"" bait ▁& ▁switch "". ▁Just ▁a ▁single ▁man <end_of_turn> 
"
receptionist,8056,"<start_of_turn> user 
 <bos> ▁features . 

 Unlocked ▁features ▁include : 

 * ▁Removal ▁of ▁ads 
 * ▁The ▁ability ▁to ▁add ▁any ▁item ▁manually 
 * ▁The ▁ability ▁to ▁multi select ▁items ▁for ▁tagging , ▁rating , ▁deleting , ▁e . t . c . 
 * ▁The ▁ability ▁to ▁add ▁items ▁to ▁a ▁wishlist 

 Thank ▁you ▁to ▁everyone ▁who ▁supports ▁a ▁one - man ▁development ▁team , ▁acting ▁as ▁developer , ▁tester , ▁documentation ▁writer , ▁customer ▁relations , ▁and ▁public ▁relations . ▁I ▁wouldn ' t ▁do ▁this ▁if ▁it ▁weren ' t ▁for ▁all ▁of ▁you . 

 Last ▁comments ▁from ▁Android ▁Market 

 Alejandro ▁( ***** ) There ▁is ▁no ▁"" bait ▁& ▁switch "". ▁Just ▁a ▁single ▁man <end_of_turn> 
"
receptionist,8056,"<start_of_turn> user 
 <bos> ▁features . 

 Unlocked ▁features ▁include : 

 * ▁Removal ▁of ▁ads 
 * ▁The ▁ability ▁to ▁add ▁any ▁item ▁manually 
 * ▁The ▁ability ▁to ▁multi select ▁items ▁for ▁tagging , ▁rating , ▁deleting , ▁e . t . c . 
 * ▁The ▁ability ▁to ▁add ▁items ▁to ▁a ▁wishlist 

 Thank ▁you ▁to ▁everyone ▁who ▁supports ▁a ▁one - man ▁development ▁team , ▁acting ▁as ▁developer , ▁tester , ▁documentation ▁writer , ▁customer ▁relations , ▁and ▁public ▁relations . ▁I ▁wouldn ' t ▁do ▁this ▁if ▁it ▁weren ' t ▁for ▁all ▁of ▁you . 

 Last ▁comments ▁from ▁Android ▁Market 

 Alejandro ▁( ***** ) There ▁is ▁no ▁"" bait ▁& ▁switch "". ▁Just ▁a ▁single ▁man <end_of_turn> 
"
receptionist,8056,"<start_of_turn> user 
 <bos> ▁their ▁decision . 

 Little ▁wonder ▁then ▁that ▁Sat ya ▁Verma , ▁an ▁employee ▁of ▁information ▁technology ▁major ▁Hindustan ▁Computers ▁Ltd , ▁who ▁was ▁once ▁elated ▁getting ▁a ▁job ▁in ▁Noida , ▁now ▁regrets ▁his ▁decision . 

 “ Development ▁is ▁restricted ▁to ▁some ▁areas . ▁Water ▁is ▁dirty . ▁Electricity ▁supply ▁is ▁poor . ▁There ▁are ▁potholes ▁everywhere . ▁Theft ▁and ▁burglar ies ▁are ▁routine ,” ▁he ▁said . 

 “ It ▁is ▁hard ▁to ▁believe ▁that ▁there ▁are ▁so ▁many ▁software ▁companies ▁here ▁- ▁many ▁of ▁them ▁catering ▁to ▁Fortune ▁ 5 0 0 ▁companies ,” ▁he ▁added , ▁a ▁view ▁shared ▁by ▁S unit ▁Rai , ▁a ▁public ▁relations ▁executive ▁who ▁lives ▁in ▁Sector ▁ 6 2 . <end_of_turn> 
"
receptionist,8056,"<start_of_turn> user 
 <bos> ▁the ▁Window ▁and ▁Door ▁Industry . ▁This ▁feature ▁helps ▁to ▁decrease ▁the ▁oval ity ▁when ▁bending ▁round ▁tube ▁in ▁the ▁furthest ▁position ▁while ▁also ▁allowing ▁for ▁a ▁decrease ▁in ▁Minimum ▁radius ▁when ▁using ▁the ▁machine ▁in ▁its ▁closest ▁setting . ▁Multiple ▁speeds ▁on ▁both ▁X ▁and ▁Y ▁axis ▁provide ▁the ▁user ▁with ▁the ▁ability ▁to ▁create ▁elaborate ▁shapes ▁with ▁smooth ▁transitions ▁between ▁segments ▁and ▁with ▁the ▁standard ▁photo cell ▁lens ▁each ▁part ▁will ▁begin ▁and ▁end ▁at ▁the ▁same ▁place ▁each ▁time . ▁Designed ▁to ▁work ▁in ▁either ▁the ▁horizontal ▁or ▁vertical ▁position ▁this ▁machine ▁offers ▁the ▁ultimate ▁in ▁control . ▁To ▁learn ▁more ▁please ▁contact ▁our ▁sales ▁force ▁directly ▁and ▁we ▁will ▁send ▁over ▁a ▁formal ▁quotation . ▁ 4 <end_of_turn> 
"
receptionist,8056,"<start_of_turn> user 
 <bos> ▁seen , 
 Maw hin ney ▁referred ▁to ▁Moore ▁as ▁Barry ▁in ▁the ▁memorandum . 
 Moore ▁states ▁in ▁his ▁affidavit ▁that ▁on ▁the ▁next ▁working ▁day , ▁Monday , ▁July ▁ 2 7 , ▁ 1 9 9 8 , ▁he ▁went ▁to ▁Andersen ' s ▁office ▁of ▁human  
 resources ▁and ▁talked ▁to ▁Linda ▁Ferguson . ▁▁ He ▁indicates ▁that ▁after ▁telling ▁her ▁he ▁wanted ▁to ▁talk ▁to ▁her ▁about ▁sexual ▁harassment , 
 he ▁complained ▁that ▁Maw hin ney ▁was ▁directing ▁agitated ▁and ▁antagonistic ▁behavior ▁toward ▁him ▁and ▁was ▁creating ▁a ▁hostile  
 work ▁environment . ▁▁ Moore ▁says ▁that ▁he ▁prepared ▁a ▁detailed ▁rebuttal ▁of ▁the ▁charges ▁in ▁Maw hin ney ' s ▁memo ▁and <end_of_turn> 
"
receptionist,8056,"<start_of_turn> user 
 <bos> ▁directly ▁provided ▁HR s ▁and ▁ 9 5 % ▁C Is , ▁so ▁the ▁data ▁extracted ▁by ▁using ▁Tierney \' s ▁methods ▁may ▁also ▁cause ▁the ▁imp rec ision ▁of ▁the ▁original ▁data . 

 Despite ▁these ▁limitations , ▁the ▁results ▁of ▁our ▁meta - analysis ▁initially ▁support ▁the ▁hypothesis ▁that ▁EMT - TF ▁overexpression ▁is ▁associated ▁with ▁malignant ▁phenotype ▁features ▁and ▁poor ▁postoperative ▁OS ▁of ▁HCC ▁patients ▁in ▁Asian ▁populations . ▁More ▁investigations ▁are ▁needed ▁in ▁order ▁to ▁fully ▁understand ▁the ▁pivotal ▁role ▁of ▁each ▁individual ▁EMT - TF ▁so ▁as ▁to ▁provide ▁new ▁insights ▁into ▁tumor ▁metastasis ▁and ▁progression , ▁and ▁lay ▁a ▁theoretical ▁foundation ▁for ▁innov ating ▁target - specific ▁drug ▁therapies ▁and ▁molecular ▁prognostic ▁biomarkers ▁of ▁HCC <end_of_turn> 
"
receptionist,8056,"<start_of_turn> user 
 <bos> ▁directly ▁provided ▁HR s ▁and ▁ 9 5 % ▁C Is , ▁so ▁the ▁data ▁extracted ▁by ▁using ▁Tierney \' s ▁methods ▁may ▁also ▁cause ▁the ▁imp rec ision ▁of ▁the ▁original ▁data . 

 Despite ▁these ▁limitations , ▁the ▁results ▁of ▁our ▁meta - analysis ▁initially ▁support ▁the ▁hypothesis ▁that ▁EMT - TF ▁overexpression ▁is ▁associated ▁with ▁malignant ▁phenotype ▁features ▁and ▁poor ▁postoperative ▁OS ▁of ▁HCC ▁patients ▁in ▁Asian ▁populations . ▁More ▁investigations ▁are ▁needed ▁in ▁order ▁to ▁fully ▁understand ▁the ▁pivotal ▁role ▁of ▁each ▁individual ▁EMT - TF ▁so ▁as ▁to ▁provide ▁new ▁insights ▁into ▁tumor ▁metastasis ▁and ▁progression , ▁and ▁lay ▁a ▁theoretical ▁foundation ▁for ▁innov ating ▁target - specific ▁drug ▁therapies ▁and ▁molecular ▁prognostic ▁biomarkers ▁of ▁HCC <end_of_turn> 
"
receptionist,8056,"<start_of_turn> user 
 <bos> ▁since ▁ 1 9 3 5 . ▁Please ▁send ▁comments ▁to : ▁Consumer ▁Services , ▁Friendly ' s ▁Ice ▁Cream , ▁LLC , ▁ 1 8 5 5 ▁Boston ▁Road , ▁Wil bra ham , ▁MA ▁ 0 1 0 9 5 ▁USA . ▁ 1 - 8 0 0 - 9 6 6 - 9 9 7 0 ▁( toll ▁free ) ▁or ▁visit ▁our ▁website : ▁www . friendly s . com . ▁En close ▁with ▁all ▁correspondence : ▁where ▁product ▁was ▁purchased ; ▁product ▁and ▁date ▁codes ▁from ▁package . ▁Making ▁the ▁world ▁Friendly ▁one ▁scoop ▁at ▁a ▁time ! ▁The ▁Blake ▁Brothers ▁opened ▁their ▁first ▁ice ▁cream ▁shop ▁in ▁ 1 9 3 5 ▁and ▁called ▁it <end_of_turn> 
"
receptionist,8056,"<start_of_turn> user 
 <bos> ▁since ▁ 1 9 3 5 . ▁Please ▁send ▁comments ▁to : ▁Consumer ▁Services , ▁Friendly ' s ▁Ice ▁Cream , ▁LLC , ▁ 1 8 5 5 ▁Boston ▁Road , ▁Wil bra ham , ▁MA ▁ 0 1 0 9 5 ▁USA . ▁ 1 - 8 0 0 - 9 6 6 - 9 9 7 0 ▁( toll ▁free ) ▁or ▁visit ▁our ▁website : ▁www . friendly s . com . ▁En close ▁with ▁all ▁correspondence : ▁where ▁product ▁was ▁purchased ; ▁product ▁and ▁date ▁codes ▁from ▁package . ▁Making ▁the ▁world ▁Friendly ▁one ▁scoop ▁at ▁a ▁time ! ▁The ▁Blake ▁Brothers ▁opened ▁their ▁first ▁ice ▁cream ▁shop ▁in ▁ 1 9 3 5 ▁and ▁called ▁it <end_of_turn> 
"
receptionist,8056,"<start_of_turn> user 
 <bos> ▁needed ▁information . 
 For ▁more ▁information ▁about ▁our ▁NEED INFO ▁policy ▁please ▁read ▁the 
 wiki ▁located ▁here : 
 https :// wiki . document foundation . org / QA / Bug zilla / Fields / Status / NEED INFO 
 If ▁you ▁have ▁already ▁provided ▁the ▁requested ▁information , ▁please 
 mark ▁the ▁bug ▁as ▁UN CONF IRMED ▁so ▁that ▁the ▁QA ▁team ▁knows ▁that ▁the 
 bug ▁is ▁ready ▁to ▁be ▁confirmed . 
 Thank ▁you ▁for ▁helping ▁us ▁make ▁Libre Office ▁even ▁better ▁for ▁everyone ! 
 Warm ▁Regards , 
 QA ▁Team 
 Mass Ping - Need Info - Ping - 2 0 1 7 0 1 3 1 

 Dear ▁Bug ▁Sub mitter , 
 <end_of_turn> 
"
receptionist,8056,"<start_of_turn> user 
 <bos> ▁needed ▁information . 
 For ▁more ▁information ▁about ▁our ▁NEED INFO ▁policy ▁please ▁read ▁the 
 wiki ▁located ▁here : 
 https :// wiki . document foundation . org / QA / Bug zilla / Fields / Status / NEED INFO 
 If ▁you ▁have ▁already ▁provided ▁the ▁requested ▁information , ▁please 
 mark ▁the ▁bug ▁as ▁UN CONF IRMED ▁so ▁that ▁the ▁QA ▁team ▁knows ▁that ▁the 
 bug ▁is ▁ready ▁to ▁be ▁confirmed . 
 Thank ▁you ▁for ▁helping ▁us ▁make ▁Libre Office ▁even ▁better ▁for ▁everyone ! 
 Warm ▁Regards , 
 QA ▁Team 
 Mass Ping - Need Info - Ping - 2 0 1 7 0 1 3 1 

 Dear ▁Bug ▁Sub mitter , 
 <end_of_turn> 
"
receptionist,8056,"<start_of_turn> user 
 <bos> 9 7 ▁and ▁a ▁customer ▁care ▁representative ▁will ▁be ▁happy ▁to ▁assist ▁you . ▁Please ▁inform ▁the ▁Customer ▁Service ▁representative ▁that ▁you ▁require ▁assistance . 

 Product ▁Selection 

 Suit ▁Up ▁for ▁Your ▁Training : ▁Shop ▁Under ▁Armour ® 

 Engine ered ▁for ▁an ▁unbelievable ▁fit , ▁Under ▁Armour ® ▁apparel ▁works ▁as ▁hard ▁as ▁you ▁do — each ▁garment ▁is ▁designed ▁with ▁performance - enhancing ▁features ▁to ▁help ▁you ▁make ▁the ▁most ▁of ▁your ▁training . 

 Shop ▁Under ▁Armour ® ▁for ▁men , ▁women ▁and ▁kids . ▁Experience ▁the ▁remarkable ▁fit ▁and ▁feel ▁of ▁technical ▁fabrics ▁that ▁regulate ▁your ▁body ▁temperature , ▁wick ▁away ▁perspiration ▁and ▁support ▁your ▁muscles ▁as ▁you ▁train . 

 Buying ▁Tips 

 It ’ <end_of_turn> 
"
