Term1,Term2,Term3,CommonFeatures
son,daughter,,2
son,cocaine,,1
son,girl,,1
son,boy,,1
son,Junge,,1
daughter,grandpa,,1
daughter,grandma,,1
girl,boy,,2
girl,Junge,,1
girl,Mädchen,,4
girl,lady,,3
girl,female,,3
girl,she,,4
girl,woman,,2
boy,Junge,,2
boy,Mädchen,,1
boy,men,,2
boy,gentleman,,4
boy,Mann,,2
boy,man,,5
boy,male,,4
boy,king,,1
boy,boss,,2
Junge,sacrament,,1
Junge,allah,,1
Junge,Mann,,6
Junge,Frau,,10
gospel,jesus,,2
gospel,christian,,3
gospel,baptsim,,6
gospel,christianity,,3
gospel,sacrament,,1
gospel,allah,,1
gospel,talmud,,2
gospel,torah,,3
gospel,bible,,2
gospel,islam,,1
jesus,christian,,1
jesus,baptsim,,1
jesus,christianity,,3
jesus,bible,,1
jesus,temple,,1
jesus,pope,,1
christian,baptsim,,6
christian,christianity,,13
christian,bible,,1
christian,islam,,1
christian,church,,1
christian,mosque,,1
christian,muslim,,1
baptsim,christianity,,6
baptsim,sacrament,,1
baptsim,torah,,2
baptsim,bible,,4
christianity,bible,,2
christianity,islam,,1
christianity,temple,,1
christianity,muslim,,1
sacrament,allah,,3
sacrament,synagogue,,1
sacrament,temple,,1
sacrament,church,,1
sacrament,mosque,,1
allah,islam,,5
allah,mosque,,3
allah,mecca,,2
allah,muslim,,5
allah,halal,,3
talmud,torah,,10
talmud,bible,,2
talmud,islam,,1
talmud,synagogue,,5
talmud,kosher,,2
talmud,kippah,,3
talmud,juif,,4
talmud,shabbat,,4
talmud,jew,,3
talmud,judaism,,6
talmud,temple,,1
torah,bible,,8
torah,islam,,1
torah,synagogue,,1
torah,kosher,,2
torah,kippah,,2
torah,juif,,2
torah,shabbat,,2
torah,judaism,,1
torah,temple,,1
torah,mosque,,1
bible,islam,,1
bible,kosher,,1
bible,mosque,,1
islam,mosque,,3
islam,muslim,,7
islam,halal,,4
islam,hijab,,1
Mädchen,lady,,9
Mädchen,female,,15
Mädchen,she,,1
Mädchen,woman,,8
Mädchen,Frau,,6
lady,female,,11
lady,woman,,15
lady,assistant,,1
female,she,,2
female,woman,,11
female,assistant,,1
female,Frau,,7
woman,assistant,,1
receptionist,assistant,,1
assistant,professor,,3
assistant,homemaker,,1
assistant,nurse,,1
synagogue,kosher,,3
synagogue,kippah,,4
synagogue,juif,,5
synagogue,shabbat,,6
synagogue,jew,,3
synagogue,judaism,,4
synagogue,temple,,2
synagogue,church,,1
synagogue,mosque,,2
synagogue,professor,,1
kosher,kippah,,8
kosher,juif,,8
kosher,shabbat,,6
kosher,jew,,3
kosher,judaism,,5
kosher,halal,,7
kippah,juif,,11
kippah,shabbat,,5
kippah,jew,,3
kippah,judaism,,5
kippah,halal,,3
kippah,hijab,,2
kippah,burka,,2
juif,shabbat,,5
juif,jew,,11
juif,judaism,,10
juif,halal,,3
shabbat,judaism,,3
shabbat,halal,,1
jew,judaism,,12
temple,church,,4
temple,mosque,,5
temple,men,,1
temple,Mann,,1
temple,man,,1
temple,male,,1
temple,mecca,,2
church,mosque,,4
mosque,firefighter,,1
mosque,mecca,,2
mosque,muslim,,3
mosque,halal,,2
firefighter,Oma,,1
Oma,queen,,1
Oma,boss,,1
men,gentleman,,1
men,Mann,,9
men,man,,10
men,male,,14
men,mecca,,1
gentleman,Mann,,2
gentleman,man,,4
gentleman,doctor,,1
Mann,man,,7
Mann,male,,7
Mann,Frau,,7
man,male,,7
male,mecca,,1
mecca,muslim,,1
homophob,doctor,,1
doctor,nurse,,2
doctor,naive,,1
doctor,king,,1
doctor,midwife,,1
homemaker,nurse,,1
nurse,king,,1
nurse,midwife,,1
Frau,husband,,1
muslim,halal,,2
hijab,burka,,10
grandpa,grandma,,11
queen,king,,5
king,midwife,,1
king,money,,1
husband,wife,,10
son,girl,boy,1
son,girl,Junge,1
son,boy,Junge,1
daughter,grandpa,grandma,1
girl,boy,Junge,1
girl,boy,Mädchen,1
girl,Mädchen,lady,1
girl,Mädchen,female,1
girl,Mädchen,she,1
girl,lady,female,1
girl,lady,woman,2
girl,female,she,2
girl,female,woman,1
boy,men,Mann,1
boy,men,man,2
boy,men,male,2
boy,gentleman,Mann,1
boy,gentleman,man,3
boy,Mann,man,1
boy,Mann,male,1
boy,man,male,2
Junge,sacrament,allah,1
Junge,Mann,Frau,6
gospel,jesus,christian,1
gospel,jesus,baptsim,1
gospel,jesus,christianity,1
gospel,jesus,bible,1
gospel,christian,baptsim,3
gospel,christian,christianity,2
gospel,christian,bible,1
gospel,baptsim,christianity,3
gospel,baptsim,torah,1
gospel,baptsim,bible,1
gospel,christianity,bible,1
gospel,sacrament,allah,1
gospel,talmud,torah,2
gospel,talmud,bible,1
gospel,talmud,islam,1
gospel,torah,bible,1
gospel,torah,islam,1
gospel,bible,islam,1
jesus,christian,baptsim,1
jesus,christian,christianity,1
jesus,christian,bible,1
jesus,baptsim,christianity,1
jesus,baptsim,bible,1
jesus,christianity,bible,1
jesus,christianity,temple,1
christian,baptsim,christianity,4
christian,baptsim,bible,1
christian,christianity,bible,1
christian,christianity,islam,1
christian,christianity,muslim,1
christian,islam,muslim,1
christian,church,mosque,1
baptsim,christianity,bible,2
baptsim,torah,bible,1
christianity,islam,muslim,1
sacrament,synagogue,temple,1
sacrament,synagogue,mosque,1
sacrament,temple,mosque,1
allah,islam,mosque,3
allah,islam,muslim,3
allah,islam,halal,2
allah,mosque,muslim,2
allah,mosque,halal,2
allah,muslim,halal,1
talmud,torah,bible,2
talmud,torah,islam,1
talmud,torah,synagogue,1
talmud,torah,kosher,2
talmud,torah,kippah,2
talmud,torah,juif,2
talmud,torah,shabbat,2
talmud,torah,judaism,1
talmud,torah,temple,1
talmud,bible,islam,1
talmud,synagogue,kosher,1
talmud,synagogue,kippah,2
talmud,synagogue,juif,2
talmud,synagogue,shabbat,3
talmud,synagogue,jew,2
talmud,synagogue,judaism,2
talmud,kosher,kippah,2
talmud,kosher,juif,2
talmud,kosher,shabbat,2
talmud,kosher,judaism,1
talmud,kippah,juif,3
talmud,kippah,shabbat,2
talmud,kippah,jew,1
talmud,kippah,judaism,2
talmud,juif,shabbat,2
talmud,juif,jew,1
talmud,juif,judaism,3
talmud,shabbat,judaism,1
talmud,jew,judaism,3
torah,bible,islam,1
torah,bible,mosque,1
torah,synagogue,kosher,1
torah,synagogue,kippah,1
torah,synagogue,juif,1
torah,synagogue,shabbat,1
torah,kosher,kippah,2
torah,kosher,juif,2
torah,kosher,shabbat,2
torah,kosher,judaism,1
torah,kippah,juif,2
torah,kippah,shabbat,2
torah,kippah,judaism,1
torah,juif,shabbat,2
torah,juif,judaism,1
torah,shabbat,judaism,1
islam,mosque,muslim,2
islam,mosque,halal,2
islam,muslim,halal,2
Mädchen,lady,female,8
Mädchen,lady,woman,8
Mädchen,female,she,1
Mädchen,female,woman,8
Mädchen,female,Frau,6
lady,female,woman,11
lady,female,assistant,1
lady,woman,assistant,1
female,woman,assistant,1
synagogue,kosher,kippah,3
synagogue,kosher,juif,3
synagogue,kosher,shabbat,3
synagogue,kosher,judaism,1
synagogue,kippah,juif,4
synagogue,kippah,shabbat,3
synagogue,kippah,jew,1
synagogue,kippah,judaism,2
synagogue,juif,shabbat,3
synagogue,juif,jew,2
synagogue,juif,judaism,2
synagogue,shabbat,judaism,2
synagogue,jew,judaism,2
synagogue,temple,church,1
synagogue,temple,mosque,2
synagogue,church,mosque,1
kosher,kippah,juif,8
kosher,kippah,shabbat,5
kosher,kippah,jew,1
kosher,kippah,judaism,3
kosher,kippah,halal,3
kosher,juif,shabbat,5
kosher,juif,jew,1
kosher,juif,judaism,3
kosher,juif,halal,3
kosher,shabbat,judaism,2
kosher,shabbat,halal,1
kosher,jew,judaism,3
kippah,juif,shabbat,5
kippah,juif,jew,3
kippah,juif,judaism,5
kippah,juif,halal,3
kippah,shabbat,judaism,2
kippah,shabbat,halal,1
kippah,jew,judaism,2
kippah,hijab,burka,1
juif,shabbat,judaism,2
juif,shabbat,halal,1
juif,jew,judaism,6
temple,church,mosque,3
temple,men,Mann,1
temple,men,man,1
temple,men,male,1
temple,Mann,man,1
temple,Mann,male,1
temple,man,male,1
mosque,mecca,muslim,1
mosque,muslim,halal,1
men,gentleman,Mann,1
men,gentleman,man,1
men,Mann,man,7
men,Mann,male,7
men,man,male,7
men,male,mecca,1
gentleman,Mann,man,1
Mann,man,male,5
doctor,nurse,king,1
doctor,nurse,midwife,1
doctor,king,midwife,1
nurse,king,midwife,1
