model,SAE,query,featurenumber
gemma-2-2b,gemmascope-att-16k,allah,10703
gemma-2-2b,gemmascope-att-16k,allah,11390
gemma-2-2b,gemmascope-att-16k,allah,12301
gemma-2-2b,gemmascope-att-16k,allah,13166
gemma-2-2b,gemmascope-att-16k,allah,13628
gemma-2-2b,gemmascope-att-16k,allah,14463
gemma-2-2b,gemmascope-att-16k,allah,14886
gemma-2-2b,gemmascope-att-16k,allah,14988
gemma-2-2b,gemmascope-att-16k,allah,15018
gemma-2-2b,gemmascope-att-16k,allah,15727
gemma-2-2b,gemmascope-att-16k,allah,16350
gemma-2-2b,gemmascope-att-16k,allah,2311
gemma-2-2b,gemmascope-att-16k,allah,261
gemma-2-2b,gemmascope-att-16k,allah,3101
gemma-2-2b,gemmascope-att-16k,allah,4171
gemma-2-2b,gemmascope-att-16k,allah,4526
gemma-2-2b,gemmascope-att-16k,allah,5656
gemma-2-2b,gemmascope-att-16k,allah,6884
gemma-2-2b,gemmascope-att-16k,allah,6956
gemma-2-2b,gemmascope-att-16k,allah,9843
gemma-2-2b,gemmascope-att-16k,allah,allah
gemma-2-2b,gemmascope-att-16k,assistant,10703
gemma-2-2b,gemmascope-att-16k,assistant,11390
gemma-2-2b,gemmascope-att-16k,assistant,12301
gemma-2-2b,gemmascope-att-16k,assistant,13166
gemma-2-2b,gemmascope-att-16k,assistant,13628
gemma-2-2b,gemmascope-att-16k,assistant,14463
gemma-2-2b,gemmascope-att-16k,assistant,14886
gemma-2-2b,gemmascope-att-16k,assistant,14988
gemma-2-2b,gemmascope-att-16k,assistant,15018
gemma-2-2b,gemmascope-att-16k,assistant,16350
gemma-2-2b,gemmascope-att-16k,assistant,2311
gemma-2-2b,gemmascope-att-16k,assistant,261
gemma-2-2b,gemmascope-att-16k,assistant,3101
gemma-2-2b,gemmascope-att-16k,assistant,4171
gemma-2-2b,gemmascope-att-16k,assistant,4526
gemma-2-2b,gemmascope-att-16k,assistant,5656
gemma-2-2b,gemmascope-att-16k,assistant,6884
gemma-2-2b,gemmascope-att-16k,assistant,6956
gemma-2-2b,gemmascope-att-16k,assistant,7876
gemma-2-2b,gemmascope-att-16k,assistant,9843
gemma-2-2b,gemmascope-att-16k,assistant,assistant
gemma-2-2b,gemmascope-att-16k,baptsim,10703
gemma-2-2b,gemmascope-att-16k,baptsim,10930
gemma-2-2b,gemmascope-att-16k,baptsim,11382
gemma-2-2b,gemmascope-att-16k,baptsim,11390
gemma-2-2b,gemmascope-att-16k,baptsim,12301
gemma-2-2b,gemmascope-att-16k,baptsim,13166
gemma-2-2b,gemmascope-att-16k,baptsim,13628
gemma-2-2b,gemmascope-att-16k,baptsim,14463
gemma-2-2b,gemmascope-att-16k,baptsim,14886
gemma-2-2b,gemmascope-att-16k,baptsim,15018
gemma-2-2b,gemmascope-att-16k,baptsim,16350
gemma-2-2b,gemmascope-att-16k,baptsim,2311
gemma-2-2b,gemmascope-att-16k,baptsim,261
gemma-2-2b,gemmascope-att-16k,baptsim,3101
gemma-2-2b,gemmascope-att-16k,baptsim,4171
gemma-2-2b,gemmascope-att-16k,baptsim,4526
gemma-2-2b,gemmascope-att-16k,baptsim,5656
gemma-2-2b,gemmascope-att-16k,baptsim,6884
gemma-2-2b,gemmascope-att-16k,baptsim,7876
gemma-2-2b,gemmascope-att-16k,baptsim,9843
gemma-2-2b,gemmascope-att-16k,baptsim,baptsim
gemma-2-2b,gemmascope-att-16k,bible,10703
gemma-2-2b,gemmascope-att-16k,bible,11390
gemma-2-2b,gemmascope-att-16k,bible,12301
gemma-2-2b,gemmascope-att-16k,bible,13166
gemma-2-2b,gemmascope-att-16k,bible,13628
gemma-2-2b,gemmascope-att-16k,bible,14463
gemma-2-2b,gemmascope-att-16k,bible,14886
gemma-2-2b,gemmascope-att-16k,bible,14988
gemma-2-2b,gemmascope-att-16k,bible,15018
gemma-2-2b,gemmascope-att-16k,bible,16350
gemma-2-2b,gemmascope-att-16k,bible,2311
gemma-2-2b,gemmascope-att-16k,bible,261
gemma-2-2b,gemmascope-att-16k,bible,3101
gemma-2-2b,gemmascope-att-16k,bible,4171
gemma-2-2b,gemmascope-att-16k,bible,4526
gemma-2-2b,gemmascope-att-16k,bible,5656
gemma-2-2b,gemmascope-att-16k,bible,6884
gemma-2-2b,gemmascope-att-16k,bible,6956
gemma-2-2b,gemmascope-att-16k,bible,7876
gemma-2-2b,gemmascope-att-16k,bible,9843
gemma-2-2b,gemmascope-att-16k,bible,bible
gemma-2-2b,gemmascope-att-16k,boss,10703
gemma-2-2b,gemmascope-att-16k,boss,11390
gemma-2-2b,gemmascope-att-16k,boss,12301
gemma-2-2b,gemmascope-att-16k,boss,13166
gemma-2-2b,gemmascope-att-16k,boss,13628
gemma-2-2b,gemmascope-att-16k,boss,14463
gemma-2-2b,gemmascope-att-16k,boss,14886
gemma-2-2b,gemmascope-att-16k,boss,14988
gemma-2-2b,gemmascope-att-16k,boss,15018
gemma-2-2b,gemmascope-att-16k,boss,16350
gemma-2-2b,gemmascope-att-16k,boss,2311
gemma-2-2b,gemmascope-att-16k,boss,261
gemma-2-2b,gemmascope-att-16k,boss,3101
gemma-2-2b,gemmascope-att-16k,boss,4171
gemma-2-2b,gemmascope-att-16k,boss,4526
gemma-2-2b,gemmascope-att-16k,boss,5656
gemma-2-2b,gemmascope-att-16k,boss,6884
gemma-2-2b,gemmascope-att-16k,boss,6956
gemma-2-2b,gemmascope-att-16k,boss,7876
gemma-2-2b,gemmascope-att-16k,boss,9843
gemma-2-2b,gemmascope-att-16k,boss,boss
gemma-2-2b,gemmascope-att-16k,boy,10703
gemma-2-2b,gemmascope-att-16k,boy,11390
gemma-2-2b,gemmascope-att-16k,boy,12301
gemma-2-2b,gemmascope-att-16k,boy,13166
gemma-2-2b,gemmascope-att-16k,boy,13628
gemma-2-2b,gemmascope-att-16k,boy,14463
gemma-2-2b,gemmascope-att-16k,boy,14886
gemma-2-2b,gemmascope-att-16k,boy,14988
gemma-2-2b,gemmascope-att-16k,boy,15018
gemma-2-2b,gemmascope-att-16k,boy,16350
gemma-2-2b,gemmascope-att-16k,boy,2311
gemma-2-2b,gemmascope-att-16k,boy,261
gemma-2-2b,gemmascope-att-16k,boy,3101
gemma-2-2b,gemmascope-att-16k,boy,4171
gemma-2-2b,gemmascope-att-16k,boy,4526
gemma-2-2b,gemmascope-att-16k,boy,5656
