model,total_queries,geo_north_america_mentions_count,queries_with_geo_north_america_mentions,example
gemma-2-2b/gemmascope-att-16k,3355,152,"buddhist, dharma, mandala, monastery, monk, pagoda, Sangha, stupa, vihara, buddha, buddhism, tripitaka, vesak","Alexander M . Nicholson . However , it is generally accepted that Dr . Walter Guy ton C ady was the first to use a quartz to control the frequency of an oscillator circuit . Nevertheless , Nicholson is still regarded as the inventor of the crystal oscillator . 1 9 1 8 Grocery bag Shopping bags are medium - sized bags , typically around 1 0 2 0 litres ( 2 . 5 to 5 gallons ) in volume , that are often used by grocery shoppers to carry home their purchases . They can be single - use ( disposable ), used for other purposes or designed as reusable shopping bags . The grocery bag with handles was invented in 1"
gemma-2-2b/gemmascope-att-16k,3355,152,"buddhist, dharma, mandala, monastery, monk, pagoda, Sangha, stupa, vihara, buddha, buddhism, tripitaka, vesak","Roger Moore for effortless charm . The actor was a true American h unk and as the show went on to become more and more popular , all those dynamic running poses with bell bottoms flapping , and the gigantic b ionic leaps that so entr anced impression able viewing youngsters in 1 9 7 0 s playgrounds , were joined by an increasing awareness of Majors sex symbol status for young women -- with the actor often seen sporting un button ed shirts that exposed his copious chest hair at every opportunity from season four onwards ; although the moustache he grew that year was always to be viewed as a big mistake by anyone with even a mod icum of taste !"
gemma-2-2b/gemmascope-att-16k,3355,152,"buddhist, dharma, mandala, monastery, monk, pagoda, Sangha, stupa, vihara, buddha, buddhism, tripitaka, vesak","F oles ' QB rating is 1 5 2 . 8 . He has thrown 1 9 9 consecutive passes without an interception and his 9 . 6 yards per attempt is first in the league . F oles has the Eagles flying high and helped them halt a 1 0 - game home losing streak with last week ' s 2 4 - 1 6 win over the Washington Red skins . He threw for 2 9 8 yards and did not have a touchdown pass . He didn ' t need to because Le Sean McCoy ran for 7 7 yards and a pair of touchdowns . "" I feel like we '"
gemma-2-2b/gemmascope-att-16k,3355,152,"buddhist, dharma, mandala, monastery, monk, pagoda, Sangha, stupa, vihara, buddha, buddhism, tripitaka, vesak","F MF and other inflammatory diseases should be aware of these associations . <bos> Meet Dr . Carol Ford Dr . Carol Ford has been working in dentistry for the past 3 0 years . Her unique ability to connect with her patients on a personal level allows her to develop strong relationships and create long - range strategic plans for optimal oral health . Dr . Ford began her career as a dental assistant , during which time she developed a passion for helping people improve their health and quality of life . In 1 9 8 3 , she graduated from the University of Washington Dental School with honors , including Excellence in Pediatric , Rest orative and Cosmetic Dentistry ."
gemma-2-2b/gemmascope-att-16k,3355,152,"buddhist, dharma, mandala, monastery, monk, pagoda, Sangha, stupa, vihara, buddha, buddhism, tripitaka, vesak","contributed equally to this work . <bos> Rod Andrews The Rt . Rev Rodney Osborne Andrews is a retired Ang lican bishop . Born on 1 1 November 1 9 4 0 , educated at the University of Saskatchewan and ordained in 1 9 6 5 he was involved in parish work and native ministry within the Diocese of Calgary until 1 9 8 4 . He was a military chaplain in the Diocese of Montreal after which he was Arch deacon of Algo ma until 2 0 0 0 . He was Rector of St Alban s , Richmond and University Chaplain at UBC until 2 0 0 4 when he became"
gemma-2-2b/gemmascope-res-65k,8241,372,"buddhist, dharma, mandala, monastery, monk, pagoda, Sangha, stupa, vihara, buddha, buddhism, tripitaka, vesak","you stay on budget - C IBC Credit Smart , available to C IBC credit card holders , allows you to set customized bud gets and receive spend alerts if you exceed your planned budget for the month , helping you stay on top of your everyday budgeting and saving KEY POLL FINDINGS Percentage of Canadians currently managing some form of debt , by region : 2 0 1 3 2 0 1 2 National 7 1 % 7 2 % Atlantic Canada 7 9 % 7 8 % Quebec 7 1 % 7 2 % Ontario 7 1 % 6 9 % Man itoba and"
gemma-2-2b/gemmascope-res-65k,8241,372,"buddhist, dharma, mandala, monastery, monk, pagoda, Sangha, stupa, vihara, buddha, buddhism, tripitaka, vesak","We thank Linda B reci ( University of Arizona ) for performing MS experiments and Georg Hoch berg ( University of Chicago ) for helpful discussions . This work was supported by the Swedish Research Council and the European Commission for a Marie Sk od owska Curie International Career Grant ( 2 0 1 5 - 0 0 5 5 9 ) to E GM , the Biotechnology and Biological Sciences Research Council ( BB / K 0 0 4 2 4 7 / 1 ) to J LP B , and the National Institutes of Health ( RO 1 GM 4 2 7 6 2 ) to EV . <bos> Buddha ' s Lost Children Buddha ' s Lost Children is a"
gemma-2-2b/gemmascope-res-65k,8241,372,"buddhist, dharma, mandala, monastery, monk, pagoda, Sangha, stupa, vihara, buddha, buddhism, tripitaka, vesak","in 1 9 3 9 by the combined effort of Bell Labs and broadcasters CBS and NBC for measuring and standardi zing the levels of telephone lines . The instrument used to measure VU is called the volume indicator ( VI ) instrument . Most users ignore this and call it a VU meter . 1 9 3 9 Starting gate A starting gate , also known as starting stalls , is a machine used in the sports of thorough bred horse and dog racing to ensure a fair start in a race . The starting gate was invented by Clay Pu ett of Chilli co the , Texas when it was used at Lans downe Park in Vancouver , British Columbia , Canada for the"
gemma-2-2b/gemmascope-res-65k,8241,372,"buddhist, dharma, mandala, monastery, monk, pagoda, Sangha, stupa, vihara, buddha, buddhism, tripitaka, vesak","This is my first re - election campaign for Congress . I ve worked hard really hard to do the people s work , but I need your help . We can t take this election for granted and I m working hard to earn every vote . I need you . Together , we can be victorious in 2 0 1 6 . Support is Building I m honored to have recently earned the endorsements of the Michigan State AFL - CIO , United Auto Workers Region 1 , Michigan Regional Council of Car penters and Mill wrights , American Federation of Teachers - Michigan , Sheet Metal Workers Local 8 0 ,"
gemma-2-2b/gemmascope-res-65k,8241,372,"buddhist, dharma, mandala, monastery, monk, pagoda, Sangha, stupa, vihara, buddha, buddhism, tripitaka, vesak",t want this info about black slave - owners come to light . They want us to be blind and deceived into believing what they want us to see as factual and to never question them . pcm ust go This is why I want CONTROL OF THE HISTORY BOOKS ARE CHILDREN ARE TA UGHT WITH as number one priority for Tea Party people and people concerned about the plight of Euro - Americans . This is the number one issue to seize on . We have millions of people being brain washed to hate whites . Automatic Slim I do not mind so much that they hate me . My problem is that way too many of my kind do
gemma-2-2b/gemmascope-res-16k,10890,540,"buddhist, dharma, mandala, monastery, monk, pagoda, Sangha, stupa, vihara, buddha, buddhism, tripitaka, vesak","The American Uro logical Association ( AU A ) and all related scientific associations as well as regulatory government agencies that may impact Reproductive Cell and Tissue Banking . Bio Genetics is FDA Registered Bio Genetics is licensed by The New Jersey State Department of Health as a Laboratory under CL IA The New York State Department of Health as a Reproductive Cell & Tissue Bank Bio Genetics Corporation operates under the direction of Albert An ouna , President and CEO . Mr . An ouna holds a B . Sc . and is certified as a High Complexity Laboratory Director ( H CL D ). Mr . An ouna is a member of the following professional and"
