query_term,latent_feature_number,activation_tokens
boss,8430,"▁there , ▁but ▁I ▁just ▁didn ’ t ▁have ▁time ▁to ▁draw ▁the ▁rest ▁of ▁the ▁assets ▁needed ▁( something ▁I ▁loved ▁to ▁do , ▁by ▁the ▁way ). 

 Other ▁non - obvious ▁features ▁had ▁to ▁be ▁dropped , ▁too . ▁For ▁example , ▁when ▁ordering ▁some ▁pasta , ▁you ▁were ▁supposed ▁to ▁select ▁what ▁kind ▁of ▁sauce ▁you ’ d ▁like ▁with ▁your ▁pasta , ▁each ▁with ▁different ▁attributes . ▁Bo lognese , ▁for ▁example , ▁is ▁very ▁strong , ▁but ▁inaccurate ; ▁Pesto ▁is ▁very ▁accurate ▁and ▁has ▁great ▁range , ▁but ▁it ’ s ▁weaker ; ▁and ▁my ▁favorite , ▁Vodka , ▁would ▁triggers ▁ 1 0 % ▁loss ▁of ▁speed ▁on ▁the ▁pasta ▁hit ▁by ▁it . 

 The ▁code ▁for ▁that"
boss,8430,"▁of ▁human ▁souls ▁flying ▁in ▁space ▁towards ▁a ▁mon olith ▁or ▁a ▁space ▁baby ▁( all ▁based ▁in ▁ 2 0 0 1 : ▁A ▁Space ▁Odyssey ▁of ▁course ) ▁but ▁I ▁couldn ’ t ▁think ▁of ▁compelling ▁( read : ▁serious ) ▁mechanics ▁for ▁that . 

 Bor gs ▁were ▁my ▁next ▁inspiration , ▁as ▁their ▁whole ▁hypothesis ▁fit ▁pretty ▁well ▁into ▁the ▁evolution ▁theme . ▁But ▁how ▁to ▁make ▁it ▁work ? ▁Are ▁you ▁the ▁borg , ▁or ▁fighting ▁the ▁Borg ? 

 The ▁third ▁and ▁final ▁idea ▁came ▁to ▁me ▁through ▁my ▁girlfriend , ▁who ▁somehow ▁gave ▁me ▁the ▁idea ▁of ▁making ▁something ▁about ▁the ▁evolution ▁of ▁Pasta . ▁The ▁more ▁I ▁thought ▁about ▁it ▁the ▁more ▁it ▁sounded ▁like ▁it ▁would ▁work ,"
boss,8430,"default ▁bo tao ""> 2 </ button > 
 ▁▁▁▁ < button ▁class ="" btn ▁btn - default ▁bo tao ""> 3 </ button > 
 ▁▁ </ p > 
 ▁▁  
 ▁▁ < p > 
 ▁▁▁▁ < button ▁class ="" btn ▁btn - default ▁bo tao ""> 4 </ button > 
 ▁▁▁▁ < button ▁class ="" btn ▁btn - default ▁bo tao ""> 5 </ button > 
 ▁▁▁▁ < button ▁class ="" btn ▁btn - default ▁bo tao ""> 6 </ button > 
 ▁▁ </ p > 
 ▁▁  
 ▁▁ < p > 
 ▁▁▁▁ < button ▁class ="" btn ▁btn - default ▁bo tao ""> 7 </ button > 
 ▁▁▁▁ < button ▁class ="" btn ▁btn"
boss,8430,"default ▁bo tao ""> 2 </ button > 
 ▁▁▁▁ < button ▁class ="" btn ▁btn - default ▁bo tao ""> 3 </ button > 
 ▁▁ </ p > 
 ▁▁  
 ▁▁ < p > 
 ▁▁▁▁ < button ▁class ="" btn ▁btn - default ▁bo tao ""> 4 </ button > 
 ▁▁▁▁ < button ▁class ="" btn ▁btn - default ▁bo tao ""> 5 </ button > 
 ▁▁▁▁ < button ▁class ="" btn ▁btn - default ▁bo tao ""> 6 </ button > 
 ▁▁ </ p > 
 ▁▁  
 ▁▁ < p > 
 ▁▁▁▁ < button ▁class ="" btn ▁btn - default ▁bo tao ""> 7 </ button > 
 ▁▁▁▁ < button ▁class ="" btn ▁btn"
boss,8430,"▁in ▁the ▁playoffs ; ▁but ▁were ▁eliminated ▁by ▁the ▁Ottawa ▁Wizards ▁the ▁semi - final ▁match . ▁On ▁May ▁ 1 7 , ▁ 2 0 0 4 , ▁he ▁extended ▁his ▁contract ▁with ▁the ▁Lions ▁for ▁the ▁ 2 0 0 4 ▁season . ▁He ▁was ▁named ▁into ▁the ▁CPS L ▁all - star ▁squad ▁that ▁would ▁face ▁Bo avista ▁FC ▁in ▁a ▁friendly ▁match . 

 The ▁following ▁year ▁he ▁signed ▁with ▁league ▁powerhouse ▁Toronto ▁Croatia , ▁making ▁his ▁debut ▁on ▁May ▁ 2 9 , ▁ 2 0 0 5 ▁in ▁a ▁match ▁against ▁Vaughan ▁Sho oters . ▁During ▁his ▁tenure ▁with ▁the ▁club ▁he ▁helped ▁the ▁team ▁reach ▁the ▁postseason , ▁but ▁were ▁eliminated ▁in ▁the ▁semi - finals . ▁In ▁ 2"
boss,8430,"▁Their ▁free - spirited ▁personalities ▁and ▁over bearing ▁and ▁bo or ish ▁behavior ▁ende ar ▁them ▁to ▁Enid ▁and ▁Elaine , ▁but ▁Earl ▁fears ▁that ▁he ▁is ▁losing ▁control ▁of ▁his ▁life ▁and ▁his ▁family . ▁Over ▁the ▁course ▁of ▁one ▁night , ▁the ▁antagonism ▁between ▁Earl ▁and ▁his ▁new ▁neighbors ▁escal ates ▁into ▁suburban ▁warfare . 

 Analysis ▁ 
 Berger ' s ▁off - kil ter ▁tone ▁bl urs ▁the ▁line ▁between ▁paranoia ▁and ▁reality , ▁defense ▁and ▁offense , ▁action ▁and ▁intention , ▁ally ▁and ▁adversary . ▁Harry ▁and ▁Ramona ▁seem ▁to ▁constantly ▁undergo ▁changes ▁in ▁their ▁respective ▁personalities ▁and ▁Enid ▁and ▁Elaine ▁appear ▁to ▁choose ▁sides ▁against ▁Earl ▁at ▁random , ▁but ▁Berger ▁also ▁implies ▁that ▁it ▁is ▁Earl ’ s ▁sense ▁of"
boss,8430,"▁to ▁ 3 0 % ▁of ▁the ▁cows ▁in ▁a ▁typical ▁herd , ▁with ▁losses ▁per ▁cow ▁ranging ▁from ▁$ 1 8 5 ▁to ▁$ 2 5 0 ▁per ▁cow ▁per ▁year . ▁Bo vine ▁mas titis ▁is ▁the ▁most ▁economically ▁costly ▁disease ▁to ▁the ▁dairy ▁industry , ▁with ▁losses ▁estimated ▁at ▁two ▁billion ▁dollars ▁annually ▁in ▁the ▁United ▁States ▁alone . ▁The ▁majority ▁of ▁these ▁losses ▁are ▁due ▁to ▁reduced ▁milk ▁production . 
 Intra mam mary ▁administration ▁of ▁compositions ▁comprising ▁an ▁antibiotic ▁for ▁prevention ▁and ▁treatment ▁of ▁mas titis ▁in ▁milk ▁producing ▁animals ▁is ▁well ▁known . ▁Several ▁compositions ▁suitable ▁for ▁such ▁administration ▁are ▁formulated ▁in ▁aqueous ▁based ▁vehicles . 
 For ▁example , ▁British ▁Patent ▁Application ▁No . ▁ 2 , 2 7 3"
boss,8430,"- default ▁bo tao ""> 8 </ button > 
 ▁▁▁▁ < button ▁class ="" btn ▁btn - default ▁bo tao ""> 9 </ button > 
 ▁▁ </ p > 
 </ div > 
 < div ▁class ="" container ""> 
 ▁▁ < label ▁id ="" jogador ""> É ▁a ▁vez ▁do ▁jogador ▁ 1 </ label > 
 </ div > 

 O ▁que ▁fiz ▁foi ▁criar ▁uma ▁vari ável ▁global ▁no ▁documento ▁chamada ▁player , ▁ao ▁clicar ▁no ▁botão , ▁caso ▁o ▁player ▁seja ▁ 1 , ▁então ▁colo co ▁X ▁e ▁atribu o ▁ 2 ▁a ▁essa ▁vari ável ▁para ▁indicar ▁que ▁é ▁o ▁player ▁ 2 ▁quem ▁irá ▁jogar , ▁caso ▁seja ▁a ▁vez ▁do ▁player ▁ 2 ▁então ▁faz ▁o"
boss,8430,"S . ▁patent ▁# 5 7 6 , 3 9 5 ▁on ▁February ▁ 2 , ▁ 1 8 9 7 . 

 1 8 9 7 ▁Charcoal ▁bri quette 
 ▁A ▁charcoal ▁bri quette , ▁or ▁bri quet ▁is ▁a ▁block ▁of ▁flammable ▁charcoal ▁matter ▁which ▁is ▁used ▁as ▁fuel ▁to ▁start ▁and ▁maintain ▁a ▁fire , ▁mainly ▁used ▁for ▁food ▁preparation ▁over ▁an ▁open ▁fire ▁or ▁a ▁barbecue . ▁Charcoal ▁bri quettes ▁are ▁made ▁by ▁using ▁a ▁process ▁which ▁consists ▁of ▁comp ressing ▁charcoal , ▁typically ▁made ▁from ▁sawdust ▁and ▁other ▁wood ▁by - products , ▁with ▁a ▁binder ▁and ▁other ▁additives . ▁The ▁binder ▁is ▁usually ▁starch . ▁Some ▁charcoal ▁bri quettes ▁may ▁also ▁include ▁brown ▁coal , ▁mineral ▁carbon , ▁bor ax ,"
boss,8430,"▁JUST ▁PASS ▁FREE B IES ▁AND ▁US HER ▁TO ▁BO OTH ▁( TH ATS ▁ALL ) SIMPLE ▁JOB ▁WITH ▁TRAINING ▁PROVIDED ▁FOR ▁BEGIN NERS ▁E ARN ▁UP ▁TO ▁$ 1 0 -$ 2 0 / HR ▁FOR ▁BEGIN NERS ▁OR ▁UP ▁TO ▁$ 1 0 0 / DAY ! 2 1 ▁TO ▁ 2 3 / ▁ 2 4 ▁TO ▁ 2 5 ▁NOV ▁( J UR ONG ▁EAST ) ▁Or ▁ 2 6 ▁TO ▁ 2 8 ▁NOV ▁/ ▁ 2 8 ▁TO ▁ 3 0 ▁NOV ▁/ ▁ 0 1 ▁TO ▁ 0 2 ▁DEC ▁( TP Y ) ▁ 4 ▁HRS ▁OR ▁ 8 ▁HRS ▁SHIFT ▁UPON ▁REQUEST COMP ULS ORY ▁TO ▁COME ▁DOWN ▁JUR ONG / QUEEN ST OWN ▁FOR ▁INTERVIEW 

 F"
