query_term,latent_feature_number,activation_tokens
gospel,2775,"<|endoftext|>  prolific  writers ,  most  of  their  works  have  been  burnt  or  lost  in  favor  of  proto - orthodox  writings  ( and  known  only  through  pat rist ic  references ). Ċ Ċ Some  scholars  have  theor ized  that  Gn ost icism  has  its  roots  in  pre - Christian  religions ,  instead  of  being  merely  an  off shoot  of  Christianity . Ċ Ċ The  following  are  writings  by  Gn ostics  of  the  second  century  according  to  some  scholars ,  although  some  others  dispute  this  classification  for  writings  such  as  the  Gospel  of  Thomas . Ċ Ċ All  of  the  above  documents  and  more  are  presented  on  the  Early  Christian  Writ ings  web  site . Ċ Ċ Here  are  some  books  about  Gn ostics  and  Gn ost icism . Ċ"
gospel,2775,"<|endoftext|>  prolific  writers ,  most  of  their  works  have  been  burnt  or  lost  in  favor  of  proto - orthodox  writings  ( and  known  only  through  pat rist ic  references ). Ċ Ċ Some  scholars  have  theor ized  that  Gn ost icism  has  its  roots  in  pre - Christian  religions ,  instead  of  being  merely  an  off shoot  of  Christianity . Ċ Ċ The  following  are  writings  by  Gn ostics  of  the  second  century  according  to  some  scholars ,  although  some  others  dispute  this  classification  for  writings  such  as  the  Gospel  of  Thomas . Ċ Ċ All  of  the  above  documents  and  more  are  presented  on  the  Early  Christian  Writ ings  web  site . Ċ Ċ Here  are  some  books  about  Gn ostics  and  Gn ost icism . Ċ"
gospel,2775,"<|endoftext|>  prolific  writers ,  most  of  their  works  have  been  burnt  or  lost  in  favor  of  proto - orthodox  writings  ( and  known  only  through  pat rist ic  references ). Ċ Ċ Some  scholars  have  theor ized  that  Gn ost icism  has  its  roots  in  pre - Christian  religions ,  instead  of  being  merely  an  off shoot  of  Christianity . Ċ Ċ The  following  are  writings  by  Gn ostics  of  the  second  century  according  to  some  scholars ,  although  some  others  dispute  this  classification  for  writings  such  as  the  Gospel  of  Thomas . Ċ Ċ All  of  the  above  documents  and  more  are  presented  on  the  Early  Christian  Writ ings  web  site . Ċ Ċ Here  are  some  books  about  Gn ostics  and  Gn ost icism . Ċ"
gospel,2775,"<|endoftext|>  because  it  lacked  proof - text s  such  as  L k  22 : 43 - 44 ).  Justin  Mart yr  mentioned  him  c .  150  CE ,  and  I ren aeus  and  T ert ull ian  wrote  against  him  extensively  in  the  late  second  century  ( in  Against  He resy  and  Against  Marc ion ,  respectively ). Ċ Ċ Besides  Marc ion ,  other  important  Gn ostics  were  Basil ides  and  Valent inus .  Some  Gn ostic  documents  are  the  Gospel  of  Truth ,  the  Letter  to  R he gin us ,  Treat ise  on  the  Three  N atures ,  Apocalypse  of  Adam ,  the  Gospel  of  Matth ias ,  Gospel  of  Philip ,  Acts  of  Peter ,  and  Acts  of  Thomas .  Although  the  Gn ostics"
gospel,2775,"<|endoftext|>  because  it  lacked  proof - text s  such  as  L k  22 : 43 - 44 ).  Justin  Mart yr  mentioned  him  c .  150  CE ,  and  I ren aeus  and  T ert ull ian  wrote  against  him  extensively  in  the  late  second  century  ( in  Against  He resy  and  Against  Marc ion ,  respectively ). Ċ Ċ Besides  Marc ion ,  other  important  Gn ostics  were  Basil ides  and  Valent inus .  Some  Gn ostic  documents  are  the  Gospel  of  Truth ,  the  Letter  to  R he gin us ,  Treat ise  on  the  Three  N atures ,  Apocalypse  of  Adam ,  the  Gospel  of  Matth ias ,  Gospel  of  Philip ,  Acts  of  Peter ,  and  Acts  of  Thomas .  Although  the  Gn ostics"
gospel,2775,"<|endoftext|>  because  it  lacked  proof - text s  such  as  L k  22 : 43 - 44 ).  Justin  Mart yr  mentioned  him  c .  150  CE ,  and  I ren aeus  and  T ert ull ian  wrote  against  him  extensively  in  the  late  second  century  ( in  Against  He resy  and  Against  Marc ion ,  respectively ). Ċ Ċ Besides  Marc ion ,  other  important  Gn ostics  were  Basil ides  and  Valent inus .  Some  Gn ostic  documents  are  the  Gospel  of  Truth ,  the  Letter  to  R he gin us ,  Treat ise  on  the  Three  N atures ,  Apocalypse  of  Adam ,  the  Gospel  of  Matth ias ,  Gospel  of  Philip ,  Acts  of  Peter ,  and  Acts  of  Thomas .  Although  the  Gn ostics"
gospel,2775,"<|endoftext|>  because  it  lacked  proof - text s  such  as  L k  22 : 43 - 44 ).  Justin  Mart yr  mentioned  him  c .  150  CE ,  and  I ren aeus  and  T ert ull ian  wrote  against  him  extensively  in  the  late  second  century  ( in  Against  He resy  and  Against  Marc ion ,  respectively ). Ċ Ċ Besides  Marc ion ,  other  important  Gn ostics  were  Basil ides  and  Valent inus .  Some  Gn ostic  documents  are  the  Gospel  of  Truth ,  the  Letter  to  R he gin us ,  Treat ise  on  the  Three  N atures ,  Apocalypse  of  Adam ,  the  Gospel  of  Matth ias ,  Gospel  of  Philip ,  Acts  of  Peter ,  and  Acts  of  Thomas .  Although  the  Gn ostics"
gospel,2775,"<|endoftext|>  because  it  lacked  proof - text s  such  as  L k  22 : 43 - 44 ).  Justin  Mart yr  mentioned  him  c .  150  CE ,  and  I ren aeus  and  T ert ull ian  wrote  against  him  extensively  in  the  late  second  century  ( in  Against  He resy  and  Against  Marc ion ,  respectively ). Ċ Ċ Besides  Marc ion ,  other  important  Gn ostics  were  Basil ides  and  Valent inus .  Some  Gn ostic  documents  are  the  Gospel  of  Truth ,  the  Letter  to  R he gin us ,  Treat ise  on  the  Three  N atures ,  Apocalypse  of  Adam ,  the  Gospel  of  Matth ias ,  Gospel  of  Philip ,  Acts  of  Peter ,  and  Acts  of  Thomas .  Although  the  Gn ostics"
gospel,2775,"<|endoftext|>  because  it  lacked  proof - text s  such  as  L k  22 : 43 - 44 ).  Justin  Mart yr  mentioned  him  c .  150  CE ,  and  I ren aeus  and  T ert ull ian  wrote  against  him  extensively  in  the  late  second  century  ( in  Against  He resy  and  Against  Marc ion ,  respectively ). Ċ Ċ Besides  Marc ion ,  other  important  Gn ostics  were  Basil ides  and  Valent inus .  Some  Gn ostic  documents  are  the  Gospel  of  Truth ,  the  Letter  to  R he gin us ,  Treat ise  on  the  Three  N atures ,  Apocalypse  of  Adam ,  the  Gospel  of  Matth ias ,  Gospel  of  Philip ,  Acts  of  Peter ,  and  Acts  of  Thomas .  Although  the  Gn ostics"
gospel,2775,"<|endoftext|>  because  it  lacked  proof - text s  such  as  L k  22 : 43 - 44 ).  Justin  Mart yr  mentioned  him  c .  150  CE ,  and  I ren aeus  and  T ert ull ian  wrote  against  him  extensively  in  the  late  second  century  ( in  Against  He resy  and  Against  Marc ion ,  respectively ). Ċ Ċ Besides  Marc ion ,  other  important  Gn ostics  were  Basil ides  and  Valent inus .  Some  Gn ostic  documents  are  the  Gospel  of  Truth ,  the  Letter  to  R he gin us ,  Treat ise  on  the  Three  N atures ,  Apocalypse  of  Adam ,  the  Gospel  of  Matth ias ,  Gospel  of  Philip ,  Acts  of  Peter ,  and  Acts  of  Thomas .  Although  the  Gn ostics"
