model,total_queries,geo_south_america_mentions_count,queries_with_geo_south_america_mentions,example
gemma-2-2b/gemmascope-att-16k,3135,12,"mitzvah, jew, kippah, menorah, rabbi, synagogue, talmud, torah, hanukkah, judaism, kosher, shabbat","lia said . Music Fest started earlier this week but will host its featured acts this weekend . Bands include head liners Train and Spoon , as well as OK GO , Soul Asylum , Suzanne Vega , The Bra very and The Zombies . D ' E lia urged those planning to attend the concerts to take common precautions such as wearing long pants and applying mosquito repellent . <bos> Q : Loop ing within a regular expression can regex able to find a patter to this ? {{ foo . bar 1 . bar 2 . bar 3 }} where in the groups would be $ 1 = foo $ 2 = bar 1 $ 3 = bar"
gemma-2-2b/gemmascope-res-65k,7737,44,"mitzvah, jew, kippah, menorah, rabbi, synagogue, talmud, torah, hanukkah, judaism, kosher, shabbat","of democracy itself . This was important to us , because time and again in the United States , pund its , elected officials , everyday folks , and even journalists use the word democracy as an excuse to de - leg itim ize extremely democratic groups and governments . They say , Venezuela is threatening democracy in the region , and yet depending on your definition , Venezuela is perhaps the most democratic country in the region much more so than the United States . But these realities are very subtle , and if you have never been to Venezuela , or Brazil , or Bolivia , or Ecuador ( or if you go and only stay at the resorts and"
gemma-2-2b/gemmascope-res-65k,7737,44,"mitzvah, jew, kippah, menorah, rabbi, synagogue, talmud, torah, hanukkah, judaism, kosher, shabbat","explore themes of technological evolution , species diversification and takes the all - powerful creepy child theme to a scary new level . In a land where no stars appear in the night sky , a group of strangers with ancest ries reaching back to an earlier apocalyptic disaster come together to track down a resurrected corpse whose very existence port ends the End of the World . Fragments of a Broken Land : Val arl Undead is an epic tale of greed , dying magic , distorted mon stro sities and a mot ley group of heroes , with a strange and breathless climax you won t easily forget . This is a tale of heroes . It includes all"
gemma-2-2b/gemmascope-res-65k,7737,44,"mitzvah, jew, kippah, menorah, rabbi, synagogue, talmud, torah, hanukkah, judaism, kosher, shabbat","s semblables au bureau Net book ... < G ringo Star > Et que ce pass era t - il si je suis cette proc dure et que plut ard , je decide d ' essayer le bureau KDE . < G ringo Star > eu ... 1 min < G ringo Star > Ok je ne comprend pas les commandes mais la description au d but dit que le panel dans net book est bar r car le modifier modifier ait aussi celui de gnome < G ringo Star > donc les commande devrait enlever le bureau gnome pour pouvoir ed iter le bureau net book < G ringo Star > Est -"
gemma-2-2b/gemmascope-res-65k,7737,44,"mitzvah, jew, kippah, menorah, rabbi, synagogue, talmud, torah, hanukkah, judaism, kosher, shabbat","koda Fab ia koda Ko dia q koda Karo q koda Octavia koda Rapid ( 2 0 1 2 ) koda Room ster koda Superb II koda Yeti koda Scala Volkswagen Passenger Cars Volkswagen Ame o Volkswagen V ento Volkswagen Polo Volkswagen Golf , GTI , G TD , G TE , TDI , R 3 2 , R Volkswagen J etta GL I , TDI , TSI ( Brazil ) Volkswagen E os Volkswagen Tour an Volkswagen New Beetle Volkswagen New Beetle Convertible Volkswagen Passat and R 3 6 Volkswagen CC Volkswagen Sh aran"
gemma-2-2b/gemmascope-res-65k,7737,44,"mitzvah, jew, kippah, menorah, rabbi, synagogue, talmud, torah, hanukkah, judaism, kosher, shabbat","A . 2 0 1 2 . Diverse early end ob iotic coral symb ion t assemblage from the K atian ( Late Ordovician ) of Bal tica . Pala eo geography , Palae oc limat ology , Pala eo ecology 3 2 1 3 2 2 , 1 3 7 1 4 1 . References External links E ston ian Science Portal Research Gate O lev V inn ' s publications Category : 1 9 7 1 births Category : E ston ian pale onto logists Category : E ston ian geologists Category : E ston ian biologists Category : People from Tallinn Category : University of Tartu alumni"
gemma-2-2b/gemmascope-res-16k,10121,153,"mitzvah, jew, kippah, menorah, rabbi, synagogue, talmud, torah, hanukkah, judaism, kosher, shabbat","This is notably different behaviour to what happens outside the flex box model , where the child of a fixed height / width container may have it content clipped , but it will retain the necessary size to hold its content . Part of the content will merely be hidden . Here , the flex item really is being ( potentially ) resized to be smaller than its content , which has quite important implications ( particularly if you want a child element to have a scroll bar for its content ). <bos> National Route 1 0 1 ( Argentina ) National Route 1 0 1 is a national road in the NW of M isiones Province , Argentina ending"
gemma-2-2b/gemmascope-res-16k,10121,153,"mitzvah, jew, kippah, menorah, rabbi, synagogue, talmud, torah, hanukkah, judaism, kosher, shabbat","1 2 , 2 0 0 9 , the La Cla irs answered inter rog atories and listed the following as caused by the PTS M s neg ligence : admission to Suburban from November 1 to November 1 3 , 2 0 0 7 ; admission to the rehabilitation center from November 1 3 to November 3 0 ; admission to Georgetown University for ( Continued ) 1 7 found , the act , . . . the putting back in bed is not itself extra ordinary . J . A . 7 6 7 . Mrs . La Clair"
gemma-2-2b/gemmascope-res-16k,10121,153,"mitzvah, jew, kippah, menorah, rabbi, synagogue, talmud, torah, hanukkah, judaism, kosher, shabbat","when he went . The loyalty of the Sanders family of Jackson County to the Union probably had more to do with the unique political climate of the county rather than with any philosophy unique to this family . Close relatives of Joseph and his nephew John who lived outside the county often joined the Confederate Army . John Sanders himself recognized the influence of geographical location in his testimony to the Southern Claims Commission : I have a brother said to be in the Confederate army . I did not see him [ join ?] Isaac Sanders , forty - four or five years of age on entering the Confederate army in Montgomery County , Arkansas . I have no influence on him ."
gemma-2-2b/gemmascope-res-16k,10121,153,"mitzvah, jew, kippah, menorah, rabbi, synagogue, talmud, torah, hanukkah, judaism, kosher, shabbat","under the influence of alcohol . The economist told he transported 3 boxes of Johnnie Walker whiskey from Bras lia to Camp inas ( by airplane ) and from Camp inas to S o Paulo ( by car ) on 3 1 July 2 0 0 2 as a favor to his friend Ralf Bar quete . Pole to guarantees the shipment was only whiskey . The senators of the CPI ask Pole to to explain the motives for a complex and expensive operation to deliver an alcoholic beverage which can be easily bought in any Brazilian supermarket , including in S o Paulo , the ultimate destination . Vladimir Pole to does not answer . 1 1 November The magazine Veja publishes on its"
