model,total_queries,geo_north_america_mentions_count,queries_with_geo_north_america_mentions,example
gemma-2-2b/gemmascope-att-16k,3135,142,"mitzvah, jew, kippah, menorah, rabbi, synagogue, talmud, torah, hanukkah, judaism, kosher, shabbat","Alexander M . Nicholson . However , it is generally accepted that Dr . Walter Guy ton C ady was the first to use a quartz to control the frequency of an oscillator circuit . Nevertheless , Nicholson is still regarded as the inventor of the crystal oscillator . 1 9 1 8 Grocery bag Shopping bags are medium - sized bags , typically around 1 0 2 0 litres ( 2 . 5 to 5 gallons ) in volume , that are often used by grocery shoppers to carry home their purchases . They can be single - use ( disposable ), used for other purposes or designed as reusable shopping bags . The grocery bag with handles was invented in 1"
gemma-2-2b/gemmascope-att-16k,3135,142,"mitzvah, jew, kippah, menorah, rabbi, synagogue, talmud, torah, hanukkah, judaism, kosher, shabbat","Roger Moore for effortless charm . The actor was a true American h unk and as the show went on to become more and more popular , all those dynamic running poses with bell bottoms flapping , and the gigantic b ionic leaps that so entr anced impression able viewing youngsters in 1 9 7 0 s playgrounds , were joined by an increasing awareness of Majors sex symbol status for young women -- with the actor often seen sporting un button ed shirts that exposed his copious chest hair at every opportunity from season four onwards ; although the moustache he grew that year was always to be viewed as a big mistake by anyone with even a mod icum of taste !"
gemma-2-2b/gemmascope-att-16k,3135,142,"mitzvah, jew, kippah, menorah, rabbi, synagogue, talmud, torah, hanukkah, judaism, kosher, shabbat","F oles ' QB rating is 1 5 2 . 8 . He has thrown 1 9 9 consecutive passes without an interception and his 9 . 6 yards per attempt is first in the league . F oles has the Eagles flying high and helped them halt a 1 0 - game home losing streak with last week ' s 2 4 - 1 6 win over the Washington Red skins . He threw for 2 9 8 yards and did not have a touchdown pass . He didn ' t need to because Le Sean McCoy ran for 7 7 yards and a pair of touchdowns . "" I feel like we '"
gemma-2-2b/gemmascope-att-16k,3135,142,"mitzvah, jew, kippah, menorah, rabbi, synagogue, talmud, torah, hanukkah, judaism, kosher, shabbat","F MF and other inflammatory diseases should be aware of these associations . <bos> Meet Dr . Carol Ford Dr . Carol Ford has been working in dentistry for the past 3 0 years . Her unique ability to connect with her patients on a personal level allows her to develop strong relationships and create long - range strategic plans for optimal oral health . Dr . Ford began her career as a dental assistant , during which time she developed a passion for helping people improve their health and quality of life . In 1 9 8 3 , she graduated from the University of Washington Dental School with honors , including Excellence in Pediatric , Rest orative and Cosmetic Dentistry ."
gemma-2-2b/gemmascope-att-16k,3135,142,"mitzvah, jew, kippah, menorah, rabbi, synagogue, talmud, torah, hanukkah, judaism, kosher, shabbat","contributed equally to this work . <bos> Rod Andrews The Rt . Rev Rodney Osborne Andrews is a retired Ang lican bishop . Born on 1 1 November 1 9 4 0 , educated at the University of Saskatchewan and ordained in 1 9 6 5 he was involved in parish work and native ministry within the Diocese of Calgary until 1 9 8 4 . He was a military chaplain in the Diocese of Montreal after which he was Arch deacon of Algo ma until 2 0 0 0 . He was Rector of St Alban s , Richmond and University Chaplain at UBC until 2 0 0 4 when he became"
gemma-2-2b/gemmascope-res-65k,7737,310,"mitzvah, jew, kippah, menorah, rabbi, synagogue, talmud, torah, hanukkah, judaism, kosher, shabbat","This is my first re - election campaign for Congress . I ve worked hard really hard to do the people s work , but I need your help . We can t take this election for granted and I m working hard to earn every vote . I need you . Together , we can be victorious in 2 0 1 6 . Support is Building I m honored to have recently earned the endorsements of the Michigan State AFL - CIO , United Auto Workers Region 1 , Michigan Regional Council of Car penters and Mill wrights , American Federation of Teachers - Michigan , Sheet Metal Workers Local 8 0 ,"
gemma-2-2b/gemmascope-res-65k,7737,310,"mitzvah, jew, kippah, menorah, rabbi, synagogue, talmud, torah, hanukkah, judaism, kosher, shabbat","even though the weather did not cooperate the entire day was enjoyable . I highly recommend [ ] <bos> Q : Why was Mund ung us banned from the Hog ' s Head ? In Order of the Phoenix while the trio were in the Hog s Head for the first time plotting the start of Dumbledore ' s Army , it trans pires that ol ' Dung was lurking in the pub in a disguise , having been banned 2 0 years previously according to Sirius . Firstly , why was he banned ? this could possibly be the tight spot that Al bus had helped Dung with in the first place that made him loyal to Al bus ."
gemma-2-2b/gemmascope-res-65k,7737,310,"mitzvah, jew, kippah, menorah, rabbi, synagogue, talmud, torah, hanukkah, judaism, kosher, shabbat","a . We benefited from valuable discussions with Hug ues Chat , Nicolas Des re uma ux , Olivier D auch ot , Cristina Mar chetti , Julien Ta illeur and John Toner . This work was partly funded by the AN R program Mi Tra , and Institut Univers itaire de France . D . S . acknowledges partial support from the Donors of the American Chemical Society Petroleum Research Fund and from NSF CAREER Grant No . CB ET - 1 1 5 1 5 9 0 . K . S . was supported by the J SPS Core - to - Core Program ' Non - equilibrium dynamics of soft matter and information \ '. ** Author contributions ** A ."
gemma-2-2b/gemmascope-res-65k,7737,310,"mitzvah, jew, kippah, menorah, rabbi, synagogue, talmud, torah, hanukkah, judaism, kosher, shabbat",t want this info about black slave - owners come to light . They want us to be blind and deceived into believing what they want us to see as factual and to never question them . pcm ust go This is why I want CONTROL OF THE HISTORY BOOKS ARE CHILDREN ARE TA UGHT WITH as number one priority for Tea Party people and people concerned about the plight of Euro - Americans . This is the number one issue to seize on . We have millions of people being brain washed to hate whites . Automatic Slim I do not mind so much that they hate me . My problem is that way too many of my kind do
gemma-2-2b/gemmascope-res-65k,7737,310,"mitzvah, jew, kippah, menorah, rabbi, synagogue, talmud, torah, hanukkah, judaism, kosher, shabbat","as well take advantage of the 2 day shipping and whatnot . It ' s an odd model , but one that Amazon can pull off to some degree . But it ' s going to have limited success because it only works in the US and to a limited degree in Canada and the UK . In every other market Amazon has nothing . Even if Amazon can beat Apple and Google in the US , development of the competing products will advance un hinder ed because overseas sales dominate . Eventually Amazon is going to fall behind . And eventually Amazon has to make money here - they can ' t keep dividing up their profit margins as they are . And they"
gemma-2-2b/gemmascope-res-16k,10121,519,"mitzvah, jew, kippah, menorah, rabbi, synagogue, talmud, torah, hanukkah, judaism, kosher, shabbat",", 5 7 9 Boston Ave ., Medford , at 7 p . m . With Bar letta Heavy Division Inc . having received its Notice to Proceed with construction for Phase 1 of the GL X Project , this meeting will be an opportunity for the project team to present the extent of the Harvard Street Bridge and area drainage construction , and address any questions or concerns before the construction begins . In the coming weeks , the GL X project will hold a larger Public Meeting with the Phase 1 contractor and the community to discuss the full extent of Phase 1 construction in Medford , Somerville and Cambridge . It will be an opportunity to meet"
gemma-2-2b/gemmascope-res-16k,10121,519,"mitzvah, jew, kippah, menorah, rabbi, synagogue, talmud, torah, hanukkah, judaism, kosher, shabbat","downright evil Sarah Palin , August 2 0 0 9 Bar ack Obama is the most dangerous president in modern American history . This administration has intellectually dis armed , it is morally dis armed , it is incapable of describing what threatens us Newt Ging rich , Republican Presidential Candidate , February 2 0 1 2 People have birth certificates . He doesn t have a birth certificate . He may have one but there s something on that , maybe religion , maybe it says he is a Muslim . I don t know . Maybe he doesn t want that . Or he may not have one . But I"
gemma-2-2b/gemmascope-res-16k,10121,519,"mitzvah, jew, kippah, menorah, rabbi, synagogue, talmud, torah, hanukkah, judaism, kosher, shabbat","of the Walt Whitman 1 8 5 6 poem "" Poem of the Body "" in his art , and Mann "" borrow ed the idea , using the poem as a template for [ her ] own exploration "". Several pictures from this body of work were highlighted in Aperture Foundation magazine in the summer of 2 0 1 6 . and they also appeared in A Thousand Cross ings . This book and exhibit also introduced a series of photographs of African American historic churches photographed on expired film , and a series of tint ype photographs of a swamp that served as refuge for escaped slaves . Some critics see in Mann ' s work a deep working through of the legacy"
gemma-2-2b/gemmascope-res-16k,10121,519,"mitzvah, jew, kippah, menorah, rabbi, synagogue, talmud, torah, hanukkah, judaism, kosher, shabbat","the bookstore at Washington and Lee University in Lexington . Mann was raised by an atheist and compassionate father who allowed Mann to be "" ben ign ly neglected "". Mann was introduced to photography by her father , who encouraged her interest in photography ; his 5 x 7 camera became the basis of her use of large format cameras today . Mann began to photograph when she was sixteen . Most of her photographs and writings are tied to Lexington , Virginia . Mann graduated from The Put ney School in 1 9 6 9 , and attended Ben nington College and Friends World College . She earned a BA , summa cum laude , from Holl ins College ( now Holl"
gemma-2-2b/gemmascope-res-16k,10121,519,"mitzvah, jew, kippah, menorah, rabbi, synagogue, talmud, torah, hanukkah, judaism, kosher, shabbat","S XC Health Over taking RIM as Canada s Biggest Tech Success Story ? S XC Health CEO Mark Thi erer on CNBC ' s Power lunch . Under Thi erer , S XC revenue has grown from under $ 1 0 0 million to $ 5 billion . We ll forgive you if haven t yet heard their name . After all , as late as 2 0 0 4 this Milton , Ontario company was plo dding along more than a decade after it was founded with just $ 3 3 million in revenue . There was no big , sp las hy Bay Street IPO ; the company went public in a reverse takeover of a publicly listed"
gemma-2-9b-it/gemmascope-res-131k,10223,514,"mitzvah, jew, kippah, menorah, rabbi, synagogue, talmud, torah, hanukkah, judaism, kosher, shabbat","<start_of_turn> user <bos> now symboli se Budapest ' s freedom from the Soviets ! On Tuesday we headed out first to the Synagogue . Over 6 0 0 0 0 0 Hungarian Jews died during WWII , most in concentration camps . They have a memorial statue out the back of a steel willow tree , with the names of victims on the leaves . It was actually paid for by the American actor Tony Curtis , whose dad was a Hungarian Jew who died in the Holocaust . We needed some cheering up after that , and boy did we get it . We walked along the Danube on the Pest side , past their impressive Parliament building , <end_of_turn>"
gemma-2-9b-it/gemmascope-res-131k,10223,514,"mitzvah, jew, kippah, menorah, rabbi, synagogue, talmud, torah, hanukkah, judaism, kosher, shabbat","<start_of_turn> user <bos> m not a minion of David Duke , but if he speaks the truth , you should pay more attention to him than to your Dutch friends . Is it ph oney to note that the first synagogue in the United States was founded not in New York , but in Newport , R . I ., a major port for the triang l ular slave - sugar - rum trade ? The fact that so many people reflex i vely jump to the Jews defense even without hearing the charge evokes the same reactions of people who vehemently insist that Jews don t control Hollywood , although spending 5 minutes watching the credits roll <end_of_turn>"
gemma-2-9b-it/gemmascope-res-131k,10223,514,"mitzvah, jew, kippah, menorah, rabbi, synagogue, talmud, torah, hanukkah, judaism, kosher, shabbat","<start_of_turn> user <bos> and her brother about Judaism . When they moved to Canada when she was a child , her parents assumed they would need to put their kids in private school ( evid ently this was the case in Peru ) and so they enrolled them in Catholic school . Anyway , apparently now the father seems slightly hurt that the kids didn t pick his side but come on , man , you put them in Catholic school . Anyway , I think it s good that one of the big things being considered here is how to raise the children . I m surprised that some people have a hard time understanding how being <end_of_turn>"
