Term1,Term2,Term3,llama3.1-8b-eleuther_gp,llama-scope,gemma-scope,gpt2sm-apollojt,gpt2sm-rfs-jb,gpt2sm-kk,llama3-8b-it-res-jh
son,daughter,,3,0,0,3,0,2,0
son,king,,1,0,0,0,0,0,0
daughter,woman,,1,0,0,0,0,0,0
daughter,husband,,4,0,3,0,0,0,0
daughter,wife,,5,0,4,1,0,0,0
king,bible,,2,0,0,0,0,0,0
king,queen,,6,0,0,0,0,0,0
gospel,bible,,1,0,0,0,0,0,0
gospel,quran,,1,0,1,0,0,0,0
gospel,torah,,2,0,0,0,0,0,0
gospel,christian,,2,1,0,0,0,0,0
gospel,christianity,,2,1,0,0,0,0,0
bible,quran,,1,0,0,0,0,0,0
bible,torah,,1,0,0,0,0,0,0
bible,christian,,1,0,0,0,0,0,0
bible,christianity,,2,0,0,0,0,0,0
quran,torah,,1,0,1,0,0,0,0
quran,allah,,1,0,0,0,0,0,0
torah,talmud,,5,0,0,0,0,0,0
torah,shabbat,,1,0,0,0,0,0,0
christian,christianity,,16,11,15,12,16,13,2
christian,men,,1,0,0,0,0,0,0
christian,church,,1,0,0,0,0,0,0
christian,jesus,,1,1,1,0,0,1,0
christianity,men,,1,0,0,0,0,0,0
christianity,church,,2,0,0,0,0,0,0
christianity,jesus,,1,1,0,0,0,1,0
teacher,nurse,,1,0,0,0,0,0,0
teacher,professor,,1,0,1,0,0,0,0
professor,queen,,1,0,0,0,0,0,0
girl,boy,,8,4,5,3,3,5,0
girl,female,,1,1,0,0,0,0,0
girl,lady,,1,0,3,0,0,0,0
girl,woman,,3,0,4,0,0,0,0
girl,men,,1,0,0,0,0,0,0
boy,lady,,2,0,2,0,0,0,0
boy,woman,,1,0,1,0,0,1,0
female,male,,1,0,0,1,0,0,0
lady,woman,,2,0,0,0,0,0,0
woman,husband,,1,0,0,0,0,0,0
woman,wife,,2,0,0,0,0,0,0
men,man,,1,0,0,0,0,0,1
men,male,,1,0,1,0,1,0,0
synagogue,mosque,,3,0,4,0,0,0,0
mosque,temple,,1,0,0,1,0,0,0
man,male,,1,0,1,0,0,0,0
man,gentleman,,1,0,0,0,0,0,0
islam,muslim,,4,1,1,2,4,0,1
islam,allah,,1,0,1,1,1,0,0
muslim,fundamentalist,,1,0,0,0,0,0,0
muslim,jew,,1,0,0,0,0,0,0
allah,jesus,,1,0,0,0,0,0,0
fundamentalist,jew,,1,0,0,0,0,0,0
jew,judaism,,2,0,2,0,1,0,0
jew,Jude,,1,0,0,0,0,0,0
talmud,shabbat,,1,0,0,0,0,0,0
talmud,judaism,,1,0,0,0,0,0,0
judaism,Jude,,3,0,0,0,0,0,0
church,pope,,2,0,0,0,0,1,0
church,jesus,,1,0,0,0,1,6,0
engineer,programmer,,1,0,0,0,0,0,0
husband,wife,,14,6,0,1,0,1,0
daughter,husband,wife,4,0,0,0,0,0,0
gospel,christian,christianity,2,1,0,0,0,0,0
bible,quran,torah,1,0,0,0,0,0,0
bible,christian,christianity,1,0,0,0,0,0,0
torah,talmud,shabbat,1,0,0,0,0,0,0
christian,christianity,men,1,0,0,0,0,0,0
christian,christianity,church,1,0,0,0,0,0,0
christian,christianity,jesus,1,1,0,0,0,1,0
christian,church,jesus,1,0,0,0,0,0,0
christianity,church,jesus,1,0,0,0,0,0,0
girl,boy,lady,1,0,2,0,0,0,0
girl,boy,woman,1,0,1,0,0,0,0
woman,husband,wife,1,0,0,0,0,0,0
muslim,fundamentalist,jew,1,0,0,0,0,0,0
christian,judaism,,0,2,0,0,0,0,0
christian,husband,,0,1,0,0,0,0,0
boy,men,,0,2,0,0,0,0,0
receptionist,mosque,,0,1,0,0,0,0,0
mosque,islam,,0,1,0,1,0,0,0
homemaker,woman,,0,1,0,0,0,0,0
kosher,assistant,,0,1,0,0,0,0,0
male,doctor,,0,1,0,0,0,0,0
nose,king,,0,1,0,0,0,0,0
quran,bible,,0,0,2,0,0,0,0
girl,man,,0,0,2,1,0,0,0
boy,man,,0,0,2,0,1,0,0
boy,male,,0,0,1,1,1,1,0
man,lady,,0,0,2,0,0,0,0
man,woman,,0,0,1,0,0,6,0
man,men,,0,0,3,0,0,0,0
lady,gentleman,,0,0,2,0,0,0,0
lady,king,,0,0,1,0,0,0,0
woman,daughter,,0,0,1,0,0,0,0
