model,total_queries,geo_americas_mentions_count,queries_with_geo_americas_mentions,example
gemma-2-2b/gemmascope-att-16k,2805,126,"hindu, mandir, murti, brahma, diwali, hinduism, holi, moksha, puja, vedas, varanasi, Yajna","Alexander M . Nicholson . However , it is generally accepted that Dr . Walter Guy ton C ady was the first to use a quartz to control the frequency of an oscillator circuit . Nevertheless , Nicholson is still regarded as the inventor of the crystal oscillator . 1 9 1 8 Grocery bag Shopping bags are medium - sized bags , typically around 1 0 2 0 litres ( 2 . 5 to 5 gallons ) in volume , that are often used by grocery shoppers to carry home their purchases . They can be single - use ( disposable ), used for other purposes or designed as reusable shopping bags . The grocery bag with handles was invented in 1"
gemma-2-2b/gemmascope-att-16k,2805,126,"hindu, mandir, murti, brahma, diwali, hinduism, holi, moksha, puja, vedas, varanasi, Yajna","Roger Moore for effortless charm . The actor was a true American h unk and as the show went on to become more and more popular , all those dynamic running poses with bell bottoms flapping , and the gigantic b ionic leaps that so entr anced impression able viewing youngsters in 1 9 7 0 s playgrounds , were joined by an increasing awareness of Majors sex symbol status for young women -- with the actor often seen sporting un button ed shirts that exposed his copious chest hair at every opportunity from season four onwards ; although the moustache he grew that year was always to be viewed as a big mistake by anyone with even a mod icum of taste !"
gemma-2-2b/gemmascope-att-16k,2805,126,"hindu, mandir, murti, brahma, diwali, hinduism, holi, moksha, puja, vedas, varanasi, Yajna","F oles ' QB rating is 1 5 2 . 8 . He has thrown 1 9 9 consecutive passes without an interception and his 9 . 6 yards per attempt is first in the league . F oles has the Eagles flying high and helped them halt a 1 0 - game home losing streak with last week ' s 2 4 - 1 6 win over the Washington Red skins . He threw for 2 9 8 yards and did not have a touchdown pass . He didn ' t need to because Le Sean McCoy ran for 7 7 yards and a pair of touchdowns . "" I feel like we '"
gemma-2-2b/gemmascope-att-16k,2805,126,"hindu, mandir, murti, brahma, diwali, hinduism, holi, moksha, puja, vedas, varanasi, Yajna","F MF and other inflammatory diseases should be aware of these associations . <bos> Meet Dr . Carol Ford Dr . Carol Ford has been working in dentistry for the past 3 0 years . Her unique ability to connect with her patients on a personal level allows her to develop strong relationships and create long - range strategic plans for optimal oral health . Dr . Ford began her career as a dental assistant , during which time she developed a passion for helping people improve their health and quality of life . In 1 9 8 3 , she graduated from the University of Washington Dental School with honors , including Excellence in Pediatric , Rest orative and Cosmetic Dentistry ."
gemma-2-2b/gemmascope-att-16k,2805,126,"hindu, mandir, murti, brahma, diwali, hinduism, holi, moksha, puja, vedas, varanasi, Yajna","}; <bos> 3 3 7 F . Supp . 1 5 0 ( 1 9 7 2 ) CITY OF NEW YORK , Plaintiff , and Bush Terminal Railroad Users Association , Inc ., et al ., Inter vening Plaintiffs , v . The UNITED STATES of America et al ., Defendants . Civ . No . 7 1 - C - 1 6 3 9 . United States District Court , E . D . New York . January 2 0 , 1 9 7 2 . * 1 5 1 * 1 5 2 Louis Walters , Asst . Corp . Counsel ( J . Lee Rankin , Corp . Counsel for"
gemma-2-2b/gemmascope-res-16k,9990,719,"hindu, mandir, murti, brahma, diwali, hinduism, holi, moksha, puja, vedas, varanasi, Yajna","The American Uro logical Association ( AU A ) and all related scientific associations as well as regulatory government agencies that may impact Reproductive Cell and Tissue Banking . Bio Genetics is FDA Registered Bio Genetics is licensed by The New Jersey State Department of Health as a Laboratory under CL IA The New York State Department of Health as a Reproductive Cell & Tissue Bank Bio Genetics Corporation operates under the direction of Albert An ouna , President and CEO . Mr . An ouna holds a B . Sc . and is certified as a High Complexity Laboratory Director ( H CL D ). Mr . An ouna is a member of the following professional and"
gemma-2-2b/gemmascope-res-16k,9990,719,"hindu, mandir, murti, brahma, diwali, hinduism, holi, moksha, puja, vedas, varanasi, Yajna","The UNITED STATES of America et al ., Defendants . Civ . No . 7 1 - C - 1 6 3 9 . United States District Court , E . D . New York . January 2 0 , 1 9 7 2 . * 1 5 1 * 1 5 2 Louis Walters , Asst . Corp . Counsel ( J . Lee Rankin , Corp . Counsel for City of New York , Peter C . De metri and Eleanor Oppenheimer , Asst . Corp . Coun sels , of counsel ), for plaintiff . Stacey L . Walla ch , New York City ( Ten zer , Green blatt , Fallon & Kaplan , New"
gemma-2-2b/gemmascope-res-16k,9990,719,"hindu, mandir, murti, brahma, diwali, hinduism, holi, moksha, puja, vedas, varanasi, Yajna",", USA IHC OS 6 0 8 Twist 1 Zhang 2 0 1 0 China 1 0 0 7 0 ( 7 0 . 0 ) Surgery rabbit poly clonal 1 : 5 0 Santa Cruz , CA , USA IHC OS 7 6 7 Zhao 2 0 1 1 China 9 7 5 1 ( 5 2 . 6 ) Surgery NA NA 1 : 1 0 0 Santa Cruz , CA , USA IHC OS 6 0 7 N iu 2 0 0 7 China"
gemma-2-2b/gemmascope-res-16k,9990,719,"hindu, mandir, murti, brahma, diwali, hinduism, holi, moksha, puja, vedas, varanasi, Yajna","Click on cover ( above ) to order at nice discount . It ' s a thrilling history of escape tunnels -- under the Berlin Wall -- and JFK ' s attempt to suppress NBC and CBS films about them . Ha iled by Bill Moy ers , Alan Fur st , and Frederick Forsyth , others . Paul Green grass attached to direct movie . "" A fascinating and complex picture of the interplay between politics and media in the Cold War era . -- Washington Post . "" A gripping , blow - by - blow account ."" -- Publishers Weekly ( starred review ). Award - Winning ' Campaign of the Century '' "" U pton Sinclair ' s Race for Governor"
gemma-2-2b/gemmascope-res-16k,9990,719,"hindu, mandir, murti, brahma, diwali, hinduism, holi, moksha, puja, vedas, varanasi, Yajna","bring it to the mouth . American standard a few bites are cut , the knife is laid across the top of the plate , sharp edge toward you , and the fork is switched to the right hand , if right - handed , t ines up to bring the food to the mouth . ( Do not cut more than two or three bites at a time .) Dessert Ut ens ils . Dessert utensils may be found placed across the top of the place setting . Place these utensils down for use after the main course is removed ( fork to the left and spoon to the right ). Passing . Pass community food"
gemma-2-2b/gemmascope-res-65k,7746,303,"hindu, mandir, murti, brahma, diwali, hinduism, holi, moksha, puja, vedas, varanasi, Yajna","This is my first re - election campaign for Congress . I ve worked hard really hard to do the people s work , but I need your help . We can t take this election for granted and I m working hard to earn every vote . I need you . Together , we can be victorious in 2 0 1 6 . Support is Building I m honored to have recently earned the endorsements of the Michigan State AFL - CIO , United Auto Workers Region 1 , Michigan Regional Council of Car penters and Mill wrights , American Federation of Teachers - Michigan , Sheet Metal Workers Local 8 0 ,"
gemma-2-2b/gemmascope-res-65k,7746,303,"hindu, mandir, murti, brahma, diwali, hinduism, holi, moksha, puja, vedas, varanasi, Yajna","of democracy itself . This was important to us , because time and again in the United States , pund its , elected officials , everyday folks , and even journalists use the word democracy as an excuse to de - leg itim ize extremely democratic groups and governments . They say , Venezuela is threatening democracy in the region , and yet depending on your definition , Venezuela is perhaps the most democratic country in the region much more so than the United States . But these realities are very subtle , and if you have never been to Venezuela , or Brazil , or Bolivia , or Ecuador ( or if you go and only stay at the resorts and"
