model,total_queries,geo_north_america_mentions_count,queries_with_geo_north_america_mentions,example
gemma-2-2b/gemmascope-att-16k,2805,135,"hindu, mandir, murti, brahma, diwali, hinduism, holi, moksha, puja, vedas, varanasi, Yajna","Alexander M . Nicholson . However , it is generally accepted that Dr . Walter Guy ton C ady was the first to use a quartz to control the frequency of an oscillator circuit . Nevertheless , Nicholson is still regarded as the inventor of the crystal oscillator . 1 9 1 8 Grocery bag Shopping bags are medium - sized bags , typically around 1 0 2 0 litres ( 2 . 5 to 5 gallons ) in volume , that are often used by grocery shoppers to carry home their purchases . They can be single - use ( disposable ), used for other purposes or designed as reusable shopping bags . The grocery bag with handles was invented in 1"
gemma-2-2b/gemmascope-att-16k,2805,135,"hindu, mandir, murti, brahma, diwali, hinduism, holi, moksha, puja, vedas, varanasi, Yajna","Roger Moore for effortless charm . The actor was a true American h unk and as the show went on to become more and more popular , all those dynamic running poses with bell bottoms flapping , and the gigantic b ionic leaps that so entr anced impression able viewing youngsters in 1 9 7 0 s playgrounds , were joined by an increasing awareness of Majors sex symbol status for young women -- with the actor often seen sporting un button ed shirts that exposed his copious chest hair at every opportunity from season four onwards ; although the moustache he grew that year was always to be viewed as a big mistake by anyone with even a mod icum of taste !"
gemma-2-2b/gemmascope-att-16k,2805,135,"hindu, mandir, murti, brahma, diwali, hinduism, holi, moksha, puja, vedas, varanasi, Yajna","F oles ' QB rating is 1 5 2 . 8 . He has thrown 1 9 9 consecutive passes without an interception and his 9 . 6 yards per attempt is first in the league . F oles has the Eagles flying high and helped them halt a 1 0 - game home losing streak with last week ' s 2 4 - 1 6 win over the Washington Red skins . He threw for 2 9 8 yards and did not have a touchdown pass . He didn ' t need to because Le Sean McCoy ran for 7 7 yards and a pair of touchdowns . "" I feel like we '"
gemma-2-2b/gemmascope-att-16k,2805,135,"hindu, mandir, murti, brahma, diwali, hinduism, holi, moksha, puja, vedas, varanasi, Yajna","F MF and other inflammatory diseases should be aware of these associations . <bos> Meet Dr . Carol Ford Dr . Carol Ford has been working in dentistry for the past 3 0 years . Her unique ability to connect with her patients on a personal level allows her to develop strong relationships and create long - range strategic plans for optimal oral health . Dr . Ford began her career as a dental assistant , during which time she developed a passion for helping people improve their health and quality of life . In 1 9 8 3 , she graduated from the University of Washington Dental School with honors , including Excellence in Pediatric , Rest orative and Cosmetic Dentistry ."
gemma-2-2b/gemmascope-att-16k,2805,135,"hindu, mandir, murti, brahma, diwali, hinduism, holi, moksha, puja, vedas, varanasi, Yajna","contributed equally to this work . <bos> Rod Andrews The Rt . Rev Rodney Osborne Andrews is a retired Ang lican bishop . Born on 1 1 November 1 9 4 0 , educated at the University of Saskatchewan and ordained in 1 9 6 5 he was involved in parish work and native ministry within the Diocese of Calgary until 1 9 8 4 . He was a military chaplain in the Diocese of Montreal after which he was Arch deacon of Algo ma until 2 0 0 0 . He was Rector of St Alban s , Richmond and University Chaplain at UBC until 2 0 0 4 when he became"
gemma-2-2b/gemmascope-res-65k,7746,303,"hindu, mandir, murti, brahma, diwali, hinduism, holi, moksha, puja, vedas, varanasi, Yajna","This is my first re - election campaign for Congress . I ve worked hard really hard to do the people s work , but I need your help . We can t take this election for granted and I m working hard to earn every vote . I need you . Together , we can be victorious in 2 0 1 6 . Support is Building I m honored to have recently earned the endorsements of the Michigan State AFL - CIO , United Auto Workers Region 1 , Michigan Regional Council of Car penters and Mill wrights , American Federation of Teachers - Michigan , Sheet Metal Workers Local 8 0 ,"
gemma-2-2b/gemmascope-res-65k,7746,303,"hindu, mandir, murti, brahma, diwali, hinduism, holi, moksha, puja, vedas, varanasi, Yajna","even though the weather did not cooperate the entire day was enjoyable . I highly recommend [ ] <bos> Q : Why was Mund ung us banned from the Hog ' s Head ? In Order of the Phoenix while the trio were in the Hog s Head for the first time plotting the start of Dumbledore ' s Army , it trans pires that ol ' Dung was lurking in the pub in a disguise , having been banned 2 0 years previously according to Sirius . Firstly , why was he banned ? this could possibly be the tight spot that Al bus had helped Dung with in the first place that made him loyal to Al bus ."
gemma-2-2b/gemmascope-res-65k,7746,303,"hindu, mandir, murti, brahma, diwali, hinduism, holi, moksha, puja, vedas, varanasi, Yajna","a . We benefited from valuable discussions with Hug ues Chat , Nicolas Des re uma ux , Olivier D auch ot , Cristina Mar chetti , Julien Ta illeur and John Toner . This work was partly funded by the AN R program Mi Tra , and Institut Univers itaire de France . D . S . acknowledges partial support from the Donors of the American Chemical Society Petroleum Research Fund and from NSF CAREER Grant No . CB ET - 1 1 5 1 5 9 0 . K . S . was supported by the J SPS Core - to - Core Program ' Non - equilibrium dynamics of soft matter and information \ '. ** Author contributions ** A ."
gemma-2-2b/gemmascope-res-65k,7746,303,"hindu, mandir, murti, brahma, diwali, hinduism, holi, moksha, puja, vedas, varanasi, Yajna","Category : Sports people from Seattle Category : People from Mercer Island , Washington Category : CON CAC AF Gold Cup - winning players Category : All - American men ' s college soccer players Category : 2 0 1 9 CON CAC AF Gold Cup players <bos> Very well , this is not the first story that I write in English , but is the first that is going to be published and NOT removed Very well , this is not the first story that I write in English , but is the first that is going to be published and W ONT be removed . So I ' ll be so honored if you read it even"
gemma-2-2b/gemmascope-res-65k,7746,303,"hindu, mandir, murti, brahma, diwali, hinduism, holi, moksha, puja, vedas, varanasi, Yajna","- time employees under the law . The move does nothing to impact the individual mandate that will require all Americans to purchase health care or be subject to a penalty . Already expected to cost $ 4 billion , the delay could further drive up President Obama s historic deficits , as more are forced onto government - subsid ized insurance plans . Try as it might , the Obama administration cannot issue enough waivers , special - interest carve - outs or delays to hide the fact that Obamacare is the wrong prescription for America . It increases costs , takes away choices and does nothing to solve the underlying problems in America s health - care system . Instead , the law"
