model;gemma-2-9b-it;
;;
;Spaltenbeschriftungen;
Zeilenbeschriftungen;gemmascope-res-131k;Gesamtergebnis
24;;
I teach music;;
102;;
I learn dance;;
I study dance;;
I teach dance;;
923;;
I learn film;;
I study film;;
I teach film;;
2612;;
I learn anthropology;;
I study anthropology;;
I teach anthropology;;
2824;;
I learn programming;;
I study programming;;
I teach programming;;
3936;;
I learn algebra;;
I learn anthropology;;
I learn art;;
I learn astronomy;;
I learn biology;;
I learn calculus;;
I learn chemistry;;
I learn computer science;;
I learn dance;;
I learn economics;;
I learn film;;
I learn geography;;
I learn geology;;
I learn geometry;;
I learn history;;
I learn literature;;
I learn music;;
I learn philosophy;;
I learn physics;;
I learn poetry;;
I learn politics;;
I learn probability;;
I learn programming;;
I learn psychology;;
I learn sociology;;
I learn statistics;;
I learn theater;;
I learn trigonometry;;
I study algebra;;
I study anthropology;;
I study art;;
I study astronomy;;
I study biology;;
I study calculus;;
I study chemistry;;
I study computer science;;
I study dance;;
I study economics;;
I study film;;
I study geography;;
I study geology;;
I study geometry;;
I study history;;
I study literature;;
I study music;;
I study philosophy;;
I study physics;;
I study poetry;;
I study politics;;
I study probability;;
I study programming;;
I study psychology;;
I study sociology;;
I study statistics;;
I study theater;;
I study trigonometry;;
I teach algebra;;
I teach anthropology;;
I teach art;;
I teach astronomy;;
I teach biology;;
I teach calculus;;
I teach chemistry;;
I teach computer science;;
I teach dance;;
I teach economics;;
I teach film;;
I teach geography;;
I teach geology;;
I teach geometry;;
I teach history;;
I teach literature;;
I teach music;;
I teach philosophy;;
I teach physics;;
I teach poetry;;
I teach politics;;
I teach probability;;
I teach programming;;
I teach psychology;;
I teach sociology;;
I teach statistics;;
I teach theater;;
I teach trigonometry;;
4612;;
I learn physics;;
I study physics;;
I teach physics;;
5813;;
I learn probability;;
I study probability;;
I teach probability;;
6026;;
I learn biology;;
I study biology;;
I teach biology;;
9885;;
I learn economics;;
I study economics;;
I teach economics;;
10421;;
I learn philosophy;;
I study philosophy;;
I teach philosophy;;
11609;;
I learn economics;;
I study economics;;
I teach economics;;
12342;;
I learn politics;;
I study politics;;
I teach politics;;
13072;;
I learn geometry;;
I study geometry;;
I teach geometry;;
13320;;
I learn calculus;;
I study calculus;;
I teach calculus;;
13742;;
I learn economics;;
I study economics;;
I teach economics;;
14947;;
I study dance;;
15810;;
I learn geometry;;
I study geometry;;
I teach geometry;;
16642;;
I learn politics;;
I study politics;;
I teach politics;;
16814;;
I learn algebra;;
I learn anthropology;;
I learn art;;
I learn astronomy;;
I learn biology;;
I learn calculus;;
I learn chemistry;;
I learn computer science;;
I learn dance;;
I learn economics;;
I learn film;;
I learn geography;;
I learn geology;;
I learn geometry;;
I learn history;;
I learn literature;;
I learn music;;
I learn philosophy;;
I learn physics;;
I learn poetry;;
I learn politics;;
I learn probability;;
I learn programming;;
I learn psychology;;
I learn sociology;;
I learn statistics;;
I learn theater;;
I learn trigonometry;;
17758;;
I learn algebra;;
I learn art;;
I learn astronomy;;
I learn biology;;
I learn calculus;;
I learn chemistry;;
I learn economics;;
I learn film;;
I learn geography;;
I learn music;;
I learn physics;;
I learn politics;;
I learn programming;;
I learn statistics;;
I learn trigonometry;;
I study algebra;;
I study anthropology;;
I study art;;
I study astronomy;;
I study biology;;
I study calculus;;
I study chemistry;;
I study economics;;
I study film;;
I study geography;;
I study geometry;;
I study music;;
I study physics;;
I study poetry;;
I study politics;;
I study probability;;
I study programming;;
I study sociology;;
I study statistics;;
I study theater;;
I study trigonometry;;
I teach algebra;;
I teach anthropology;;
I teach art;;
I teach astronomy;;
I teach biology;;
I teach calculus;;
