query_term,latent_feature_number,activation_tokens
allah,6320,"s ▁insol ence ▁and ▁Anna ▁Karina ▁hair do ▁( like ▁Uma ▁Thurman ' s ▁in ▁"" Pulp ▁Fiction "") ▁may ▁offer ▁a ▁touch ▁of ▁God ard . ▁But ▁this ▁film ' s ▁satire ▁of ▁teen - age - waste land ▁cinema ▁is ▁so ▁coarsely ▁exaggerated ▁that ▁any ▁homage ▁is ▁beside ▁the ▁point . 

 Using ▁outlaw ▁characters ▁named ▁Red , ▁White ▁and ▁Blue ▁to ▁condemn ▁all ▁aspects ▁of ▁un hip ▁America , ▁Mr . ▁Ara ki ▁indul ges ▁in ▁such ▁broad ▁parody ▁that ▁thinking ▁it ▁clumsy ▁means ▁failure ▁to ▁get ▁the ▁joke . ▁Though ▁visibly ▁more ▁polished ▁than ▁his ▁earlier ▁films , ▁"" The ▁Doom ▁Generation "" ▁clings ▁to ▁a ▁midnight ▁movie ▁sensibility ▁founded ▁on ▁deliberate ▁kits ch . ▁So ▁Amy ▁is ▁a ▁one - note ,"
allah,6320,"s ▁insol ence ▁and ▁Anna ▁Karina ▁hair do ▁( like ▁Uma ▁Thurman ' s ▁in ▁"" Pulp ▁Fiction "") ▁may ▁offer ▁a ▁touch ▁of ▁God ard . ▁But ▁this ▁film ' s ▁satire ▁of ▁teen - age - waste land ▁cinema ▁is ▁so ▁coarsely ▁exaggerated ▁that ▁any ▁homage ▁is ▁beside ▁the ▁point . 

 Using ▁outlaw ▁characters ▁named ▁Red , ▁White ▁and ▁Blue ▁to ▁condemn ▁all ▁aspects ▁of ▁un hip ▁America , ▁Mr . ▁Ara ki ▁indul ges ▁in ▁such ▁broad ▁parody ▁that ▁thinking ▁it ▁clumsy ▁means ▁failure ▁to ▁get ▁the ▁joke . ▁Though ▁visibly ▁more ▁polished ▁than ▁his ▁earlier ▁films , ▁"" The ▁Doom ▁Generation "" ▁clings ▁to ▁a ▁midnight ▁movie ▁sensibility ▁founded ▁on ▁deliberate ▁kits ch . ▁So ▁Amy ▁is ▁a ▁one - note ,"
allah,6320,"▁and ▁the ▁God ▁during ▁the ▁coming ▁winter ▁months . ▁The ▁name ▁M abon ▁was ▁coined ▁by ▁Aidan ▁Kelly ▁around ▁ 1 9 7 0 ▁as ▁a ▁reference ▁to ▁, ▁a ▁character ▁from ▁Welsh ▁mythology . ▁Among ▁the ▁sab bats , ▁it ▁is ▁the ▁second ▁of ▁the ▁three ▁Pagan ▁harvest ▁festivals , ▁preceded ▁by ▁Lam mas ▁/ ▁Lu gh nas adh ▁and ▁followed ▁by ▁Sam hain . 

 Sam hain ▁( Hallo we ' en ) 

 Sam hain ▁() ▁is ▁considered ▁by ▁Wic cans ▁to ▁be ▁one ▁of ▁the ▁four ▁Greater ▁Sab bats . ▁Sam hain ▁is ▁considered ▁by ▁some ▁as ▁a ▁time ▁to ▁celebrate ▁the ▁lives ▁of ▁those ▁who ▁have ▁passed ▁on , ▁and ▁it ▁often ▁involves ▁paying ▁respect ▁to ▁ancestors , ▁family ▁members , ▁elders"
allah,6320,"▁and ▁the ▁God ▁during ▁the ▁coming ▁winter ▁months . ▁The ▁name ▁M abon ▁was ▁coined ▁by ▁Aidan ▁Kelly ▁around ▁ 1 9 7 0 ▁as ▁a ▁reference ▁to ▁, ▁a ▁character ▁from ▁Welsh ▁mythology . ▁Among ▁the ▁sab bats , ▁it ▁is ▁the ▁second ▁of ▁the ▁three ▁Pagan ▁harvest ▁festivals , ▁preceded ▁by ▁Lam mas ▁/ ▁Lu gh nas adh ▁and ▁followed ▁by ▁Sam hain . 

 Sam hain ▁( Hallo we ' en ) 

 Sam hain ▁() ▁is ▁considered ▁by ▁Wic cans ▁to ▁be ▁one ▁of ▁the ▁four ▁Greater ▁Sab bats . ▁Sam hain ▁is ▁considered ▁by ▁some ▁as ▁a ▁time ▁to ▁celebrate ▁the ▁lives ▁of ▁those ▁who ▁have ▁passed ▁on , ▁and ▁it ▁often ▁involves ▁paying ▁respect ▁to ▁ancestors , ▁family ▁members , ▁elders"
allah,6320,"▁the ▁most ▁devastating ▁song ▁in ▁her ▁god mum ’ s ▁catalogue ▁– ▁“ Love ▁Is ▁a ▁Losing ▁Game ” ▁– ▁at ▁The ▁Big ▁Chill ▁on ▁Saturday ▁( August ▁ 6 ), ▁well , ▁she ▁could ▁barely ▁sing ▁for ▁crying . ▁And ▁you ▁can ▁imagine ▁what ▁kind ▁of ▁effect ▁that ▁had ▁on ▁her ▁audience … ▁( via ▁Marie ▁Claire ▁UK ) 

 • ▁Ever ▁the ▁gentleman , ▁Simon ▁Cowell ▁is ▁now ▁attempting ▁to ▁fall ▁on ▁his ▁sword , ▁saying ▁he ▁probably ▁shouldn ’ t ▁have ▁sacked ▁Cheryl ▁Cole , ▁or ▁try ▁to ▁move ▁her ▁back ▁across ▁to ▁the ▁UK ▁version ▁of ▁The ▁X ▁Factor , ▁but ▁he ’ s ▁sure ▁their ▁friendship ▁will ▁survive . ▁( via ▁Evening ▁Echo ) 

 • ▁But ▁should ▁he ▁even ▁be ▁talking"
allah,6320,"
 College ▁of ▁God ’ s ▁Gift ▁at ▁Dul wich ▁( London : ▁privately ▁printed , ▁ 1 9 0 3 ). 

 Half ▁of ▁these ▁manuscript ▁volumes ▁and ▁most ▁of ▁the ▁mun iments ▁concern ▁the ▁private 
 aff airs ▁and ▁non - the at rical ▁businesses ▁of ▁the ▁Hens lowe ▁and ▁Alle yn ▁families , ▁as 
 well ▁as ▁the ▁history ▁of ▁Dul wich ▁College ▁since ▁its ▁inception . ▁It ▁is ▁the ▁other ▁half 
 of ▁these ▁volumes , ▁representing ▁the ▁theatrical ▁affairs ▁of ▁Hens lowe ▁and ▁Alle yn , 
 that ▁are ▁the ▁subject ▁of ▁this ▁website ▁and ▁electronic ▁archive . 

 Less ▁than ▁half ▁of ▁the ▁theatrical ▁items ▁in ▁the ▁Hens lowe - Alle yn ▁Papers ▁have ▁ever 
 been ▁transcribed , ▁and ▁these"
allah,6320,"
 College ▁of ▁God ’ s ▁Gift ▁at ▁Dul wich ▁( London : ▁privately ▁printed , ▁ 1 9 0 3 ). 

 Half ▁of ▁these ▁manuscript ▁volumes ▁and ▁most ▁of ▁the ▁mun iments ▁concern ▁the ▁private 
 aff airs ▁and ▁non - the at rical ▁businesses ▁of ▁the ▁Hens lowe ▁and ▁Alle yn ▁families , ▁as 
 well ▁as ▁the ▁history ▁of ▁Dul wich ▁College ▁since ▁its ▁inception . ▁It ▁is ▁the ▁other ▁half 
 of ▁these ▁volumes , ▁representing ▁the ▁theatrical ▁affairs ▁of ▁Hens lowe ▁and ▁Alle yn , 
 that ▁are ▁the ▁subject ▁of ▁this ▁website ▁and ▁electronic ▁archive . 

 Less ▁than ▁half ▁of ▁the ▁theatrical ▁items ▁in ▁the ▁Hens lowe - Alle yn ▁Papers ▁have ▁ever 
 been ▁transcribed , ▁and ▁these"
allah,6320,"▁in ▁todays ▁dollars ▁for ▁every ▁single ▁slave ▁to ▁do ▁incredibly ▁easy ▁soft ▁labor ▁ 8 - 1 2 ▁months ▁out ▁of ▁the ▁year ▁picking ▁cot ten ▁or ▁cleaning ▁house ▁while ▁getting ▁everything ▁paid ▁for ▁and ▁the ▁biggest ▁part ▁getting ▁out ▁of ▁that ▁god ▁awful ▁wretched ▁hell hole ▁jungle ▁ 3 rd ▁world ▁existence ? 

 Clearly ▁they ▁were ▁happy ▁to ▁get ▁away ▁from ▁the ▁stench ▁of ▁the ▁jungle ▁otherwise ▁they ▁would ▁have ▁all ▁returned ▁to ▁that ▁wretched ▁hell hole ▁Africa ▁in ▁ 1 8 2 1 ▁with ▁Liberia ▁or ▁in ▁ 1 8 6 5 ▁or ▁other ▁times . 

 Black s ▁in ▁America ▁need ▁to ▁get ▁on ▁ther ▁hands ▁and ▁knees ▁and ▁kiss ▁the ▁feet ▁of ▁the ▁white ▁elite ▁for ▁taking ▁out ▁of ▁hell ish ▁African"
allah,6320,". 

 My ▁parents ▁were ▁god - f earing ▁people , ▁but ▁since ▁there ▁was ▁no ▁church ▁within ▁easy ▁distance ▁of ▁our ▁farm , ▁it ▁fell ▁to ▁my ▁father ▁and ▁mother ▁to ▁see ▁that ▁their ▁sons ▁came ▁to ▁know ▁the ▁Bible ▁and ▁to ▁embrace ▁the ▁tenants ▁of ▁the ▁Christian ▁faith . ▁In ▁this ▁regard , ▁I ▁was ▁even ▁less ▁enthusiastic . ▁Rebellion ▁resided ▁in ▁my ▁stubborn ▁heart , ▁and ▁it ▁did ▁not ▁matter ▁if ▁my ▁father ▁took ▁a ▁strap ▁to ▁me ▁or ▁my ▁mother ▁sweetly ▁entre ated ▁me . ▁I ▁would ▁not ▁yield . 

 Perhaps , ▁given ▁enough ▁time , ▁I ▁might ▁have ▁come ▁to ▁know ▁the ▁God ▁my ▁parents ▁believed ▁in . ▁But ▁there ▁wasn ’ t ▁enough ▁time . ▁They ▁died ▁of ▁the ▁fever"
allah,6320,". 

 My ▁parents ▁were ▁god - f earing ▁people , ▁but ▁since ▁there ▁was ▁no ▁church ▁within ▁easy ▁distance ▁of ▁our ▁farm , ▁it ▁fell ▁to ▁my ▁father ▁and ▁mother ▁to ▁see ▁that ▁their ▁sons ▁came ▁to ▁know ▁the ▁Bible ▁and ▁to ▁embrace ▁the ▁tenants ▁of ▁the ▁Christian ▁faith . ▁In ▁this ▁regard , ▁I ▁was ▁even ▁less ▁enthusiastic . ▁Rebellion ▁resided ▁in ▁my ▁stubborn ▁heart , ▁and ▁it ▁did ▁not ▁matter ▁if ▁my ▁father ▁took ▁a ▁strap ▁to ▁me ▁or ▁my ▁mother ▁sweetly ▁entre ated ▁me . ▁I ▁would ▁not ▁yield . 

 Perhaps , ▁given ▁enough ▁time , ▁I ▁might ▁have ▁come ▁to ▁know ▁the ▁God ▁my ▁parents ▁believed ▁in . ▁But ▁there ▁wasn ’ t ▁enough ▁time . ▁They ▁died ▁of ▁the ▁fever"
