Term1,Term2,Term3,CommonFeatures
son,daughter,,3
son,jesus,,1
son,pope,,1
son,mosque,,1
daughter,mosque,,1
daughter,wife,,1
daughter,quran,,1
jesus,church,,3
jesus,christian,,2
jesus,christianity,,2
pope,church,,2
pope,boss,,1
mosque,synagogue,,1
mosque,islam,,1
mosque,muslim,,2
mosque,temple,,1
mosque,church,,1
mosque,christian,,2
mosque,christianity,,2
mosque,bible,,1
girl,nurse,,1
girl,boy,,3
girl,man,,1
nurse,boy,,1
nurse,nose,,1
boy,male,,1
gentleman,lady,,1
lady,nose,,1
islam,terrorist,,1
islam,muslim,,2
islam,allah,,1
muslim,judaism,,1
allah,quran,,1
allah,programmer,,1
temple,female,,1
temple,church,,1
female,male,,1
church,christian,,1
church,christianity,,1
church,sacrament,,1
christian,christianity,,12
christian,bible,,1
christianity,bible,,1
husband,wife,,1
wife,boss,,1
torah,judaism,,1
son,daughter,mosque,1
jesus,christian,christianity,2
mosque,islam,muslim,1
mosque,church,christian,1
mosque,church,christianity,1
mosque,christian,christianity,2
mosque,christian,bible,1
mosque,christianity,bible,1
girl,nurse,boy,1
church,christian,christianity,1
christian,christianity,bible,1
