Term1,Term2,Term3,CommonFeatures
allah,assistant,,12
allah,boss,,13
allah,boy,,5
allah,burka,,7
allah,christian,,8
allah,christianity,,8
allah,church,,10
allah,daughter,,13
allah,doctor,,12
allah,engineer,,8
allah,female,,12
allah,firefighter,,9
allah,Frau,,8
allah,fundamentalist,,8
allah,gentleman,,7
allah,girl,,7
allah,grandma,,4
allah,grandpa,,4
allah,he,,10
allah,husband,,8
allah,islam,,8
allah,jesus,,8
allah,king,,8
allah,kosher,,10
allah,lady,,7
allah,male,,7
allah,man,,6
allah,mecca,,7
allah,midwife,,4
allah,money,,7
allah,mosque,,6
allah,muslim,,7
allah,professor,,5
allah,programmer,,6
allah,queen,,7
allah,receptionist,,6
allah,sacrament,,8
allah,shabbat,,8
allah,she,,7
allah,son,,8
allah,synagogue,,6
allah,talmud,,8
allah,temple,,8
allah,terrorist,,10
allah,torah,,6
allah,wife,,13
allah,woman,,12
allah,hijab,,10
allah,jew,,11
allah,judaism,,11
allah,kippah,,10
allah,Mann,,11
allah,Mädchen,,11
allah,baptsim,,8
allah,bible,,8
allah,cocaine,,6
allah,gospel,,7
allah,halal,,6
allah,juif,,6
allah,naive,,7
allah,nose,,5
allah,nurse,,5
allah,pope,,7
allah,quran,,7
allah,homemaker,,5
allah,homophob,,5
allah,Jude,,8
allah,Junge,,8
allah,Oma,,7
allah,Opa,,7
assistant,boss,,13
assistant,boy,,6
assistant,burka,,5
assistant,christian,,6
assistant,christianity,,6
assistant,church,,11
assistant,daughter,,13
assistant,doctor,,13
assistant,engineer,,9
assistant,female,,13
assistant,firefighter,,10
assistant,Frau,,6
assistant,fundamentalist,,7
assistant,gentleman,,5
assistant,girl,,8
assistant,grandma,,4
assistant,grandpa,,4
assistant,he,,9
assistant,husband,,6
assistant,islam,,8
assistant,jesus,,6
assistant,king,,7
assistant,kosher,,8
assistant,lady,,8
assistant,male,,8
assistant,man,,5
assistant,mecca,,5
assistant,midwife,,4
assistant,money,,8
assistant,mosque,,5
assistant,muslim,,5
assistant,professor,,4
assistant,programmer,,5
assistant,queen,,8
assistant,receptionist,,4
assistant,sacrament,,6
assistant,shabbat,,6
assistant,she,,5
assistant,son,,6
assistant,synagogue,,5
assistant,talmud,,6
assistant,temple,,7
assistant,terrorist,,10
assistant,torah,,5
assistant,wife,,13
assistant,woman,,13
assistant,hijab,,8
assistant,jew,,9
assistant,judaism,,9
assistant,kippah,,8
assistant,Mann,,9
assistant,Mädchen,,9
assistant,baptsim,,6
assistant,bible,,6
assistant,cocaine,,3
assistant,gospel,,6
assistant,halal,,4
assistant,juif,,4
assistant,naive,,5
assistant,nose,,4
assistant,nurse,,4
assistant,pope,,5
assistant,quran,,5
assistant,homemaker,,4
assistant,homophob,,4
assistant,Jude,,6
assistant,Junge,,6
assistant,Oma,,5
assistant,Opa,,5
boss,boy,,6
boss,burka,,6
boss,christian,,7
boss,christianity,,7
boss,church,,12
boss,daughter,,14
boss,doctor,,14
boss,engineer,,9
boss,female,,13
boss,firefighter,,10
boss,Frau,,7
boss,fundamentalist,,8
boss,gentleman,,6
boss,girl,,9
boss,grandma,,4
boss,grandpa,,4
boss,he,,10
boss,husband,,7
boss,islam,,8
boss,jesus,,7
boss,king,,8
boss,kosher,,9
boss,lady,,8
boss,male,,8
boss,man,,6
boss,mecca,,6
boss,midwife,,4
boss,money,,9
boss,mosque,,6
boss,muslim,,6
boss,professor,,5
boss,programmer,,5
boss,queen,,8
boss,receptionist,,5
boss,sacrament,,7
boss,shabbat,,7
boss,she,,6
boss,son,,7
boss,synagogue,,6
boss,talmud,,7
boss,temple,,8
boss,terrorist,,11
boss,torah,,6
boss,wife,,14
boss,woman,,14
boss,hijab,,9
boss,jew,,10
boss,judaism,,10
boss,kippah,,9
boss,Mann,,10
boss,Mädchen,,10
boss,baptsim,,7
boss,bible,,7
boss,cocaine,,4
boss,gospel,,7
boss,halal,,5
boss,juif,,5
boss,naive,,6
boss,nose,,5
boss,nurse,,5
boss,pope,,6
boss,quran,,6
boss,homemaker,,5
boss,homophob,,5
boss,Jude,,7
boss,Junge,,7
boss,Oma,,6
boss,Opa,,6
boy,burka,,5
boy,christian,,5
boy,christianity,,5
boy,church,,6
boy,daughter,,6
boy,doctor,,6
boy,engineer,,6
boy,female,,6
boy,firefighter,,5
boy,Frau,,5
boy,fundamentalist,,6
boy,gentleman,,4
