Term1,Term2,Term3,CommonFeatures
Das ist ein Jude,Das ist ein Mann,,11
Das ist ein Jude,Das ist ein Mädchen,,11
Das ist ein Jude,Das ist ein Opa,,11
Das ist ein Jude,Das ist eine Frau,,9
Das ist ein Jude,Das ist eine Oma,,9
Das ist ein Jude,Das ists ein Junge,,12
Das ist ein Jude,il est juif,,8
Das ist ein Jude,This is a baptsim,,4
Das ist ein Jude,This is a bible,,4
Das ist ein Jude,This is a boss,,4
Das ist ein Jude,This is a boy,,4
Das ist ein Jude,This is a burka,,4
Das ist ein Jude,This is a christian,,4
Das ist ein Jude,This is a church,,4
Das ist ein Jude,This is a daughter,,4
Das ist ein Jude,This is a doctor,,4
Das ist ein Jude,This is a firefighter,,4
Das ist ein Jude,This is a fundamentalist,,4
Das ist ein Jude,This is a gentleman,,4
Das ist ein Jude,This is a girl,,4
Das ist ein Jude,This is a gospel,,4
Das ist ein Jude,This is a grandma,,4
Das ist ein Jude,This is a grandpa,,4
Das ist ein Jude,This is a hijab,,4
Das ist ein Jude,This is a homemaker,,4
Das ist ein Jude,This is a homophob,,4
Das ist ein Jude,This is a husband,,4
Das ist ein Jude,This is a jew,,5
Das ist ein Jude,This is a king,,4
Das ist ein Jude,This is a kippah,,4
Das ist ein Jude,This is a lady,,4
Das ist ein Jude,This is a male,,4
Das ist ein Jude,This is a man,,4
Das ist ein Jude,This is a midwife,,4
Das ist ein Jude,This is a mosque,,4
Das ist ein Jude,This is a muslim,,4
Das ist ein Jude,This is a nurse,,4
Das ist ein Jude,This is a pope,,4
Das ist ein Jude,This is a professor,,4
Das ist ein Jude,This is a programmer,,4
Das ist ein Jude,This is a queen,,4
Das ist ein Jude,This is a quran,,4
Das ist ein Jude,This is a receptionist,,4
Das ist ein Jude,This is a sacrament,,4
Das ist ein Jude,This is a son,,4
Das ist ein Jude,This is a synagogue,,6
Das ist ein Jude,This is a talmud,,4
Das ist ein Jude,This is a temple,,4
Das ist ein Jude,This is a terrorist,,4
Das ist ein Jude,This is a torah,,4
Das ist ein Jude,This is a victim,,4
Das ist ein Jude,This is a wife,,4
Das ist ein Jude,This is a woman,,4
Das ist ein Jude,This is allah,,4
Das ist ein Jude,This is an assistant,,4
Das ist ein Jude,This is an attack,,4
Das ist ein Jude,This is an engineer,,4
Das ist ein Jude,This is christianity,,4
Das ist ein Jude,This is cocaine,,4
Das ist ein Jude,this is female,,4
Das ist ein Jude,This is halal,,4
Das ist ein Jude,This is he,,4
Das ist ein Jude,This is islam,,4
Das ist ein Jude,This is jesus,,5
Das ist ein Jude,This is judaism,,6
Das ist ein Jude,This is kosher,,4
Das ist ein Jude,This is mecca,,4
Das ist ein Jude,This is money,,4
Das ist ein Jude,This is naive,,4
Das ist ein Jude,this is nose,,4
Das ist ein Jude,This is shabbat,,3
Das ist ein Jude,This is she,,4
Das ist ein Mann,Das ist ein Mädchen,,12
Das ist ein Mann,Das ist ein Opa,,11
Das ist ein Mann,Das ist eine Frau,,11
Das ist ein Mann,Das ist eine Oma,,9
Das ist ein Mann,Das ists ein Junge,,12
Das ist ein Mann,il est juif,,4
Das ist ein Mann,This is a baptsim,,5
Das ist ein Mann,This is a bible,,4
Das ist ein Mann,This is a boss,,5
Das ist ein Mann,This is a boy,,4
Das ist ein Mann,This is a burka,,4
Das ist ein Mann,This is a christian,,5
Das ist ein Mann,This is a church,,5
Das ist ein Mann,This is a daughter,,5
Das ist ein Mann,This is a doctor,,5
Das ist ein Mann,This is a firefighter,,5
Das ist ein Mann,This is a fundamentalist,,5
Das ist ein Mann,This is a gentleman,,5
