Term1,Term2,Term3,CommonFeatures
son,daughter,,2
daughter,female,,1
gospel,torah,,1
gospel,quran,,1
gospel,jesus,,2
gospel,baptsim,,2
torah,quran,,3
torah,synagogue,,2
torah,kosher,,5
torah,judaism,,4
torah,talmud,,10
torah,shabbat,,3
torah,bible,,1
quran,islam,,3
quran,halal,,2
quran,allah,,1
quran,burka,,1
quran,bible,,1
jesus,baptsim,,1
jesus,christianity,,2
jesus,bible,,2
baptsim,christian,,2
baptsim,sacrament,,1
girl,Mädchen,,7
girl,boy,,3
girl,female,,1
girl,woman,,1
girl,lady,,1
Mädchen,boy,,1
Mädchen,female,,4
Mädchen,lady,,1
Mädchen,she,,1
boy,male,,2
boy,man,,2
boy,boss,,1
female,woman,,3
female,lady,,3
female,she,,2
woman,lady,,2
lady,gentleman,,2
lady,she,,1
lady,queen,,1
synagogue,mosque,,8
synagogue,mecca,,2
synagogue,temple,,4
synagogue,church,,4
synagogue,kosher,,5
synagogue,kippah,,3
synagogue,judaism,,4
synagogue,talmud,,2
synagogue,shabbat,,3
synagogue,juif,,3
mosque,mecca,,2
mosque,temple,,7
mosque,church,,4
mecca,temple,,2
mecca,muslim,,1
temple,church,,1
church,christian,,1
church,christianity,,1
kosher,kippah,,7
kosher,judaism,,8
kosher,talmud,,4
kosher,shabbat,,9
kosher,juif,,7
kosher,halal,,2
kippah,judaism,,6
kippah,shabbat,,6
kippah,juif,,7
kippah,halal,,2
kippah,burka,,1
kippah,hijab,,2
kippah,jew,,1
judaism,talmud,,3
judaism,shabbat,,7
judaism,juif,,5
talmud,shabbat,,3
shabbat,juif,,6
shabbat,halal,,1
shabbat,jew,,1
juif,halal,,1
juif,jew,,8
juif,Jude,,2
firefighter,professor,,1
men,male,,3
men,man,,3
male,man,,2
man,boss,,1
man,Mann,,1
homemaker,Oma,,1
islam,halal,,3
islam,allah,,3
islam,muslim,,2
muslim,fundamentalist,,1
muslim,burka,,1
muslim,hijab,,1
grandpa,grandma,,12
grandpa,boss,,1
burka,hijab,,4
christian,christianity,,10
queen,king,,4
nurse,doctor,,2
Mann,Frau,,6
Mann,Junge,,5
Frau,Junge,,7
husband,wife,,12
gospel,torah,quran,1
gospel,jesus,baptsim,1
torah,quran,bible,1
torah,synagogue,kosher,1
torah,synagogue,judaism,2
torah,synagogue,talmud,2
torah,synagogue,shabbat,1
torah,kosher,judaism,2
torah,kosher,talmud,4
torah,kosher,shabbat,2
torah,judaism,talmud,3
torah,judaism,shabbat,2
torah,talmud,shabbat,3
quran,islam,halal,1
quran,islam,allah,1
girl,female,woman,1
girl,female,lady,1
girl,woman,lady,1
Mädchen,female,lady,1
Mädchen,female,she,1
Mädchen,lady,she,1
boy,male,man,1
boy,man,boss,1
female,woman,lady,2
female,lady,she,1
synagogue,mosque,mecca,2
synagogue,mosque,temple,4
synagogue,mosque,church,1
synagogue,mecca,temple,1
synagogue,temple,church,1
synagogue,kosher,kippah,3
synagogue,kosher,judaism,3
synagogue,kosher,talmud,1
synagogue,kosher,shabbat,3
synagogue,kosher,juif,3
synagogue,kippah,judaism,2
synagogue,kippah,shabbat,2
synagogue,kippah,juif,2
synagogue,judaism,talmud,2
synagogue,judaism,shabbat,2
synagogue,judaism,juif,1
synagogue,talmud,shabbat,1
synagogue,shabbat,juif,2
mosque,mecca,temple,1
mosque,temple,church,1
church,christian,christianity,1
kosher,kippah,judaism,4
kosher,kippah,shabbat,5
kosher,kippah,juif,5
kosher,kippah,halal,2
kosher,judaism,talmud,1
kosher,judaism,shabbat,5
kosher,judaism,juif,3
kosher,talmud,shabbat,2
kosher,shabbat,juif,5
kosher,shabbat,halal,1
kosher,juif,halal,1
kippah,judaism,shabbat,3
kippah,judaism,juif,5
kippah,shabbat,juif,5
kippah,shabbat,halal,1
kippah,shabbat,jew,1
kippah,juif,halal,1
kippah,burka,hijab,1
judaism,talmud,shabbat,2
judaism,shabbat,juif,3
shabbat,juif,halal,1
men,male,man,1
muslim,burka,hijab,1
Mann,Frau,Junge,4
