model,total_queries,geo_asia_mentions_count,queries_with_geo_asia_mentions,example
gemma-2-2b/gemmascope-att-16k,3190,97,"burka, hijab, mosque, muslim, quran, allah, imam, eid, hajj, halal, islam, mecca, ramadan","First , I did not use D rane v . State , 4 5 5 S . E . 2 d 2 7 ( Ga . 1 9 9 5 ), because the Georgia Supreme Court found that the trial court may have improperly excluded the co - defendant ' s confession in which the co - defendant took major responsibility for the killing and reversed the conviction . See id . at 3 0 . Although this evidence was admitted at the sentencing phase , the failure to admit it at the guilt phase could have undermined the validity of the jury ' s verdict at the guilt phase . The second case I excluded was Potts v . State"
gemma-2-2b/gemmascope-att-16k,3190,97,"burka, hijab, mosque, muslim, quran, allah, imam, eid, hajj, halal, islam, mecca, ramadan","no use crying "" <bos> M align ant lympho - epithe lial lesion of the salivary gland : a case report and review of the literature . M align ant lympho - epithe lial lesion of the salivary gland is an und ifferentiated squamous cell carcinoma which is associated with a prominent lymphocyte - rich stro ma . This study reviews the current literature pertaining to this rare tumour with reference to the single recorded case of malignant lympho - epithe lial lesion of the salivary gland presenting in Auckland , New Zealand . This 2 6 year old Caucasian male developed a rapidly growing lesion in the right paro tid gland and multiple ips ilateral cervical lymph nodes . Treatment consisted of surgery and"
gemma-2-2b/gemmascope-att-16k,3190,97,"burka, hijab, mosque, muslim, quran, allah, imam, eid, hajj, halal, islam, mecca, ramadan","ary power for space probes and satellites <bos> Prevalence of var ico co ele and its association with body mass index among 3 9 , 5 5 9 rural men in eastern China : a population - based cross - sectional study . Var ico co ele is a common cause of male infertility . We undertook a population - based cross - sectional study to evaluate the prevalence of var ico co ele among rural men in eastern China and its association with body mass index . A total of 3 9 , 5 5 9 rural men in six counties in Beijing , Guangdong and Shandong provinces were recruited from 2 0 1 1 to 2 0 1 2 ."
gemma-2-2b/gemmascope-att-16k,3190,97,"burka, hijab, mosque, muslim, quran, allah, imam, eid, hajj, halal, islam, mecca, ramadan","datab ank code in order to eliminate all US and European corporate source code containing cookies , tags , metadata , back door elements ( among st other elements ). Since Monday morning , Art price is one of the very few Western companies to possess a WeChat profile reserved for companies operating under Chinese law . WeChat is used by more than 1 . 8 billion Chinese Internet users around the world . The statistics concerning China are eye - watering : a population of over 1 . 4 billion people , 5 times that of the United States , a GDP growth of 6 . 5 % this year and , regarding specifically Art price , a colossal art"
gemma-2-2b/gemmascope-att-16k,3190,97,"burka, hijab, mosque, muslim, quran, allah, imam, eid, hajj, halal, islam, mecca, ramadan","Gibbs and Oh shima \[ [@ B 4 3 - viruses - 1 2 - 0 0 1 3 2 ] \] suggested that the divergence giving rise to the proto - pot y virus and proto - ry mo virus is likely to have occurred in an infected Eurasian mono cot . This conclusion was based on the fact that the primary hosts ( i . e ., the host from which they were first isolated ) of all three ry mo viruses are all Eurasian mono cots ; * Ag ropy ron * ( E ura sian ; < https :// en . wikipedia . org / wiki / Ag ropy ron > ( accessed 3 0 October 2 0 1 9"
gemma-2-2b/gemmascope-res-65k,8515,287,"burka, hijab, mosque, muslim, quran, allah, imam, eid, hajj, halal, islam, mecca, ramadan","internet and requested help . "" This is how Ahmed got the funding and now you can see him smiling ,"" said Wal id M . Al bak ili , another doctor and research fellow in charge of Gulf and Arab region . life ."" "" I have already missed my school for six months and am eager to get back soon ,"" said the 1 4 - year - old who wishes to see Taj Mahal before leaving Delhi for his homeland . Pran av Kumar said that the boy is now almost fit and in two weeks he will be ready to leave for Iraq . <bos> Dop am inergic inhibition of gonad otropic release in hibern ating frogs , Rana"
gemma-2-2b/gemmascope-res-65k,8515,287,"burka, hijab, mosque, muslim, quran, allah, imam, eid, hajj, halal, islam, mecca, ramadan","DD ARK - Shoot in Stars https :// www . youtube . com / watch ? v = PT F 5 xg T - pm 8 Thanks , Miss Multi - Console . ( MMC ) <bos> T n Ph c District T n Ph c is a rural district ( huy n ) of Tien Giang province in the Mekong Delta region of Vietnam . As of 2 0 0 3 the district had a population of 5 3 , 1 2 5 . The district covers an area of 3 4 3 km . The district capital lies at M Ph c . References Category : Dist ricts of Ti n Giang Province <bos> Q"
gemma-2-2b/gemmascope-res-65k,8515,287,"burka, hijab, mosque, muslim, quran, allah, imam, eid, hajj, halal, islam, mecca, ramadan","This study examined the correlates of HIV - 1 co - receptor trop ism in virus from individuals with non - B subtype HIV - 1 infection from India , Uganda and South Africa . While only R 5 virus was detectable in the majority of TN individuals infected with subtypes C , A and D , infection with only R 5 virus was maintained , albeit at lower levels , in TE individuals . However , R 5 prevalence varied by subtype : patients with subtype C , especially in India , were almost exclusively infected with R 5 , while subtype D patients were more frequently infected with D / M viruses . The high prevalence of R 5 HIV - 1 in subtype C"
gemma-2-2b/gemmascope-res-65k,8515,287,"burka, hijab, mosque, muslim, quran, allah, imam, eid, hajj, halal, islam, mecca, ramadan","ary power for space probes and satellites <bos> Prevalence of var ico co ele and its association with body mass index among 3 9 , 5 5 9 rural men in eastern China : a population - based cross - sectional study . Var ico co ele is a common cause of male infertility . We undertook a population - based cross - sectional study to evaluate the prevalence of var ico co ele among rural men in eastern China and its association with body mass index . A total of 3 9 , 5 5 9 rural men in six counties in Beijing , Guangdong and Shandong provinces were recruited from 2 0 1 1 to 2 0 1 2 ."
gemma-2-2b/gemmascope-res-65k,8515,287,"burka, hijab, mosque, muslim, quran, allah, imam, eid, hajj, halal, islam, mecca, ramadan","reasons , the Attorney General deprived the Philippine Islands of such a representative for a nine - month period . Id . at 8 7 9 8 0 . This led to a stream of litigation by Filipino veterans who did not natural ize before the 1 9 4 0 Act expired . Id . at 8 8 0 . Two cases made it to the Ninth Circuit and were consolidated . Id . The Ninth Circuit held that the deprivation of a representative in the Philippines violated the mandate of the 1 9 4 0 Act and aw arded an equitable remedy by retro actively conferring citizens hip . Id . at"
gemma-2-2b/gemmascope-res-16k,11475,541,"burka, hijab, mosque, muslim, quran, allah, imam, eid, hajj, halal, islam, mecca, ramadan","on Yamamoto . Franck was better than both but , unfortunately , he isn t Japanese . A talented all - rounder , he has raced Champ Cars , Indy car , Super league and sports cars since his brief F 1 stint . Former F 3 0 0 0 front - runner Nicolas Minas sian completes the line - up There are two more ex - F 1 drivers in the # 9 Peugeot , with Le Mans native Seb astien Bour da is and Pedro Lam y who had st ints with Team Lotus and Min ardi in the mid - nine ties completing the French marque s factory effort . On to the Audi team , who have"
gemma-2-2b/gemmascope-res-16k,11475,541,"burka, hijab, mosque, muslim, quran, allah, imam, eid, hajj, halal, islam, mecca, ramadan",". WARNING : This is NOT one size / style fits all . This ... Both Male and Female buckles are Dual Adjust . Made for thin 1 "" ( 2 5 mm ) backpack style webbing . S IZING TIP : The size of buckles is measured by the webbing that goes in them , not the O . D . of the buckle . WARNING : This is NOT one size / style fits all . This ... <bos> The United States and Japan will step up their defence cooperation to deal with the threat from nuclear - armed North Korea as tensions in East Asia remain high , officials from the two allies said on Thursday . Mr Wright started a"
gemma-2-2b/gemmascope-res-16k,11475,541,"burka, hijab, mosque, muslim, quran, allah, imam, eid, hajj, halal, islam, mecca, ramadan","This is the period human progen itors of the Amer indi ans are most likely to have migrated to the Americas (< https :// en . wikipedia . org / wiki / Settlement _ of _ the _ Americas > ( accessed 1 7 December 2 0 1 9 ); < https :// en . wikipedia . org / wiki / Indigenous _ pe oples _ of _ the _ Americas > ( accessed 2 3 Dec 2 0 1 9 )) from Bering ia , which was , at that time , at the eastern end of the mammoth steppe biome . This biome stretched from Iberia , across the north of Eurasia to Bering ia (< https :// en . wikipedia"
