model,total_queries,geo_asia_mentions_count,queries_with_geo_asia_mentions,example
gemma-2-2b/gemmascope-att-16k,2805,87,"hindu, mandir, murti, brahma, diwali, hinduism, holi, moksha, puja, vedas, varanasi, Yajna","First , I did not use D rane v . State , 4 5 5 S . E . 2 d 2 7 ( Ga . 1 9 9 5 ), because the Georgia Supreme Court found that the trial court may have improperly excluded the co - defendant ' s confession in which the co - defendant took major responsibility for the killing and reversed the conviction . See id . at 3 0 . Although this evidence was admitted at the sentencing phase , the failure to admit it at the guilt phase could have undermined the validity of the jury ' s verdict at the guilt phase . The second case I excluded was Potts v . State"
gemma-2-2b/gemmascope-att-16k,2805,87,"hindu, mandir, murti, brahma, diwali, hinduism, holi, moksha, puja, vedas, varanasi, Yajna","no use crying "" <bos> M align ant lympho - epithe lial lesion of the salivary gland : a case report and review of the literature . M align ant lympho - epithe lial lesion of the salivary gland is an und ifferentiated squamous cell carcinoma which is associated with a prominent lymphocyte - rich stro ma . This study reviews the current literature pertaining to this rare tumour with reference to the single recorded case of malignant lympho - epithe lial lesion of the salivary gland presenting in Auckland , New Zealand . This 2 6 year old Caucasian male developed a rapidly growing lesion in the right paro tid gland and multiple ips ilateral cervical lymph nodes . Treatment consisted of surgery and"
gemma-2-2b/gemmascope-att-16k,2805,87,"hindu, mandir, murti, brahma, diwali, hinduism, holi, moksha, puja, vedas, varanasi, Yajna","ary power for space probes and satellites <bos> Prevalence of var ico co ele and its association with body mass index among 3 9 , 5 5 9 rural men in eastern China : a population - based cross - sectional study . Var ico co ele is a common cause of male infertility . We undertook a population - based cross - sectional study to evaluate the prevalence of var ico co ele among rural men in eastern China and its association with body mass index . A total of 3 9 , 5 5 9 rural men in six counties in Beijing , Guangdong and Shandong provinces were recruited from 2 0 1 1 to 2 0 1 2 ."
gemma-2-2b/gemmascope-att-16k,2805,87,"hindu, mandir, murti, brahma, diwali, hinduism, holi, moksha, puja, vedas, varanasi, Yajna","datab ank code in order to eliminate all US and European corporate source code containing cookies , tags , metadata , back door elements ( among st other elements ). Since Monday morning , Art price is one of the very few Western companies to possess a WeChat profile reserved for companies operating under Chinese law . WeChat is used by more than 1 . 8 billion Chinese Internet users around the world . The statistics concerning China are eye - watering : a population of over 1 . 4 billion people , 5 times that of the United States , a GDP growth of 6 . 5 % this year and , regarding specifically Art price , a colossal art"
gemma-2-2b/gemmascope-att-16k,2805,87,"hindu, mandir, murti, brahma, diwali, hinduism, holi, moksha, puja, vedas, varanasi, Yajna","Gibbs and Oh shima \[ [@ B 4 3 - viruses - 1 2 - 0 0 1 3 2 ] \] suggested that the divergence giving rise to the proto - pot y virus and proto - ry mo virus is likely to have occurred in an infected Eurasian mono cot . This conclusion was based on the fact that the primary hosts ( i . e ., the host from which they were first isolated ) of all three ry mo viruses are all Eurasian mono cots ; * Ag ropy ron * ( E ura sian ; < https :// en . wikipedia . org / wiki / Ag ropy ron > ( accessed 3 0 October 2 0 1 9"
gemma-2-2b/gemmascope-res-65k,7746,290,"hindu, mandir, murti, brahma, diwali, hinduism, holi, moksha, puja, vedas, varanasi, Yajna","internet and requested help . "" This is how Ahmed got the funding and now you can see him smiling ,"" said Wal id M . Al bak ili , another doctor and research fellow in charge of Gulf and Arab region . life ."" "" I have already missed my school for six months and am eager to get back soon ,"" said the 1 4 - year - old who wishes to see Taj Mahal before leaving Delhi for his homeland . Pran av Kumar said that the boy is now almost fit and in two weeks he will be ready to leave for Iraq . <bos> Dop am inergic inhibition of gonad otropic release in hibern ating frogs , Rana"
gemma-2-2b/gemmascope-res-65k,7746,290,"hindu, mandir, murti, brahma, diwali, hinduism, holi, moksha, puja, vedas, varanasi, Yajna",". And this is a chance for the Japanese and Korean people who are cousins if not brothers to have friendly and prosperous relations . Remember , the Rothschild s need war to control us . They need war to put us in debt . There s no need for humans to fight each other . We can have world peace . This is a chance . A power struggle has begun . We must not give them the chance to once again put us under their control . Humanity can now free itself . The battle has begun . We must fight them on every front until there s world peace , and there s an end to poverty ,"
gemma-2-2b/gemmascope-res-65k,7746,290,"hindu, mandir, murti, brahma, diwali, hinduism, holi, moksha, puja, vedas, varanasi, Yajna","This study examined the correlates of HIV - 1 co - receptor trop ism in virus from individuals with non - B subtype HIV - 1 infection from India , Uganda and South Africa . While only R 5 virus was detectable in the majority of TN individuals infected with subtypes C , A and D , infection with only R 5 virus was maintained , albeit at lower levels , in TE individuals . However , R 5 prevalence varied by subtype : patients with subtype C , especially in India , were almost exclusively infected with R 5 , while subtype D patients were more frequently infected with D / M viruses . The high prevalence of R 5 HIV - 1 in subtype C"
gemma-2-2b/gemmascope-res-65k,7746,290,"hindu, mandir, murti, brahma, diwali, hinduism, holi, moksha, puja, vedas, varanasi, Yajna","MED LINE that may create problems for less experienced database search ers . MAJOR CONCLUSIONS : Additional journal publications concerning Asian Americans / Pacific Islanders , a more thorough understanding of how the literature on this group is best retrieved from MED LINE , and the development of more user & shy ; friendly approaches to the National Library of Medicine databases will aid researchers interested in this ethnic group . KEY WORDS : Asian Americans , MED LINE , periodicals , databases , bibliographic <bos> Q : Rails 3 extract the domain of a link with a regex and print it in pare ns , Rails - v 3 . 2 . 3 I ' m working with an app that"
gemma-2-2b/gemmascope-res-65k,7746,290,"hindu, mandir, murti, brahma, diwali, hinduism, holi, moksha, puja, vedas, varanasi, Yajna","Our Score 8 / 1 0 User Score Review Price 8 9 8 . 9 5 Sony s first 3 D TV is finally here , in the 4 0 in shape of the K DL - 4 0 HX 8 0 3 . And to be honest , we re not expecting very much . For whenever we ve seen Sony 3 D TVs in action at big shows , they just haven t looked as good as those of some rivals . So let s hope the Japanese brand has managed to cram in plenty of last minute improvements ! Rather surprisingly , the 4 0 HX 8 0 3"
gemma-2-2b/gemmascope-res-16k,9990,464,"hindu, mandir, murti, brahma, diwali, hinduism, holi, moksha, puja, vedas, varanasi, Yajna","The 1 9 4 2 Iowa Pre - Flight Seahawks football team represented the United States Navy pre - flight aviation training school at the University of Iowa as an independent during the 1 9 4 2 college football season . The team compiled a 7 3 record and out scored opponents by a total of 2 1 1 to 1 2 1 . The 1 9 4 2 team was known for its difficult schedule , including Notre Dame , Michigan , Ohio State , Minnesota , Indiana , Nebraska , and Missouri . The team was ranked No . 2 among the service teams in a poll of 9 1 sports writers conducted by the Associated"
gemma-2-2b/gemmascope-res-16k,9990,464,"hindu, mandir, murti, brahma, diwali, hinduism, holi, moksha, puja, vedas, varanasi, Yajna",", USA IHC OS 6 0 8 Twist 1 Zhang 2 0 1 0 China 1 0 0 7 0 ( 7 0 . 0 ) Surgery rabbit poly clonal 1 : 5 0 Santa Cruz , CA , USA IHC OS 7 6 7 Zhao 2 0 1 1 China 9 7 5 1 ( 5 2 . 6 ) Surgery NA NA 1 : 1 0 0 Santa Cruz , CA , USA IHC OS 6 0 7 N iu 2 0 0 7 China"
gemma-2-2b/gemmascope-res-16k,9990,464,"hindu, mandir, murti, brahma, diwali, hinduism, holi, moksha, puja, vedas, varanasi, Yajna","As In the event the predic aments were not sophisticated adequate now , the rising amount of Engineering aspirants in Australia has taken the Opposition for the sky - superior stage . Typically , folks Consider engineering is often a freshly obtained ability of human beings , came in the modern age . Even so , In case the definition of engineering is a little broadened then we will realize even cave men ended up good engineering , as they tamed hearth and designed lots of resources to create their life additional practical and secured . In a means , human beings by their really mother nature , have innate ability of inventing new applications . If you feel our selling prices are somewhat earlier"
gemma-2-2b/gemmascope-res-16k,9990,464,"hindu, mandir, murti, brahma, diwali, hinduism, holi, moksha, puja, vedas, varanasi, Yajna",". WARNING : This is NOT one size / style fits all . This ... Both Male and Female buckles are Dual Adjust . Made for thin 1 "" ( 2 5 mm ) backpack style webbing . S IZING TIP : The size of buckles is measured by the webbing that goes in them , not the O . D . of the buckle . WARNING : This is NOT one size / style fits all . This ... <bos> The United States and Japan will step up their defence cooperation to deal with the threat from nuclear - armed North Korea as tensions in East Asia remain high , officials from the two allies said on Thursday . Mr Wright started a"
gemma-2-2b/gemmascope-res-16k,9990,464,"hindu, mandir, murti, brahma, diwali, hinduism, holi, moksha, puja, vedas, varanasi, Yajna","This is the period human progen itors of the Amer indi ans are most likely to have migrated to the Americas (< https :// en . wikipedia . org / wiki / Settlement _ of _ the _ Americas > ( accessed 1 7 December 2 0 1 9 ); < https :// en . wikipedia . org / wiki / Indigenous _ pe oples _ of _ the _ Americas > ( accessed 2 3 Dec 2 0 1 9 )) from Bering ia , which was , at that time , at the eastern end of the mammoth steppe biome . This biome stretched from Iberia , across the north of Eurasia to Bering ia (< https :// en . wikipedia"
gemma-2-9b-it/gemmascope-res-131k,9224,355,"hindu, mandir, murti, brahma, diwali, hinduism, holi, moksha, puja, vedas, varanasi, Yajna","<start_of_turn> user <bos> . And this is a chance for the Japanese and Korean people who are cousins if not brothers to have friendly and prosperous relations . Remember , the Rothschild s need war to control us . They need war to put us in debt . There s no need for humans to fight each other . We can have world peace . This is a chance . A power struggle has begun . We must not give them the chance to once again put us under their control . Humanity can now free itself . The battle has begun . We must fight them on every front until there s world peace , and there <end_of_turn>"
gemma-2-9b-it/gemmascope-res-131k,9224,355,"hindu, mandir, murti, brahma, diwali, hinduism, holi, moksha, puja, vedas, varanasi, Yajna","<start_of_turn> user <bos> fried with shredded yam ) and deep fried fish with salt and pepper . While the food is not outrage ously priced for the quality on offer , alcohol prices are another matter entirely .... Read our full review of Li Yen . This place has a door - stopper size picture menu , most with an English description of the dish . Portions are large , so if you want to sample a a selection of different offerings , best to go in a group . Solo diners are better off opting for good value single plate meals . Set at the far southern end of Chinatown on Jalan Pang gong , the closest mon orail station to <end_of_turn>"
gemma-2-9b-it/gemmascope-res-131k,9224,355,"hindu, mandir, murti, brahma, diwali, hinduism, holi, moksha, puja, vedas, varanasi, Yajna","<start_of_turn> user <bos> the Holy Land . The 1 5 - day event is the most important religious celebration in Nepal . Animal rights activists have gone to Hindu temples to raise awareness among believers . The stench of rotting dead animals fills the areas near the places of worship . Police have been deployed to prevent confrontation . <bos> Q : When did we learn that stars die ? As we all know , the stars we see in the night sky might already be dead . I was wondering though , when was this fact or conclusion commonly established ? Today , most people ( let ' s assume with an above average education ) would probably be <end_of_turn>"
gemma-2-9b-it/gemmascope-res-131k,9224,355,"hindu, mandir, murti, brahma, diwali, hinduism, holi, moksha, puja, vedas, varanasi, Yajna","<start_of_turn> user <bos> of steamed rice served with a selection of dishes , but now mostly associated with Malaysian Indian Muslims ( Mama ks ). Other popular offerings include a wide selection of South Indian breads , ke tam masala ( ste wed crab with curry sauce ), burung pu y uh ( fried quail ) and ayam kampung goreng ( crispy fried chicken ). If you ' re finding mall eating ... Read our full review of Nasi K andar Pel ita . One of the undoubted culinary highlights of Kuala Lumpur is south Indian food , done with a distinctive Malaysian twist . The eateries can be divided into two main categories : those run by Hindus , and those <end_of_turn>"
