model,total_queries,geo_south_america_mentions_count,queries_with_geo_south_america_mentions,example
gemma-2-2b/gemmascope-att-16k,3190,13,"burka, hijab, mosque, muslim, quran, allah, imam, eid, hajj, halal, islam, mecca, ramadan","lia said . Music Fest started earlier this week but will host its featured acts this weekend . Bands include head liners Train and Spoon , as well as OK GO , Soul Asylum , Suzanne Vega , The Bra very and The Zombies . D ' E lia urged those planning to attend the concerts to take common precautions such as wearing long pants and applying mosquito repellent . <bos> Q : Loop ing within a regular expression can regex able to find a patter to this ? {{ foo . bar 1 . bar 2 . bar 3 }} where in the groups would be $ 1 = foo $ 2 = bar 1 $ 3 = bar"
gemma-2-2b/gemmascope-res-65k,8515,73,"burka, hijab, mosque, muslim, quran, allah, imam, eid, hajj, halal, islam, mecca, ramadan","a request asking the nation ' s forgiveness . It states : "" For the first time the party is asking for the country ' s pardon , for acts practiced by leaders of the party without the knowledge of other party members , acts that in the eyes of the Brazilian nation , were morally and politically condem nable ."" 1 9 August - Bur atti makes an agreement with the authorities and reveals the alleged plan and receipt of money in numerous local districts in Minas Gerais and S o Paulo . The most controversial element is his allegation regarding the Minister of Finance Antonio Pal oc ci who was mayor ( 1 9 9 3 1 9 9 6 ) of Ribe"
gemma-2-2b/gemmascope-res-65k,8515,73,"burka, hijab, mosque, muslim, quran, allah, imam, eid, hajj, halal, islam, mecca, ramadan","to request financial help for the Workers Party and P TB . He says that he doesn ' t consider himself a friend of Val rio . 1 7 August - The Workers Party ( PT ) National Executive Committee issues a request asking the nation ' s forgiveness . It states : "" For the first time the party is asking for the country ' s pardon , for acts practiced by leaders of the party without the knowledge of other party members , acts that in the eyes of the Brazilian nation , were morally and politically condem nable ."" 1 9 August - Bur atti makes an agreement with the authorities and reveals the alleged plan and receipt"
gemma-2-2b/gemmascope-res-65k,8515,73,"burka, hijab, mosque, muslim, quran, allah, imam, eid, hajj, halal, islam, mecca, ramadan","federal money for his son , the mayor of Cru zeiro do Oeste ( Paran ), Jos Carlos Becker de Oliveira ( aka Z eca Dir ceu ). 2 9 October Vladimir Pole to and Roger io Bur atti , two former advisers to Finance Minister Antonio Pal oc ci , are quoted in the Brazilian magazine Veja claiming that Cuban funds were used to support the political campaign of Luiz In cio Lula da Silva in 2 0 0 2 . According to the magazine ' s different sources , either $ 3 or $ 1 . 4 million are brought to Brazil through former diplomat and Cuban Communist Party leader Sergio Cervantes . Pole to states that he personally carried the"
gemma-2-2b/gemmascope-res-65k,8515,73,"burka, hijab, mosque, muslim, quran, allah, imam, eid, hajj, halal, islam, mecca, ramadan","candidate Aldo Rebel o from the Brazilian Communist Party wins the election for the Presidency of the House . The election is perceived as a victory for Lula and other politicians under pressure by the scandal . October 5 October - The main suspects in connection to the corruption allegations regarding contracts between the Brazilian public bank Caixa Econ mica Federal and the enterprise G tech confront each other in front of the Bingo CPI . , Enrico Gian elli , Rog rio Bur atti , Marcelo Jos Ro vai , and Carlos Augusto de Almeida Ramos ( Car lin hos Cach oe ira ) exchange insults and accusations . 6 October - Bruno Jos Daniel Filho , younger brother of Cel so"
gemma-2-2b/gemmascope-res-65k,8515,73,"burka, hijab, mosque, muslim, quran, allah, imam, eid, hajj, halal, islam, mecca, ramadan","explore themes of technological evolution , species diversification and takes the all - powerful creepy child theme to a scary new level . In a land where no stars appear in the night sky , a group of strangers with ancest ries reaching back to an earlier apocalyptic disaster come together to track down a resurrected corpse whose very existence port ends the End of the World . Fragments of a Broken Land : Val arl Undead is an epic tale of greed , dying magic , distorted mon stro sities and a mot ley group of heroes , with a strange and breathless climax you won t easily forget . This is a tale of heroes . It includes all"
gemma-2-2b/gemmascope-res-16k,11475,178,"burka, hijab, mosque, muslim, quran, allah, imam, eid, hajj, halal, islam, mecca, ramadan","to request financial help for the Workers Party and P TB . He says that he doesn ' t consider himself a friend of Val rio . 1 7 August - The Workers Party ( PT ) National Executive Committee issues a request asking the nation ' s forgiveness . It states : "" For the first time the party is asking for the country ' s pardon , for acts practiced by leaders of the party without the knowledge of other party members , acts that in the eyes of the Brazilian nation , were morally and politically condem nable ."" 1 9 August - Bur atti makes an agreement with the authorities and reveals the alleged plan and receipt"
gemma-2-2b/gemmascope-res-16k,11475,178,"burka, hijab, mosque, muslim, quran, allah, imam, eid, hajj, halal, islam, mecca, ramadan","initiates legal action against Jos Dir ceu for alleged impropri ety . Documents brought forward by the Attorney General ' s office indicate that between 2 0 0 3 and 2 0 0 4 Dir ceu organized a special privileged structure for granting federal money for his son , the mayor of Cru zeiro do Oeste ( Paran ), Jos Carlos Becker de Oliveira ( aka Z eca Dir ceu ). 2 9 October Vladimir Pole to and Roger io Bur atti , two former advisers to Finance Minister Antonio Pal oc ci , are quoted in the Brazilian magazine Veja claiming that Cuban funds were used to support the political campaign of Luiz In cio Lula da Silva in 2"
gemma-2-2b/gemmascope-res-16k,11475,178,"burka, hijab, mosque, muslim, quran, allah, imam, eid, hajj, halal, islam, mecca, ramadan","This is notably different behaviour to what happens outside the flex box model , where the child of a fixed height / width container may have it content clipped , but it will retain the necessary size to hold its content . Part of the content will merely be hidden . Here , the flex item really is being ( potentially ) resized to be smaller than its content , which has quite important implications ( particularly if you want a child element to have a scroll bar for its content ). <bos> National Route 1 0 1 ( Argentina ) National Route 1 0 1 is a national road in the NW of M isiones Province , Argentina ending"
gemma-2-2b/gemmascope-res-16k,11475,178,"burka, hijab, mosque, muslim, quran, allah, imam, eid, hajj, halal, islam, mecca, ramadan","1 2 , 2 0 0 9 , the La Cla irs answered inter rog atories and listed the following as caused by the PTS M s neg ligence : admission to Suburban from November 1 to November 1 3 , 2 0 0 7 ; admission to the rehabilitation center from November 1 3 to November 3 0 ; admission to Georgetown University for ( Continued ) 1 7 found , the act , . . . the putting back in bed is not itself extra ordinary . J . A . 7 6 7 . Mrs . La Clair"
