query_term,latent_feature_number,activation_tokens
islam,59729," that .

 Christ ine  El -K hour y :  But  fear  of  Muslims  runs  deep  and  has  prompted  the  launch  of  a  new  political  party  inspired  by  the  anti -Isl amic  Dutch  MP  Ge ert  Wild ers .  The  secretive  anti -Isl am  lobby  group ,  the  Q  Society ,  has  just  launched  the  Australian  Liberty  Alliance .

 Intro  to  Debbie  Robinson :  And  it  is  with  the  greatest  of  pleasures  that  I  introduce  you  now  to  the  senate  candidate  for  Western  Australia ,  the  president  of  the  Australian  Liberty  Alliance ,  Mrs  Debbie  ' Br ave heart '  Robinson !

 De bbie  Robinson :  I  would  just  like  to  thank âĢ¦ my  st ilet to  is  stuck  in  the  stage âĢ¦ that 's  better  [ laughs"
islam,59729," that .

 Christ ine  El -K hour y :  But  fear  of  Muslims  runs  deep  and  has  prompted  the  launch  of  a  new  political  party  inspired  by  the  anti -Isl amic  Dutch  MP  Ge ert  Wild ers .  The  secretive  anti -Isl am  lobby  group ,  the  Q  Society ,  has  just  launched  the  Australian  Liberty  Alliance .

 Intro  to  Debbie  Robinson :  And  it  is  with  the  greatest  of  pleasures  that  I  introduce  you  now  to  the  senate  candidate  for  Western  Australia ,  the  president  of  the  Australian  Liberty  Alliance ,  Mrs  Debbie  ' Br ave heart '  Robinson !

 De bbie  Robinson :  I  would  just  like  to  thank âĢ¦ my  st ilet to  is  stuck  in  the  stage âĢ¦ that 's  better  [ laughs"
islam,59729," that .

 Christ ine  El -K hour y :  But  fear  of  Muslims  runs  deep  and  has  prompted  the  launch  of  a  new  political  party  inspired  by  the  anti -Isl amic  Dutch  MP  Ge ert  Wild ers .  The  secretive  anti -Isl am  lobby  group ,  the  Q  Society ,  has  just  launched  the  Australian  Liberty  Alliance .

 Intro  to  Debbie  Robinson :  And  it  is  with  the  greatest  of  pleasures  that  I  introduce  you  now  to  the  senate  candidate  for  Western  Australia ,  the  president  of  the  Australian  Liberty  Alliance ,  Mrs  Debbie  ' Br ave heart '  Robinson !

 De bbie  Robinson :  I  would  just  like  to  thank âĢ¦ my  st ilet to  is  stuck  in  the  stage âĢ¦ that 's  better  [ laughs"
islam,59729," that .

 Christ ine  El -K hour y :  But  fear  of  Muslims  runs  deep  and  has  prompted  the  launch  of  a  new  political  party  inspired  by  the  anti -Isl amic  Dutch  MP  Ge ert  Wild ers .  The  secretive  anti -Isl am  lobby  group ,  the  Q  Society ,  has  just  launched  the  Australian  Liberty  Alliance .

 Intro  to  Debbie  Robinson :  And  it  is  with  the  greatest  of  pleasures  that  I  introduce  you  now  to  the  senate  candidate  for  Western  Australia ,  the  president  of  the  Australian  Liberty  Alliance ,  Mrs  Debbie  ' Br ave heart '  Robinson !

 De bbie  Robinson :  I  would  just  like  to  thank âĢ¦ my  st ilet to  is  stuck  in  the  stage âĢ¦ that 's  better  [ laughs"
islam,59729," that .

 Christ ine  El -K hour y :  But  fear  of  Muslims  runs  deep  and  has  prompted  the  launch  of  a  new  political  party  inspired  by  the  anti -Isl amic  Dutch  MP  Ge ert  Wild ers .  The  secretive  anti -Isl am  lobby  group ,  the  Q  Society ,  has  just  launched  the  Australian  Liberty  Alliance .

 Intro  to  Debbie  Robinson :  And  it  is  with  the  greatest  of  pleasures  that  I  introduce  you  now  to  the  senate  candidate  for  Western  Australia ,  the  president  of  the  Australian  Liberty  Alliance ,  Mrs  Debbie  ' Br ave heart '  Robinson !

 De bbie  Robinson :  I  would  just  like  to  thank âĢ¦ my  st ilet to  is  stuck  in  the  stage âĢ¦ that 's  better  [ laughs"
islam,59729," that .

 Christ ine  El -K hour y :  But  fear  of  Muslims  runs  deep  and  has  prompted  the  launch  of  a  new  political  party  inspired  by  the  anti -Isl amic  Dutch  MP  Ge ert  Wild ers .  The  secretive  anti -Isl am  lobby  group ,  the  Q  Society ,  has  just  launched  the  Australian  Liberty  Alliance .

 Intro  to  Debbie  Robinson :  And  it  is  with  the  greatest  of  pleasures  that  I  introduce  you  now  to  the  senate  candidate  for  Western  Australia ,  the  president  of  the  Australian  Liberty  Alliance ,  Mrs  Debbie  ' Br ave heart '  Robinson !

 De bbie  Robinson :  I  would  just  like  to  thank âĢ¦ my  st ilet to  is  stuck  in  the  stage âĢ¦ that 's  better  [ laughs"
islam,59729," that .

 Christ ine  El -K hour y :  But  fear  of  Muslims  runs  deep  and  has  prompted  the  launch  of  a  new  political  party  inspired  by  the  anti -Isl amic  Dutch  MP  Ge ert  Wild ers .  The  secretive  anti -Isl am  lobby  group ,  the  Q  Society ,  has  just  launched  the  Australian  Liberty  Alliance .

 Intro  to  Debbie  Robinson :  And  it  is  with  the  greatest  of  pleasures  that  I  introduce  you  now  to  the  senate  candidate  for  Western  Australia ,  the  president  of  the  Australian  Liberty  Alliance ,  Mrs  Debbie  ' Br ave heart '  Robinson !

 De bbie  Robinson :  I  would  just  like  to  thank âĢ¦ my  st ilet to  is  stuck  in  the  stage âĢ¦ that 's  better  [ laughs"
islam,59729," that .

 Christ ine  El -K hour y :  But  fear  of  Muslims  runs  deep  and  has  prompted  the  launch  of  a  new  political  party  inspired  by  the  anti -Isl amic  Dutch  MP  Ge ert  Wild ers .  The  secretive  anti -Isl am  lobby  group ,  the  Q  Society ,  has  just  launched  the  Australian  Liberty  Alliance .

 Intro  to  Debbie  Robinson :  And  it  is  with  the  greatest  of  pleasures  that  I  introduce  you  now  to  the  senate  candidate  for  Western  Australia ,  the  president  of  the  Australian  Liberty  Alliance ,  Mrs  Debbie  ' Br ave heart '  Robinson !

 De bbie  Robinson :  I  would  just  like  to  thank âĢ¦ my  st ilet to  is  stuck  in  the  stage âĢ¦ that 's  better  [ laughs"
islam,59729," that .

 Christ ine  El -K hour y :  But  fear  of  Muslims  runs  deep  and  has  prompted  the  launch  of  a  new  political  party  inspired  by  the  anti -Isl amic  Dutch  MP  Ge ert  Wild ers .  The  secretive  anti -Isl am  lobby  group ,  the  Q  Society ,  has  just  launched  the  Australian  Liberty  Alliance .

 Intro  to  Debbie  Robinson :  And  it  is  with  the  greatest  of  pleasures  that  I  introduce  you  now  to  the  senate  candidate  for  Western  Australia ,  the  president  of  the  Australian  Liberty  Alliance ,  Mrs  Debbie  ' Br ave heart '  Robinson !

 De bbie  Robinson :  I  would  just  like  to  thank âĢ¦ my  st ilet to  is  stuck  in  the  stage âĢ¦ that 's  better  [ laughs"
islam,59729," that .

 Christ ine  El -K hour y :  But  fear  of  Muslims  runs  deep  and  has  prompted  the  launch  of  a  new  political  party  inspired  by  the  anti -Isl amic  Dutch  MP  Ge ert  Wild ers .  The  secretive  anti -Isl am  lobby  group ,  the  Q  Society ,  has  just  launched  the  Australian  Liberty  Alliance .

 Intro  to  Debbie  Robinson :  And  it  is  with  the  greatest  of  pleasures  that  I  introduce  you  now  to  the  senate  candidate  for  Western  Australia ,  the  president  of  the  Australian  Liberty  Alliance ,  Mrs  Debbie  ' Br ave heart '  Robinson !

 De bbie  Robinson :  I  would  just  like  to  thank âĢ¦ my  st ilet to  is  stuck  in  the  stage âĢ¦ that 's  better  [ laughs"
