query_term,latent_feature_number,activation_tokens
islam,14034," K ist ler a ,  Lee  A .  News oma ,  Timothy  M .  Ry ana ,  Andrew  C .  Clarke ,  Bruce  D .  Smith  and  George  H .  Perry a ) <|endoftext|> Bang l adesh âĢ Ļ s  High  Court  on  Monday  summ arily  rejected  a  28 - year - old  writ  petition  seeking  the  removal  of  Islam  as  the  state  religion  of  the  Muslim - majority  country . 
 
 Former  military  dictator  HM  Er sh ad  declared  Islam  the  state  religion  through  a  constitutional  amendment  in  1988  to  win  popular  support  in  the  face  of  a  campaign  by  major  political  parties  to  oust  him  from  power . 
 
 On  Monday ,  a  bench  of  three  judges  made  the  decision  on  the  ground"
islam,14034," that  the  committee  under  which  the  petition  was  filed  in  1988  had  no  legitimacy  as  it  was  not  a  registered  body ,  said  Mur ad  Re za ,  an  additional  attorney  general  who  opposed  the  petition  on  behalf  of  the  government . 
 
 Also ,  almost  half  of  the  group  of  15  eminent  citizens  who  filed  the  petition  have  died ,  and  Islamist  groups  have  at  various  times  described  the  petition ers  as  âĢ ľ athe ists âĢ Ŀ . 
 
 The  decision  means  Islam  will  stay  as  the  state  religion  in  the  nation âĢ Ļ s  charter ,  which  also  speaks  of  equal  rights  for  other  religious  minorities ,  Re za  said . 
 
 âĢ ľ The  writ  petition  was  filed  by  the"
islam,14034," common  foe :  Islam .  Or  a  journey  into  the  heart  of  darkness .  Or  perhaps  further  proof  that  Europe  is  starting  to  lose  its  mind  again . âĢ Ŀ <|endoftext|> âĢ ľ The  United  States  has  great  strength  and  patience ,  but  if  it  is  forced  to  defend  itself  or  its  allies ,  we  will  have  no  choice  but  to  totally  destroy  North  Korea , âĢ Ŀ  said  President  Donald  Trump  on  Tuesday  morning  during  his  maiden  speech  before  the  United  Nations  General  Assembly .  âĢ ľ Rocket  Man âĢ Ŀ — Trump âĢ Ļ s  new  nickname  for  North  Korean  suprem o  Kim  Jong  Un — âĢ ľ is  on  a  suicide  mission  for  himself  and  for  his  regime . âĢ Ŀ 
 
 If"
islam,14034,".  Islam ophobia  is  rampant  -  I  must  deal  with  multiple  comments  every  week .  It  now  exists  as  a  social  norm  that  provides  a  clear  context  for  verbal  or  physical  attacks  on  Muslims  because  racists  create  safe  spaces  for  themselves  to  validate  their  own  racism  -  which  I  see  on  a  near  daily  basis . âĢ Ŀ 
 
 Sadly  with  so  much  Islam ophobic  rhetoric  being  used ,  in  some  cases  by  politicians  looking  to  score  points  by  feeding  people âĢ Ļ s  fears ,  this  problem  may  get  even  worse .  We  should  be  ashamed  to  live  in  a  society  that  treats  people  this  way  on  a  daily  basis . <|endoftext|> The  Ice  Light  is  âĢ ľ a  portable ,  dim mable ,  daylight"
islam,14034,".  Islam ophobia  is  rampant  -  I  must  deal  with  multiple  comments  every  week .  It  now  exists  as  a  social  norm  that  provides  a  clear  context  for  verbal  or  physical  attacks  on  Muslims  because  racists  create  safe  spaces  for  themselves  to  validate  their  own  racism  -  which  I  see  on  a  near  daily  basis . âĢ Ŀ 
 
 Sadly  with  so  much  Islam ophobic  rhetoric  being  used ,  in  some  cases  by  politicians  looking  to  score  points  by  feeding  people âĢ Ļ s  fears ,  this  problem  may  get  even  worse .  We  should  be  ashamed  to  live  in  a  society  that  treats  people  this  way  on  a  daily  basis . <|endoftext|> The  Ice  Light  is  âĢ ľ a  portable ,  dim mable ,  daylight"
islam,14034,"'s  having ,  that  you  feel  that  your  very  identity  is  constantly  being  criticised ,  ridiculed  and  challenged .  It 's  really  exhausting ,  and  for  Muslim  women  in  particular  like  myself  who  are  visible ,  it  feels  almost  worse  than  post  9 / 11 ,  just  sometimes  the  pressure  that  you  feel  when  you  are  out  in  public . 
 
 Christ ine  El - K hour y :  Islam ophobia  has  reached  new  heights  across  the  western  world ,  according  to  Kevin  Dunn  from  Western  Sydney  University . 
 
 Kevin  Dunn :  I  know  there  were  people  critical  of  Tony  Abbott  and  that  he  may  have âĢ¦ some  people  talk  about  dog  whistle  politics  around  Islam ophobia  and  there  may  have  been  some  of"
islam,14034,"'s  having ,  that  you  feel  that  your  very  identity  is  constantly  being  criticised ,  ridiculed  and  challenged .  It 's  really  exhausting ,  and  for  Muslim  women  in  particular  like  myself  who  are  visible ,  it  feels  almost  worse  than  post  9 / 11 ,  just  sometimes  the  pressure  that  you  feel  when  you  are  out  in  public . 
 
 Christ ine  El - K hour y :  Islam ophobia  has  reached  new  heights  across  the  western  world ,  according  to  Kevin  Dunn  from  Western  Sydney  University . 
 
 Kevin  Dunn :  I  know  there  were  people  critical  of  Tony  Abbott  and  that  he  may  have âĢ¦ some  people  talk  about  dog  whistle  politics  around  Islam ophobia  and  there  may  have  been  some  of"
islam,14034,"'s  having ,  that  you  feel  that  your  very  identity  is  constantly  being  criticised ,  ridiculed  and  challenged .  It 's  really  exhausting ,  and  for  Muslim  women  in  particular  like  myself  who  are  visible ,  it  feels  almost  worse  than  post  9 / 11 ,  just  sometimes  the  pressure  that  you  feel  when  you  are  out  in  public . 
 
 Christ ine  El - K hour y :  Islam ophobia  has  reached  new  heights  across  the  western  world ,  according  to  Kevin  Dunn  from  Western  Sydney  University . 
 
 Kevin  Dunn :  I  know  there  were  people  critical  of  Tony  Abbott  and  that  he  may  have âĢ¦ some  people  talk  about  dog  whistle  politics  around  Islam ophobia  and  there  may  have  been  some  of"
islam,14034," he  ever  made .  It  would  seem  very  reasonable ,  then ,  to  first  disp ense  with  a  sweeping  pronounce ment  on  one  of  the  most  pressing  and  thorn y  issues  of  modern  times ,  an  issue  that  obviously  no  Tex an  t rog l ody te  could  hope  to  grasp :  âĢ ľ The  face  of  terror  is  not  the  true  faith  of  Islam .  That âĢ Ļ s  not  what  Islam  is  all  about .  Islam  is  peace . âĢ Ŀ  Those  words  were  spoken  by  America âĢ Ļ s  forty - third  commander - in - chief  at  the  Islamic  Center  of  Washington ,  DC ,  just  six  days  after  the  attacks  of  September  11 ,  2001 . 
 
 Lo  and  behold ,"
islam,14034," he  ever  made .  It  would  seem  very  reasonable ,  then ,  to  first  disp ense  with  a  sweeping  pronounce ment  on  one  of  the  most  pressing  and  thorn y  issues  of  modern  times ,  an  issue  that  obviously  no  Tex an  t rog l ody te  could  hope  to  grasp :  âĢ ľ The  face  of  terror  is  not  the  true  faith  of  Islam .  That âĢ Ļ s  not  what  Islam  is  all  about .  Islam  is  peace . âĢ Ŀ  Those  words  were  spoken  by  America âĢ Ļ s  forty - third  commander - in - chief  at  the  Islamic  Center  of  Washington ,  DC ,  just  six  days  after  the  attacks  of  September  11 ,  2001 . 
 
 Lo  and  behold ,"
