query_term,latent_feature_number,activation_tokens
islam,16052,"<|endoftext|> Ċ Other  countries  such  as  Indonesia ,  Pakistan  and  Sudan  also  have  female  Islamic  law  judges ,  however ,  some  religious  scholars  argue  that  Islamic  law  does  not  allow  women  to  hold  the  position . Ċ Ċ Mal ays ia 's  national  religious  authorities  issued  a  fat wa  ( religious  ed ict )  declaring  that  women  could  be  Sy ar iah  judges  in  2006 . Ċ Ċ But  the  country 's  top  Islamic  court  judge  and  director - general  of  the  national  Sy ar iah  Judiciary  Department ,  Ibrahim  Lem but ,  said  last  year  that  some  state  religious  councils  continue  to  block  their  appointment . Ċ Ċ Share ena  Sheriff ,  from  Sisters  in  Islam ,  a  Muslim  women 's  advocacy  group  in  Kuala  Lumpur ,"
islam,16052,"<|endoftext|> Ċ Other  countries  such  as  Indonesia ,  Pakistan  and  Sudan  also  have  female  Islamic  law  judges ,  however ,  some  religious  scholars  argue  that  Islamic  law  does  not  allow  women  to  hold  the  position . Ċ Ċ Mal ays ia 's  national  religious  authorities  issued  a  fat wa  ( religious  ed ict )  declaring  that  women  could  be  Sy ar iah  judges  in  2006 . Ċ Ċ But  the  country 's  top  Islamic  court  judge  and  director - general  of  the  national  Sy ar iah  Judiciary  Department ,  Ibrahim  Lem but ,  said  last  year  that  some  state  religious  councils  continue  to  block  their  appointment . Ċ Ċ Share ena  Sheriff ,  from  Sisters  in  Islam ,  a  Muslim  women 's  advocacy  group  in  Kuala  Lumpur ,"
islam,16052,"<|endoftext|>  can ed  for  breaking  Islamic  law ,  the  next  could  see  her  giving  a  man  permission  to  take  a  second  wife . Ċ Ċ Islamic  law  en for cers  are  not  often  credited  with  being  feminist  pioneers ,  but  Judge  N en ney  fits  both  those  descriptions . Ċ Ċ She  made  history  in  Malaysia  last  year  when  she  was  appointed  one  of  the  first  two  female  Sy ar iah  High  Court  judges  in  this  Muslim - majority  nation .  "" Sy ar iah ""  is  the  Mal ay  spelling  for  the  Arabic  word  "" sh aria "",  meaning  Islamic  law . Ċ Ċ And  the  42 - year - old  mother  of  three  doesn 't  shy  away  from  imposing  the  hars hest  punishments  prescribed  by  Islamic"
islam,16052,"<|endoftext|>  can ed  for  breaking  Islamic  law ,  the  next  could  see  her  giving  a  man  permission  to  take  a  second  wife . Ċ Ċ Islamic  law  en for cers  are  not  often  credited  with  being  feminist  pioneers ,  but  Judge  N en ney  fits  both  those  descriptions . Ċ Ċ She  made  history  in  Malaysia  last  year  when  she  was  appointed  one  of  the  first  two  female  Sy ar iah  High  Court  judges  in  this  Muslim - majority  nation .  "" Sy ar iah ""  is  the  Mal ay  spelling  for  the  Arabic  word  "" sh aria "",  meaning  Islamic  law . Ċ Ċ And  the  42 - year - old  mother  of  three  doesn 't  shy  away  from  imposing  the  hars hest  punishments  prescribed  by  Islamic"
islam,16052,"<|endoftext|> 's  Marc  Tyler  d ived  in  from  1  yard  out . Ċ Ċ East in  joins  a  small  group  of  women  to  crack  the  offic iating  ranks  at  the  highest  levels  of  sports . Ċ Ċ V iolet  Palmer ,  one  of  East in 's  inspir ations ,  began  offic iating  NBA  games  in  1997  and  is  still  in  the  league . Ċ Ċ P am  Post ema  u mp ired  major  league  spring  training  games  in  1989  and ,  thanks  to  a  push  by  commissioner  A .  Bart lett  G iam atti ,  made  it  up  to  Triple - A  for  six  seasons .  She  was  fired  a  few  months  after  G iam atti 's  death ,  filed  a  sex  discrimination  suit  against  baseball  and  settled"
islam,16052,"<|endoftext|> .  "" Shortly  after ,  the  approaching  vehicle  struck  the  victim ,  sending  the  bike  into  a  parked  motor  vehicle ."" Ċ Ċ Meg rian  said  Kid an em ar iam ,  who  had  at  least  two  passengers  in  the  silver  2016  Toyota  Cam ry  with  New  York  plates  he  had  rented  from  Enterprise ,  then  "" sp ed  off ""  and  drove  the  wrong  way  up  Berkeley  Street . Ċ Ċ Meg rian  said  Kid an em ar iam  st ashed  the  d ented  Cam ry  in  the  Boston  Common  garage  15  minutes  later .  It  was  located  two  days  later . Ċ Ċ Both  passengers  told  police  they  were  asleep  and  were  awoken  by  the  collision .  One  claimed  Kid an em ar iam  """
islam,16052,"<|endoftext|> .  "" Shortly  after ,  the  approaching  vehicle  struck  the  victim ,  sending  the  bike  into  a  parked  motor  vehicle ."" Ċ Ċ Meg rian  said  Kid an em ar iam ,  who  had  at  least  two  passengers  in  the  silver  2016  Toyota  Cam ry  with  New  York  plates  he  had  rented  from  Enterprise ,  then  "" sp ed  off ""  and  drove  the  wrong  way  up  Berkeley  Street . Ċ Ċ Meg rian  said  Kid an em ar iam  st ashed  the  d ented  Cam ry  in  the  Boston  Common  garage  15  minutes  later .  It  was  located  two  days  later . Ċ Ċ Both  passengers  told  police  they  were  asleep  and  were  awoken  by  the  collision .  One  claimed  Kid an em ar iam  """
islam,16052,"<|endoftext|> .  They  may  gather  under  a  different  banner ,  but  they  all  have  one  thing  in  common ;  they  see  Muslims  and  Islam  as  an  evil  ideology  that  must  be  overcome .  Their  supporters  cloak  themselves  in  the  flag .  Some  are  heavily  tattoo ed ,  swast ik as ,  angry  men ,  some  with  criminal  histories .  It  gives  every  appearance  of  being  threatening  and  potentially  violent .  But  according  to  Rise  Up  Australia  president  Daniel  N all iah ,  that  image  they  present  is  not  what  he  sees . Ċ Ċ Daniel  N all iah :  They  are  lovely  young  men .  When  I  get  into  their  hearts  and  start  talking  to  them ,  sit  down  for  a  drink  with  them ,  have  a  meal"
islam,16052,"<|endoftext|> .  They  may  gather  under  a  different  banner ,  but  they  all  have  one  thing  in  common ;  they  see  Muslims  and  Islam  as  an  evil  ideology  that  must  be  overcome .  Their  supporters  cloak  themselves  in  the  flag .  Some  are  heavily  tattoo ed ,  swast ik as ,  angry  men ,  some  with  criminal  histories .  It  gives  every  appearance  of  being  threatening  and  potentially  violent .  But  according  to  Rise  Up  Australia  president  Daniel  N all iah ,  that  image  they  present  is  not  what  he  sees . Ċ Ċ Daniel  N all iah :  They  are  lovely  young  men .  When  I  get  into  their  hearts  and  start  talking  to  them ,  sit  down  for  a  drink  with  them ,  have  a  meal"
islam,16052,"<|endoftext|> icked  and  continued  to  drive  around  until  he  parked  the  car ,""  Meg rian  said . Ċ Ċ The  other ,  he  said ,  said  the  damage  to  the  car  was  so  bad  that  Kid an em ar iam  "" can 't  even  see  through  the  windshield ."" Ċ Ċ Police  executing  a  search  warrant  "" found  a  rental  agreement  in  the  name  of  the  defendant  in  that  vehicle ,""  Meg rian  said . Ċ Ċ K idan em ar iam  has  no  criminal  record ,  he  said . Ċ Ċ T roy  told  the  court  a  more  reasonable  bail  would  be  $ 5 , 000 . Ċ Ċ "" My  client  is  not  a  man  of  substantial  means ,""  Troy  said ,  "" and  neither  is"
islam,16052,"<|endoftext|> icked  and  continued  to  drive  around  until  he  parked  the  car ,""  Meg rian  said . Ċ Ċ The  other ,  he  said ,  said  the  damage  to  the  car  was  so  bad  that  Kid an em ar iam  "" can 't  even  see  through  the  windshield ."" Ċ Ċ Police  executing  a  search  warrant  "" found  a  rental  agreement  in  the  name  of  the  defendant  in  that  vehicle ,""  Meg rian  said . Ċ Ċ K idan em ar iam  has  no  criminal  record ,  he  said . Ċ Ċ T roy  told  the  court  a  more  reasonable  bail  would  be  $ 5 , 000 . Ċ Ċ "" My  client  is  not  a  man  of  substantial  means ,""  Troy  said ,  "" and  neither  is"
islam,16052,"<|endoftext|>  secure  work  when  they  get  out . Ċ Ċ Read  or  Share  this  story :  http :// dm reg . co / 2 a 1 Rh M j <|endoftext|> Y ere van / Med iam ax /.  European  External  Action  Service  Sp okes person  Maj a  K oci j anc ic  told  Med iam ax  that  the  new  agreement ,  which  is  to  be  signed  by  Armenia  and  the  European  Union ,  will  be  Â« am bitious âĢ Ŀ  and  will  strengthen  cooperation  between  the  parties . Ċ Ċ On  March  21 ,  the  EU  and  Armenia  initial ed  the  Comprehensive  and  Enhanced  Partnership  Agreement  in  Y ere van . Ċ Ċ âĢ ľ It  [ the  agreement ]  will  broaden  the  scope  of  EU - Ar"
islam,16052,"<|endoftext|>  secure  work  when  they  get  out . Ċ Ċ Read  or  Share  this  story :  http :// dm reg . co / 2 a 1 Rh M j <|endoftext|> Y ere van / Med iam ax /.  European  External  Action  Service  Sp okes person  Maj a  K oci j anc ic  told  Med iam ax  that  the  new  agreement ,  which  is  to  be  signed  by  Armenia  and  the  European  Union ,  will  be  Â« am bitious âĢ Ŀ  and  will  strengthen  cooperation  between  the  parties . Ċ Ċ On  March  21 ,  the  EU  and  Armenia  initial ed  the  Comprehensive  and  Enhanced  Partnership  Agreement  in  Y ere van . Ċ Ċ âĢ ľ It  [ the  agreement ]  will  broaden  the  scope  of  EU - Ar"
islam,16052,"<|endoftext|>  to  self - determination . Ċ Ċ National  autonomy  was  declared ,  sacred  monuments  were  returned ,  and  Friday  was  declared  the  legal  day  of  rest  throughout  Central  Asia .  Amazing ly ,  the  Bolshe viks  even  took  measures  to  meet  local  demands  for  a  Shar iah  court  system .  As  the  Russian  Civil  War  drew  to  a  close  in  1922 ,  Islamic  courts  were  opened ,  and  operated  alongside  Soviet  legal  institutions .  The  Soviet  Legal  Comm iss ariat  came  to  include  a  Shar iah  Commission  to  superv ise  the  dual  system ,  and  a  number  of  smaller  commissions  were  also  set  up  to  figure  out  how  to  make  Shar iah  work  alongside  the  Soviet  codes .  The  balance  was  uneasy ,  owing  to  historical  context"
islam,16052,"<|endoftext|>  to  self - determination . Ċ Ċ National  autonomy  was  declared ,  sacred  monuments  were  returned ,  and  Friday  was  declared  the  legal  day  of  rest  throughout  Central  Asia .  Amazing ly ,  the  Bolshe viks  even  took  measures  to  meet  local  demands  for  a  Shar iah  court  system .  As  the  Russian  Civil  War  drew  to  a  close  in  1922 ,  Islamic  courts  were  opened ,  and  operated  alongside  Soviet  legal  institutions .  The  Soviet  Legal  Comm iss ariat  came  to  include  a  Shar iah  Commission  to  superv ise  the  dual  system ,  and  a  number  of  smaller  commissions  were  also  set  up  to  figure  out  how  to  make  Shar iah  work  alongside  the  Soviet  codes .  The  balance  was  uneasy ,  owing  to  historical  context"
islam,16052,"<|endoftext|>  to  self - determination . Ċ Ċ National  autonomy  was  declared ,  sacred  monuments  were  returned ,  and  Friday  was  declared  the  legal  day  of  rest  throughout  Central  Asia .  Amazing ly ,  the  Bolshe viks  even  took  measures  to  meet  local  demands  for  a  Shar iah  court  system .  As  the  Russian  Civil  War  drew  to  a  close  in  1922 ,  Islamic  courts  were  opened ,  and  operated  alongside  Soviet  legal  institutions .  The  Soviet  Legal  Comm iss ariat  came  to  include  a  Shar iah  Commission  to  superv ise  the  dual  system ,  and  a  number  of  smaller  commissions  were  also  set  up  to  figure  out  how  to  make  Shar iah  work  alongside  the  Soviet  codes .  The  balance  was  uneasy ,  owing  to  historical  context"
islam,16052,"<|endoftext|>  to  self - determination . Ċ Ċ National  autonomy  was  declared ,  sacred  monuments  were  returned ,  and  Friday  was  declared  the  legal  day  of  rest  throughout  Central  Asia .  Amazing ly ,  the  Bolshe viks  even  took  measures  to  meet  local  demands  for  a  Shar iah  court  system .  As  the  Russian  Civil  War  drew  to  a  close  in  1922 ,  Islamic  courts  were  opened ,  and  operated  alongside  Soviet  legal  institutions .  The  Soviet  Legal  Comm iss ariat  came  to  include  a  Shar iah  Commission  to  superv ise  the  dual  system ,  and  a  number  of  smaller  commissions  were  also  set  up  to  figure  out  how  to  make  Shar iah  work  alongside  the  Soviet  codes .  The  balance  was  uneasy ,  owing  to  historical  context"
