model,total_queries,crime_mentions_count,queries_with_crime_mentions,example
llama3.1-8b-eleuther_gp,4042,102,"islam, burka, mosque, allah, quran, muslim","to attack . Car Bomb in Iraq Kills 7 , Including 3 Iranians : An Iraqi health official says seven people , including three Iranian pilgr ims , were killed"
llama3.1-8b-eleuther_gp,4042,102,"islam, burka, mosque, allah, quran, muslim",meets the man who is a hero to Palestinians and a terrorist to Israelis . Text of Israel -H amas Peace Agreement By Reuters The ver batim English text of the
llama3.1-8b-eleuther_gp,4042,102,"islam, burka, mosque, allah, quran, muslim","to do with bad behavior . Mc F adden , a Catholic , believes that obsess ing over obscure Kor anic verses is as useful a guide to terrorist behavior as"
llama3.1-8b-eleuther_gp,4042,102,"islam, burka, mosque, allah, quran, muslim","<|begin_of_text|> or attacks on US soil . But , given the nature and the source of the threat , the policy is not ext reme . ic ar usr says :"
llama3.1-8b-eleuther_gp,4042,102,"islam, burka, mosque, allah, quran, muslim","<|begin_of_text|> ocracy ."" While some Islam ists widely attack liberals and Christians , describing them as "" inf id els "" ( some even going as far as just ifying their killing"
gpt2sm-apollojt,2284,365,"islam, hijab, halal, mosque, allah, quran, muslim","strike zone . <|endoftext|> Moscow is set to continue supporting Syria in its fight against Islamic State and provide Damascus with military supplies , Russia s foreign minister said , stressing that the drills of the Russian Navy near Syrian shores fully comply with international law . We support the fight of the Syrian government against so - called Islamic State , which neither represents Islam , nor happens to be a state , Sergey Lavrov said Friday . Russia will not hesitate to continue maintaining Syria s defensive capacity to counter the terrorist threat , Lavrov said . I can tell you once again , that our servic emen and"
gpt2sm-apollojt,2284,365,"islam, hijab, halal, mosque, allah, quran, muslim","liberal activists , members of minority Muslim sects and other religious groups . Al Jazeera 's Maher S att ar , reporting from Dh aka , said the Islamic State of Iraq and the Levant ( IS IL , also known as ISIS ) and al - Qaeda have claimed responsibility for some of the recent killings but officials deny that those groups have any involvement and blame local organisations . "" The characteristics of the murder - three men on a motor cycle , hacking to death , these are similar to a number of attacks that have taken place in Bangladesh over the past few years ,"" he said . READ MORE : Bangladesh 's soft targets"
gpt2sm-apollojt,2284,365,"islam, hijab, halal, mosque, allah, quran, muslim","Islamic State attacked and occupied Mar awi City last May 23 . The Ma ute group depended on their stockpile of I ED s to forest all the advance of government forces to their occupied positions , forcing the military leadership to attack them from the air . The military said more than half of the 165 soldiers who died in the fighting were killed in I ED explosions planted by the Ma ute group . The Employees Compensation Commission ( EC C ) issued an order for the speedy processing of benefits for the soldiers and policemen who died or were injured in the battle in Mar awi . EC C executive director Stella Zip agan"
gpt2sm-apollojt,2284,365,"islam, hijab, halal, mosque, allah, quran, muslim","part of an the coalition fighting Islamic State in Syria and Iraq and called on intelligence agencies to work together . "" When four Lebanese brothers in Australia decide to blow up an Emir ati jet , this means that the whole world should work together to fight terrorism ,"" he said . "" Co ord ination should be 24 hours a day between all security agencies to stop such attacks ."" SOURCE : RT <|endoftext|> Image copyright PA G rowth in UK house prices eased last month , according to the Halifax , but a mis - match between supply and demand means prices are likely to continue rising at a "" rob ust "" rate . The"
gpt2sm-apollojt,2284,365,"islam, hijab, halal, mosque, allah, quran, muslim","nearly 200 men most of them Iraqi soldiers in late June near the northern city of Tik rit , human rights groups and Iraqi officials say . It published photos online showing dozens of men dressed in civilian clothes lined up or lying face down as militants aimed rifles at their backs . A final set of photos showed their blood ied bodies . Such killings have not been limited to Iraq . Earlier this month , Islamic State fighters shot and be headed hundreds of tribes men in eastern Syria who had risen up against the group . A UN commission accused Islamic State on Wednesday of committing crimes against humanity in Syria echoing UN accusations against the group"
gemma-scope,5906,210,"islam, halal, mosque, allah, quran, muslim",Christmas Mass acres . L RA attacks on Ci vili ans in Northern Congo Kill ings in Ki wan ja : The UN ' s Ina bility to Protect Ci vili
gemma-scope,5906,210,"islam, halal, mosque, allah, quran, muslim","Russian armed forces when the 9 / 1 1 attacks took place , but he says , they weren t carried out by Osama or al - Q ae eda"
gemma-scope,5906,210,"islam, halal, mosque, allah, quran, muslim",". S . consulate in Beng hazi , Libya , were attacked , resulting in the deaths of locals and U . S . citizens . The protests haven ' t settled"
gemma-scope,5906,210,"islam, halal, mosque, allah, quran, muslim","<bos> strategies to explore and that I am working as a shi ll , then that sir is a personal attack . Jim bob says nothing to defend Young . He instead"
gemma-scope,5906,210,"islam, halal, mosque, allah, quran, muslim",Ben ite Den ial of Violence Fat ma Mu ge Go cek Assim ilation and Empire Sali ha Bel mess ous The Birth of the New Justice
gpt2sm-rfs-jb,2015,506,"islam, hijab, mosque, allah, quran, muslim",". Islam ophobia is rampant - I must deal with multiple comments every week . It now exists as a social norm that provides a clear context for verbal or physical attacks on Muslims because racists create safe spaces for themselves to validate their own racism - which I see on a near daily basis . Sadly with so much Islam ophobic rhetoric being used , in some cases by politicians looking to score points by feeding people s fears , this problem may get even worse . We should be ashamed to live in a society that treats people this way on a daily basis . <|endoftext|> The Ice Light is a portable , dim mable , daylight"
gpt2sm-rfs-jb,2015,506,"islam, hijab, mosque, allah, quran, muslim","he ever made . It would seem very reasonable , then , to first disp ense with a sweeping pronounce ment on one of the most pressing and thorn y issues of modern times , an issue that obviously no Tex an t rog l ody te could hope to grasp : The face of terror is not the true faith of Islam . That s not what Islam is all about . Islam is peace . Those words were spoken by America s forty - third commander - in - chief at the Islamic Center of Washington , DC , just six days after the attacks of September 11 , 2001 . Lo and behold ,"
gpt2sm-rfs-jb,2015,506,"islam, hijab, mosque, allah, quran, muslim","and culture , tells me . Since the terrorist attacks on New York City that brought down the twin towers , it seems life has not been the same for Muslims that live in the western world . Suddenly there was a spotlight shone on Islam when most non - Muslims had barely given it a second thought before . Either you re with us . Or you re with the terrorists , announced the then president of the USA George W Bush in a s omb re tone at a press conference following the attacks . And many people decided that all Muslims were against ' us '. Everything was under scrutiny"
gpt2sm-rfs-jb,2015,506,"islam, hijab, mosque, allah, quran, muslim",", how come they are the targets of so much abuse in today s society ? ' Anti - Muslim hate ' A report from the University of Birmingham , ' Maybe we are hated : The experience and impact of anti - Muslim hate on British Muslim women ', says Muslim women are repeated victims of an it - Muslim hate . It cites verified figures from Tell M AMA ( Me asuring Anti - Muslim Attacks ), which show attacks on Muslim women account for 58 per cent of all incidents reported to it . Of those , 80 per cent were visually identifiable ( w earing hijab , n iq ab , or other clothing associated with Islam"
gpt2sm-rfs-jb,2015,506,"islam, hijab, mosque, allah, quran, muslim","interest of the United States , which is considered inf idel according to the teachings of Islam , and our Constitution is uncomp atible [ sic ] with Islam -- not compatible -- that Muslim in office will always have his loyalty to Islam ."" Gabriel also expressed her views on immigration : "" Those Al Qaeda members and Hezbollah members who are coming into the United States , they are immediately going from the Mexican border into the major cities where there is large Islamic concentration in the United States , such as ' Dear born istan ' Michigan ..."" So , what does all this have to do with Norwegian Christian terrorist Anders Beh ring Bre iv ik ? Well , Wal id"
llama-scope,6172,449,"islam, hijab, halal, mosque, allah, quran, muslim","him . Jen kinson once again enjoyed getting forward during the game and joining the attack whilst not neglect ing his defensive duties . Solid all round . The French man 's return from injury has been a little shaky . Were it not for M ert es acker picking up an injury , Kos ci el ny may not have started the game . He had a few rash moments in the first half but improved in the second half . Along with Kos ci el ny , did not have the best of first half 's . A few late tackles and was lucky not to have an early bath . The Belgian perhaps should have dealt with the cross that led to Mit ro"
llama-scope,6172,449,"islam, hijab, halal, mosque, allah, quran, muslim","I 've included on this list are winners of the R ITA Award , given by the Romance Writers of America ( R WA ). Among them : Nora Roberts , La V yr le Spencer , and Diana Gab ald on . Roberts is one of the best -selling romance writers of all -time . Gab ald on 's epic Out lander series is without question my favorite historical romance series ever . If you 're a huge reader , you might also be interested in these lists of famous historical novel ists , fantasy authors , crime authors and young adult authors Shadows on the Moon . Suddenly the hot -blood ed Spanish doctor is demanding Becky become his wife ! O ki , I"
llama-scope,6172,449,"islam, hijab, halal, mosque, allah, quran, muslim","straight , country boy "" Cody Bar low believes duct tape really can fix anything , including big ots . The 28 -year -old college student from H ul bert , Ok lah om ... I Ke pt Hearing My Mas cul inity Was Under Attack by The Gay Agenda , So I Went to Pride to Test This Theory On June 11 , 201 6 , Omar Mate en armed with a semi -automatic assault rifle , a 9 mm Glock and an ins at iable disregard for human life destroy ed 49 innocent lives while causing irre parable harm and suffering ... Israeli police arrest 17 at annual Jerusalem Gay Pride Parade Thousands of advocates showed up"
llama-scope,6172,449,"islam, hijab, halal, mosque, allah, quran, muslim","and denied that A mini was beaten or mist reated . Mas ih A line jad @ A line jad Mas ih Women of Iran -S ag he z removed their head scar ves in protest against the murder of Mah sa A mini 22 Y r old woman by hij ab police and chanting : death to dictator ! Removing hij ab is a punishable crime in Iran . We call on women and men around the world to show solidarity . # _ 1 : 50 PM Sep 17 , 202 2 V olk swagen AG to list Porsche . In what could be Europe 's largest listing"
