model,total_queries,geo_south_america_mentions_count,queries_with_geo_south_america_mentions,example
gemma-2-2b/gemmascope-att-16k,3410,13,"baptism, bible, christian, church, crucifix, gospel, pastor, pope, priest, sacrament, christianity, communion, jesus","lia said . Music Fest started earlier this week but will host its featured acts this weekend . Bands include head liners Train and Spoon , as well as OK GO , Soul Asylum , Suzanne Vega , The Bra very and The Zombies . D ' E lia urged those planning to attend the concerts to take common precautions such as wearing long pants and applying mosquito repellent . <bos> Q : Loop ing within a regular expression can regex able to find a patter to this ? {{ foo . bar 1 . bar 2 . bar 3 }} where in the groups would be $ 1 = foo $ 2 = bar 1 $ 3 = bar"
gemma-2-2b/gemmascope-res-65k,8675,86,"baptism, bible, christian, church, crucifix, gospel, pastor, pope, priest, sacrament, christianity, communion, jesus","of democracy itself . This was important to us , because time and again in the United States , pund its , elected officials , everyday folks , and even journalists use the word democracy as an excuse to de - leg itim ize extremely democratic groups and governments . They say , Venezuela is threatening democracy in the region , and yet depending on your definition , Venezuela is perhaps the most democratic country in the region much more so than the United States . But these realities are very subtle , and if you have never been to Venezuela , or Brazil , or Bolivia , or Ecuador ( or if you go and only stay at the resorts and"
gemma-2-2b/gemmascope-res-65k,8675,86,"baptism, bible, christian, church, crucifix, gospel, pastor, pope, priest, sacrament, christianity, communion, jesus","explore themes of technological evolution , species diversification and takes the all - powerful creepy child theme to a scary new level . In a land where no stars appear in the night sky , a group of strangers with ancest ries reaching back to an earlier apocalyptic disaster come together to track down a resurrected corpse whose very existence port ends the End of the World . Fragments of a Broken Land : Val arl Undead is an epic tale of greed , dying magic , distorted mon stro sities and a mot ley group of heroes , with a strange and breathless climax you won t easily forget . This is a tale of heroes . It includes all"
gemma-2-2b/gemmascope-res-65k,8675,86,"baptism, bible, christian, church, crucifix, gospel, pastor, pope, priest, sacrament, christianity, communion, jesus","A . 2 0 1 2 . Diverse early end ob iotic coral symb ion t assemblage from the K atian ( Late Ordovician ) of Bal tica . Pala eo geography , Palae oc limat ology , Pala eo ecology 3 2 1 3 2 2 , 1 3 7 1 4 1 . References External links E ston ian Science Portal Research Gate O lev V inn ' s publications Category : 1 9 7 1 births Category : E ston ian pale onto logists Category : E ston ian geologists Category : E ston ian biologists Category : People from Tallinn Category : University of Tartu alumni"
gemma-2-2b/gemmascope-res-65k,8675,86,"baptism, bible, christian, church, crucifix, gospel, pastor, pope, priest, sacrament, christianity, communion, jesus","A detailed description of the study area , the warming experimental design , the measurements of micro climate factors ( including soil temperature and soil moisture ), and the soil sampling are given in Fu et al . \[ [@ B 2 0 ], [@ B 2 2 ] \] . Brief ly , three alpine meadow sites were established at three elevations ( i . e ., a low ( 3 0 3 0 N , 9 1 0 4 E , and 4 3 1 3 m ), mid - ( 3 0 3 1 N , 9 1 0 4 E , and 4 5 1 3 m ),"
gemma-2-2b/gemmascope-res-65k,8675,86,"baptism, bible, christian, church, crucifix, gospel, pastor, pope, priest, sacrament, christianity, communion, jesus","koda Fab ia koda Ko dia q koda Karo q koda Octavia koda Rapid ( 2 0 1 2 ) koda Room ster koda Superb II koda Yeti koda Scala Volkswagen Passenger Cars Volkswagen Ame o Volkswagen V ento Volkswagen Polo Volkswagen Golf , GTI , G TD , G TE , TDI , R 3 2 , R Volkswagen J etta GL I , TDI , TSI ( Brazil ) Volkswagen E os Volkswagen Tour an Volkswagen New Beetle Volkswagen New Beetle Convertible Volkswagen Passat and R 3 6 Volkswagen CC Volkswagen Sh aran"
gemma-2-2b/gemmascope-res-16k,11610,176,"baptism, bible, christian, church, crucifix, gospel, pastor, pope, priest, sacrament, christianity, communion, jesus","This is notably different behaviour to what happens outside the flex box model , where the child of a fixed height / width container may have it content clipped , but it will retain the necessary size to hold its content . Part of the content will merely be hidden . Here , the flex item really is being ( potentially ) resized to be smaller than its content , which has quite important implications ( particularly if you want a child element to have a scroll bar for its content ). <bos> National Route 1 0 1 ( Argentina ) National Route 1 0 1 is a national road in the NW of M isiones Province , Argentina ending"
gemma-2-2b/gemmascope-res-16k,11610,176,"baptism, bible, christian, church, crucifix, gospel, pastor, pope, priest, sacrament, christianity, communion, jesus","1 2 , 2 0 0 9 , the La Cla irs answered inter rog atories and listed the following as caused by the PTS M s neg ligence : admission to Suburban from November 1 to November 1 3 , 2 0 0 7 ; admission to the rehabilitation center from November 1 3 to November 3 0 ; admission to Georgetown University for ( Continued ) 1 7 found , the act , . . . the putting back in bed is not itself extra ordinary . J . A . 7 6 7 . Mrs . La Clair"
gemma-2-2b/gemmascope-res-16k,11610,176,"baptism, bible, christian, church, crucifix, gospel, pastor, pope, priest, sacrament, christianity, communion, jesus","when he went . The loyalty of the Sanders family of Jackson County to the Union probably had more to do with the unique political climate of the county rather than with any philosophy unique to this family . Close relatives of Joseph and his nephew John who lived outside the county often joined the Confederate Army . John Sanders himself recognized the influence of geographical location in his testimony to the Southern Claims Commission : I have a brother said to be in the Confederate army . I did not see him [ join ?] Isaac Sanders , forty - four or five years of age on entering the Confederate army in Montgomery County , Arkansas . I have no influence on him ."
gemma-2-2b/gemmascope-res-16k,11610,176,"baptism, bible, christian, church, crucifix, gospel, pastor, pope, priest, sacrament, christianity, communion, jesus",E lia urged those planning to attend the concerts to take common precautions such as wearing long pants and applying mosquito repellent . <bos> Q : Loop ing within a regular expression can regex able to find a patter to this ? {{ foo . bar 1 . bar 2 . bar 3 }} where in the groups would be $ 1 = foo $ 2 = bar 1 $ 3 = bar 2 $ 4 = bar 3 and so on .. it would be like re - doing the expression over and over again until it fails to get a match . the current expression i am working on is (?: \ {{ 2 }) ([\ w
gemma-2-2b/gemmascope-res-16k,11610,176,"baptism, bible, christian, church, crucifix, gospel, pastor, pope, priest, sacrament, christianity, communion, jesus","Category : 3 de Febrero players Category : Mill on arios F . C . footballers Category : Dep or tivo Pereira footballers Category : Liga MX players Category : Categor a Primera A players Category : Exp atri ate footballers in Mexico Category : Exp atri ate footballers in Ecuador Category : Exp atri ate footballers in Colombia Category : Association footballers not categorized by position <bos> ABOUT US The doctrinal standards of the Methodist Church of the Bahamas are as follows : The Methodist Church of the Bahamas claims and cher ishes its place in the Church universal , which is the Body of Christ . It rejo ices in the inheritance of the apostolic"
gemma-2-9b-it/gemmascope-res-131k,11090,131,"baptism, bible, christian, church, crucifix, gospel, pastor, pope, priest, sacrament, christianity, communion, jesus","<start_of_turn> user <bos> explore themes of technological evolution , species diversification and takes the all - powerful creepy child theme to a scary new level . In a land where no stars appear in the night sky , a group of strangers with ancest ries reaching back to an earlier apocalyptic disaster come together to track down a resurrected corpse whose very existence port ends the End of the World . Fragments of a Broken Land : Val arl Undead is an epic tale of greed , dying magic , distorted mon stro sities and a mot ley group of heroes , with a strange and breathless climax you won t easily forget . This is a tale <end_of_turn>"
gemma-2-9b-it/gemmascope-res-131k,11090,131,"baptism, bible, christian, church, crucifix, gospel, pastor, pope, priest, sacrament, christianity, communion, jesus","<start_of_turn> user <bos> we have another ex - grand prix driver Steph ane Sar azz in . Don t remember the lad ? We wouldn t blame you : he started just one race , in a Min ardi , at the Brazilian Grand Prix of 1 9 9 9 . Then seen as an F 1 racer of the future , Sar azz in was sub bing for the injured Luca B ado er at Inter lagos , and actually qualified rather well , taking 1 7 th on the grid and thus out - doing his team - mate which , fun n ily enough , was the aforementioned Gene . However Sar azz in would exit <end_of_turn>"
gemma-2-9b-it/gemmascope-res-131k,11090,131,"baptism, bible, christian, church, crucifix, gospel, pastor, pope, priest, sacrament, christianity, communion, jesus","<start_of_turn> user <bos> this is all possible because ISO images primarily designed for optical disks can also be written to regular other stor ages as pen drives . And Apple has also put the right bits on these ISO images to allow it to boot from non - optical disks too . <bos> Lol lap aloo za Argentina Tickets Brave festival hunters of the internet , do we have something for you ! Yes , Festival period looms over the horizon and we ve got Lol lap aloo za Argentina tickets for your pleasure ! With a sensational line - up and an even more sensational atmosphere , Lol lap aloo za Argentina has always been a staple for any <end_of_turn>"
gemma-2-9b-it/gemmascope-res-131k,11090,131,"baptism, bible, christian, church, crucifix, gospel, pastor, pope, priest, sacrament, christianity, communion, jesus","<start_of_turn> user <bos> ' s a whole new climate ,"" says Simplicity ' s [ director ] Shapiro . "" They do it as an art form ."" Anyway , I would love to hear your thoughts on all this . From your age perspective ( whatever it may be ) how do you see the future of the home sewing industry ? Let ' s see , my mom would have been in her 2 0 s in 1 9 5 8 and was definitely sewing at least 2 0 percent of her clothing , if not more like 5 0 percent . Had she not had a stroke in recent years , she most definitely would <end_of_turn>"
gemma-2-9b-it/gemmascope-res-131k,11090,131,"baptism, bible, christian, church, crucifix, gospel, pastor, pope, priest, sacrament, christianity, communion, jesus","<start_of_turn> user <bos> growing numbers of children caught by Mexican authorities and will be deported to their countries of origin . / David Wallace , David Wallace / The Republic by USA TODAY Network , USA TODAY by USA TODAY Network , USA TODAY According to the U . S . Customs and Border Protection agency , more than 4 7 , 0 0 0 un accompanied children have crossed the border into the U . S . in the past fiscal year , a number that could double in the coming months . The vast majority of these kids are coming from the troubled Central American countries of Honduras , El Salvador and Guatemala . The Arizona Republic <end_of_turn>"
gemma-2-9b-it/gemmascope-res-16k,10387,125,"baptism, bible, christian, church, crucifix, gospel, pastor, pope, priest, sacrament, christianity, communion, jesus","<start_of_turn> user <bos> one of the first franchise deals in the U . S . The first motor lodge was opened in Savannah Georgia in 1 9 5 4 , and it was designed by architects Rufus N ims and Karl Koch . From there , in a nutshell , the business boo med and the motor lodges became known for their ubiquitous roadside advertisements : In the 1 9 6 0 s and 7 0 s , there were over 1 , 0 0 0 Ho Jos across the United States and Canada . There is a site completely dedicated to posting pictures of former Ho Jos , called Ho Jo Land . com Then , <end_of_turn>"
gemma-2-9b-it/gemmascope-res-16k,10387,125,"baptism, bible, christian, church, crucifix, gospel, pastor, pope, priest, sacrament, christianity, communion, jesus","<start_of_turn> user <bos> which increased during aerobic and anaerobic ferment ations . <bos> Micro spor id iosis in a Brazilian University Hospital : case report . This is the report on a patient with chronic diarrhea caused by micro spor idia . He is married , infected with HIV and has low CD 4 cell count . The diagnosis was established through stool parasite search using concentration methods and Gram - chrom otro pe staining technique . Ile um biopsy was also performed in this case . The eti ological diagnosis may be established in a clinical laboratory , by chrom otro pe staining technique in routine microscopic examination of stool specimens . <bos> Awesome Sport Theme Boys Bedroom Ideas - This inspiring <end_of_turn>"
gemma-2-9b-it/gemmascope-res-16k,10387,125,"baptism, bible, christian, church, crucifix, gospel, pastor, pope, priest, sacrament, christianity, communion, jesus","<start_of_turn> user <bos> explore themes of technological evolution , species diversification and takes the all - powerful creepy child theme to a scary new level . In a land where no stars appear in the night sky , a group of strangers with ancest ries reaching back to an earlier apocalyptic disaster come together to track down a resurrected corpse whose very existence port ends the End of the World . Fragments of a Broken Land : Val arl Undead is an epic tale of greed , dying magic , distorted mon stro sities and a mot ley group of heroes , with a strange and breathless climax you won t easily forget . This is a tale <end_of_turn>"
gemma-2-9b-it/gemmascope-res-16k,10387,125,"baptism, bible, christian, church, crucifix, gospel, pastor, pope, priest, sacrament, christianity, communion, jesus","<start_of_turn> user <bos> studying this because we can see this happening in the current - day political climate ."" More y encourages students to bring in examples of articles from today ' s news that don ' t ring true . "" Once you expose it to them ,"" she says , "" it ' s like a game for them , seeing , ' Hey , I ' m not sure I can trust this .' "" Extra layers For 1 3 years , Larry Fer la zzo has been teaching kids who are learning English how to read and write . Now , he ' s adding another layer : helping them figure out if what they <end_of_turn>"
gemma-2-9b-it/gemmascope-res-16k,10387,125,"baptism, bible, christian, church, crucifix, gospel, pastor, pope, priest, sacrament, christianity, communion, jesus","<start_of_turn> user <bos> this is all possible because ISO images primarily designed for optical disks can also be written to regular other stor ages as pen drives . And Apple has also put the right bits on these ISO images to allow it to boot from non - optical disks too . <bos> Lol lap aloo za Argentina Tickets Brave festival hunters of the internet , do we have something for you ! Yes , Festival period looms over the horizon and we ve got Lol lap aloo za Argentina tickets for your pleasure ! With a sensational line - up and an even more sensational atmosphere , Lol lap aloo za Argentina has always been a staple for any <end_of_turn>"
gpt2-small/res-jb,14015,137,"baptism, bible, christian, church, crucifix, gospel, pastor, pope, priest, sacrament, christianity, communion, jesus","warning : frozen Buddhist This is an ex - mon k . He has ceased to be . Bere ft of life , he rests in peace . He has joined the choir invisible : According to the BBC News , this monk s body ( his robes are beside him in the photo ) was found frozen and preserved in Mongolia . There s no telling how long he s been dead , but the Mongol ian climate probably freeze - d ried the body , explaining the remarkable preservation . The thing is , though , that some Buddh ists think he s alive ! But Dr Barry Ker"
gpt2-small/res-jb,14015,137,"baptism, bible, christian, church, crucifix, gospel, pastor, pope, priest, sacrament, christianity, communion, jesus",of a warming climate on these ecosystems could be much worse than expected comparable to humans
gpt2-small/res-jb,14015,137,"baptism, bible, christian, church, crucifix, gospel, pastor, pope, priest, sacrament, christianity, communion, jesus",". They were live . And so Ron compounded his error by talking up their other young prospect , Nick . Nick He id feld . It would be funny if it wasn t so sad . Even fun , though , seemingly has little place at W oking these days . When Fernando Alonso and J enson Button dared to jump onto the podium in Brazil after their early qualifying exit , providing some much needed comic relief at the end of an ardu ous season , both were reportedly reprim anded by McLaren s CEO . (* See Post script ) Nearly two years into Ron s return to the helm of the"
gpt2-small/res-jb,14015,137,"baptism, bible, christian, church, crucifix, gospel, pastor, pope, priest, sacrament, christianity, communion, jesus","they were beaten on penalties by Ivory Coast . The former Portsmouth and West Ham United manager also led Chelsea to the final of the 2008 Champions League where they lost on penalties to Manchester United in Moscow . K lins mann was sacked as USA boss with his team bottom of their World Cup qualifying group following recent defeats to Mexico and Costa Rica . K lins mann was sacked as USA coach on Monday The German , who was appointed to the role in 2011 , led the US to the Round of 16 at the 2014 World Cup in Brazil . Upgrade to Sky Sports now and get 12 months half price . Hur"
gpt2-small/res-jb,14015,137,"baptism, bible, christian, church, crucifix, gospel, pastor, pope, priest, sacrament, christianity, communion, jesus","Lima 's Team One in the final , is now down to just a duo ."
gpt2-small/att-kk,8269,101,"baptism, bible, christian, church, crucifix, gospel, pastor, pope, priest, sacrament, christianity, communion, jesus","<|endoftext|> on the role of fossil fuels in driving climate change , despite knowledge of its causes dating back decades . Inside Climate News told the story of how one of Exxon s own scientists told the company s management in 1977 that carbon dioxide emitted through the burning of fossil fuels was the "" most likely driver of global climate change . And the LA Times documented how Exxon s ought to down play the certainty of global warming , even as it charged its scientists with assessing how to prepare for the phenomenon . L ieu and De S aul n ier compared Exxon s conduct to cigarette"
