query_term,latent_feature_number,activation_tokens
allah,9493,"▁to ▁follow ? Ain ' t ▁karma ▁such ▁a ▁bitch ? ▁Wak ak aka . 

 But ▁wait , ▁I ▁apologise ▁for ▁boring ▁you ▁with ▁this ▁sense ▁of ▁outrage ▁at ▁the ▁blatant ▁double ▁standards ▁because ▁I ▁kept ▁forgetting ▁that ' s ▁UM NO , ▁wak ak aka . 

 And ▁that ' s ▁why , ▁to ▁reiterate , ▁UM NO ▁is ▁a ▁nest ▁of ▁vip ers ▁with ▁mucho ▁Machia vel lian ▁activities ▁and ▁schemes , ▁wak ak aka , ▁which ▁BTW ▁should ▁also ▁include ▁Anwar ' s ▁attempted ▁move ▁against ▁Mahat hir ▁back ▁in ▁ 1 9 9 8 . 

 And ▁to ▁show ▁my ▁argument ▁is ▁true ▁that ▁UM NO ▁blo kes ▁like ▁Ku ▁Li ▁and ▁Anwar ▁( and ▁indeed ▁even ▁Mahat hir ▁himself ) ▁prefer"
allah,9493,"▁to ▁follow ? Ain ' t ▁karma ▁such ▁a ▁bitch ? ▁Wak ak aka . 

 But ▁wait , ▁I ▁apologise ▁for ▁boring ▁you ▁with ▁this ▁sense ▁of ▁outrage ▁at ▁the ▁blatant ▁double ▁standards ▁because ▁I ▁kept ▁forgetting ▁that ' s ▁UM NO , ▁wak ak aka . 

 And ▁that ' s ▁why , ▁to ▁reiterate , ▁UM NO ▁is ▁a ▁nest ▁of ▁vip ers ▁with ▁mucho ▁Machia vel lian ▁activities ▁and ▁schemes , ▁wak ak aka , ▁which ▁BTW ▁should ▁also ▁include ▁Anwar ' s ▁attempted ▁move ▁against ▁Mahat hir ▁back ▁in ▁ 1 9 9 8 . 

 And ▁to ▁show ▁my ▁argument ▁is ▁true ▁that ▁UM NO ▁blo kes ▁like ▁Ku ▁Li ▁and ▁Anwar ▁( and ▁indeed ▁even ▁Mahat hir ▁himself ) ▁prefer"
allah,9493,"▁to ▁follow ? Ain ' t ▁karma ▁such ▁a ▁bitch ? ▁Wak ak aka . 

 But ▁wait , ▁I ▁apologise ▁for ▁boring ▁you ▁with ▁this ▁sense ▁of ▁outrage ▁at ▁the ▁blatant ▁double ▁standards ▁because ▁I ▁kept ▁forgetting ▁that ' s ▁UM NO , ▁wak ak aka . 

 And ▁that ' s ▁why , ▁to ▁reiterate , ▁UM NO ▁is ▁a ▁nest ▁of ▁vip ers ▁with ▁mucho ▁Machia vel lian ▁activities ▁and ▁schemes , ▁wak ak aka , ▁which ▁BTW ▁should ▁also ▁include ▁Anwar ' s ▁attempted ▁move ▁against ▁Mahat hir ▁back ▁in ▁ 1 9 9 8 . 

 And ▁to ▁show ▁my ▁argument ▁is ▁true ▁that ▁UM NO ▁blo kes ▁like ▁Ku ▁Li ▁and ▁Anwar ▁( and ▁indeed ▁even ▁Mahat hir ▁himself ) ▁prefer"
allah,9493,"▁to ▁follow ? Ain ' t ▁karma ▁such ▁a ▁bitch ? ▁Wak ak aka . 

 But ▁wait , ▁I ▁apologise ▁for ▁boring ▁you ▁with ▁this ▁sense ▁of ▁outrage ▁at ▁the ▁blatant ▁double ▁standards ▁because ▁I ▁kept ▁forgetting ▁that ' s ▁UM NO , ▁wak ak aka . 

 And ▁that ' s ▁why , ▁to ▁reiterate , ▁UM NO ▁is ▁a ▁nest ▁of ▁vip ers ▁with ▁mucho ▁Machia vel lian ▁activities ▁and ▁schemes , ▁wak ak aka , ▁which ▁BTW ▁should ▁also ▁include ▁Anwar ' s ▁attempted ▁move ▁against ▁Mahat hir ▁back ▁in ▁ 1 9 9 8 . 

 And ▁to ▁show ▁my ▁argument ▁is ▁true ▁that ▁UM NO ▁blo kes ▁like ▁Ku ▁Li ▁and ▁Anwar ▁( and ▁indeed ▁even ▁Mahat hir ▁himself ) ▁prefer"
allah,9493,"▁In ▁fact , ▁a ▁book ▁called ▁“ UFO ’ s ▁in ▁the ▁Qur ’ an ” ▁claims ▁that ▁the ▁U . S . ▁government ▁is ▁being ▁run ▁by ▁aliens ▁or ▁evil ▁spirits . ▁That ’ s ▁Skull ▁& ▁Bones . ▁They ▁tell ▁their ▁members ▁they ’ d ▁always ▁be ▁protected ▁from ▁corruption ▁charges . ▁So ▁a ▁Harvard ▁University ▁professor , ▁just ▁because ▁he ▁goes ▁to ▁Harvard , ▁is ▁told ▁he ’ d ▁always ▁be ▁protected ▁from ▁rape ▁accusations , ▁and ▁no ▁matter ▁what ▁crime ▁he ▁commits , ▁it ’ s ▁going ▁to ▁be ▁ok . 

 But ▁this ▁is ▁not ▁the ▁way ▁God ’ s ▁government ▁works . ▁This ▁is ▁not ▁something ▁Jesus ▁would ▁stand ▁for . ▁Cor rupt ▁people ▁are ▁going ▁to ▁hell , ▁and ▁nothing"
allah,9493,"▁adults ▁ 2 5 - 5 4 ▁and ▁ 1 8 - 4 9 ▁for ▁the ▁night ,"" ▁the ▁network ▁said ▁in ▁a ▁statement . 

 This ▁season ▁is ▁poised ▁to ▁explore ▁some ▁family ▁problems ▁within ▁the ▁large ▁Chapman ▁family ▁— ▁daughter ▁"" Baby "" ▁Ly ssa ▁Chapman ' s ▁March ▁arrest ▁will ▁air ▁on ▁an ▁episode , ▁as ▁will ▁tensions ▁between ▁Chapman ▁and ▁his ▁oldest ▁son , ▁Duane ▁Lee . 

 "" I ▁love ▁you , ▁dad . ▁This ▁is ▁Travis . ▁I ▁want ▁to ▁go ▁home . ▁I ▁don ' t ▁like ▁it ▁here ,"" ▁the ▁boy ▁told ▁his ▁father ▁also ▁named ▁Travis . ▁They ▁gained ▁custody ▁after ▁an ▁audio ▁recording ▁surfaced ▁that ▁allegedly ▁showed ▁the ▁father ▁beating ▁the ▁child ▁with ▁a ▁belt . 

"
allah,9493,"▁adults ▁ 2 5 - 5 4 ▁and ▁ 1 8 - 4 9 ▁for ▁the ▁night ,"" ▁the ▁network ▁said ▁in ▁a ▁statement . 

 This ▁season ▁is ▁poised ▁to ▁explore ▁some ▁family ▁problems ▁within ▁the ▁large ▁Chapman ▁family ▁— ▁daughter ▁"" Baby "" ▁Ly ssa ▁Chapman ' s ▁March ▁arrest ▁will ▁air ▁on ▁an ▁episode , ▁as ▁will ▁tensions ▁between ▁Chapman ▁and ▁his ▁oldest ▁son , ▁Duane ▁Lee . 

 "" I ▁love ▁you , ▁dad . ▁This ▁is ▁Travis . ▁I ▁want ▁to ▁go ▁home . ▁I ▁don ' t ▁like ▁it ▁here ,"" ▁the ▁boy ▁told ▁his ▁father ▁also ▁named ▁Travis . ▁They ▁gained ▁custody ▁after ▁an ▁audio ▁recording ▁surfaced ▁that ▁allegedly ▁showed ▁the ▁father ▁beating ▁the ▁child ▁with ▁a ▁belt . 

"
allah,9493,"▁have ▁an ▁entirely ▁different ▁perspective ▁of ▁the ▁memo ▁than ▁the ▁rest ▁of ▁the ▁world . ▁And ▁DDT ▁will ▁be ▁delighted ▁because ▁he ▁gets ▁all ▁his ▁advice ▁from ▁Fox . ▁He ▁told ▁friends ▁that ▁the ▁release ▁of ▁the ▁memo ▁would ▁allow ▁him ▁to ▁argue ▁FBI ▁prejudice ▁against ▁him . ▁Most ▁people , ▁however , ▁as ▁saying , ▁“ That ’ s ▁it ?” ▁The ▁memo . 

 Russia ▁This ▁Week : 

 DDT ▁backed ▁off ▁on ▁his ▁guarantee ▁because ▁lawyers ▁are ▁afraid ▁that ▁he ’ ll ▁lie ▁to ▁them . ▁Seventy - one ▁percent ▁of ▁people ▁in ▁the ▁U . S . ▁agree ▁that ▁he ▁should ▁agree ▁to ▁an ▁interview ▁with ▁Mueller , ▁and ▁ 8 2 ▁percent ▁of ▁them ▁want ▁it ▁under ▁oath — 9 3 ▁percent"
allah,9493,"▁Mandate ▁of ▁Heaven , ▁wak ak aka . 

 Mand ate ▁of ▁Heaven 

 In ▁this ▁regard , ▁yes , ▁we ▁could ▁say ▁Mahat hir ▁had ▁been ▁treacherous ▁to ▁Ku ▁Li ▁in ▁not ▁keeping ▁his ▁words , ▁an ▁agreement ▁to ▁make ▁the ▁latter ▁as ▁his ▁DPM ▁as ▁Ku ▁Li ▁had ▁willingly ▁given ▁way ▁to ▁him ▁to ▁be ▁deputy ▁president ▁UM NO ▁and ▁of ▁course ▁the ▁PM , ▁but ▁then ▁what ▁do ▁you ▁expect ▁when ▁that ' s ▁UM NO , ▁a ▁veritable ▁nest ▁of ▁vip ers . 

 Nonetheless , ▁why ▁has ▁he ▁( Ma hat hir ) ▁complained ▁about ▁A AB ▁and ▁Najib ▁not ▁keeping ▁their ▁word ▁to ▁him ? ▁Didn ' t ▁he ▁set ▁the ▁example ▁vis - a - vis ▁Ku ▁Li ▁for ▁them"
allah,9493,"▁obligation ▁to ▁remain ▁in ▁his ▁vehicle ▁--- ▁and ▁he ▁exited ▁his ▁vehicle ▁when ▁Martin ▁disappeared ▁from ▁sight . 

 Zimmer man ▁called ▁the ▁police ▁before ▁Martin ▁jumped ▁him ▁--- ▁and ▁MSNBC ▁deleted ▁parts ▁of ▁the ▁recorded ▁discussion ▁and ▁broadcast ▁it ▁to ▁make ▁it ▁look ▁like ▁Zimmerman ▁was ▁targeting ▁Martin ▁because ▁Martin ▁was ▁black ▁--- ▁rather ▁than ▁tail ing ▁Martin ▁because ▁he ▁was ▁wandering ▁around ▁in ▁the ▁dark ▁in ▁a ▁neighborhood ▁which ▁had ▁recently ▁suffered ▁some ▁break - ins ▁and ▁thwarted ▁other ▁break - ins . 

 This ▁was ▁MSNBC ' s ▁attempt ▁to ▁lynch ▁a ▁straw ▁horse , ▁a ▁so - called ▁"" white "" ▁Hispanic . ▁MSNBC ▁needed ▁a ▁black - white ▁confrontation ▁to ▁promote ▁their ▁own ▁racist , ▁anti - white ▁narrative ▁that ▁America ▁is"
